,open_time,open,high,low,close,VOLUME,close_time
0,1708776000000,0.3581,0.3582,0.3483,0.3488,13715696.0,1708790399999
1,1708790400000,0.3489,0.3556,0.3486,0.353,6447066.0,1708804799999
2,1708804800000,0.3531,0.3545,0.3503,0.351,4218360.0,1708819199999
3,1708819200000,0.3511,0.3523,0.3463,0.3485,4970807.0,1708833599999
4,1708833600000,0.3486,0.3493,0.3457,0.3482,3535021.0,1708847999999
5,1708848000000,0.3482,0.3523,0.3446,0.3523,3972387.0,1708862399999
6,1708862400000,0.3522,0.3565,0.3506,0.351,6854022.0,1708876799999
7,1708876800000,0.3509,0.3538,0.3484,0.3536,5195831.0,1708891199999
8,1708891200000,0.3536,0.3596,0.3524,0.3583,6227827.0,1708905599999
9,1708905600000,0.3584,0.3626,0.3537,0.3588,6799358.0,1708919999999
10,1708920000000,0.3589,0.3765,0.3564,0.3686,15959256.0,1708934399999
11,1708934400000,0.3686,0.3729,0.3568,0.3617,17848575.0,1708948799999
12,1708948800000,0.3617,0.369,0.3561,0.3676,12959427.0,1708963199999
13,1708963200000,0.3676,0.3704,0.3608,0.3684,14086157.0,1708977599999
14,1708977600000,0.3685,0.3703,0.3646,0.3665,7523459.0,1708991999999
15,1708992000000,0.3666,0.3756,0.3629,0.3688,12316477.0,1709006399999
16,1709006400000,0.3689,0.3752,0.3672,0.3729,10198980.0,1709020799999
17,1709020800000,0.373,0.4051,0.3722,0.4019,49114036.0,1709035199999
18,1709035200000,0.4018,0.4058,0.3885,0.3991,39665620.0,1709049599999
19,1709049600000,0.3992,0.4277,0.3905,0.4169,76431890.0,1709063999999
20,1709064000000,0.4169,0.431,0.415,0.4232,53770075.0,1709078399999
21,1709078400000,0.4231,0.4248,0.4078,0.4093,26105962.0,1709092799999
22,1709092800000,0.4091,0.4294,0.4064,0.4102,29365333.0,1709107199999
23,1709107200000,0.4103,0.417,0.3991,0.4063,32374251.0,1709121599999
24,1709121600000,0.4063,0.4344,0.4057,0.4228,48768215.0,1709135999999
25,1709136000000,0.4228,0.4285,0.3677,0.4143,69478424.0,1709150399999
26,1709150400000,0.4143,0.4158,0.4077,0.4098,16521651.0,1709164799999
27,1709164800000,0.4099,0.4215,0.4054,0.4201,15424560.0,1709179199999
28,1709179200000,0.4202,0.4307,0.4165,0.4307,15939396.0,1709193599999
29,1709193600000,0.4306,0.4683,0.4272,0.4541,49915707.0,1709207999999
30,1709208000000,0.454,0.4569,0.4364,0.4411,27855321.0,1709222399999
31,1709222400000,0.4412,0.4447,0.4275,0.4423,30783384.0,1709236799999
32,1709236800000,0.4423,0.4443,0.4131,0.4261,23630329.0,1709251199999
33,1709251200000,0.4263,0.441,0.425,0.4358,13492869.0,1709265599999
34,1709265600000,0.4357,0.4432,0.4304,0.4323,11957695.0,1709279999999
35,1709280000000,0.4324,0.4444,0.43,0.4354,12053668.0,1709294399999
36,1709294400000,0.4353,0.4767,0.4343,0.4614,59769881.0,1709308799999
37,1709308800000,0.4613,0.4693,0.4502,0.4682,18866279.0,1709323199999
38,1709323200000,0.4682,0.4687,0.4614,0.465,9329827.0,1709337599999
39,1709337600000,0.465,0.4688,0.454,0.4672,13122048.0,1709351999999
40,1709352000000,0.4672,0.4735,0.4558,0.4731,11496814.0,1709366399999
41,1709366400000,0.4732,0.4863,0.4607,0.4823,27213075.0,1709380799999
