,open_time,open,high,low,close,VOLUME,close_time
0,1708776000000,1.046,1.048,1.011,1.015,7352636.1,1708790399999
1,1708790400000,1.015,1.024,1.003,1.005,6008807.6,1708804799999
2,1708804800000,1.006,1.019,0.998,1.004,3825543.6,1708819199999
3,1708819200000,1.003,1.023,0.996,1.002,7438284.0,1708833599999
4,1708833600000,1.002,1.006,0.983,0.999,5336484.5,1708847999999
5,1708848000000,1.0,1.017,0.982,1.014,4933681.3,1708862399999
6,1708862400000,1.014,1.041,1.011,1.018,7003147.3,1708876799999
7,1708876800000,1.019,1.029,1.005,1.028,3523701.1,1708891199999
8,1708891200000,1.028,1.039,1.022,1.029,3125254.9,1708905599999
9,1708905600000,1.029,1.07,1.016,1.059,11174042.6,1708919999999
10,1708920000000,1.059,1.079,1.032,1.034,8893149.3,1708934399999
11,1708934400000,1.035,1.04,0.982,1.002,15393855.2,1708948799999
12,1708948800000,1.001,1.043,0.986,1.042,10197378.3,1708963199999
13,1708963200000,1.042,1.05,1.03,1.047,7447751.9,1708977599999
14,1708977600000,1.048,1.063,1.038,1.054,3366597.0,1708991999999
15,1708992000000,1.054,1.11,1.052,1.07,16198173.5,1709006399999
16,1709006400000,1.071,1.088,1.052,1.054,7867948.6,1709020799999
17,1709020800000,1.054,1.072,1.041,1.069,7795023.8,1709035199999
18,1709035200000,1.068,1.069,1.026,1.035,10140090.1,1709049599999
19,1709049600000,1.035,1.069,1.024,1.061,7596417.1,1709063999999
20,1709064000000,1.06,1.082,1.054,1.077,5053523.3,1709078399999
21,1709078400000,1.078,1.087,1.051,1.054,8768791.4,1709092799999
22,1709092800000,1.054,1.081,1.052,1.072,5308578.7,1709107199999
23,1709107200000,1.073,1.095,1.051,1.064,11582008.3,1709121599999
24,1709121600000,1.064,1.09,1.063,1.084,8838581.4,1709135999999
25,1709136000000,1.084,1.113,0.894,1.024,28898952.9,1709150399999
26,1709150400000,1.024,1.065,1.016,1.057,7784075.8,1709164799999
27,1709164800000,1.057,1.067,1.029,1.047,9934056.3,1709179199999
28,1709179200000,1.047,1.072,1.042,1.062,6806331.3,1709193599999
29,1709193600000,1.062,1.093,1.058,1.073,7789793.8,1709207999999
30,1709208000000,1.073,1.104,1.058,1.098,8117616.8,1709222399999
31,1709222400000,1.098,1.107,1.059,1.092,14945273.1,1709236799999
32,1709236800000,1.092,1.098,1.022,1.063,10249346.2,1709251199999
33,1709251200000,1.064,1.094,1.06,1.075,6932917.7,1709265599999
34,1709265600000,1.075,1.09,1.067,1.07,4168421.4,1709279999999
35,1709280000000,1.069,1.089,1.065,1.084,3594955.5,1709294399999
36,1709294400000,1.083,1.14,1.081,1.111,13696586.2,1709308799999
37,1709308800000,1.111,1.116,1.088,1.109,6858887.2,1709323199999
38,1709323200000,1.109,1.137,1.103,1.131,4305256.5,1709337599999
39,1709337600000,1.131,1.167,1.112,1.164,7940019.2,1709351999999
40,1709352000000,1.165,1.188,1.144,1.187,7348304.9,1709366399999
41,1709366400000,1.187,1.2,1.161,1.163,10158856.5,1709380799999
42,1709380800000,1.164,1.244,1.162,1.195,13662412.0,1709395199999
43,1709395200000,1.195,1.215,1.186,1.211,3979139.7,1709409599999
44,1709409600000,1.212,1.226,1.196,1.211,4107781.4,1709423999999
45,1709424000000,1.211,1.212,1.173,1.202,6995237.6,1709438399999
46,1709438400000,1.201,1.207,1.053,1.129,13398663.5,1709452799999
47,1709452800000,1.128,1.173,1.117,1.159,9276758.0,1709467199999
48,1709467200000,1.159,1.191,1.156,1.19,5480994.4,1709481599999
49,1709481600000,1.191,1.203,1.181,1.192,4222781.9,1709495999999
50,1709496000000,1.192,1.228,1.191,1.213,5977720.7,1709510399999
51,1709510400000,1.214,1.27,1.2,1.26,14132883.1,1709524799999
52,1709524800000,1.259,1.29,1.246,1.281,8447669.3,1709539199999
53,1709539200000,1.28,1.299,1.233,1.255,10177749.8,1709553599999
54,1709553600000,1.254,1.263,1.217,1.246,6884783.5,1709567999999
55,1709568000000,1.246,1.248,1.187,1.232,11424326.4,1709582399999
56,1709582400000,1.231,1.248,1.221,1.229,4345063.9,1709596799999
57,1709596800000,1.23,1.255,1.212,1.229,8324929.2,1709611199999
58,1709611200000,1.229,1.25,1.182,1.215,16913028.1,1709625599999
59,1709625600000,1.215,1.253,1.201,1.24,7212596.1,1709639999999
60,1709640000000,1.239,1.267,1.194,1.215,16747336.3,1709654399999
61,1709654400000,1.215,1.227,0.944,1.049,29803540.4,1709668799999
62,1709668800000,1.049,1.133,1.041,1.123,18036248.2,1709683199999
63,1709683200000,1.123,1.133,1.07,1.089,8191731.4,1709697599999
64,1709697600000,1.088,1.173,1.088,1.172,9410263.5,1709711999999
65,1709712000000,1.173,1.19,1.152,1.165,5858174.8,1709726399999
66,1709726400000,1.165,1.169,1.106,1.13,12480880.0,1709740799999
67,1709740800000,1.13,1.163,1.122,1.157,6401595.7,1709755199999
68,1709755200000,1.157,1.227,1.152,1.216,5801315.1,1709769599999
69,1709769600000,1.216,1.412,1.213,1.392,43376695.9,1709783999999
70,1709784000000,1.392,1.412,1.303,1.348,28476029.8,1709798399999
71,1709798400000,1.349,1.363,1.307,1.314,14863191.9,1709812799999
72,1709812800000,1.315,1.344,1.3,1.323,12284468.0,1709827199999
73,1709827200000,1.323,1.351,1.314,1.342,7211119.2,1709841599999
74,1709841600000,1.342,1.36,1.321,1.338,6951981.7,1709855999999
75,1709856000000,1.338,1.353,1.308,1.317,7951622.0,1709870399999
76,1709870400000,1.318,1.351,1.307,1.343,4876164.0,1709884799999
77,1709884800000,1.343,1.352,1.318,1.331,4808902.5,1709899199999
78,1709899200000,1.331,1.332,1.231,1.291,12928913.7,1709913599999
79,1709913600000,1.292,1.323,1.264,1.32,11318407.6,1709927999999
80,1709928000000,1.321,1.34,1.313,1.336,4081375.8,1709942399999
81,1709942400000,1.336,1.356,1.315,1.352,4316928.4,1709956799999
82,1709956800000,1.351,1.383,1.35,1.374,5247048.8,1709971199999
83,1709971200000,1.375,1.423,1.345,1.419,7303749.6,1709985599999
84,1709985600000,1.419,1.442,1.397,1.43,8001302.1,1709999999999
85,1710000000000,1.43,1.433,1.383,1.392,3961597.0,1710014399999
86,1710014400000,1.393,1.406,1.377,1.38,2380378.5,1710028799999
87,1710028800000,1.381,1.476,1.371,1.471,13087982.7,1710043199999
88,1710043200000,1.472,1.493,1.449,1.461,8828324.4,1710057599999
89,1710057600000,1.462,1.47,1.42,1.437,8186123.6,1710071999999
90,1710072000000,1.436,1.444,1.383,1.418,9322978.7,1710086399999
91,1710086400000,1.418,1.442,1.418,1.434,3695105.6,1710100799999
92,1710100800000,1.435,1.457,1.395,1.431,5904976.6,1710115199999
93,1710115200000,1.431,1.445,1.323,1.442,14092924.6,1710129599999
94,1710129600000,1.441,1.495,1.42,1.434,16175234.6,1710143999999
95,1710144000000,1.435,1.48,1.429,1.46,8120888.8,1710158399999
96,1710158400000,1.46,1.563,1.455,1.521,16866286.3,1710172799999
97,1710172800000,1.521,1.591,1.487,1.517,15584863.2,1710187199999
98,1710187200000,1.517,1.537,1.504,1.525,4599332.1,1710201599999
99,1710201600000,1.525,1.685,1.512,1.577,35051210.5,1710215999999
100,1710216000000,1.577,1.633,1.563,1.594,13777026.8,1710230399999
101,1710230400000,1.594,1.614,1.556,1.6,12619049.6,1710244799999
102,1710244800000,1.6,1.602,1.535,1.592,15139382.4,1710259199999
103,1710259200000,1.593,1.63,1.484,1.623,21730853.8,1710273599999
104,1710273600000,1.623,1.652,1.585,1.646,9350664.8,1710287999999
105,1710288000000,1.645,1.701,1.603,1.632,12697620.2,1710302399999
106,1710302400000,1.631,1.657,1.616,1.638,7082676.9,1710316799999
107,1710316800000,1.638,1.641,1.589,1.592,6652416.8,1710331199999
108,1710331200000,1.592,1.608,1.551,1.58,9354295.4,1710345599999
109,1710345600000,1.58,1.594,1.57,1.589,3592691.4,1710359999999
110,1710360000000,1.589,1.602,1.575,1.602,2982767.6,1710374399999
111,1710374400000,1.603,1.603,1.55,1.566,6075913.5,1710388799999
112,1710388800000,1.565,1.571,1.538,1.556,5238069.1,1710403199999
113,1710403200000,1.555,1.58,1.523,1.544,4801973.4,1710417599999
114,1710417600000,1.544,1.552,1.462,1.487,12467852.7,1710431999999
115,1710432000000,1.486,1.521,1.44,1.477,9906988.8,1710446399999
116,1710446400000,1.478,1.545,1.478,1.535,5004619.7,1710460799999
117,1710460800000,1.534,1.553,1.344,1.411,15018609.3,1710475199999
118,1710475200000,1.411,1.423,1.372,1.413,7628149.2,1710489599999
119,1710489600000,1.413,1.416,1.292,1.373,14551645.5,1710503999999
120,1710504000000,1.374,1.394,1.352,1.37,6703837.1,1710518399999
121,1710518400000,1.371,1.418,1.347,1.369,6799470.4,1710532799999
122,1710532800000,1.369,1.417,1.336,1.408,5776431.7,1710547199999
123,1710547200000,1.408,1.422,1.379,1.416,6416007.3,1710561599999
124,1710561600000,1.415,1.44,1.368,1.439,7790874.3,1710575999999
125,1710576000000,1.439,1.442,1.375,1.387,5727922.9,1710590399999
126,1710590400000,1.387,1.39,1.321,1.372,9115992.6,1710604799999
127,1710604800000,1.372,1.376,1.26,1.283,10843159.8,1710619199999
128,1710619200000,1.284,1.302,1.234,1.272,6427744.3,1710633599999
129,1710633600000,1.272,1.311,1.24,1.303,7546338.8,1710647999999
130,1710648000000,1.304,1.304,1.206,1.247,9394037.5,1710662399999
131,1710662400000,1.247,1.315,1.231,1.297,7525680.4,1710676799999
132,1710676800000,1.297,1.353,1.274,1.347,7611169.8,1710691199999
133,1710691200000,1.347,1.358,1.334,1.358,4397921.6,1710705599999
134,1710705600000,1.358,1.383,1.345,1.363,3174491.8,1710719999999
135,1710720000000,1.362,1.364,1.302,1.347,5502009.2,1710734399999
136,1710734400000,1.348,1.409,1.332,1.385,6934900.1,1710748799999
