,open_time,open,high,low,close,VOLUME,close_time
0,1708776000000,0.4121,0.4125,0.3912,0.3915,11357315.0,1708790399999
1,1708790400000,0.3916,0.3981,0.3883,0.3933,8174486.0,1708804799999
2,1708804800000,0.3934,0.3964,0.3909,0.393,2995673.0,1708819199999
3,1708819200000,0.393,0.3963,0.3785,0.3832,6204031.0,1708833599999
4,1708833600000,0.3832,0.3929,0.3795,0.3833,5083902.0,1708847999999
5,1708848000000,0.3832,0.3977,0.3816,0.3968,5248448.0,1708862399999
6,1708862400000,0.3969,0.3998,0.386,0.3906,5101720.0,1708876799999
7,1708876800000,0.3907,0.4189,0.3901,0.4141,10575748.0,1708891199999
8,1708891200000,0.414,0.417,0.4021,0.4068,5863300.0,1708905599999
9,1708905600000,0.4066,0.4187,0.4011,0.4165,4734648.0,1708919999999
10,1708920000000,0.4164,0.4306,0.4106,0.4119,9030686.0,1708934399999
11,1708934400000,0.4118,0.4152,0.3931,0.3984,12503776.0,1708948799999
12,1708948800000,0.3983,0.4259,0.3935,0.4206,11827633.0,1708963199999
13,1708963200000,0.4207,0.422,0.4091,0.413,8698186.0,1708977599999
14,1708977600000,0.413,0.4357,0.408,0.4335,11368966.0,1708991999999
15,1708992000000,0.4335,0.4368,0.4192,0.4208,7712920.0,1709006399999
16,1709006400000,0.4208,0.4289,0.4184,0.4228,5972718.0,1709020799999
17,1709020800000,0.4227,0.4315,0.4222,0.4267,4302852.0,1709035199999
18,1709035200000,0.4265,0.4265,0.4074,0.4092,6767063.0,1709049599999
19,1709049600000,0.4092,0.4161,0.4023,0.4112,6145035.0,1709063999999
20,1709064000000,0.4113,0.4209,0.4074,0.4167,3996951.0,1709078399999
21,1709078400000,0.4167,0.4266,0.4141,0.4213,3290336.0,1709092799999
22,1709092800000,0.4212,0.4223,0.4134,0.4192,3244860.0,1709107199999
23,1709107200000,0.4192,0.4239,0.4033,0.4085,10140107.0,1709121599999
24,1709121600000,0.4082,0.4183,0.4081,0.4154,7770160.0,1709135999999
25,1709136000000,0.4155,0.4284,0.3599,0.3974,27631825.0,1709150399999
26,1709150400000,0.3973,0.4084,0.3927,0.4063,4276255.0,1709164799999
27,1709164800000,0.4062,0.4183,0.4024,0.4088,4017140.0,1709179199999
28,1709179200000,0.4089,0.4313,0.4059,0.4243,7897407.0,1709193599999
29,1709193600000,0.4239,0.4348,0.418,0.4331,8897966.0,1709207999999
30,1709208000000,0.4331,0.4716,0.4252,0.4535,29817449.0,1709222399999
31,1709222400000,0.4536,0.4554,0.4379,0.4528,10279221.0,1709236799999
32,1709236800000,0.4528,0.47,0.4131,0.4256,24768856.0,1709251199999
33,1709251200000,0.4256,0.431,0.42,0.4239,6877592.0,1709265599999
34,1709265600000,0.424,0.4328,0.422,0.4229,5525614.0,1709279999999
35,1709280000000,0.4229,0.4312,0.4209,0.4255,6179632.0,1709294399999
36,1709294400000,0.4253,0.4568,0.4243,0.4375,17004401.0,1709308799999
37,1709308800000,0.4374,0.4495,0.4332,0.4482,9105610.0,1709323199999
38,1709323200000,0.4483,0.4608,0.4435,0.4531,11048457.0,1709337599999
39,1709337600000,0.4532,0.4649,0.4487,0.464,6128239.0,1709351999999
40,1709352000000,0.4639,0.4663,0.452,0.466,6802778.0,1709366399999
41,1709366400000,0.4661,0.4818,0.4533,0.4633,19361378.0,1709380799999
42,1709380800000,0.4632,0.4822,0.4625,0.4741,9891720.0,1709395199999
43,1709395200000,0.4741,0.476,0.4683,0.4717,4770253.0,1709409599999
44,1709409600000,0.4717,0.4959,0.4656,0.4844,7142106.0,1709423999999
45,1709424000000,0.4844,0.486,0.4771,0.483,6948060.0,1709438399999
46,1709438400000,0.483,0.4863,0.4106,0.4559,14880963.0,1709452799999
47,1709452800000,0.4558,0.4837,0.4512,0.4793,15558363.0,1709467199999
48,1709467200000,0.4794,0.544,0.4785,0.5161,32085623.0,1709481599999
49,1709481600000,0.5161,0.5171,0.4919,0.5097,21254528.0,1709495999999
50,1709496000000,0.5097,0.5124,0.494,0.5095,6902641.0,1709510399999
51,1709510400000,0.5096,0.5224,0.4912,0.4931,13606323.0,1709524799999
52,1709524800000,0.4932,0.5081,0.4886,0.4948,10326845.0,1709539199999
53,1709539200000,0.4947,0.5032,0.4882,0.4978,9775579.0,1709553599999
54,1709553600000,0.4976,0.5035,0.483,0.4852,9756962.0,1709567999999
55,1709568000000,0.485,0.486,0.4543,0.4762,17604891.0,1709582399999
56,1709582400000,0.4763,0.4935,0.4677,0.4762,14012390.0,1709596799999
57,1709596800000,0.4764,0.4765,0.4532,0.4618,9302998.0,1709611199999
58,1709611200000,0.4617,0.48,0.4578,0.4666,14214662.0,1709625599999
59,1709625600000,0.4666,0.48,0.4628,0.4724,8509230.0,1709639999999
60,1709640000000,0.4724,0.4789,0.4562,0.4634,13498383.0,1709654399999
61,1709654400000,0.4633,0.4675,0.35,0.3953,31383543.0,1709668799999
62,1709668800000,0.3961,0.437,0.395,0.433,19496300.0,1709683199999
63,1709683200000,0.4329,0.4365,0.4111,0.4195,5342918.0,1709697599999
64,1709697600000,0.4195,0.4513,0.4194,0.4512,6500584.0,1709711999999
65,1709712000000,0.4512,0.4587,0.4359,0.4458,8523997.0,1709726399999
66,1709726400000,0.4459,0.4671,0.429,0.4434,23792594.0,1709740799999
67,1709740800000,0.4434,0.463,0.4405,0.4564,9215044.0,1709755199999
68,1709755200000,0.4564,0.4637,0.4522,0.4579,4218532.0,1709769599999
69,1709769600000,0.4581,0.4692,0.4533,0.4596,6248198.0,1709783999999
70,1709784000000,0.4596,0.4734,0.4531,0.4728,6148487.0,1709798399999
71,1709798400000,0.4727,0.4917,0.469,0.4879,9190319.0,1709812799999
72,1709812800000,0.4879,0.488,0.4681,0.4739,9617226.0,1709827199999
73,1709827200000,0.474,0.4878,0.4728,0.4873,5949819.0,1709841599999
74,1709841600000,0.4873,0.4968,0.485,0.4902,4942772.0,1709855999999
75,1709856000000,0.4901,0.4991,0.4841,0.4857,4292455.0,1709870399999
76,1709870400000,0.4857,0.4902,0.4764,0.4775,5159880.0,1709884799999
77,1709884800000,0.4775,0.4823,0.4725,0.4762,4810859.0,1709899199999
78,1709899200000,0.4762,0.4821,0.439,0.4622,9493526.0,1709913599999
79,1709913600000,0.4622,0.4847,0.4526,0.4799,10770682.0,1709927999999
80,1709928000000,0.4801,0.4833,0.4765,0.4803,2874928.0,1709942399999
81,1709942400000,0.4802,0.4972,0.4788,0.4925,3106381.0,1709956799999
82,1709956800000,0.4926,0.5092,0.4912,0.498,4497370.0,1709971199999
83,1709971200000,0.4981,0.5162,0.498,0.5075,6503628.0,1709985599999
84,1709985600000,0.5075,0.5099,0.4988,0.5057,4472204.0,1709999999999
85,1710000000000,0.5057,0.5074,0.4866,0.488,6774197.0,1710014399999
86,1710014400000,0.4878,0.4905,0.483,0.4865,3267646.0,1710028799999
87,1710028800000,0.4866,0.4931,0.4804,0.4857,3976157.0,1710043199999
88,1710043200000,0.4857,0.5068,0.4843,0.5036,4286884.0,1710057599999
89,1710057600000,0.5036,0.5088,0.4843,0.4865,5369163.0,1710071999999
90,1710072000000,0.4865,0.4874,0.4635,0.4773,7519258.0,1710086399999
91,1710086400000,0.4773,0.4947,0.476,0.4936,5116515.0,1710100799999
92,1710100800000,0.4934,0.5161,0.478,0.5032,14795866.0,1710115199999
93,1710115200000,0.5032,0.5093,0.474,0.5046,11558818.0,1710129599999
94,1710129600000,0.5044,0.5184,0.4975,0.5075,8687206.0,1710143999999
95,1710144000000,0.5076,0.5325,0.5072,0.5128,12356835.0,1710158399999
96,1710158400000,0.5128,0.5206,0.4967,0.4969,8633414.0,1710172799999
97,1710172800000,0.4969,0.5018,0.4906,0.4944,6829097.0,1710187199999
98,1710187200000,0.4944,0.5032,0.4922,0.5007,3969918.0,1710201599999
99,1710201600000,0.5007,0.5208,0.4992,0.5054,5743806.0,1710215999999
100,1710216000000,0.5052,0.513,0.4903,0.4947,5158357.0,1710230399999
101,1710230400000,0.4944,0.5006,0.4763,0.4888,6753678.0,1710244799999
102,1710244800000,0.4887,0.5052,0.4812,0.5016,9166607.0,1710259199999
103,1710259200000,0.5017,0.5098,0.4684,0.5057,13938516.0,1710273599999
104,1710273600000,0.5056,0.527,0.5001,0.5169,9657583.0,1710287999999
105,1710288000000,0.517,0.5342,0.5082,0.5234,7241979.0,1710302399999
106,1710302400000,0.5234,0.5238,0.5026,0.5067,8344979.0,1710316799999
107,1710316800000,0.5067,0.5126,0.5001,0.5098,5761698.0,1710331199999
108,1710331200000,0.5098,0.5115,0.4904,0.4985,8593154.0,1710345599999
109,1710345600000,0.4985,0.5369,0.4982,0.5176,20719683.0,1710359999999
110,1710360000000,0.5177,0.5196,0.5092,0.5183,4488114.0,1710374399999
111,1710374400000,0.5183,0.5515,0.5158,0.5278,15618831.0,1710388799999
112,1710388800000,0.528,0.5287,0.5111,0.519,6517797.0,1710403199999
113,1710403200000,0.5191,0.5229,0.5058,0.5107,5992694.0,1710417599999
114,1710417600000,0.5108,0.5148,0.4829,0.486,14241373.0,1710431999999
115,1710432000000,0.4859,0.5005,0.4664,0.4798,11090964.0,1710446399999
116,1710446400000,0.48,0.5092,0.4796,0.5046,5762654.0,1710460799999
117,1710460800000,0.5047,0.5122,0.4515,0.4789,10705740.0,1710475199999
118,1710475200000,0.4788,0.4835,0.4653,0.4793,7041423.0,1710489599999
119,1710489600000,0.4793,0.4802,0.4121,0.4587,30932427.0,1710503999999
120,1710504000000,0.4587,0.4753,0.4541,0.4665,8700435.0,1710518399999
121,1710518400000,0.4665,0.4868,0.4605,0.4712,8167882.0,1710532799999
122,1710532800000,0.4713,0.4784,0.4563,0.4755,4451129.0,1710547199999
123,1710547200000,0.4755,0.4786,0.4717,0.4778,3106212.0,1710561599999
124,1710561600000,0.4777,0.4862,0.4647,0.4854,4769794.0,1710575999999
125,1710576000000,0.4854,0.4879,0.4612,0.4646,4797985.0,1710590399999
126,1710590400000,0.4645,0.4656,0.435,0.4488,10789386.0,1710604799999
127,1710604800000,0.4488,0.4499,0.4128,0.4293,14067488.0,1710619199999
128,1710619200000,0.4293,0.4321,0.4119,0.4244,7335873.0,1710633599999
129,1710633600000,0.4243,0.437,0.4169,0.4362,4354337.0,1710647999999
130,1710648000000,0.4363,0.4365,0.4025,0.4168,6122014.0,1710662399999
131,1710662400000,0.4169,0.4349,0.4137,0.4275,5044024.0,1710676799999
132,1710676800000,0.4277,0.4392,0.4176,0.4365,5725214.0,1710691199999
133,1710691200000,0.4365,0.4409,0.4331,0.4392,3395528.0,1710705599999
