,open_time,open,high,low,close,VOLUME,close_time
0,1708776000000,0.6586,0.6657,0.6534,0.6543,3015374.0,1708790399999
1,1708790400000,0.6544,0.6609,0.6537,0.6569,2935766.0,1708804799999
2,1708804800000,0.6569,0.6609,0.6532,0.6592,2128478.0,1708819199999
3,1708819200000,0.6594,0.6849,0.6543,0.6723,12119082.0,1708833599999
4,1708833600000,0.6722,0.6745,0.6643,0.6689,2853910.0,1708847999999
5,1708848000000,0.6688,0.6813,0.6649,0.6795,3533301.0,1708862399999
6,1708862400000,0.6794,0.6984,0.675,0.6817,5660953.0,1708876799999
7,1708876800000,0.6814,0.6982,0.6783,0.6912,5340633.0,1708891199999
8,1708891200000,0.6911,0.7047,0.6863,0.6931,5900705.0,1708905599999
9,1708905600000,0.6932,0.6987,0.6704,0.6779,4962137.0,1708919999999
10,1708920000000,0.6779,0.6808,0.6704,0.6708,2573375.0,1708934399999
11,1708934400000,0.6708,0.6758,0.6521,0.667,4785466.0,1708948799999
12,1708948800000,0.6671,0.6809,0.6605,0.6809,2980431.0,1708963199999
13,1708963200000,0.6809,0.6844,0.6724,0.6813,4096798.0,1708977599999
14,1708977600000,0.6813,0.687,0.674,0.6855,3107465.0,1708991999999
15,1708992000000,0.6855,0.6892,0.6702,0.6715,5189002.0,1709006399999
16,1709006400000,0.6716,0.6805,0.6666,0.6707,3185513.0,1709020799999
17,1709020800000,0.6706,0.6798,0.6699,0.6771,2744522.0,1709035199999
18,1709035200000,0.6771,0.6771,0.6575,0.6607,5499255.0,1709049599999
19,1709049600000,0.6608,0.6714,0.654,0.6682,3735945.0,1709063999999
20,1709064000000,0.6684,0.6718,0.6646,0.6698,2086031.0,1709078399999
21,1709078400000,0.6698,0.6877,0.6698,0.6745,7475481.0,1709092799999
22,1709092800000,0.6745,0.6809,0.6738,0.6766,2132543.0,1709107199999
23,1709107200000,0.6768,0.6785,0.6577,0.6652,7006108.0,1709121599999
24,1709121600000,0.6653,0.685,0.6649,0.6778,7532688.0,1709135999999
25,1709136000000,0.6777,0.688,0.6105,0.6401,19730008.0,1709150399999
26,1709150400000,0.6401,0.6612,0.6355,0.661,3105530.0,1709164799999
27,1709164800000,0.661,0.663,0.6494,0.6579,4871945.0,1709179199999
28,1709179200000,0.658,0.672,0.656,0.6709,5476303.0,1709193599999
29,1709193600000,0.6709,0.686,0.6693,0.6819,7535622.0,1709207999999
30,1709208000000,0.6818,0.7041,0.675,0.6971,8423887.0,1709222399999
31,1709222400000,0.6972,0.7029,0.6751,0.6961,10788643.0,1709236799999
32,1709236800000,0.6962,0.7037,0.6711,0.7001,11312602.0,1709251199999
33,1709251200000,0.7002,0.7228,0.6939,0.7174,9389989.0,1709265599999
34,1709265600000,0.7175,0.752,0.7156,0.7202,13210700.0,1709279999999
35,1709280000000,0.72,0.7392,0.7161,0.7375,5815159.0,1709294399999
36,1709294400000,0.7374,0.7441,0.7187,0.7227,7587911.0,1709308799999
37,1709308800000,0.7228,0.7367,0.7204,0.734,4580938.0,1709323199999
38,1709323200000,0.734,0.7429,0.7326,0.7415,2831390.0,1709337599999
39,1709337600000,0.7416,0.7438,0.7215,0.7347,5509080.0,1709351999999
40,1709352000000,0.7348,0.7402,0.7257,0.7371,4151256.0,1709366399999
41,1709366400000,0.7371,0.7502,0.7255,0.7461,8278022.0,1709380799999
42,1709380800000,0.7462,0.7726,0.7357,0.7459,10180029.0,1709395199999
43,1709395200000,0.7461,0.7563,0.743,0.751,3805849.0,1709409599999
44,1709409600000,0.7511,0.7757,0.7442,0.7694,3315914.0,1709423999999
45,1709424000000,0.7694,0.7695,0.7441,0.7552,5996117.0,1709438399999
46,1709438400000,0.7553,0.7585,0.6437,0.7073,12527318.0,1709452799999
47,1709452800000,0.7074,0.7325,0.6978,0.7297,6207049.0,1709467199999
48,1709467200000,0.7296,0.7375,0.7255,0.7363,5620874.0,1709481599999
49,1709481600000,0.7363,0.7412,0.7315,0.7351,2880262.0,1709495999999
50,1709496000000,0.7353,0.7408,0.73,0.7354,2281546.0,1709510399999
51,1709510400000,0.7355,0.7674,0.7209,0.7505,11602672.0,1709524799999
52,1709524800000,0.7503,0.7651,0.7466,0.7603,3391195.0,1709539199999
53,1709539200000,0.7605,0.7659,0.7454,0.7573,5156985.0,1709553599999
54,1709553600000,0.7574,0.7696,0.746,0.7627,5747742.0,1709567999999
55,1709568000000,0.7625,0.7639,0.7311,0.7528,7865665.0,1709582399999
56,1709582400000,0.753,0.7689,0.7485,0.7611,4044821.0,1709596799999
57,1709596800000,0.7613,0.7712,0.7249,0.7305,7352643.0,1709611199999
58,1709611200000,0.7306,0.7613,0.701,0.7458,10997902.0,1709625599999
59,1709625600000,0.7459,0.7858,0.7385,0.775,7615868.0,1709639999999
60,1709640000000,0.7752,0.8131,0.7512,0.7658,17987791.0,1709654399999
61,1709654400000,0.7657,0.7761,0.5758,0.6543,22745983.0,1709668799999
62,1709668800000,0.6543,0.707,0.6457,0.7021,12471372.0,1709683199999
63,1709683200000,0.7022,0.7058,0.6664,0.6822,5660950.0,1709697599999
64,1709697600000,0.6822,0.7203,0.6822,0.7175,6070066.0,1709711999999
65,1709712000000,0.7175,0.7247,0.7012,0.7155,4382848.0,1709726399999
66,1709726400000,0.7152,0.7179,0.687,0.7074,6371448.0,1709740799999
67,1709740800000,0.7075,0.7184,0.7026,0.7136,3446981.0,1709755199999
68,1709755200000,0.7136,0.7327,0.711,0.7327,2393419.0,1709769599999
69,1709769600000,0.7327,0.754,0.724,0.7422,5111260.0,1709783999999
70,1709784000000,0.7429,0.753,0.7319,0.7466,5043860.0,1709798399999
71,1709798400000,0.7464,0.7716,0.7458,0.7709,5141074.0,1709812799999
72,1709812800000,0.7708,0.7708,0.7469,0.7622,6171849.0,1709827199999
73,1709827200000,0.7622,0.7791,0.7576,0.7756,3233937.0,1709841599999
74,1709841600000,0.7756,0.7815,0.7694,0.779,2723252.0,1709855999999
75,1709856000000,0.7791,0.7832,0.761,0.7705,3466481.0,1709870399999
76,1709870400000,0.7704,0.7772,0.7627,0.7722,2608091.0,1709884799999
77,1709884800000,0.7722,0.7967,0.768,0.7962,3883613.0,1709899199999
78,1709899200000,0.796,0.7962,0.7117,0.7535,8757685.0,1709913599999
79,1709913600000,0.7539,0.7776,0.737,0.7738,7616337.0,1709927999999
80,1709928000000,0.7739,0.789,0.7693,0.7884,2994312.0,1709942399999
81,1709942400000,0.7884,0.8148,0.7732,0.7846,7131878.0,1709956799999
82,1709956800000,0.7847,0.8165,0.7843,0.8126,6831589.0,1709971199999
83,1709971200000,0.8123,0.8164,0.7834,0.8031,5408926.0,1709985599999
84,1709985600000,0.8029,0.8138,0.7969,0.804,4028256.0,1709999999999
85,1710000000000,0.804,0.8058,0.7938,0.7996,2943386.0,1710014399999
86,1710014400000,0.7997,0.8067,0.7974,0.8064,2474069.0,1710028799999
87,1710028800000,0.8062,0.8115,0.7869,0.7998,4400825.0,1710043199999
88,1710043200000,0.7998,0.808,0.798,0.8058,1816336.0,1710057599999
89,1710057600000,0.806,0.8084,0.7851,0.792,3247917.0,1710071999999
90,1710072000000,0.7919,0.7943,0.76,0.7793,5284584.0,1710086399999
91,1710086400000,0.7793,0.795,0.7788,0.7924,1844958.0,1710100799999
92,1710100800000,0.7924,0.7934,0.7655,0.791,2443399.0,1710115199999
93,1710115200000,0.791,0.7925,0.7272,0.7776,8004665.0,1710129599999
94,1710129600000,0.7776,0.8199,0.776,0.8016,10750170.0,1710143999999
95,1710144000000,0.8017,0.8396,0.8016,0.8294,7348579.0,1710158399999
96,1710158400000,0.8293,0.8773,0.8279,0.8454,12746330.0,1710172799999
97,1710172800000,0.8454,0.8568,0.8256,0.8538,6342451.0,1710187199999
98,1710187200000,0.8539,0.8894,0.8514,0.8738,7725725.0,1710201599999
99,1710201600000,0.8741,0.8767,0.8428,0.8444,6853830.0,1710215999999
100,1710216000000,0.8446,0.8558,0.8355,0.8497,6095376.0,1710230399999
101,1710230400000,0.8497,0.8533,0.8217,0.8276,7430296.0,1710244799999
102,1710244800000,0.8276,0.9791,0.8131,0.9586,67627254.0,1710259199999
103,1710259200000,0.9588,1.1487,0.9332,1.1402,150174094.0,1710273599999
104,1710273600000,1.14,1.2713,1.1214,1.2382,146302654.0,1710287999999
105,1710288000000,1.2381,1.3541,1.1167,1.1764,212032079.0,1710302399999
106,1710302400000,1.1763,1.2332,1.1726,1.2033,72345968.0,1710316799999
107,1710316800000,1.2031,1.3686,1.1764,1.3325,153592415.0,1710331199999
108,1710331200000,1.3324,1.3585,1.2219,1.2241,196313227.0,1710345599999
109,1710345600000,1.2242,1.2783,1.2199,1.258,51848621.0,1710359999999
110,1710360000000,1.2581,1.2865,1.2426,1.2686,26339488.0,1710374399999
111,1710374400000,1.2686,1.3062,1.2263,1.2332,44355802.0,1710388799999
112,1710388800000,1.2334,1.2453,1.1954,1.2292,26086528.0,1710403199999
113,1710403200000,1.2292,1.2306,1.1914,1.2004,17172202.0,1710417599999
114,1710417600000,1.2005,1.2044,1.1256,1.1282,38240431.0,1710431999999
115,1710432000000,1.1283,1.1359,1.0638,1.0815,34725098.0,1710446399999
116,1710446400000,1.0814,1.1568,1.08,1.1482,18460739.0,1710460799999
117,1710460800000,1.1483,1.1531,1.01,1.0503,36852475.0,1710475199999
118,1710475200000,1.0503,1.057,1.018,1.0381,21421519.0,1710489599999
119,1710489600000,1.0382,1.04,0.9493,0.9902,34495534.0,1710503999999
120,1710504000000,0.9901,1.0073,0.974,0.9903,18604955.0,1710518399999
121,1710518400000,0.9903,1.021,0.9799,0.9885,16900665.0,1710532799999
122,1710532800000,0.9884,1.0131,0.9656,1.0108,10445831.0,1710547199999
123,1710547200000,1.0107,1.0123,0.9769,0.9945,11940031.0,1710561599999
124,1710561600000,0.9945,0.9974,0.9652,0.9953,8181417.0,1710575999999
125,1710576000000,0.9953,0.9954,0.9586,0.9773,9497163.0,1710590399999
126,1710590400000,0.9774,0.999,0.9334,0.961,19753445.0,1710604799999
127,1710604800000,0.961,0.966,0.8887,0.9113,18032274.0,1710619199999
128,1710619200000,0.9112,0.9227,0.8854,0.9083,11267526.0,1710633599999
129,1710633600000,0.9083,0.917,0.8671,0.9133,15495435.0,1710647999999
130,1710648000000,0.9133,0.9137,0.8435,0.8693,12617547.0,1710662399999
131,1710662400000,0.8691,0.9099,0.8662,0.8963,7693685.0,1710676799999
132,1710676800000,0.8962,0.924,0.8809,0.9209,9895529.0,1710691199999
133,1710691200000,0.9208,0.9258,0.9106,0.9217,4725455.0,1710705599999
134,1710705600000,0.9218,0.9381,0.9146,0.9278,4517182.0,1710719999999
135,1710720000000,0.9279,0.9279,0.8821,0.9134,7389290.0,1710734399999
136,1710734400000,0.9133,0.9771,0.903,0.9582,17541248.0,1710748799999
137,1710748800000,0.9582,0.9593,0.9213,0.9406,16289846.0,1710763199999
138,1710763200000,0.9407,0.946,0.898,0.9312,15852967.0,1710777599999
139,1710777600000,0.931,0.9498,0.9039,0.9237,19507540.0,1710791999999
140,1710792000000,0.9239,0.9573,0.9225,0.9443,10559304.0,1710806399999
141,1710806400000,0.944,0.946,0.8529,0.8736,17538632.0,1710820799999
142,1710820800000,0.8735,0.8894,0.8132,0.8565,14536615.0,1710835199999
143,1710835200000,0.8566,0.874,0.8222,0.8727,17697520.0,1710849599999
144,1710849600000,0.8726,0.8856,0.855,0.8845,8111398.0,1710863999999
145,1710864000000,0.8845,0.8969,0.8801,0.8877,4848963.0,1710878399999
146,1710878400000,0.8878,0.8897,0.8199,0.8396,7100019.0,1710892799999
147,1710892800000,0.8395,0.8627,0.8208,0.8342,7315614.0,1710907199999
148,1710907200000,0.8344,0.8571,0.7951,0.8534,11252646.0,1710921599999
149,1710921600000,0.8532,0.891,0.8453,0.886,7794825.0,1710935999999
150,1710936000000,0.886,0.9096,0.8594,0.8637,12308666.0,1710950399999
151,1710950400000,0.8635,0.9079,0.829,0.9044,8363834.0,1710964799999
152,1710964800000,0.9044,0.9311,0.9018,0.928,6661435.0,1710979199999
153,1710979200000,0.928,1.0682,0.9196,1.0551,38861127.0,1710993599999
154,1710993600000,1.0552,1.1435,1.0015,1.0509,70620053.0,1711007999999
155,1711008000000,1.0509,1.119,1.01,1.0862,52110915.0,1711022399999
156,1711022400000,1.086,1.13,1.06,1.0689,36527959.0,1711036799999
157,1711036800000,1.069,1.0899,1.0514,1.0685,21627694.0,1711051199999
158,1711051200000,1.068,1.0979,1.0456,1.0643,17474538.0,1711065599999
159,1711065600000,1.0643,1.0679,1.0133,1.0487,24313807.0,1711079999999
160,1711080000000,1.0487,1.0573,1.0234,1.028,9135450.0,1711094399999
161,1711094400000,1.028,1.038,0.9821,0.9869,12548293.0,1711108799999
162,1711108800000,0.9867,0.9996,0.9407,0.9776,19149807.0,1711123199999
163,1711123200000,0.9777,1.0658,0.9518,1.0478,25969569.0,1711137599999
164,1711137600000,1.0477,1.051,1.0069,1.0504,15072711.0,1711151999999
165,1711152000000,1.0503,1.0839,1.0115,1.0751,18245499.0,1711166399999
166,1711166400000,1.0753,1.1363,1.0455,1.136,31015881.0,1711180799999
167,1711180800000,1.1359,1.1603,1.0961,1.1083,32812288.0,1711195199999
168,1711195200000,1.1083,1.1462,1.0914,1.1429,21719215.0,1711209599999
169,1711209600000,1.1431,1.1674,1.1055,1.1263,20063415.0,1711223999999
170,1711224000000,1.1263,1.1341,1.1053,1.1103,10625524.0,1711238399999
171,1711238400000,1.1104,1.1196,1.0677,1.0678,11292344.0,1711252799999
172,1711252800000,1.0679,1.1138,1.0589,1.0917,14500860.0,1711267199999
173,1711267200000,1.0916,1.1138,1.0891,1.0945,8270728.0,1711281599999
174,1711281600000,1.0944,1.1992,1.0864,1.1612,31287774.0,1711295999999
175,1711296000000,1.1609,1.1966,1.1192,1.1818,33532736.0,1711310399999
176,1711310400000,1.1818,1.1874,1.1477,1.1511,8801392.0,1711324799999
177,1711324800000,1.1511,1.2015,1.1283,1.199,17938034.0,1711339199999
178,1711339200000,1.199,1.2017,1.162,1.1673,13657732.0,1711353599999
179,1711353600000,1.1672,1.1841,1.1663,1.1785,1561307.0,1711367999999
