,open_time,open,high,low,close,VOLUME,close_time
0,1708776000000,0.228,0.2321,0.227,0.2314,10330844.0,1708790399999
1,1708790400000,0.2315,0.235,0.2313,0.2342,11730970.1,1708804799999
2,1708804800000,0.2342,0.2357,0.2318,0.2334,5710238.7,1708819199999
3,1708819200000,0.2334,0.2358,0.2279,0.2293,8599931.3,1708833599999
4,1708833600000,0.2293,0.2319,0.2275,0.2283,9114146.5,1708847999999
5,1708848000000,0.2283,0.2289,0.2257,0.2283,6288405.7,1708862399999
6,1708862400000,0.2284,0.2294,0.2271,0.2283,4369718.8,1708876799999
7,1708876800000,0.2283,0.2304,0.2271,0.2298,3854428.9,1708891199999
8,1708891200000,0.2297,0.2313,0.2272,0.2282,3675080.1,1708905599999
9,1708905600000,0.2283,0.2286,0.2262,0.2273,6005638.7,1708919999999
10,1708920000000,0.2273,0.2273,0.2243,0.2247,5121942.2,1708934399999
11,1708934400000,0.2246,0.2256,0.2203,0.2221,11626720.6,1708948799999
12,1708948800000,0.2222,0.2308,0.2206,0.2299,12703073.4,1708963199999
13,1708963200000,0.23,0.2331,0.2291,0.2323,12998658.8,1708977599999
14,1708977600000,0.2323,0.2348,0.2308,0.2322,7419963.3,1708991999999
15,1708992000000,0.2322,0.2358,0.2302,0.2308,10752612.9,1709006399999
16,1709006400000,0.2308,0.2342,0.2307,0.2321,8205067.4,1709020799999
17,1709020800000,0.232,0.2351,0.2319,0.2336,6433074.7,1709035199999
18,1709035200000,0.2336,0.2514,0.2288,0.2301,68164545.9,1709049599999
19,1709049600000,0.2302,0.231,0.2254,0.23,18661327.6,1709063999999
20,1709064000000,0.2301,0.2333,0.2293,0.2331,6568779.6,1709078399999
21,1709078400000,0.2331,0.2336,0.2298,0.2302,10436197.8,1709092799999
22,1709092800000,0.2302,0.236,0.23,0.2357,7175691.3,1709107199999
23,1709107200000,0.2356,0.2397,0.2315,0.2344,24652117.9,1709121599999
24,1709121600000,0.2344,0.2462,0.2329,0.2459,40824688.7,1709135999999
25,1709136000000,0.2459,0.2553,0.2123,0.2328,78661829.8,1709150399999
26,1709150400000,0.2328,0.2412,0.2303,0.2409,14252658.2,1709164799999
27,1709164800000,0.2409,0.2432,0.2369,0.2416,13231197.4,1709179199999
28,1709179200000,0.2415,0.2507,0.2408,0.2506,17151522.3,1709193599999
29,1709193600000,0.2506,0.2622,0.2492,0.2509,53605295.2,1709207999999
30,1709208000000,0.2508,0.2566,0.2477,0.2555,22702189.4,1709222399999
31,1709222400000,0.2555,0.2573,0.2453,0.251,19555817.1,1709236799999
32,1709236800000,0.251,0.2527,0.2386,0.2469,14944461.4,1709251199999
33,1709251200000,0.2469,0.2545,0.2469,0.2533,12585890.4,1709265599999
34,1709265600000,0.2534,0.256,0.2497,0.2502,11935000.6,1709279999999
35,1709280000000,0.2502,0.2588,0.2497,0.2576,12131914.0,1709294399999
36,1709294400000,0.2576,0.2585,0.2522,0.2537,13442633.7,1709308799999
37,1709308800000,0.2537,0.2617,0.2536,0.2597,22188117.7,1709323199999
38,1709323200000,0.2598,0.279,0.2583,0.2785,16764614.7,1709337599999
39,1709337600000,0.2785,0.2865,0.2726,0.2811,39713250.5,1709351999999
40,1709352000000,0.2811,0.2975,0.2775,0.297,22442716.2,1709366399999
41,1709366400000,0.2971,0.3096,0.2903,0.3036,41454411.7,1709380799999
42,1709380800000,0.3036,0.3088,0.2918,0.2966,36973604.3,1709395199999
43,1709395200000,0.2967,0.306,0.2922,0.2993,21712462.1,1709409599999
44,1709409600000,0.2992,0.3102,0.2969,0.3102,16879997.9,1709423999999
45,1709424000000,0.3101,0.317,0.2954,0.3023,31926981.0,1709438399999
46,1709438400000,0.3023,0.3058,0.2792,0.3008,51887181.1,1709452799999
47,1709452800000,0.3009,0.3188,0.2953,0.3099,45586812.7,1709467199999
48,1709467200000,0.3098,0.3145,0.302,0.3033,13434441.0,1709481599999
49,1709481600000,0.3033,0.3091,0.2998,0.3082,11382063.4,1709495999999
50,1709496000000,0.3082,0.3251,0.3064,0.3195,16847811.9,1709510399999
51,1709510400000,0.3199,0.322,0.3071,0.3074,21063266.6,1709524799999
52,1709524800000,0.3074,0.3138,0.3054,0.3087,11890589.3,1709539199999
53,1709539200000,0.3088,0.3188,0.3062,0.3115,19242294.6,1709553599999
54,1709553600000,0.3114,0.3123,0.3051,0.3084,16682306.5,1709567999999
55,1709568000000,0.3083,0.3099,0.2972,0.3085,21051370.1,1709582399999
56,1709582400000,0.3085,0.3104,0.306,0.3079,8187146.3,1709596799999
57,1709596800000,0.308,0.3097,0.3011,0.3067,15063507.9,1709611199999
58,1709611200000,0.3067,0.3094,0.295,0.298,24754355.0,1709625599999
59,1709625600000,0.298,0.2998,0.2954,0.2959,11143167.3,1709639999999
60,1709640000000,0.2958,0.2991,0.2857,0.2905,26105650.8,1709654399999
61,1709654400000,0.2905,0.2928,0.215,0.2472,63117829.4,1709668799999
62,1709668800000,0.2474,0.2665,0.242,0.2654,48168263.0,1709683199999
63,1709683200000,0.2653,0.2698,0.2533,0.2603,18506075.1,1709697599999
64,1709697600000,0.2604,0.2766,0.2599,0.2762,16728069.7,1709711999999
65,1709712000000,0.2762,0.2796,0.2706,0.2728,14020277.1,1709726399999
66,1709726400000,0.2727,0.2738,0.2616,0.27,20934291.0,1709740799999
67,1709740800000,0.27,0.2743,0.2678,0.2728,7931721.6,1709755199999
68,1709755200000,0.2728,0.2825,0.2704,0.2817,8768106.7,1709769599999
69,1709769600000,0.2817,0.2908,0.2794,0.2808,23427863.8,1709783999999
70,1709784000000,0.2808,0.2832,0.2742,0.2816,11606781.8,1709798399999
71,1709798400000,0.2816,0.2844,0.2789,0.2798,7981491.7,1709812799999
72,1709812800000,0.2798,0.2914,0.2768,0.2888,25044442.0,1709827199999
73,1709827200000,0.2888,0.2989,0.2864,0.298,26826542.1,1709841599999
74,1709841600000,0.298,0.2987,0.294,0.2965,10210626.0,1709855999999
75,1709856000000,0.2966,0.3005,0.2931,0.2954,8240647.2,1709870399999
76,1709870400000,0.2954,0.2962,0.2897,0.2924,7090612.1,1709884799999
77,1709884800000,0.2924,0.2958,0.2884,0.2954,12427084.4,1709899199999
78,1709899200000,0.2953,0.2994,0.27,0.2835,45570594.7,1709913599999
79,1709913600000,0.2834,0.2927,0.2767,0.2897,20406258.3,1709927999999
80,1709928000000,0.2896,0.2933,0.2889,0.2895,7284217.3,1709942399999
81,1709942400000,0.2895,0.2926,0.2888,0.2911,6865273.0,1709956799999
82,1709956800000,0.291,0.2929,0.2899,0.291,6394172.0,1709971199999
83,1709971200000,0.291,0.2926,0.2824,0.2885,12153489.6,1709985599999
84,1709985600000,0.2885,0.291,0.2857,0.2878,9862951.0,1709999999999
85,1710000000000,0.2878,0.2887,0.2841,0.2859,6581780.2,1710014399999
86,1710014400000,0.2859,0.2873,0.2832,0.2843,5292667.2,1710028799999
87,1710028800000,0.2843,0.2864,0.2825,0.285,6834970.3,1710043199999
88,1710043200000,0.285,0.2881,0.2839,0.2877,5858302.9,1710057599999
89,1710057600000,0.2879,0.2916,0.2832,0.2845,11874434.3,1710071999999
90,1710072000000,0.2844,0.2853,0.2713,0.2784,16242938.2,1710086399999
91,1710086400000,0.2783,0.2831,0.278,0.2821,5427205.7,1710100799999
92,1710100800000,0.282,0.2836,0.2738,0.2831,6775581.9,1710115199999
93,1710115200000,0.2831,0.2831,0.2636,0.281,17171776.6,1710129599999
94,1710129600000,0.281,0.2902,0.279,0.2889,15273132.7,1710143999999
95,1710144000000,0.2889,0.2908,0.2858,0.2872,17744907.5,1710158399999
96,1710158400000,0.2871,0.2881,0.2826,0.2843,12775155.5,1710172799999
97,1710172800000,0.2843,0.2922,0.2792,0.2905,13630012.1,1710187199999
98,1710187200000,0.2905,0.296,0.29,0.2931,10551642.9,1710201599999
99,1710201600000,0.2931,0.3044,0.2913,0.297,27879292.6,1710215999999
100,1710216000000,0.297,0.2997,0.2853,0.2902,29341253.0,1710230399999
101,1710230400000,0.2903,0.2913,0.2815,0.2862,17434969.0,1710244799999
102,1710244800000,0.2862,0.2931,0.2813,0.287,19547156.3,1710259199999
103,1710259200000,0.287,0.2906,0.267,0.2903,35750540.1,1710273599999
