,open_time,open,high,low,close,VOLUME,close_time
0,1708776000000,1.247,1.258,1.191,1.204,8439125.2,1708790399999
1,1708790400000,1.205,1.231,1.204,1.226,4441524.3,1708804799999
2,1708804800000,1.226,1.255,1.219,1.235,3397070.8,1708819199999
3,1708819200000,1.236,1.296,1.234,1.277,6240022.5,1708833599999
4,1708833600000,1.277,1.286,1.207,1.211,5603124.5,1708847999999
5,1708848000000,1.211,1.245,1.209,1.236,3765612.0,1708862399999
6,1708862400000,1.236,1.259,1.214,1.246,4116274.1,1708876799999
7,1708876800000,1.246,1.264,1.242,1.247,3064229.6,1708891199999
8,1708891200000,1.248,1.251,1.227,1.244,2450646.0,1708905599999
9,1708905600000,1.243,1.273,1.242,1.261,3403074.1,1708919999999
10,1708920000000,1.26,1.295,1.251,1.272,3810305.8,1708934399999
11,1708934400000,1.271,1.298,1.24,1.248,6127372.1,1708948799999
12,1708948800000,1.249,1.254,1.217,1.251,3583505.9,1708963199999
13,1708963200000,1.25,1.271,1.223,1.246,4269419.2,1708977599999
14,1708977600000,1.246,1.248,1.232,1.244,1850871.9,1708991999999
15,1708992000000,1.245,1.257,1.225,1.229,3444459.8,1709006399999
16,1709006400000,1.229,1.254,1.224,1.234,2446968.6,1709020799999
17,1709020800000,1.234,1.292,1.233,1.282,4234937.7,1709035199999
18,1709035200000,1.282,1.288,1.23,1.239,4886908.2,1709049599999
19,1709049600000,1.239,1.253,1.218,1.236,3703519.5,1709063999999
20,1709064000000,1.236,1.25,1.229,1.239,1797275.5,1709078399999
21,1709078400000,1.238,1.25,1.226,1.236,1827667.1,1709092799999
22,1709092800000,1.235,1.247,1.229,1.242,1611557.5,1709107199999
23,1709107200000,1.242,1.249,1.196,1.228,6189697.1,1709121599999
24,1709121600000,1.228,1.25,1.22,1.244,4432124.0,1709135999999
25,1709136000000,1.245,1.303,1.003,1.146,20629783.1,1709150399999
26,1709150400000,1.147,1.188,1.135,1.186,2963080.8,1709164799999
27,1709164800000,1.186,1.219,1.168,1.203,2837935.7,1709179199999
28,1709179200000,1.203,1.236,1.193,1.235,2568967.8,1709193599999
29,1709193600000,1.235,1.261,1.216,1.221,3548858.0,1709207999999
30,1709208000000,1.22,1.242,1.212,1.228,2798132.2,1709222399999
31,1709222400000,1.228,1.231,1.186,1.224,4821967.5,1709236799999
32,1709236800000,1.224,1.225,1.154,1.199,3719155.9,1709251199999
33,1709251200000,1.2,1.229,1.2,1.225,2051393.9,1709265599999
34,1709265600000,1.226,1.241,1.221,1.222,1682029.1,1709279999999
35,1709280000000,1.223,1.288,1.22,1.263,5271218.3,1709294399999
36,1709294400000,1.262,1.302,1.259,1.27,4975012.8,1709308799999
37,1709308800000,1.27,1.375,1.267,1.354,8787314.3,1709323199999
38,1709323200000,1.354,1.355,1.295,1.324,3900022.8,1709337599999
39,1709337600000,1.324,1.34,1.294,1.336,2699806.5,1709351999999
40,1709352000000,1.336,1.368,1.317,1.352,2686549.6,1709366399999
41,1709366400000,1.352,1.363,1.327,1.348,3100607.0,1709380799999
42,1709380800000,1.348,1.441,1.344,1.4,6919759.8,1709395199999
43,1709395200000,1.401,1.437,1.38,1.406,3028913.4,1709409599999
44,1709409600000,1.407,1.441,1.402,1.434,1981270.2,1709423999999
45,1709424000000,1.434,1.449,1.413,1.423,1864812.0,1709438399999
46,1709438400000,1.424,1.434,1.147,1.334,7437989.7,1709452799999
47,1709452800000,1.335,1.394,1.322,1.375,3726589.7,1709467199999
48,1709467200000,1.374,1.419,1.372,1.394,2588583.2,1709481599999
49,1709481600000,1.394,1.401,1.376,1.394,1827860.0,1709495999999
50,1709496000000,1.394,1.398,1.373,1.389,1330782.1,1709510399999
51,1709510400000,1.389,1.416,1.367,1.376,2285985.8,1709524799999
52,1709524800000,1.376,1.447,1.368,1.418,2381195.0,1709539199999
53,1709539200000,1.418,1.608,1.414,1.5,12775385.7,1709553599999
54,1709553600000,1.5,1.532,1.465,1.492,6084082.2,1709567999999
55,1709568000000,1.491,1.498,1.403,1.477,6600238.0,1709582399999
56,1709582400000,1.477,1.487,1.452,1.468,2454165.5,1709596799999
57,1709596800000,1.469,1.475,1.426,1.437,2210015.2,1709611199999
58,1709611200000,1.437,1.509,1.411,1.485,4786325.4,1709625599999
59,1709625600000,1.486,1.515,1.471,1.486,2548750.6,1709639999999
60,1709640000000,1.486,1.535,1.448,1.479,5332935.4,1709654399999
61,1709654400000,1.479,1.514,1.056,1.235,15081300.2,1709668799999
62,1709668800000,1.236,1.311,1.202,1.304,7053918.5,1709683199999
63,1709683200000,1.303,1.325,1.254,1.286,2667757.8,1709697599999
64,1709697600000,1.287,1.397,1.286,1.394,2528484.7,1709711999999
65,1709712000000,1.393,1.426,1.371,1.395,2560353.8,1709726399999
66,1709726400000,1.396,1.398,1.334,1.373,3802116.0,1709740799999
67,1709740800000,1.372,1.417,1.37,1.408,2312430.2,1709755199999
68,1709755200000,1.409,1.448,1.4,1.445,1438927.7,1709769599999
69,1709769600000,1.444,1.522,1.424,1.494,5557547.8,1709783999999
70,1709784000000,1.494,1.534,1.467,1.52,4189276.2,1709798399999
71,1709798400000,1.521,1.542,1.506,1.517,2594561.8,1709812799999
72,1709812800000,1.517,1.528,1.482,1.514,3526653.2,1709827199999
73,1709827200000,1.513,1.538,1.503,1.531,1875008.0,1709841599999
74,1709841600000,1.531,1.548,1.514,1.543,1841756.1,1709855999999
75,1709856000000,1.543,1.553,1.49,1.5,1673503.2,1709870399999
76,1709870400000,1.501,1.518,1.485,1.513,1158464.6,1709884799999
77,1709884800000,1.512,1.526,1.493,1.505,1091173.6,1709899199999
78,1709899200000,1.504,1.582,1.409,1.498,7258618.5,1709913599999
79,1709913600000,1.498,1.548,1.463,1.519,4550731.9,1709927999999
80,1709928000000,1.519,1.545,1.51,1.535,1315802.2,1709942399999
81,1709942400000,1.534,1.558,1.528,1.549,843749.1,1709956799999
82,1709956800000,1.549,1.591,1.531,1.584,1306485.1,1709971199999
83,1709971200000,1.584,1.6,1.535,1.546,2339532.0,1709985599999
84,1709985600000,1.547,1.552,1.527,1.546,1557295.7,1709999999999
85,1710000000000,1.546,1.548,1.495,1.499,1904552.2,1710014399999
86,1710014400000,1.499,1.513,1.488,1.495,1109034.0,1710028799999
87,1710028800000,1.495,1.557,1.469,1.55,3541932.0,1710043199999
88,1710043200000,1.551,1.589,1.545,1.574,2676477.0,1710057599999
89,1710057600000,1.574,1.584,1.523,1.567,4212770.5,1710071999999
90,1710072000000,1.566,1.663,1.529,1.531,12618209.2,1710086399999
91,1710086400000,1.531,1.607,1.52,1.574,3752024.1,1710100799999
92,1710100800000,1.574,1.617,1.552,1.612,3195353.6,1710115199999
93,1710115200000,1.612,1.654,1.468,1.603,7560883.6,1710129599999
94,1710129600000,1.603,1.651,1.587,1.618,4498013.5,1710143999999
95,1710144000000,1.619,1.681,1.603,1.617,3524646.2,1710158399999
96,1710158400000,1.618,1.656,1.611,1.63,3388877.3,1710172799999
97,1710172800000,1.63,1.651,1.603,1.625,2351966.2,1710187199999
98,1710187200000,1.626,1.687,1.624,1.68,1882175.3,1710201599999
99,1710201600000,1.679,1.707,1.663,1.668,2044665.0,1710215999999
100,1710216000000,1.668,1.7,1.647,1.668,2198237.6,1710230399999
101,1710230400000,1.668,1.683,1.61,1.623,3284420.9,1710244799999
102,1710244800000,1.624,1.683,1.584,1.671,3636606.2,1710259199999
103,1710259200000,1.67,1.681,1.538,1.674,5347917.3,1710273599999
104,1710273600000,1.673,1.738,1.663,1.726,3170103.3,1710287999999
105,1710288000000,1.727,1.806,1.725,1.767,3068018.1,1710302399999
106,1710302400000,1.766,1.83,1.74,1.802,2521961.8,1710316799999
107,1710316800000,1.802,1.859,1.783,1.788,2784544.8,1710331199999
108,1710331200000,1.789,1.809,1.742,1.764,3163830.7,1710345599999
109,1710345600000,1.763,1.793,1.751,1.772,1500566.4,1710359999999
110,1710360000000,1.772,1.791,1.758,1.788,1216609.6,1710374399999
111,1710374400000,1.789,1.85,1.765,1.782,2193842.8,1710388799999
112,1710388800000,1.781,1.8,1.75,1.758,1974069.3,1710403199999
113,1710403200000,1.759,1.801,1.726,1.75,2012010.6,1710417599999
114,1710417600000,1.75,1.768,1.644,1.666,5132577.0,1710431999999
115,1710432000000,1.667,1.715,1.592,1.629,4503669.6,1710446399999
116,1710446400000,1.629,1.75,1.628,1.738,2381871.6,1710460799999
117,1710460800000,1.739,1.771,1.546,1.616,5204811.7,1710475199999
118,1710475200000,1.616,1.663,1.578,1.644,3795545.0,1710489599999
119,1710489600000,1.645,1.649,1.451,1.569,6345871.3,1710503999999
