,open_time,open,high,low,close,VOLUME,close_time
0,1708776000000,1.353,1.384,1.3443,1.354,2554110.0,1708790399999
1,1708790400000,1.354,1.3622,1.3488,1.3546,1110743.0,1708804799999
2,1708804800000,1.3548,1.364,1.3477,1.3605,851089.0,1708819199999
3,1708819200000,1.3606,1.3607,1.3363,1.3439,984920.0,1708833599999
4,1708833600000,1.3441,1.3485,1.335,1.3394,620683.0,1708847999999
5,1708848000000,1.3392,1.3405,1.3271,1.3399,576163.0,1708862399999
6,1708862400000,1.3401,1.3595,1.3393,1.3492,913994.0,1708876799999
7,1708876800000,1.349,1.371,1.3473,1.3686,715102.0,1708891199999
8,1708891200000,1.3682,1.3732,1.3535,1.3585,602798.0,1708905599999
9,1708905600000,1.3585,1.3769,1.3475,1.3537,1079770.0,1708919999999
10,1708920000000,1.3537,1.3734,1.3513,1.3571,826118.0,1708934399999
11,1708934400000,1.3568,1.3634,1.321,1.3328,1329608.0,1708948799999
12,1708948800000,1.3328,1.3732,1.3316,1.3715,1671610.0,1708963199999
13,1708963200000,1.3715,1.4,1.3656,1.3872,1589529.0,1708977599999
14,1708977600000,1.3869,1.3896,1.3716,1.3789,706088.0,1708991999999
15,1708992000000,1.3787,1.392,1.364,1.3659,1133649.0,1709006399999
16,1709006400000,1.3659,1.3766,1.3533,1.3582,1237743.0,1709020799999
17,1709020800000,1.3582,1.4934,1.3579,1.3973,9415201.0,1709035199999
18,1709035200000,1.3968,1.4523,1.386,1.3983,8504301.0,1709049599999
19,1709049600000,1.3984,1.4088,1.3587,1.4,2714079.0,1709063999999
20,1709064000000,1.4002,1.414,1.3995,1.4077,883507.0,1709078399999
21,1709078400000,1.4077,1.4288,1.3965,1.4288,1642618.0,1709092799999
22,1709092800000,1.4285,1.4425,1.4232,1.427,1613158.0,1709107199999
23,1709107200000,1.427,1.431,1.3912,1.4039,2308502.0,1709121599999
24,1709121600000,1.4039,1.442,1.4038,1.4286,2745901.0,1709135999999
25,1709136000000,1.4285,1.4463,1.2275,1.3468,5690666.0,1709150399999
26,1709150400000,1.3468,1.387,1.34,1.3831,1288100.0,1709164799999
27,1709164800000,1.3829,1.5247,1.3807,1.4375,5700377.0,1709179199999
28,1709179200000,1.4375,1.4416,1.4067,1.4164,1508553.0,1709193599999
29,1709193600000,1.4166,1.4477,1.4166,1.4283,1577284.0,1709207999999
30,1709208000000,1.4281,1.4763,1.4188,1.4604,2237754.0,1709222399999
31,1709222400000,1.4606,1.4623,1.4307,1.4597,1496142.0,1709236799999
32,1709236800000,1.4603,1.4652,1.4,1.4548,2488235.0,1709251199999
33,1709251200000,1.4547,1.4936,1.4386,1.4804,1628236.0,1709265599999
34,1709265600000,1.4804,1.506,1.4758,1.4788,1049480.0,1709279999999
35,1709280000000,1.4787,1.5061,1.4772,1.4954,769062.0,1709294399999
36,1709294400000,1.4955,1.5182,1.4766,1.496,1752920.0,1709308799999
37,1709308800000,1.4959,1.5339,1.4915,1.5331,948688.0,1709323199999
38,1709323200000,1.5327,1.5532,1.5309,1.5465,845137.0,1709337599999
39,1709337600000,1.5461,1.5612,1.5116,1.5508,1616238.0,1709351999999
40,1709352000000,1.551,1.5562,1.5205,1.5534,1545383.0,1709366399999
41,1709366400000,1.5533,1.5731,1.5287,1.5363,1619269.0,1709380799999
42,1709380800000,1.5362,1.5962,1.5354,1.5782,1659610.0,1709395199999
43,1709395200000,1.5788,1.5807,1.5551,1.5688,718027.0,1709409599999
44,1709409600000,1.5686,1.6076,1.5594,1.6074,734822.0,1709423999999
45,1709424000000,1.6071,1.6546,1.5736,1.6057,2952766.0,1709438399999
46,1709438400000,1.6057,1.6345,1.4202,1.5273,4073779.0,1709452799999
47,1709452800000,1.5269,1.5915,1.5046,1.5801,2079819.0,1709467199999
48,1709467200000,1.5797,1.6197,1.5589,1.6089,1879146.0,1709481599999
49,1709481600000,1.6093,1.641,1.6052,1.612,1097993.0,1709495999999
50,1709496000000,1.6127,1.6579,1.607,1.6474,941224.0,1709510399999
51,1709510400000,1.6474,1.6485,1.5886,1.5999,1974526.0,1709524799999
52,1709524800000,1.5999,1.6456,1.5928,1.6397,1197609.0,1709539199999
53,1709539200000,1.6403,1.6969,1.6368,1.6912,2126555.0,1709553599999
54,1709553600000,1.6914,1.75,1.6595,1.7372,3069695.0,1709567999999
55,1709568000000,1.7371,1.8046,1.6862,1.7095,4894905.0,1709582399999
56,1709582400000,1.7099,1.8375,1.6964,1.7506,3661584.0,1709596799999
57,1709596800000,1.7505,1.8998,1.6756,1.8505,6450561.0,1709611199999
58,1709611200000,1.8504,2.315,1.8353,2.3008,41025050.0,1709625599999
59,1709625600000,2.3008,2.5486,2.281,2.4941,64737698.0,1709639999999
60,1709640000000,2.4948,2.5176,2.2117,2.3469,32672869.0,1709654399999
61,1709654400000,2.3474,2.7295,2.15,2.3797,75831761.0,1709668799999
62,1709668800000,2.3799,2.8622,2.3038,2.7539,58904819.0,1709683199999
63,1709683200000,2.7548,3.2255,2.0631,2.1155,116130645.0,1709697599999
64,1709697600000,2.1137,2.6992,2.05,2.5007,51699941.0,1709711999999
