,open_time,open,high,low,close,VOLUME,close_time
0,1708776000000,21.947,22.033,21.752,21.869,69756.83,1708790399999
1,1708790400000,21.871,22.362,21.858,22.333,113881.77,1708804799999
2,1708804800000,22.333,22.414,22.103,22.271,64493.7,1708819199999
3,1708819200000,22.271,22.594,22.001,22.092,116496.98,1708833599999
4,1708833600000,22.093,22.227,21.966,22.028,50850.65,1708847999999
5,1708848000000,22.024,22.068,21.814,22.052,47978.61,1708862399999
6,1708862400000,22.046,22.199,21.907,21.977,55030.72,1708876799999
7,1708876800000,21.978,22.104,21.82,22.038,71370.92,1708891199999
8,1708891200000,22.042,22.229,21.974,22.215,51202.05,1708905599999
9,1708905600000,22.209,22.294,21.914,22.217,89697.17,1708919999999
10,1708920000000,22.211,22.392,21.944,21.972,74981.45,1708934399999
11,1708934400000,21.97,22.116,21.314,21.836,138218.57,1708948799999
12,1708948800000,21.838,23.407,21.669,22.826,316076.31,1708963199999
13,1708963200000,22.823,23.174,22.516,22.91,188997.0,1708977599999
14,1708977600000,22.902,22.965,22.582,22.948,82159.73,1708991999999
15,1708992000000,22.945,23.625,22.785,22.995,171285.18,1709006399999
16,1709006400000,22.994,23.149,22.748,22.861,85123.81,1709020799999
17,1709020800000,22.859,23.485,22.851,23.361,98098.43,1709035199999
18,1709035200000,23.354,23.363,22.445,22.52,145699.16,1709049599999
19,1709049600000,22.522,23.415,22.169,23.204,170506.6,1709063999999
20,1709064000000,23.193,23.828,23.0,23.66,116397.63,1709078399999
21,1709078400000,23.662,23.875,23.207,23.232,94494.41,1709092799999
22,1709092800000,23.234,23.56,23.233,23.481,65895.88,1709107199999
23,1709107200000,23.481,25.581,23.064,24.724,456929.96,1709121599999
24,1709121600000,24.721,24.854,23.65,24.182,370186.15,1709135999999
25,1709136000000,24.187,24.822,21.456,23.448,540650.53,1709150399999
26,1709150400000,23.45,23.997,23.231,23.962,120340.1,1709164799999
27,1709164800000,23.956,24.331,23.602,24.236,131535.04,1709179199999
28,1709179200000,24.237,24.443,23.854,24.206,134061.54,1709193599999
29,1709193600000,24.202,24.792,24.101,24.116,148277.64,1709207999999
30,1709208000000,24.113,24.937,23.947,24.743,170586.79,1709222399999
31,1709222400000,24.743,24.808,23.552,24.118,179110.33,1709236799999
32,1709236800000,24.123,24.138,22.738,23.487,150805.42,1709251199999
33,1709251200000,23.487,24.286,23.481,24.069,99854.93,1709265599999
34,1709265600000,24.063,24.672,24.033,24.371,103880.32,1709279999999
35,1709280000000,24.372,24.867,24.305,24.669,122169.93,1709294399999
36,1709294400000,24.667,25.786,24.379,24.619,324068.94,1709308799999
37,1709308800000,24.618,25.016,24.412,24.997,125822.06,1709323199999
38,1709323200000,25.01,25.6,24.671,25.381,114476.63,1709337599999
39,1709337600000,25.38,26.392,25.139,25.245,214790.7,1709351999999
40,1709352000000,25.242,25.331,24.803,25.046,98727.52,1709366399999
