,open_time,open,high,low,close,VOLUME,close_time
0,1708776000000,0.7022,0.718,0.69,0.7057,11172553.1,1708790399999
1,1708790400000,0.7057,0.7164,0.7043,0.7119,7512656.0,1708804799999
2,1708804800000,0.7119,0.7144,0.6963,0.7004,5654991.4,1708819199999
3,1708819200000,0.7001,0.7495,0.6973,0.7385,18860466.3,1708833599999
4,1708833600000,0.7386,0.7714,0.7301,0.7528,21258101.2,1708847999999
5,1708848000000,0.7528,0.7794,0.731,0.7637,19846110.6,1708862399999
6,1708862400000,0.7633,0.7665,0.7393,0.743,12297383.1,1708876799999
7,1708876800000,0.743,0.7635,0.7354,0.7563,7804800.9,1708891199999
8,1708891200000,0.7562,0.7705,0.7453,0.7578,6334625.0,1708905599999
9,1708905600000,0.7578,0.7777,0.7357,0.7769,13198974.1,1708919999999
10,1708920000000,0.7769,0.819,0.7585,0.7757,23807390.3,1708934399999
11,1708934400000,0.7758,0.7828,0.7214,0.7329,28820567.1,1708948799999
12,1708948800000,0.7328,0.7522,0.7259,0.7485,15068490.8,1708963199999
13,1708963200000,0.7484,0.7576,0.7263,0.7403,16409205.7,1708977599999
14,1708977600000,0.7403,0.7487,0.7318,0.7366,8937597.3,1708991999999
15,1708992000000,0.7366,0.751,0.7155,0.7321,18987187.9,1709006399999
16,1709006400000,0.732,0.7724,0.731,0.7676,16456026.1,1709020799999
17,1709020800000,0.7677,0.7993,0.7625,0.7709,18632592.1,1709035199999
18,1709035200000,0.7709,0.785,0.745,0.7488,16134036.2,1709049599999
19,1709049600000,0.7488,0.7699,0.7329,0.7551,12374419.5,1709063999999
20,1709064000000,0.7551,0.7784,0.7433,0.7769,6627734.4,1709078399999
21,1709078400000,0.7768,0.8432,0.7601,0.8281,26822258.6,1709092799999
22,1709092800000,0.8282,0.83,0.7947,0.8018,17131904.9,1709107199999
23,1709107200000,0.8018,0.8019,0.7562,0.7733,27476852.4,1709121599999
24,1709121600000,0.7729,0.8069,0.7575,0.7823,37347416.0,1709135999999
25,1709136000000,0.782,0.7945,0.6442,0.7252,57840215.6,1709150399999
26,1709150400000,0.7249,0.7866,0.7184,0.7769,16061986.6,1709164799999
27,1709164800000,0.7772,0.7982,0.7605,0.7771,15435554.8,1709179199999
28,1709179200000,0.7771,0.8477,0.7615,0.8315,37910901.1,1709193599999
29,1709193600000,0.8316,0.836,0.7968,0.7998,30209310.4,1709207999999
30,1709208000000,0.7998,0.8214,0.7929,0.8135,15586005.2,1709222399999
31,1709222400000,0.8136,0.8143,0.77,0.7918,19585442.4,1709236799999
32,1709236800000,0.7919,0.7936,0.7305,0.759,14615909.6,1709251199999
33,1709251200000,0.7592,0.8135,0.759,0.8085,15509555.9,1709265599999
34,1709265600000,0.8085,0.8457,0.8085,0.8114,24387334.2,1709279999999
35,1709280000000,0.8117,0.8194,0.787,0.7874,12209052.9,1709294399999
36,1709294400000,0.7874,0.8588,0.787,0.8463,29963012.3,1709308799999
37,1709308800000,0.8463,0.8656,0.816,0.8408,23086065.9,1709323199999
38,1709323200000,0.841,0.8564,0.8266,0.8508,11261240.9,1709337599999
39,1709337600000,0.851,0.8554,0.8013,0.8265,15488030.7,1709351999999
40,1709352000000,0.8265,0.8348,0.807,0.8318,13686303.4,1709366399999
41,1709366400000,0.8318,0.833,0.8055,0.8218,13958371.6,1709380799999
42,1709380800000,0.8219,0.8301,0.7992,0.8076,12664395.3,1709395199999
43,1709395200000,0.8077,0.8336,0.8071,0.8273,11364507.6,1709409599999
44,1709409600000,0.8274,0.8337,0.807,0.8291,9134937.8,1709423999999
45,1709424000000,0.8291,0.8501,0.809,0.8411,14147893.2,1709438399999
46,1709438400000,0.8411,0.8948,0.75,0.8379,44293120.1,1709452799999
47,1709452800000,0.8383,0.9015,0.8239,0.8647,36856250.4,1709467199999
48,1709467200000,0.8648,0.867,0.8268,0.8415,23830821.2,1709481599999
49,1709481600000,0.8416,0.8531,0.8328,0.8465,10131548.2,1709495999999
50,1709496000000,0.847,0.8487,0.8306,0.8395,7578103.2,1709510399999
51,1709510400000,0.8396,0.8569,0.8102,0.8177,17912979.5,1709524799999
52,1709524800000,0.8176,0.8493,0.8071,0.8461,13324234.2,1709539199999
53,1709539200000,0.8465,0.8509,0.8078,0.8201,14842552.4,1709553599999
54,1709553600000,0.8201,0.8227,0.7853,0.801,17786447.8,1709567999999
55,1709568000000,0.8016,0.8038,0.7612,0.7851,23940012.1,1709582399999
56,1709582400000,0.7852,0.788,0.7692,0.7718,9991447.5,1709596799999
57,1709596800000,0.7718,0.7743,0.7322,0.7401,21787340.5,1709611199999
58,1709611200000,0.74,0.7711,0.73,0.7617,28504340.2,1709625599999
59,1709625600000,0.762,0.8383,0.7505,0.797,47451901.1,1709639999999
60,1709640000000,0.7971,0.815,0.7565,0.776,27738084.4,1709654399999
61,1709654400000,0.776,0.7874,0.6,0.6679,41767135.1,1709668799999
62,1709668800000,0.6692,0.7161,0.6404,0.7076,35567467.2,1709683199999
63,1709683200000,0.7075,0.713,0.6747,0.6892,12723901.4,1709697599999
64,1709697600000,0.6892,0.7427,0.6875,0.7362,18219571.9,1709711999999
65,1709712000000,0.7364,0.7426,0.7069,0.7208,15416617.9,1709726399999
66,1709726400000,0.7208,0.7386,0.6853,0.7361,29195407.2,1709740799999
67,1709740800000,0.7361,0.7843,0.7275,0.7756,41716313.6,1709755199999
68,1709755200000,0.7754,0.8093,0.767,0.7777,20127814.1,1709769599999
69,1709769600000,0.7779,0.8672,0.7713,0.8205,44795669.7,1709783999999
70,1709784000000,0.8205,0.9564,0.8117,0.9305,82052851.0,1709798399999
71,1709798400000,0.9305,0.9747,0.9072,0.9304,71164794.4,1709812799999
72,1709812800000,0.9303,0.9768,0.8901,0.919,67832589.2,1709827199999
73,1709827200000,0.9191,0.9552,0.9018,0.9281,33158452.6,1709841599999
74,1709841600000,0.9285,0.985,0.9155,0.9805,27964170.3,1709855999999
75,1709856000000,0.9805,0.9989,0.9,0.9314,40730361.9,1709870399999
76,1709870400000,0.9312,0.9392,0.9053,0.9117,16771779.0,1709884799999
77,1709884800000,0.9117,0.9581,0.9054,0.9183,23527233.3,1709899199999
78,1709899200000,0.9183,0.9431,0.8471,0.9254,43252531.0,1709913599999
79,1709913600000,0.9252,0.9453,0.9033,0.9125,27508267.3,1709927999999
80,1709928000000,0.9123,0.9194,0.9028,0.9102,9425688.4,1709942399999
81,1709942400000,0.9103,1.0153,0.8936,1.0025,39194279.9,1709956799999
82,1709956800000,1.0024,1.0885,0.9669,1.0762,42966294.7,1709971199999
83,1709971200000,1.0763,1.1146,0.9938,1.0095,56934185.9,1709985599999
84,1709985600000,1.0096,1.1061,0.9832,1.0572,44202099.4,1709999999999
85,1710000000000,1.0571,1.0694,1.0114,1.0302,19032422.1,1710014399999
86,1710014400000,1.0303,1.1635,1.0285,1.1263,23843444.3,1710028799999
87,1710028800000,1.1264,1.1817,1.0533,1.0762,41163955.1,1710043199999
88,1710043200000,1.0758,1.1009,1.0386,1.0707,25667156.4,1710057599999
89,1710057600000,1.0707,1.091,1.004,1.0398,26503048.6,1710071999999
90,1710072000000,1.0398,1.042,0.9636,0.99,30046838.2,1710086399999
91,1710086400000,0.9902,1.0034,0.9711,0.9949,16421940.8,1710100799999
92,1710100800000,0.9949,1.0,0.9519,0.9943,12578204.3,1710115199999
93,1710115200000,0.9944,1.0022,0.9102,0.979,26428714.5,1710129599999
94,1710129600000,0.9789,1.0208,0.9661,1.0065,24215588.6,1710143999999
95,1710144000000,1.0068,1.0283,0.9866,0.9929,22454491.7,1710158399999
96,1710158400000,0.9926,1.0089,0.9706,0.9885,15939118.2,1710172799999
97,1710172800000,0.9886,0.9961,0.96,0.9722,13107475.7,1710187199999
98,1710187200000,0.9723,0.9943,0.9676,0.9902,6941979.9,1710201599999
99,1710201600000,0.9902,1.0279,0.9807,0.9896,18740388.1,1710215999999
100,1710216000000,0.9902,1.0169,0.9379,0.9439,18623215.4,1710230399999
101,1710230400000,0.944,0.9907,0.91,0.947,28674324.4,1710244799999
102,1710244800000,0.947,0.9769,0.9301,0.9671,20625474.7,1710259199999
103,1710259200000,0.9672,0.971,0.8803,0.9615,25289965.1,1710273599999
104,1710273600000,0.9614,0.9616,0.9426,0.9606,6251076.6,1710287999999
105,1710288000000,0.9606,0.9622,0.9349,0.9362,9362658.2,1710302399999
106,1710302400000,0.9362,0.9516,0.93,0.9395,10163741.5,1710316799999
107,1710316800000,0.9393,0.9435,0.9168,0.9221,9911203.9,1710331199999
108,1710331200000,0.9221,0.927,0.8928,0.9113,19320973.6,1710345599999
109,1710345600000,0.9114,0.9192,0.8881,0.8976,13665853.5,1710359999999
110,1710360000000,0.8976,0.9237,0.884,0.9136,14581645.0,1710374399999
111,1710374400000,0.9138,0.9376,0.901,0.9052,14704043.6,1710388799999
112,1710388800000,0.9052,0.9141,0.8925,0.9097,12003695.9,1710403199999
113,1710403200000,0.9098,0.9397,0.8914,0.9065,19571456.4,1710417599999
114,1710417600000,0.9064,0.912,0.8503,0.8789,31916905.2,1710431999999
115,1710432000000,0.8793,0.9337,0.8683,0.9067,31623472.3,1710446399999
