,open_time,open,high,low,close,VOLUME,close_time
0,1708776000000,1.994,1.994,1.955,1.975,534399.0,1708790399999
1,1708790400000,1.975,1.995,1.972,1.989,457027.0,1708804799999
2,1708804800000,1.989,2.005,1.98,2.0,614682.0,1708819199999
3,1708819200000,2.0,2.007,1.976,1.997,747746.0,1708833599999
4,1708833600000,1.997,2.005,1.971,1.973,376054.0,1708847999999
5,1708848000000,1.973,1.982,1.945,1.97,570353.0,1708862399999
6,1708862400000,1.969,1.983,1.945,1.95,719991.0,1708876799999
7,1708876800000,1.949,2.007,1.947,1.996,1160188.0,1708891199999
8,1708891200000,1.996,2.022,1.987,2.0,1042979.0,1708905599999
9,1708905600000,1.999,2.011,1.979,1.995,605119.0,1708919999999
10,1708920000000,1.995,2.034,1.991,1.999,600678.0,1708934399999
11,1708934400000,1.998,2.022,1.96,1.983,732320.0,1708948799999
12,1708948800000,1.982,2.032,1.968,2.021,643496.0,1708963199999
13,1708963200000,2.021,2.044,2.011,2.033,1012314.0,1708977599999
14,1708977600000,2.033,2.042,2.019,2.027,790740.0,1708991999999
15,1708992000000,2.027,2.08,2.025,2.045,712894.0,1709006399999
16,1709006400000,2.045,2.062,2.026,2.051,628761.0,1709020799999
17,1709020800000,2.051,2.13,2.05,2.123,1381803.0,1709035199999
18,1709035200000,2.122,2.122,2.037,2.049,1697645.0,1709049599999
19,1709049600000,2.049,2.066,2.022,2.053,654566.0,1709063999999
20,1709064000000,2.053,2.08,2.036,2.076,1044696.0,1709078399999
21,1709078400000,2.077,2.101,2.067,2.072,608417.0,1709092799999
22,1709092800000,2.072,2.1,2.068,2.095,473499.0,1709107199999
23,1709107200000,2.096,2.122,2.04,2.078,1613056.0,1709121599999
24,1709121600000,2.079,2.135,2.078,2.115,1603091.0,1709135999999
25,1709136000000,2.115,2.17,1.763,1.974,5416102.0,1709150399999
26,1709150400000,1.974,2.047,1.958,2.037,1099820.0,1709164799999
27,1709164800000,2.037,2.139,2.022,2.085,1412701.0,1709179199999
28,1709179200000,2.085,2.125,2.076,2.109,897642.0,1709193599999
29,1709193600000,2.108,2.157,2.108,2.111,1263951.0,1709207999999
30,1709208000000,2.111,2.16,2.09,2.146,1455682.0,1709222399999
31,1709222400000,2.147,2.149,2.071,2.124,1722815.0,1709236799999
32,1709236800000,2.123,2.137,2.023,2.087,1248761.0,1709251199999
33,1709251200000,2.088,2.133,2.087,2.112,802782.0,1709265599999
34,1709265600000,2.111,2.129,2.088,2.095,608526.0,1709279999999
35,1709280000000,2.096,2.204,2.094,2.193,1156555.0,1709294399999
36,1709294400000,2.193,2.289,2.163,2.17,3249504.0,1709308799999
37,1709308800000,2.17,2.246,2.167,2.218,1293344.0,1709323199999
38,1709323200000,2.219,2.239,2.212,2.22,594089.0,1709337599999
39,1709337600000,2.221,2.242,2.187,2.226,834973.0,1709351999999
40,1709352000000,2.227,2.249,2.186,2.245,783176.0,1709366399999
41,1709366400000,2.246,2.253,2.205,2.211,1077637.0,1709380799999
42,1709380800000,2.212,2.251,2.209,2.229,970353.0,1709395199999
43,1709395200000,2.23,2.285,2.223,2.271,972148.0,1709409599999
44,1709409600000,2.271,2.307,2.243,2.305,745971.0,1709423999999
45,1709424000000,2.305,2.34,2.274,2.311,810153.0,1709438399999
46,1709438400000,2.312,2.336,2.02,2.184,2285284.0,1709452799999
47,1709452800000,2.185,2.243,2.164,2.231,1772336.0,1709467199999
48,1709467200000,2.231,2.261,2.218,2.23,1030535.0,1709481599999
49,1709481600000,2.23,2.335,2.217,2.3,1874193.0,1709495999999
50,1709496000000,2.299,2.331,2.275,2.282,1041589.0,1709510399999
51,1709510400000,2.282,2.325,2.259,2.275,1249105.0,1709524799999
52,1709524800000,2.274,2.365,2.265,2.345,1297112.0,1709539199999
53,1709539200000,2.346,2.359,2.286,2.327,1322338.0,1709553599999
54,1709553600000,2.326,2.622,2.314,2.476,9551300.0,1709567999999
55,1709568000000,2.475,2.517,2.371,2.488,3804538.0,1709582399999
56,1709582400000,2.488,2.493,2.423,2.474,1407872.0,1709596799999
57,1709596800000,2.475,2.49,2.389,2.414,1494438.0,1709611199999
58,1709611200000,2.414,2.488,2.372,2.444,2147264.0,1709625599999
59,1709625600000,2.444,2.561,2.44,2.45,2343511.0,1709639999999
60,1709640000000,2.45,2.496,2.344,2.355,2681432.0,1709654399999
61,1709654400000,2.355,2.382,1.826,2.046,6214105.0,1709668799999
62,1709668800000,2.047,2.173,2.024,2.154,3686796.0,1709683199999
63,1709683200000,2.153,2.178,2.088,2.143,1467253.0,1709697599999
64,1709697600000,2.142,2.302,2.142,2.298,1760624.0,1709711999999
65,1709712000000,2.297,2.316,2.219,2.268,1361507.0,1709726399999
66,1709726400000,2.268,2.271,2.168,2.231,2025107.0,1709740799999
67,1709740800000,2.231,2.284,2.222,2.264,1171890.0,1709755199999
68,1709755200000,2.265,2.297,2.25,2.282,798709.0,1709769599999
69,1709769600000,2.282,2.356,2.279,2.323,1320681.0,1709783999999
70,1709784000000,2.324,2.351,2.268,2.33,1258547.0,1709798399999
71,1709798400000,2.33,2.418,2.326,2.392,1637099.0,1709812799999
72,1709812800000,2.392,2.418,2.336,2.385,1373510.0,1709827199999
73,1709827200000,2.384,2.412,2.356,2.399,949775.0,1709841599999
