,open_time,open,high,low,close,VOLUME,close_time
0,1708776000000,0.5188,0.5237,0.5136,0.515,27250777.0,1708790399999
1,1708790400000,0.5151,0.5234,0.5139,0.5224,14586975.0,1708804799999
2,1708804800000,0.5224,0.5247,0.5193,0.5223,11748374.0,1708819199999
3,1708819200000,0.5224,0.5249,0.5131,0.518,19870740.0,1708833599999
4,1708833600000,0.5179,0.5199,0.5148,0.5179,10303452.0,1708847999999
5,1708848000000,0.518,0.5184,0.51,0.5147,15501551.0,1708862399999
6,1708862400000,0.5148,0.5201,0.5124,0.5159,13793297.0,1708876799999
7,1708876800000,0.5159,0.517,0.51,0.516,14814001.0,1708891199999
8,1708891200000,0.5161,0.5203,0.5146,0.52,13766145.0,1708905599999
9,1708905600000,0.5201,0.5241,0.515,0.5208,23298704.0,1708919999999
10,1708920000000,0.5208,0.5493,0.5197,0.5347,89641070.0,1708934399999
11,1708934400000,0.5346,0.5407,0.517,0.5296,71000401.0,1708948799999
12,1708948800000,0.5297,0.5379,0.5252,0.5355,56969765.0,1708963199999
13,1708963200000,0.5355,0.5429,0.5331,0.5409,41756817.0,1708977599999
14,1708977600000,0.5409,0.5451,0.5362,0.5415,18440303.0,1708991999999
15,1708992000000,0.5414,0.555,0.5341,0.5386,53759360.0,1709006399999
16,1709006400000,0.5385,0.545,0.5365,0.5378,22924234.0,1709020799999
17,1709020800000,0.5378,0.5572,0.5374,0.5492,35511875.0,1709035199999
18,1709035200000,0.5491,0.5498,0.5326,0.5362,44171965.0,1709049599999
19,1709049600000,0.5362,0.5694,0.532,0.557,93583620.0,1709063999999
20,1709064000000,0.5569,0.5673,0.5521,0.5628,27651622.0,1709078399999
21,1709078400000,0.5628,0.5786,0.5547,0.5556,49458671.0,1709092799999
22,1709092800000,0.5555,0.5659,0.5547,0.5645,30968808.0,1709107199999
23,1709107200000,0.5644,0.5736,0.5514,0.5594,65920387.0,1709121599999
24,1709121600000,0.5594,0.5736,0.559,0.5649,57986121.0,1709135999999
25,1709136000000,0.5649,0.586,0.4718,0.535,156867795.0,1709150399999
26,1709150400000,0.535,0.5568,0.5303,0.5561,35246206.0,1709164799999
27,1709164800000,0.5561,0.5694,0.5496,0.5693,39235864.0,1709179199999
28,1709179200000,0.5693,0.5825,0.5651,0.5801,45309621.0,1709193599999
29,1709193600000,0.5801,0.5935,0.5792,0.5817,56849022.0,1709207999999
30,1709208000000,0.5816,0.6092,0.5755,0.5979,74724486.0,1709222399999
31,1709222400000,0.598,0.5998,0.5753,0.592,58314031.0,1709236799999
32,1709236800000,0.5921,0.6163,0.5614,0.6089,80661822.0,1709251199999
33,1709251200000,0.609,0.615,0.5887,0.607,68258417.0,1709265599999
34,1709265600000,0.6068,0.6311,0.6045,0.6112,63684499.0,1709279999999
35,1709280000000,0.6113,0.6378,0.6101,0.6283,63529789.0,1709294399999
36,1709294400000,0.6283,0.6687,0.6249,0.6463,101185317.0,1709308799999
37,1709308800000,0.6463,0.6507,0.6372,0.6458,43928556.0,1709323199999
38,1709323200000,0.6457,0.6717,0.6414,0.6647,46174698.0,1709337599999
39,1709337600000,0.6647,0.6912,0.6638,0.6731,75567294.0,1709351999999
40,1709352000000,0.673,0.6771,0.6493,0.6743,52615676.0,1709366399999
41,1709366400000,0.6744,0.6819,0.6531,0.6778,58804945.0,1709380799999
42,1709380800000,0.6778,0.7091,0.673,0.6895,83099390.0,1709395199999
43,1709395200000,0.6897,0.6948,0.673,0.6844,33122131.0,1709409599999
44,1709409600000,0.6844,0.695,0.6731,0.692,29132667.0,1709423999999
45,1709424000000,0.6919,0.7323,0.6721,0.708,87731504.0,1709438399999
46,1709438400000,0.708,0.7117,0.5955,0.6515,118988617.0,1709452799999
47,1709452800000,0.6516,0.6584,0.6391,0.6561,59917840.0,1709467199999
48,1709467200000,0.6561,0.6668,0.6538,0.6649,44818046.0,1709481599999
49,1709481600000,0.6649,0.6733,0.6604,0.6707,29232544.0,1709495999999
50,1709496000000,0.6706,0.6814,0.663,0.6746,22450465.0,1709510399999
51,1709510400000,0.6747,0.6862,0.6634,0.6733,57949665.0,1709524799999
52,1709524800000,0.6734,0.6965,0.6696,0.6892,35911541.0,1709539199999
53,1709539200000,0.6894,0.7157,0.6788,0.6941,65868880.0,1709553599999
54,1709553600000,0.6941,0.7087,0.6759,0.6915,57302859.0,1709567999999
55,1709568000000,0.6916,0.6931,0.6534,0.6817,76673295.0,1709582399999
56,1709582400000,0.6817,0.6927,0.6761,0.6896,29928528.0,1709596799999
57,1709596800000,0.6896,0.6969,0.6714,0.6831,46992385.0,1709611199999
58,1709611200000,0.683,0.7046,0.6553,0.6903,100104167.0,1709625599999
59,1709625600000,0.6903,0.7456,0.6799,0.7163,94008166.0,1709639999999
60,1709640000000,0.7163,0.7262,0.6931,0.7126,92284712.0,1709654399999
61,1709654400000,0.7127,0.7205,0.5321,0.6016,189743240.0,1709668799999
62,1709668800000,0.6017,0.6491,0.587,0.6445,114407867.0,1709683199999
63,1709683200000,0.6446,0.6476,0.6121,0.6278,47932418.0,1709697599999
64,1709697600000,0.6279,0.6731,0.6276,0.6726,55143527.0,1709711999999
65,1709712000000,0.6726,0.6832,0.6537,0.6745,55785581.0,1709726399999
66,1709726400000,0.6746,0.6755,0.6283,0.6472,88075882.0,1709740799999
67,1709740800000,0.6473,0.6636,0.6412,0.657,40569757.0,1709755199999
68,1709755200000,0.657,0.6807,0.6551,0.6802,30359301.0,1709769599999
