,open_time,open,high,low,close,VOLUME,close_time
0,1708776000000,0.6654,0.669,0.6583,0.6649,2084473.0,1708790399999
1,1708790400000,0.6649,0.6734,0.6641,0.6652,1996120.0,1708804799999
2,1708804800000,0.6652,0.6678,0.6623,0.6634,1012294.0,1708819199999
3,1708819200000,0.6633,0.6724,0.658,0.6635,2326714.0,1708833599999
4,1708833600000,0.6636,0.6645,0.6574,0.6594,1324265.0,1708847999999
5,1708848000000,0.6594,0.6622,0.6521,0.6577,1310709.0,1708862399999
6,1708862400000,0.6577,0.6627,0.6536,0.6547,1577762.0,1708876799999
7,1708876800000,0.6546,0.6604,0.6512,0.6585,2840999.0,1708891199999
8,1708891200000,0.6586,0.6608,0.6532,0.6581,1114694.0,1708905599999
9,1708905600000,0.6582,0.6641,0.6545,0.6634,2038453.0,1708919999999
10,1708920000000,0.6633,0.6798,0.6622,0.6705,3121127.0,1708934399999
11,1708934400000,0.6706,0.6805,0.658,0.669,4271000.0,1708948799999
12,1708948800000,0.669,0.6695,0.6476,0.6637,5598414.0,1708963199999
13,1708963200000,0.6636,0.6729,0.6593,0.6715,5809660.0,1708977599999
14,1708977600000,0.6716,0.6787,0.6694,0.6752,4728687.0,1708991999999
15,1708992000000,0.6753,0.6909,0.669,0.6748,6850114.0,1709006399999
16,1709006400000,0.675,0.6893,0.6695,0.6727,4474773.0,1709020799999
17,1709020800000,0.6726,0.6873,0.67,0.6799,3472689.0,1709035199999
18,1709035200000,0.6799,0.6864,0.6688,0.6706,5762408.0,1709049599999
19,1709049600000,0.6708,0.6843,0.6644,0.6773,3556402.0,1709063999999
20,1709064000000,0.6774,0.6864,0.6761,0.6812,1516394.0,1709078399999
21,1709078400000,0.681,0.688,0.6722,0.6735,2241021.0,1709092799999
22,1709092800000,0.6734,0.6801,0.6696,0.6783,1887942.0,1709107199999
23,1709107200000,0.6783,0.6914,0.6633,0.6801,5916754.0,1709121599999
24,1709121600000,0.6799,0.6946,0.6788,0.6918,5904066.0,1709135999999
25,1709136000000,0.6917,0.7088,0.6272,0.6447,16684843.0,1709150399999
26,1709150400000,0.6446,0.6603,0.6376,0.6564,3560579.0,1709164799999
