,open_time,open,high,low,close,VOLUME,close_time
0,1708776000000,2.5088,2.5257,2.4664,2.5017,6210512.0,1708790399999
1,1708790400000,2.5018,2.5832,2.4964,2.5625,7713645.0,1708804799999
2,1708804800000,2.5627,2.6061,2.5539,2.5875,4791876.0,1708819199999
3,1708819200000,2.5875,2.6396,2.5463,2.5849,8110454.0,1708833599999
4,1708833600000,2.5846,2.6199,2.567,2.5708,5004059.0,1708847999999
5,1708848000000,2.5709,2.5832,2.511,2.528,5928883.0,1708862399999
6,1708862400000,2.5279,2.5653,2.5154,2.5371,4991099.0,1708876799999
7,1708876800000,2.5371,2.5862,2.5217,2.5691,3978510.0,1708891199999
8,1708891200000,2.569,2.6308,2.5674,2.596,4633609.0,1708905599999
9,1708905600000,2.5961,2.6059,2.5002,2.5233,7067546.0,1708919999999
10,1708920000000,2.5231,2.5322,2.4861,2.4867,4515392.0,1708934399999
11,1708934400000,2.4871,2.5058,2.4333,2.4783,7614217.0,1708948799999
12,1708948800000,2.4786,2.7176,2.4546,2.7043,19186225.0,1708963199999
13,1708963200000,2.7041,2.8767,2.69,2.8581,29687002.0,1708977599999
14,1708977600000,2.858,2.9268,2.8144,2.9139,15832102.0,1708991999999
15,1708992000000,2.914,3.1896,2.9032,3.0686,44337499.0,1709006399999
16,1709006400000,3.0684,3.1743,3.0678,3.1212,24507164.0,1709020799999
17,1709020800000,3.1213,3.1994,3.0821,3.187,19495481.0,1709035199999
18,1709035200000,3.1866,3.273,3.0364,3.0532,46189054.0,1709049599999
19,1709049600000,3.0531,3.129,2.9018,2.9297,28546686.0,1709063999999
20,1709064000000,2.9297,2.9681,2.8648,2.9552,13576580.0,1709078399999
21,1709078400000,2.9555,3.0175,2.9186,2.9618,14198139.0,1709092799999
22,1709092800000,2.9618,3.262,2.9539,3.2464,26013737.0,1709107199999
23,1709107200000,3.2469,3.3986,3.0487,3.1135,58270915.0,1709121599999
24,1709121600000,3.1136,3.258,3.0553,3.1199,39680377.0,1709135999999
25,1709136000000,3.1199,3.1761,2.8225,3.0763,47775918.0,1709150399999
26,1709150400000,3.0765,3.171,3.0354,3.0835,15531384.0,1709164799999
27,1709164800000,3.0836,3.1708,2.9954,3.0034,14433085.0,1709179199999
28,1709179200000,3.0035,3.0861,2.9919,3.0555,15175150.0,1709193599999
29,1709193600000,3.0548,3.0868,3.0035,3.0198,14254565.0,1709207999999
30,1709208000000,3.0198,3.0713,2.9641,3.0379,14928550.0,1709222399999
31,1709222400000,3.0381,3.0567,2.932,3.0179,16849346.0,1709236799999
32,1709236800000,3.0179,3.019,2.8202,2.9003,14857038.0,1709251199999
33,1709251200000,2.9003,2.9752,2.8824,2.918,10552023.0,1709265599999
34,1709265600000,2.918,2.9669,2.9128,2.921,5295069.0,1709279999999
35,1709280000000,2.9209,3.0287,2.9064,2.9328,10944195.0,1709294399999
36,1709294400000,2.9326,2.9912,2.896,2.9419,12173030.0,1709308799999
37,1709308800000,2.9418,3.0412,2.9208,2.9912,8411794.0,1709323199999
38,1709323200000,2.9913,3.0017,2.9604,2.9724,4567702.0,1709337599999
39,1709337600000,2.9724,2.9782,2.8951,2.9259,7135245.0,1709351999999
40,1709352000000,2.9261,2.9393,2.8899,2.923,5555628.0,1709366399999
41,1709366400000,2.9231,2.9407,2.8865,2.9036,5718994.0,1709380799999
42,1709380800000,2.9034,2.944,2.883,2.9265,6499645.0,1709395199999
43,1709395200000,2.9265,2.9649,2.9234,2.9649,3657140.0,1709409599999
44,1709409600000,2.9647,2.9784,2.9286,2.9775,3804065.0,1709423999999
45,1709424000000,2.9776,2.9825,2.9166,2.9589,5838495.0,1709438399999
46,1709438400000,2.9589,2.9997,2.7601,2.8938,13673244.0,1709452799999
47,1709452800000,2.8937,3.0725,2.8515,3.0168,17758233.0,1709467199999
48,1709467200000,3.0168,3.1374,3.0046,3.0311,13647399.0,1709481599999
49,1709481600000,3.0311,3.1015,3.0113,3.0867,7267279.0,1709495999999
50,1709496000000,3.0861,3.1065,3.029,3.0506,4699049.0,1709510399999
51,1709510400000,3.051,3.2035,3.022,3.0966,19744767.0,1709524799999
52,1709524800000,3.0966,3.1757,3.0595,3.094,9321471.0,1709539199999
53,1709539200000,3.0945,3.1835,3.0518,3.0945,19074018.0,1709553599999
54,1709553600000,3.0947,3.1247,2.9921,3.0572,17298930.0,1709567999999
55,1709568000000,3.0571,3.093,2.9106,3.0894,16880512.0,1709582399999
56,1709582400000,3.0891,3.1034,3.0252,3.0377,6979298.0,1709596799999
57,1709596800000,3.0377,3.0381,2.9092,2.9125,12239106.0,1709611199999
58,1709611200000,2.9121,3.0663,2.834,2.8852,25887472.0,1709625599999
59,1709625600000,2.8856,2.9256,2.8622,2.8907,11159666.0,1709639999999
60,1709640000000,2.8907,2.9609,2.82,2.8426,15940034.0,1709654399999
61,1709654400000,2.843,2.8665,2.181,2.4847,31939975.0,1709668799999
62,1709668800000,2.4843,2.7612,2.4836,2.7333,24416232.0,1709683199999
63,1709683200000,2.7336,2.7357,2.589,2.6247,8549914.0,1709697599999
