,open_time,open,high,low,close,VOLUME,close_time
0,1709294400000,2.995,2.995,2.6687,2.6765,5030344.9,1709308799999
1,1709308800000,2.6765,2.7846,2.665,2.7468,2499544.5,1709323199999
2,1709323200000,2.747,2.7788,2.7009,2.712,1369253.8,1709337599999
3,1709337600000,2.7134,2.761,2.6267,2.7525,2023375.3,1709351999999
4,1709352000000,2.7512,2.761,2.6889,2.7295,1124139.9,1709366399999
5,1709366400000,2.7254,2.7395,2.6705,2.673,1178635.8,1709380799999
6,1709380800000,2.6735,2.7479,2.6728,2.7098,1326954.0,1709395199999
7,1709395200000,2.7092,2.7417,2.6868,2.6991,742151.5,1709409599999
8,1709409600000,2.6997,2.7301,2.6804,2.7198,678374.5,1709423999999
9,1709424000000,2.7188,2.7275,2.6824,2.696,706795.4,1709438399999
10,1709438400000,2.6941,2.7454,2.5,2.6046,2423622.9,1709452799999
11,1709452800000,2.604,2.6754,2.5863,2.6499,1101205.1,1709467199999
12,1709467200000,2.6497,2.6742,2.6122,2.6496,1047983.0,1709481599999
13,1709481600000,2.6505,2.6842,2.6378,2.6628,794110.8,1709495999999
14,1709496000000,2.665,2.6932,2.6637,2.6767,470322.3,1709510399999
15,1709510400000,2.6767,2.7125,2.6443,2.6732,784010.6,1709524799999
16,1709524800000,2.6747,2.72,2.6558,2.7065,592050.4,1709539199999
17,1709539200000,2.7064,2.75,2.67,2.7234,1464327.4,1709553599999
18,1709553600000,2.7235,2.7876,2.6646,2.752,1714732.7,1709567999999
19,1709568000000,2.7527,2.7589,2.6694,2.7222,1501543.4,1709582399999
20,1709582400000,2.7214,2.7617,2.711,2.7328,696678.8,1709596799999
21,1709596800000,2.7333,2.755,2.6988,2.7462,741958.0,1709611199999
22,1709611200000,2.7468,2.7629,2.6538,2.6977,1391871.4,1709625599999
23,1709625600000,2.6977,2.7489,2.6794,2.7041,846138.2,1709639999999
24,1709640000000,2.7041,2.7358,2.63,2.6888,1546264.2,1709654399999
25,1709654400000,2.6905,2.7027,2.1612,2.4276,3242167.6,1709668799999
26,1709668800000,2.4276,2.5984,2.4173,2.5951,1773920.8,1709683199999
27,1709683200000,2.5952,2.6487,2.5589,2.5911,1005100.2,1709697599999
28,1709697600000,2.5929,2.7018,2.5864,2.6976,781519.7,1709711999999
29,1709712000000,2.6991,2.7143,2.6418,2.7018,688562.4,1709726399999
30,1709726400000,2.7008,2.8303,2.619,2.7015,4554464.2,1709740799999
31,1709740800000,2.7011,2.7208,2.6585,2.6926,855241.8,1709755199999
32,1709755200000,2.6947,2.718,2.6754,2.6841,655098.5,1709769599999
33,1709769600000,2.6846,2.7379,2.6846,2.7217,744307.1,1709783999999
34,1709784000000,2.7222,2.7454,2.6749,2.6861,808134.5,1709798399999
35,1709798400000,2.6861,2.7097,2.6586,2.702,1062423.1,1709812799999
36,1709812800000,2.7017,2.7373,2.6783,2.7166,877530.4,1709827199999
37,1709827200000,2.7164,2.751,2.6964,2.7495,639956.7,1709841599999
38,1709841600000,2.7496,2.7687,2.7304,2.7557,387036.7,1709855999999
39,1709856000000,2.7556,2.7635,2.7162,2.7342,320971.8,1709870399999
40,1709870400000,2.7343,2.8042,2.7243,2.7722,965459.8,1709884799999
41,1709884800000,2.7719,2.812,2.7407,2.7456,1017759.5,1709899199999
42,1709899200000,2.7473,2.81,2.6983,2.7236,1187863.3,1709913599999
43,1709913600000,2.7233,2.8014,2.6806,2.7995,984271.9,1709927999999
44,1709928000000,2.8002,2.8499,2.7827,2.837,657595.2,1709942399999
45,1709942400000,2.8358,2.8863,2.7765,2.8146,1166701.9,1709956799999
46,1709956800000,2.8146,2.885,2.8087,2.8642,498610.4,1709971199999
47,1709971200000,2.8644,2.9125,2.8191,2.8793,975986.2,1709985599999
48,1709985600000,2.8799,2.92,2.8521,2.8796,988629.2,1709999999999
49,1710000000000,2.8796,2.8848,2.8256,2.8389,630257.2,1710014399999
50,1710014400000,2.838,2.8813,2.8336,2.8813,318004.5,1710028799999
51,1710028800000,2.8809,2.8876,2.825,2.8454,607554.1,1710043199999
52,1710043200000,2.8454,2.872,2.839,2.8673,305297.9,1710057599999
53,1710057600000,2.8673,2.8838,2.8294,2.8398,484597.1,1710071999999
54,1710072000000,2.8397,2.8425,2.7656,2.7961,653523.9,1710086399999
55,1710086400000,2.7961,2.8515,2.7932,2.824,966851.6,1710100799999
56,1710100800000,2.8246,2.8411,2.766,2.8216,568729.9,1710115199999
57,1710115200000,2.8214,2.8275,2.7227,2.7827,896463.0,1710129599999
58,1710129600000,2.7827,2.8545,2.7797,2.8473,702213.5,1710143999999
59,1710144000000,2.8458,2.9072,2.8385,2.8729,827634.7,1710158399999
60,1710158400000,2.8726,3.2572,2.8695,3.0527,17048524.5,1710172799999
61,1710172800000,3.053,3.3582,3.0431,3.2282,6076980.4,1710187199999
62,1710187200000,3.2281,3.3553,3.2056,3.2925,3842008.2,1710201599999
63,1710201600000,3.2926,3.62,3.2634,3.5031,9360951.7,1710215999999
64,1710216000000,3.5024,3.9493,3.4518,3.6749,19702736.2,1710230399999
65,1710230400000,3.6738,3.6756,3.503,3.5871,9020412.5,1710244799999
66,1710244800000,3.5872,3.7991,3.5191,3.6501,8884515.6,1710259199999
67,1710259200000,3.6513,3.8,3.462,3.7856,6526466.6,1710273599999
68,1710273600000,3.7849,4.2457,3.7401,4.0718,7059369.3,1710287999999
69,1710288000000,4.0697,4.4586,4.0141,4.438,11736857.4,1710302399999
70,1710302400000,4.4375,4.5406,4.23,4.4112,8344238.6,1710316799999
71,1710316800000,4.4076,4.44,4.24,4.3688,6634136.7,1710331199999
72,1710331200000,4.3696,4.5961,4.2615,4.593,11430555.0,1710345599999
73,1710345600000,4.5932,4.6265,4.3567,4.3731,5509457.3,1710359999999
74,1710360000000,4.373,4.4353,4.2743,4.3177,2399803.3,1710374399999
75,1710374400000,4.3177,4.3625,4.0714,4.117,4027820.7,1710388799999
76,1710388800000,4.1143,4.248,4.0348,4.2329,2993151.4,1710403199999
77,1710403200000,4.2312,4.3194,4.1669,4.2487,3055827.2,1710417599999
78,1710417600000,4.2489,4.347,4.0531,4.0798,4591400.7,1710431999999
79,1710432000000,4.0815,4.1611,3.7697,3.8743,5474651.7,1710446399999
80,1710446400000,3.8772,4.077,3.8767,4.0403,1767174.5,1710460799999
81,1710460800000,4.0408,4.0968,3.6342,3.8088,3504112.5,1710475199999
82,1710475200000,3.8095,3.9233,3.7284,3.9023,2317463.7,1710489599999
83,1710489600000,3.9017,3.9369,3.5182,3.7509,4830295.9,1710503999999
84,1710504000000,3.7504,3.9441,3.7291,3.8598,2396966.2,1710518399999
85,1710518400000,3.8609,4.167,3.7903,3.9498,3686372.4,1710532799999
86,1710532800000,3.9501,3.9556,3.8366,3.8902,2250660.3,1710547199999
87,1710547200000,3.8898,3.9232,3.7785,3.7914,1320042.5,1710561599999
88,1710561600000,3.7917,3.8412,3.693,3.8377,1563346.5,1710575999999
89,1710576000000,3.8346,3.851,3.7069,3.7468,1299851.5,1710590399999
90,1710590400000,3.747,3.7505,3.5902,3.7075,1714034.9,1710604799999
91,1710604800000,3.7072,3.7394,3.492,3.5596,2189696.0,1710619199999
92,1710619200000,3.5587,3.6198,3.4696,3.5279,1485233.4,1710633599999
93,1710633600000,3.528,3.59,3.4538,3.5629,998922.3,1710647999999
94,1710648000000,3.5629,3.565,3.3213,3.4399,1610143.3,1710662399999
95,1710662400000,3.4406,3.6805,3.4347,3.6198,2028032.6,1710676799999
96,1710676800000,3.6201,3.9295,3.5576,3.8736,3446731.7,1710691199999
97,1710691200000,3.8739,4.0759,3.8381,3.9142,4474893.7,1710705599999
98,1710705600000,3.9115,3.9285,3.8229,3.8647,1252254.5,1710719999999
99,1710720000000,3.8655,4.0572,3.733,3.9576,2389753.6,1710734399999
100,1710734400000,3.9579,4.0619,3.8879,4.0303,2349923.5,1710748799999
101,1710748800000,4.0317,4.0335,3.8417,3.8718,3104046.3,1710763199999
102,1710763200000,3.8717,3.9099,3.63,3.7353,3387199.6,1710777599999
103,1710777600000,3.7358,3.9205,3.6594,3.8517,4186711.1,1710791999999
104,1710792000000,3.8517,3.9875,3.8184,3.8261,1939420.7,1710806399999
105,1710806400000,3.8232,3.9858,3.55,3.6771,4828272.8,1710820799999
106,1710820800000,3.676,3.832,3.5767,3.8302,3549388.3,1710835199999
107,1710835200000,3.8305,3.8377,3.6081,3.7696,3998572.8,1710849599999
108,1710849600000,3.7705,4.0049,3.7257,3.9982,5634143.2,1710863999999
109,1710864000000,3.9972,4.0261,3.8579,3.9559,3272440.8,1710878399999
110,1710878400000,3.9577,3.9718,3.7081,3.7893,2171216.5,1710892799999
111,1710892800000,3.7894,3.9326,3.7003,3.82,2118712.0,1710907199999
112,1710907200000,3.82,3.9289,3.7121,3.9178,3023031.5,1710921599999
113,1710921600000,3.9187,4.2219,3.8915,4.1678,5154188.1,1710935999999
114,1710936000000,4.1674,4.422,4.0333,4.2476,14195760.8,1710950399999
115,1710950400000,4.2492,4.2768,4.0593,4.2178,4927856.2,1710964799999
116,1710964800000,4.2174,4.2855,4.179,4.2337,2407036.9,1710979199999
117,1710979200000,4.2337,4.3682,4.188,4.2347,2440558.0,1710993599999
118,1710993600000,4.2352,4.2988,4.1251,4.1552,2529141.6,1711007999999
119,1711008000000,4.1549,4.1868,4.0815,4.1321,1628077.5,1711022399999
120,1711022400000,4.1325,4.221,4.0812,4.1446,1931751.1,1711036799999
121,1711036800000,4.1441,4.1624,4.0461,4.0799,1471542.4,1711051199999
122,1711051200000,4.0793,4.1238,4.0398,4.0655,1094462.8,1711065599999
123,1711065600000,4.064,4.3203,4.0379,4.3097,1617913.6,1711079999999
124,1711080000000,4.3097,4.4959,4.2443,4.4612,3707411.8,1711094399999
125,1711094400000,4.4621,4.4917,4.2574,4.2958,3764106.2,1711108799999
126,1711108800000,4.2953,4.3442,4.151,4.2634,3637281.7,1711123199999
127,1711123200000,4.2633,4.4389,4.1861,4.402,2851466.5,1711137599999
128,1711137600000,4.4037,4.4874,4.2895,4.4494,4352097.6,1711151999999
129,1711152000000,4.4498,4.6915,4.3859,4.6061,9123214.5,1711166399999
130,1711166400000,4.6058,4.9763,4.5717,4.9461,11333576.6,1711180799999
131,1711180800000,4.9454,5.1839,4.74,4.7642,18231279.4,1711195199999
132,1711195200000,4.7644,5.062,4.7381,4.9897,8782825.8,1711209599999
133,1711209600000,4.9898,5.3,4.9444,4.9991,10019543.6,1711223999999
134,1711224000000,4.9979,5.0017,4.8126,4.8234,3184787.6,1711238399999
