,open_time,open,high,low,close,VOLUME,close_time
0,1708776000000,7.124,7.149,6.948,7.046,699077.9,1708790399999
1,1708790400000,7.047,7.09,6.997,7.03,411826.6,1708804799999
2,1708804800000,7.032,7.08,6.978,7.042,258353.6,1708819199999
3,1708819200000,7.042,7.136,6.89,6.978,521459.1,1708833599999
4,1708833600000,6.979,7.041,6.924,6.983,380825.2,1708847999999
5,1708848000000,6.983,7.015,6.938,7.004,230622.2,1708862399999
6,1708862400000,7.005,7.08,6.962,6.977,383735.1,1708876799999
7,1708876800000,6.976,7.072,6.946,7.068,384407.9,1708891199999
8,1708891200000,7.067,7.133,7.023,7.119,457670.2,1708905599999
9,1708905600000,7.118,7.368,7.068,7.301,643014.2,1708919999999
10,1708920000000,7.3,7.455,7.219,7.272,898308.4,1708934399999
11,1708934400000,7.272,7.332,7.066,7.207,868868.2,1708948799999
12,1708948800000,7.207,7.289,7.128,7.249,629621.5,1708963199999
13,1708963200000,7.248,7.305,7.107,7.213,750343.9,1708977599999
14,1708977600000,7.213,7.227,7.159,7.179,309429.7,1708991999999
15,1708992000000,7.179,7.3,7.112,7.153,589712.1,1709006399999
16,1709006400000,7.154,7.301,7.145,7.233,363879.3,1709020799999
17,1709020800000,7.233,7.382,7.222,7.365,505602.7,1709035199999
18,1709035200000,7.363,7.374,7.015,7.054,776061.0,1709049599999
19,1709049600000,7.055,7.222,6.953,7.182,595995.4,1709063999999
20,1709064000000,7.182,7.265,7.144,7.2,320856.0,1709078399999
21,1709078400000,7.2,7.319,7.171,7.249,316954.1,1709092799999
22,1709092800000,7.25,7.365,7.24,7.351,343277.1,1709107199999
23,1709107200000,7.35,7.548,7.15,7.378,1089244.8,1709121599999
24,1709121600000,7.378,7.695,7.378,7.566,1181261.0,1709135999999
25,1709136000000,7.564,7.797,6.4,6.944,2964737.1,1709150399999
26,1709150400000,6.944,7.241,6.912,7.214,709234.7,1709164799999
27,1709164800000,7.214,7.446,7.129,7.399,682543.4,1709179199999
28,1709179200000,7.399,7.484,7.304,7.459,556540.0,1709193599999
29,1709193600000,7.458,7.588,7.375,7.395,627835.9,1709207999999
30,1709208000000,7.394,7.503,7.332,7.454,585508.1,1709222399999
31,1709222400000,7.454,7.463,7.206,7.407,1043185.7,1709236799999
32,1709236800000,7.406,7.418,6.976,7.186,733215.5,1709251199999
33,1709251200000,7.187,7.393,7.187,7.377,485689.8,1709265599999
34,1709265600000,7.376,7.587,7.371,7.421,581882.4,1709279999999
35,1709280000000,7.422,7.729,7.381,7.589,836060.9,1709294399999
36,1709294400000,7.589,7.666,7.469,7.524,891352.4,1709308799999
37,1709308800000,7.525,7.678,7.493,7.673,417786.5,1709323199999
38,1709323200000,7.672,7.773,7.642,7.688,383501.6,1709337599999
39,1709337600000,7.691,7.792,7.556,7.764,483258.7,1709351999999
40,1709352000000,7.762,7.997,7.671,7.929,751634.4,1709366399999
41,1709366400000,7.929,7.96,7.74,7.915,612570.9,1709380799999
42,1709380800000,7.912,8.095,7.848,7.898,746699.1,1709395199999
43,1709395200000,7.899,8.024,7.863,8.0,373134.6,1709409599999
44,1709409600000,8.0,8.173,7.916,8.125,524646.8,1709423999999
45,1709424000000,8.124,8.13,7.971,8.036,392547.4,1709438399999
46,1709438400000,8.036,8.064,7.126,7.517,1333016.4,1709452799999
47,1709452800000,7.516,7.759,7.435,7.723,708758.8,1709467199999
48,1709467200000,7.724,7.848,7.711,7.823,496164.9,1709481599999
49,1709481600000,7.823,8.194,7.712,8.112,1303357.5,1709495999999
50,1709496000000,8.112,8.156,8.028,8.111,654569.6,1709510399999
51,1709510400000,8.112,8.222,7.879,8.001,827272.7,1709524799999
52,1709524800000,8.001,8.169,7.945,8.106,383601.5,1709539199999
53,1709539200000,8.105,8.928,8.103,8.721,3040503.2,1709553599999
54,1709553600000,8.721,8.95,8.2,8.318,2078486.5,1709567999999
55,1709568000000,8.318,8.349,7.706,8.048,1774966.3,1709582399999
56,1709582400000,8.047,8.178,7.945,8.064,619485.9,1709596799999
57,1709596800000,8.064,8.205,7.887,8.012,773948.8,1709611199999
58,1709611200000,8.012,8.27,7.746,8.09,1088080.2,1709625599999
59,1709625600000,8.089,8.229,8.005,8.1,650761.1,1709639999999
60,1709640000000,8.1,8.194,7.741,7.868,1164379.1,1709654399999
61,1709654400000,7.87,7.933,5.816,6.642,2944973.7,1709668799999
62,1709668800000,6.637,7.074,6.513,7.034,1759085.3,1709683199999
63,1709683200000,7.033,7.117,6.785,6.9,689089.6,1709697599999
64,1709697600000,6.901,7.395,6.901,7.381,776608.5,1709711999999
65,1709712000000,7.38,7.461,7.184,7.252,728504.0,1709726399999
66,1709726400000,7.254,7.275,6.855,7.145,1287650.6,1709740799999
67,1709740800000,7.146,7.247,7.105,7.212,600465.5,1709755199999
68,1709755200000,7.211,7.417,7.187,7.393,446387.7,1709769599999
69,1709769600000,7.392,7.508,7.308,7.358,637678.6,1709783999999
70,1709784000000,7.359,7.524,7.178,7.463,890319.5,1709798399999
71,1709798400000,7.464,7.756,7.432,7.685,1452293.4,1709812799999
72,1709812800000,7.685,7.918,7.53,7.872,1236463.9,1709827199999
73,1709827200000,7.872,8.237,7.85,8.099,1664201.4,1709841599999
74,1709841600000,8.099,8.294,8.055,8.214,786528.7,1709855999999
75,1709856000000,8.214,8.345,7.949,8.001,1183686.2,1709870399999
76,1709870400000,8.0,8.054,7.88,7.98,688742.4,1709884799999
77,1709884800000,7.978,8.094,7.936,8.008,524194.8,1709899199999
78,1709899200000,8.008,8.117,7.335,7.749,1853998.4,1709913599999
79,1709913600000,7.748,7.968,7.583,7.92,1197531.0,1709927999999
80,1709928000000,7.92,8.069,7.919,8.053,431071.8,1709942399999
81,1709942400000,8.054,8.25,7.995,8.14,463499.2,1709956799999
82,1709956800000,8.141,8.313,8.088,8.219,546085.0,1709971199999
83,1709971200000,8.219,8.37,8.128,8.337,680084.7,1709985599999
84,1709985600000,8.335,8.339,8.192,8.275,437171.3,1709999999999
85,1710000000000,8.275,8.307,8.106,8.177,477054.9,1710014399999
86,1710014400000,8.177,8.297,8.168,8.217,282076.9,1710028799999
87,1710028800000,8.218,8.301,8.046,8.147,454583.5,1710043199999
88,1710043200000,8.147,8.245,8.086,8.245,288561.0,1710057599999
