,open_time,open,high,low,close,VOLUME,close_time
0,1708776000000,2.4672,2.4695,2.4069,2.419,2315982.7,1708790399999
1,1708790400000,2.4187,2.4658,2.4155,2.4608,1483070.6,1708804799999
2,1708804800000,2.4609,2.4635,2.4225,2.4262,1326246.5,1708819199999
3,1708819200000,2.4263,2.4437,2.3883,2.4009,1760594.4,1708833599999
4,1708833600000,2.401,2.4303,2.3973,2.4042,1128348.3,1708847999999
5,1708848000000,2.4041,2.4418,2.375,2.3972,1988147.4,1708862399999
6,1708862400000,2.3972,2.4178,2.387,2.394,1370854.9,1708876799999
7,1708876800000,2.3937,2.4137,2.381,2.4073,1687869.6,1708891199999
8,1708891200000,2.4068,2.488,2.4064,2.4558,3014364.6,1708905599999
9,1708905600000,2.4559,2.4919,2.4435,2.4584,2205754.9,1708919999999
10,1708920000000,2.4583,2.51,2.452,2.4632,2166676.9,1708934399999
11,1708934400000,2.4632,2.5013,2.4129,2.4294,3398682.9,1708948799999
12,1708948800000,2.4294,2.5356,2.411,2.5205,4444357.7,1708963199999
13,1708963200000,2.5202,2.5675,2.5024,2.5472,3588705.4,1708977599999
14,1708977600000,2.5471,2.55,2.5207,2.5462,1159040.0,1708991999999
15,1708992000000,2.5463,2.5746,2.506,2.5153,2472367.9,1709006399999
16,1709006400000,2.5147,2.5769,2.5133,2.5364,2064188.5,1709020799999
17,1709020800000,2.5363,2.8,2.5343,2.7418,9447145.1,1709035199999
18,1709035200000,2.742,2.7655,2.6232,2.6413,8366410.9,1709049599999
19,1709049600000,2.6419,2.701,2.6067,2.686,4528380.5,1709063999999
20,1709064000000,2.686,2.7671,2.6707,2.7008,5524849.9,1709078399999
21,1709078400000,2.7004,2.7524,2.6107,2.6166,4055367.2,1709092799999
22,1709092800000,2.6168,2.6744,2.6164,2.6693,2857696.2,1709107199999
23,1709107200000,2.6699,2.7158,2.626,2.6627,5042485.1,1709121599999
24,1709121600000,2.663,2.7173,2.651,2.6875,4504607.8,1709135999999
25,1709136000000,2.6874,2.758,2.274,2.5178,18540006.4,1709150399999
26,1709150400000,2.5179,2.6196,2.49,2.607,3185941.9,1709164799999
27,1709164800000,2.6072,2.6451,2.5642,2.6325,3378740.9,1709179199999
28,1709179200000,2.6334,2.6848,2.6023,2.6499,3258234.9,1709193599999
29,1709193600000,2.6499,2.7379,2.6413,2.6642,4126088.7,1709207999999
30,1709208000000,2.6638,2.7526,2.6376,2.7479,4233792.7,1709222399999
31,1709222400000,2.7484,2.8385,2.6596,2.8175,10462085.9,1709236799999
32,1709236800000,2.8188,2.858,2.6118,2.711,6931013.6,1709251199999
33,1709251200000,2.7123,2.7626,2.6878,2.6988,3148144.8,1709265599999
34,1709265600000,2.6984,2.7748,2.6968,2.7026,2625317.6,1709279999999
35,1709280000000,2.7034,2.7999,2.6834,2.7712,3564446.6,1709294399999
36,1709294400000,2.7707,2.786,2.7135,2.7359,3505353.0,1709308799999
37,1709308800000,2.7362,2.7864,2.694,2.7654,4231877.9,1709323199999
38,1709323200000,2.7655,2.7969,2.7443,2.7868,2346687.9,1709337599999
39,1709337600000,2.7867,2.9098,2.7806,2.8988,5090348.2,1709351999999
40,1709352000000,2.8989,2.938,2.8568,2.8864,3262281.1,1709366399999
41,1709366400000,2.8869,2.9984,2.8064,2.9786,4487849.5,1709380799999
42,1709380800000,2.9778,3.0128,2.9084,2.9498,5975228.5,1709395199999
43,1709395200000,2.95,3.0453,2.9455,2.9761,3953258.5,1709409599999
44,1709409600000,2.9761,3.0231,2.9451,3.0094,1963623.0,1709423999999
45,1709424000000,3.0094,3.0134,2.9391,2.9629,2479503.2,1709438399999
46,1709438400000,2.9632,3.26,2.6184,2.9052,14875849.2,1709452799999
47,1709452800000,2.9056,2.9787,2.8488,2.9649,5528081.7,1709467199999
48,1709467200000,2.9653,3.0059,2.9142,2.9648,3390853.3,1709481599999
49,1709481600000,2.9653,3.2035,2.9484,3.2007,6178343.7,1709495999999
50,1709496000000,3.2007,3.2473,3.1063,3.1168,6211850.1,1709510399999
51,1709510400000,3.1169,3.1968,3.0365,3.142,5524901.7,1709524799999
52,1709524800000,3.1421,3.347,3.0965,3.2319,6662991.0,1709539199999
53,1709539200000,3.2317,3.6538,3.2187,3.4853,22994193.8,1709553599999
54,1709553600000,3.485,3.5229,3.3261,3.3857,9211530.9,1709567999999
55,1709568000000,3.3858,3.4479,3.2121,3.3171,9109138.2,1709582399999
56,1709582400000,3.3172,3.3742,3.2845,3.3563,3394778.1,1709596799999
57,1709596800000,3.3566,3.3728,3.1938,3.2437,4412753.5,1709611199999
58,1709611200000,3.2435,3.4721,3.1102,3.438,9933477.4,1709625599999
59,1709625600000,3.4391,3.6305,3.4131,3.4488,11812263.6,1709639999999
60,1709640000000,3.4475,3.5085,3.351,3.425,8633981.8,1709654399999
61,1709654400000,3.4251,3.462,2.5,2.8504,16356240.8,1709668799999
62,1709668800000,2.8528,3.1254,2.8041,3.0958,11463758.6,1709683199999
63,1709683200000,3.096,3.1146,2.9187,2.9903,4722403.1,1709697599999
64,1709697600000,2.9899,3.2121,2.9838,3.2104,4194314.3,1709711999999
65,1709712000000,3.21,3.362,3.1847,3.2426,5610411.8,1709726399999
66,1709726400000,3.243,3.2697,3.0215,3.1585,9046952.9,1709740799999
67,1709740800000,3.1585,3.26,3.1347,3.2346,4067614.8,1709755199999
68,1709755200000,3.2344,3.3074,3.223,3.2893,2683026.0,1709769599999
69,1709769600000,3.2893,3.3494,3.2602,3.2796,3350881.3,1709783999999
70,1709784000000,3.2796,3.3656,3.1873,3.3316,4476139.9,1709798399999
71,1709798400000,3.3312,3.4632,3.3223,3.431,5767578.4,1709812799999
72,1709812800000,3.4314,3.4626,3.3145,3.3439,5966693.2,1709827199999
73,1709827200000,3.3455,3.4461,3.3374,3.4055,3169308.8,1709841599999
74,1709841600000,3.4049,3.4258,3.3628,3.3775,2079270.7,1709855999999
75,1709856000000,3.3775,3.447,3.3336,3.3538,2499374.1,1709870399999
76,1709870400000,3.3538,3.3775,3.3117,3.3323,1555358.2,1709884799999
77,1709884800000,3.3322,3.3435,3.2875,3.3365,2153747.9,1709899199999
78,1709899200000,3.3368,3.3567,3.0017,3.2144,6587128.1,1709913599999
79,1709913600000,3.2135,3.3375,3.1348,3.306,5321840.5,1709927999999
80,1709928000000,3.3059,3.3696,3.2911,3.3476,1945266.7,1709942399999
81,1709942400000,3.3476,3.37,3.312,3.3673,1779998.0,1709956799999
82,1709956800000,3.3673,3.4235,3.3273,3.3957,1801267.8,1709971199999
83,1709971200000,3.3965,3.4032,3.2913,3.3757,2976007.6,1709985599999
84,1709985600000,3.376,3.4419,3.353,3.4332,2964119.8,1709999999999
85,1710000000000,3.4333,3.4459,3.3345,3.3495,2565939.7,1710014399999
86,1710014400000,3.3493,3.3898,3.3402,3.3898,1419680.7,1710028799999
87,1710028800000,3.3898,3.6044,3.388,3.4879,7280618.2,1710043199999
88,1710043200000,3.4881,3.558,3.466,3.491,2938490.8,1710057599999
89,1710057600000,3.4911,3.5176,3.3916,3.4147,3567735.7,1710071999999
90,1710072000000,3.4147,3.4272,3.2609,3.3042,4131339.7,1710086399999
91,1710086400000,3.304,3.387,3.3033,3.3711,2095814.1,1710100799999
92,1710100800000,3.371,3.3818,3.2691,3.3773,1899355.5,1710115199999
93,1710115200000,3.3774,3.4429,3.1979,3.322,4538242.5,1710129599999
94,1710129600000,3.3215,3.4433,3.2864,3.4347,3413211.7,1710143999999
