,open_time,open,high,low,close,VOLUME,close_time
0,1708776000000,0.5464,0.5467,0.5432,0.5437,87070147.8,1708790399999
1,1708790400000,0.5436,0.5485,0.5434,0.5466,85747874.4,1708804799999
2,1708804800000,0.5465,0.5473,0.544,0.5453,65376363.2,1708819199999
3,1708819200000,0.5454,0.5489,0.5427,0.5458,81049494.1,1708833599999
4,1708833600000,0.5457,0.5474,0.5443,0.547,59549770.5,1708847999999
5,1708848000000,0.5469,0.5493,0.5447,0.5449,74628143.9,1708862399999
6,1708862400000,0.5449,0.547,0.5424,0.5442,80476147.1,1708876799999
7,1708876800000,0.5442,0.5466,0.5425,0.546,76034823.7,1708891199999
8,1708891200000,0.5461,0.5478,0.5424,0.5431,80725681.9,1708905599999
9,1708905600000,0.5431,0.5439,0.538,0.5413,97905098.4,1708919999999
10,1708920000000,0.5413,0.5414,0.5365,0.5376,108396658.0,1708934399999
11,1708934400000,0.5375,0.5397,0.5309,0.531,202406876.6,1708948799999
12,1708948800000,0.531,0.5427,0.5292,0.5418,210502737.1,1708963199999
13,1708963200000,0.5417,0.5537,0.5412,0.5507,307728538.1,1708977599999
14,1708977600000,0.5506,0.5535,0.5486,0.5512,137566225.8,1708991999999
15,1708992000000,0.5512,0.5616,0.5482,0.5537,289388712.8,1709006399999
16,1709006400000,0.5537,0.5577,0.5504,0.5524,184729819.5,1709020799999
17,1709020800000,0.5524,0.5654,0.5522,0.5601,233625984.8,1709035199999
18,1709035200000,0.5602,0.571,0.5546,0.5612,425798145.8,1709049599999
19,1709049600000,0.5612,0.5977,0.5577,0.5942,645833653.4,1709063999999
20,1709064000000,0.5942,0.5942,0.5777,0.5869,350815017.1,1709078399999
21,1709078400000,0.5869,0.5913,0.5776,0.5786,244747127.9,1709092799999
22,1709092800000,0.5787,0.5844,0.5756,0.5838,241084435.3,1709107199999
23,1709107200000,0.5837,0.5933,0.576,0.5808,486772475.7,1709121599999
24,1709121600000,0.5809,0.5912,0.5801,0.5879,403316904.7,1709135999999
25,1709136000000,0.588,0.6076,0.5147,0.5656,1239647692.6,1709150399999
26,1709150400000,0.5655,0.5777,0.56,0.5755,240381411.1,1709164799999
27,1709164800000,0.5755,0.5886,0.5672,0.588,315493931.1,1709179199999
28,1709179200000,0.588,0.6095,0.5821,0.5942,577536366.5,1709193599999
29,1709193600000,0.5942,0.6027,0.5892,0.5973,426253871.8,1709207999999
30,1709208000000,0.5973,0.6102,0.591,0.6068,519959845.8,1709222399999
31,1709222400000,0.6068,0.6269,0.5924,0.6106,860318374.6,1709236799999
32,1709236800000,0.6106,0.6128,0.5764,0.5872,406187130.1,1709251199999
33,1709251200000,0.5872,0.5963,0.5866,0.5922,235798977.0,1709265599999
34,1709265600000,0.5921,0.5973,0.5834,0.5853,196203449.6,1709279999999
35,1709280000000,0.5854,0.596,0.5837,0.5897,178996203.1,1709294399999
36,1709294400000,0.5898,0.5994,0.5857,0.5884,304389101.9,1709308799999
37,1709308800000,0.5884,0.5977,0.587,0.5964,224659113.4,1709323199999
38,1709323200000,0.5964,0.6041,0.5937,0.6019,169584006.7,1709337599999
39,1709337600000,0.6018,0.64,0.6,0.6319,616004057.4,1709351999999
40,1709352000000,0.632,0.635,0.6206,0.6314,313583778.3,1709366399999
41,1709366400000,0.6314,0.6438,0.6207,0.6435,506690475.9,1709380799999
42,1709380800000,0.6435,0.6525,0.628,0.6304,465728370.5,1709395199999
43,1709395200000,0.6303,0.6397,0.6263,0.6345,216461540.9,1709409599999
44,1709409600000,0.6345,0.6461,0.6281,0.6449,160630681.4,1709423999999
45,1709424000000,0.645,0.6455,0.6288,0.6368,242423849.5,1709438399999
46,1709438400000,0.6367,0.6409,0.58,0.6107,543274596.8,1709452799999
47,1709452800000,0.6107,0.6253,0.607,0.6247,330741781.9,1709467199999
48,1709467200000,0.6247,0.6308,0.6182,0.6234,240513157.9,1709481599999
49,1709481600000,0.6233,0.6304,0.6205,0.6275,189313665.4,1709495999999
50,1709496000000,0.6274,0.6337,0.624,0.6272,135835998.1,1709510399999
51,1709510400000,0.6271,0.64,0.6088,0.6353,412775754.8,1709524799999
52,1709524800000,0.6352,0.6449,0.6236,0.6378,343529833.6,1709539199999
53,1709539200000,0.6378,0.667,0.6335,0.6607,681793776.8,1709553599999
54,1709553600000,0.6607,0.6658,0.644,0.6628,451587734.8,1709567999999
55,1709568000000,0.6628,0.6635,0.6348,0.6561,595085516.3,1709582399999
56,1709582400000,0.656,0.6561,0.6459,0.6484,205080282.6,1709596799999
57,1709596800000,0.6485,0.6699,0.6443,0.6537,510489792.4,1709611199999
58,1709611200000,0.6537,0.6576,0.6193,0.6409,679652765.5,1709625599999
59,1709625600000,0.641,0.6542,0.632,0.6508,329370975.8,1709639999999
60,1709640000000,0.6507,0.6553,0.6325,0.6392,601958736.1,1709654399999
61,1709654400000,0.6392,0.6428,0.5235,0.5677,1185342812.0,1709668799999
62,1709668800000,0.568,0.5954,0.5585,0.5915,737830882.0,1709683199999
63,1709683200000,0.5915,0.5991,0.5759,0.5839,321562885.3,1709697599999
64,1709697600000,0.5839,0.6179,0.5834,0.6155,371701680.2,1709711999999
65,1709712000000,0.6154,0.625,0.6082,0.6149,351783360.7,1709726399999
66,1709726400000,0.6148,0.6159,0.5891,0.5996,534487769.0,1709740799999
67,1709740800000,0.5996,0.6147,0.5982,0.6123,228456594.6,1709755199999
68,1709755200000,0.6122,0.617,0.6089,0.6128,178628593.8,1709769599999
69,1709769600000,0.6128,0.6285,0.6069,0.6281,391199006.5,1709783999999
70,1709784000000,0.628,0.6311,0.6137,0.6259,471639670.4,1709798399999
71,1709798400000,0.6258,0.629,0.618,0.6227,258937141.7,1709812799999
72,1709812800000,0.6228,0.6295,0.6153,0.6263,350174679.2,1709827199999
73,1709827200000,0.6261,0.6355,0.6205,0.6332,278212117.6,1709841599999
74,1709841600000,0.6332,0.6399,0.6276,0.628,225531223.4,1709855999999
75,1709856000000,0.628,0.6349,0.6254,0.629,203465267.6,1709870399999
76,1709870400000,0.6291,0.6305,0.6192,0.6218,196151206.2,1709884799999
77,1709884800000,0.6219,0.6314,0.6185,0.6291,183537410.2,1709899199999
78,1709899200000,0.6291,0.632,0.592,0.6146,469982502.2,1709913599999
79,1709913600000,0.6146,0.6254,0.6028,0.6205,397769033.0,1709927999999
80,1709928000000,0.6206,0.6241,0.6173,0.6204,133371570.2,1709942399999
81,1709942400000,0.6204,0.63,0.6186,0.6265,124637554.6,1709956799999
82,1709956800000,0.6264,0.6331,0.6254,0.6296,119204897.8,1709971199999
83,1709971200000,0.6296,0.6308,0.6163,0.6236,238403994.2,1709985599999
84,1709985600000,0.6237,0.6262,0.6181,0.6222,160474070.8,1709999999999
85,1710000000000,0.6222,0.6244,0.6168,0.6204,164889042.0,1710014399999
86,1710014400000,0.6204,0.6241,0.6192,0.6206,83658788.6,1710028799999
87,1710028800000,0.6206,0.6255,0.62,0.623,130737409.4,1710043199999
88,1710043200000,0.6231,0.6282,0.6222,0.627,102433455.6,1710057599999
89,1710057600000,0.627,0.6288,0.6171,0.6195,225896223.3,1710071999999
90,1710072000000,0.6196,0.6214,0.6017,0.6108,335814752.5,1710086399999
91,1710086400000,0.6108,0.6153,0.61,0.6126,107109315.5,1710100799999
92,1710100800000,0.6126,0.6147,0.5966,0.6086,206908362.8,1710115199999
93,1710115200000,0.6087,0.6101,0.581,0.6091,391470260.5,1710129599999
94,1710129600000,0.6091,0.6252,0.6038,0.6208,301174375.2,1710143999999
95,1710144000000,0.6209,0.6315,0.6204,0.6238,360602778.6,1710158399999
96,1710158400000,0.6237,0.6964,0.6163,0.6937,765999621.1,1710172799999
97,1710172800000,0.6938,0.7455,0.6787,0.7315,2295285087.5,1710187199999
98,1710187200000,0.7316,0.7383,0.7115,0.7243,623238895.3,1710201599999
99,1710201600000,0.7242,0.735,0.688,0.6902,669036032.4,1710215999999
100,1710216000000,0.6902,0.7106,0.6859,0.7034,574249449.8,1710230399999
101,1710230400000,0.7033,0.7058,0.677,0.7018,678059372.3,1710244799999
102,1710244800000,0.7017,0.7145,0.6875,0.7035,849509405.1,1710259199999
103,1710259200000,0.7035,0.7043,0.6565,0.6915,867455446.1,1710273599999
104,1710273600000,0.6916,0.6918,0.6834,0.6886,195377590.0,1710287999999
105,1710288000000,0.6887,0.7006,0.6825,0.6994,265969241.8,1710302399999
