,open_time,open,high,low,close,VOLUME,close_time
0,1708776000000,27.67,28.13,27.45,27.72,169980.39,1708790399999
1,1708790400000,27.71,27.89,27.39,27.7,128516.835,1708804799999
2,1708804800000,27.68,28.16,27.57,28.01,96995.558,1708819199999
3,1708819200000,28.0,28.3,27.42,27.76,146052.897,1708833599999
4,1708833600000,27.75,27.78,27.44,27.47,110040.686,1708847999999
5,1708848000000,27.47,27.76,27.37,27.67,68659.752,1708862399999
6,1708862400000,27.67,28.07,27.46,27.58,108780.664,1708876799999
7,1708876800000,27.58,27.92,27.35,27.86,63602.439,1708891199999
8,1708891200000,27.85,28.13,27.72,27.76,82957.746,1708905599999
9,1708905600000,27.77,28.27,27.67,28.13,96320.962,1708919999999
10,1708920000000,28.12,28.98,27.94,28.69,159700.178,1708934399999
11,1708934400000,28.7,29.02,27.78,28.26,211455.008,1708948799999
12,1708948800000,28.26,28.62,27.91,28.57,112612.158,1708963199999
13,1708963200000,28.56,28.63,27.82,28.28,128975.126,1708977599999
14,1708977600000,28.27,28.32,27.88,28.13,108322.706,1708991999999
15,1708992000000,28.13,29.21,28.0,28.83,194658.645,1709006399999
16,1709006400000,28.83,29.58,28.69,29.32,152165.042,1709020799999
17,1709020800000,29.31,30.08,29.28,29.53,212640.34,1709035199999
18,1709035200000,29.53,30.06,28.39,28.55,328000.117,1709049599999
19,1709049600000,28.56,29.18,28.36,28.74,198436.615,1709063999999
20,1709064000000,28.75,29.11,28.4,28.79,109694.41,1709078399999
21,1709078400000,28.81,29.14,28.66,28.98,95702.975,1709092799999
22,1709092800000,28.97,29.05,28.49,28.89,147591.355,1709107199999
23,1709107200000,28.89,29.71,28.46,29.04,248992.761,1709121599999
24,1709121600000,29.04,29.29,28.19,28.59,340681.752,1709135999999
25,1709136000000,28.59,29.57,25.54,27.42,631055.316,1709150399999
26,1709150400000,27.43,28.67,27.15,28.37,174663.152,1709164799999
27,1709164800000,28.38,29.02,28.17,28.51,162794.604,1709179199999
28,1709179200000,28.52,30.27,28.37,29.89,349418.451,1709193599999
29,1709193600000,29.89,30.48,29.43,29.51,201375.335,1709207999999
30,1709208000000,29.5,29.89,29.17,29.69,171282.003,1709222399999
31,1709222400000,29.69,29.79,28.4,28.46,300147.014,1709236799999
32,1709236800000,28.46,28.74,27.0,27.94,248665.088,1709251199999
33,1709251200000,27.95,28.94,27.92,28.8,149917.644,1709265599999
34,1709265600000,28.8,29.15,28.63,28.71,183368.687,1709279999999
35,1709280000000,28.71,29.52,28.6,29.28,109132.576,1709294399999
36,1709294400000,29.27,29.45,28.68,28.82,145404.541,1709308799999
37,1709308800000,28.83,29.72,28.66,29.5,142067.294,1709323199999
38,1709323200000,29.5,29.74,29.33,29.58,114881.149,1709337599999
39,1709337600000,29.59,31.11,29.31,31.02,337718.903,1709351999999
40,1709352000000,31.02,31.36,30.25,30.9,288598.119,1709366399999
41,1709366400000,30.91,31.21,30.2,31.11,194433.594,1709380799999
42,1709380800000,31.12,31.66,30.74,31.36,289233.469,1709395199999
43,1709395200000,31.37,32.45,31.26,32.36,203832.258,1709409599999
44,1709409600000,32.36,33.42,31.92,33.15,227697.4,1709423999999
45,1709424000000,33.16,33.38,31.9,32.63,287456.138,1709438399999
46,1709438400000,32.62,33.12,29.14,31.72,372828.991,1709452799999
47,1709452800000,31.73,32.5,31.68,32.16,217164.172,1709467199999
48,1709467200000,32.16,32.72,31.37,31.95,216702.556,1709481599999
49,1709481600000,31.96,32.24,31.55,31.79,151852.075,1709495999999
50,1709496000000,31.8,31.96,31.52,31.67,121706.107,1709510399999
51,1709510400000,31.68,32.22,31.06,31.5,205896.088,1709524799999
52,1709524800000,31.49,32.41,31.26,32.35,195070.395,1709539199999
53,1709539200000,32.36,33.23,31.84,32.37,248462.199,1709553599999
54,1709553600000,32.37,32.71,31.54,32.08,230395.95,1709567999999
55,1709568000000,32.08,32.87,30.83,32.38,410319.576,1709582399999
56,1709582400000,32.38,33.3,32.15,32.86,263544.51,1709596799999
57,1709596800000,32.86,33.37,32.27,32.57,239810.444,1709611199999
58,1709611200000,32.57,34.82,32.57,33.58,443248.077,1709625599999
59,1709625600000,33.58,34.65,33.19,34.02,298447.88,1709639999999
60,1709640000000,34.02,35.08,33.16,34.22,522229.219,1709654399999
61,1709654400000,34.23,34.56,25.81,29.0,768471.711,1709668799999
62,1709668800000,29.0,30.51,27.73,30.33,546966.714,1709683199999
63,1709683200000,30.32,30.94,29.12,29.88,316688.794,1709697599999
64,1709697600000,29.87,31.83,29.86,31.72,245723.346,1709711999999
65,1709712000000,31.73,32.13,30.94,31.43,204260.738,1709726399999
66,1709726400000,31.43,31.62,30.05,31.0,249203.309,1709740799999
67,1709740800000,31.01,31.96,30.94,31.94,134630.941,1709755199999
68,1709755200000,31.94,33.1,31.8,32.89,171199.878,1709769599999
69,1709769600000,32.89,34.26,32.63,33.34,259993.727,1709783999999
70,1709784000000,33.34,33.78,32.66,33.42,284299.247,1709798399999
71,1709798400000,33.41,34.01,33.38,33.96,233631.252,1709812799999
72,1709812800000,33.95,34.29,33.1,33.76,323217.481,1709827199999
73,1709827200000,33.76,34.28,33.33,34.05,243922.411,1709841599999
74,1709841600000,34.04,34.55,34.01,34.1,133325.062,1709855999999
75,1709856000000,34.1,34.7,33.71,33.85,157332.191,1709870399999
76,1709870400000,33.85,34.01,33.56,33.79,118076.071,1709884799999
77,1709884800000,33.78,35.08,33.76,34.47,217034.536,1709899199999
78,1709899200000,34.47,34.5,31.9,33.87,261888.859,1709913599999
79,1709913600000,33.85,34.31,33.04,33.71,253493.813,1709927999999
80,1709928000000,33.71,34.78,33.68,34.63,211364.544,1709942399999
81,1709942400000,34.63,35.28,34.17,34.82,223010.714,1709956799999
82,1709956800000,34.82,35.54,34.53,35.23,328287.698,1709971199999
83,1709971200000,35.23,35.67,34.9,35.3,230167.142,1709985599999
84,1709985600000,35.3,35.43,34.72,34.97,169190.059,1709999999999
85,1710000000000,34.98,35.05,33.9,33.93,164389.807,1710014399999
86,1710014400000,33.94,34.31,33.76,34.27,106146.683,1710028799999
87,1710028800000,34.28,34.98,34.25,34.55,165564.407,1710043199999
88,1710043200000,34.56,34.61,34.17,34.27,119227.367,1710057599999
89,1710057600000,34.27,34.36,33.1,33.47,245639.165,1710071999999
90,1710072000000,33.46,33.72,32.09,32.96,212979.984,1710086399999
91,1710086400000,32.96,33.79,32.95,33.59,150221.001,1710100799999
92,1710100800000,33.58,34.0,32.76,33.79,127499.491,1710115199999
93,1710115200000,33.78,34.01,31.3,33.14,190055.904,1710129599999
94,1710129600000,33.14,33.9,32.66,33.76,131452.859,1710143999999
95,1710144000000,33.77,33.86,32.54,32.83,308873.2,1710158399999
96,1710158400000,32.83,33.39,32.64,33.09,249672.486,1710172799999
97,1710172800000,33.1,34.67,32.9,34.32,343284.597,1710187199999
98,1710187200000,34.33,35.21,34.26,34.92,172004.277,1710201599999
99,1710201600000,34.92,35.2,34.22,34.33,184355.647,1710215999999
100,1710216000000,34.33,34.55,33.44,33.67,181944.766,1710230399999
101,1710230400000,33.67,33.83,32.6,33.21,222694.189,1710244799999
102,1710244800000,33.21,33.9,32.53,33.3,232979.618,1710259199999
103,1710259200000,33.31,33.96,31.15,33.76,307294.54,1710273599999
104,1710273600000,33.77,34.34,33.39,34.22,121518.903,1710287999999
105,1710288000000,34.23,35.76,34.09,35.48,291856.322,1710302399999
106,1710302400000,35.49,35.5,34.55,34.73,222806.12,1710316799999
107,1710316800000,34.74,35.02,34.24,34.46,237618.539,1710331199999
108,1710331200000,34.46,34.57,33.07,33.3,296046.693,1710345599999
109,1710345600000,33.3,34.98,33.14,34.97,233234.536,1710359999999
110,1710360000000,34.96,35.07,34.37,34.9,159777.341,1710374399999
111,1710374400000,34.91,35.16,34.21,34.5,157368.488,1710388799999
112,1710388800000,34.49,34.77,34.14,34.58,145052.747,1710403199999
113,1710403200000,34.57,35.6,33.9,34.45,213486.38,1710417599999
114,1710417600000,34.46,34.7,32.62,32.99,317194.314,1710431999999
115,1710432000000,32.98,33.91,31.85,32.83,304460.448,1710446399999
116,1710446400000,32.83,34.43,32.78,34.13,126911.829,1710460799999
117,1710460800000,34.14,35.18,30.7,32.14,357209.402,1710475199999
118,1710475200000,32.13,32.66,31.41,32.37,210602.966,1710489599999
119,1710489600000,32.37,32.42,29.04,30.76,418922.12,1710503999999
120,1710504000000,30.77,31.43,30.46,31.07,162968.803,1710518399999
121,1710518400000,31.07,32.04,30.66,31.15,152236.076,1710532799999
122,1710532800000,31.16,31.65,30.41,31.53,145895.288,1710547199999
123,1710547200000,31.53,31.93,31.33,31.76,124423.023,1710561599999
124,1710561600000,31.78,32.23,31.35,32.11,146065.071,1710575999999
125,1710576000000,32.11,32.18,30.82,31.15,142653.346,1710590399999
126,1710590400000,31.14,31.16,29.66,30.2,234300.445,1710604799999
127,1710604800000,30.2,30.2,28.21,28.94,314396.041,1710619199999
128,1710619200000,28.94,29.44,28.26,29.11,191252.88,1710633599999
129,1710633600000,29.11,29.56,28.49,29.48,142488.853,1710647999999
130,1710648000000,29.48,29.49,27.26,28.21,241457.469,1710662399999
131,1710662400000,28.19,29.65,28.12,29.18,200816.894,1710676799999
132,1710676800000,29.17,29.83,28.7,29.71,165917.038,1710691199999
133,1710691200000,29.7,29.93,29.55,29.77,128461.259,1710705599999
134,1710705600000,29.76,29.8,29.11,29.29,105829.032,1710719999999
135,1710720000000,29.29,29.37,28.33,29.17,174474.535,1710734399999
136,1710734400000,29.16,29.55,28.85,29.16,104058.441,1710748799999
137,1710748800000,29.17,29.18,28.19,28.77,162164.255,1710763199999
138,1710763200000,28.75,28.89,27.5,27.94,255107.784,1710777599999
139,1710777600000,27.93,28.26,26.96,27.18,235250.171,1710791999999
140,1710792000000,27.19,27.9,27.19,27.6,125630.374,1710806399999
141,1710806400000,27.59,27.87,25.57,26.22,395823.343,1710820799999
142,1710820800000,26.22,26.33,24.6,25.63,293409.983,1710835199999
143,1710835200000,25.62,25.63,24.38,25.56,378392.147,1710849599999
144,1710849600000,25.56,26.26,25.07,26.12,239568.292,1710863999999
145,1710864000000,26.12,26.85,26.03,26.53,176477.15,1710878399999
146,1710878400000,26.54,26.59,24.45,25.04,242889.443,1710892799999
147,1710892800000,25.04,25.83,24.85,25.03,171814.954,1710907199999
148,1710907200000,25.03,26.39,24.29,26.2,272219.685,1710921599999
149,1710921600000,26.21,26.73,25.73,26.7,172977.815,1710935999999
150,1710936000000,26.7,26.88,26.09,26.25,201098.464,1710950399999
151,1710950400000,26.24,28.01,25.34,27.92,412109.51,1710964799999
152,1710964800000,27.91,28.54,27.81,28.36,170093.902,1710979199999
153,1710979200000,28.34,29.52,28.24,29.2,217436.391,1710993599999
154,1710993600000,29.2,29.37,28.3,28.83,183448.421,1711007999999
155,1711008000000,28.83,29.03,28.53,28.76,119470.956,1711022399999
156,1711022400000,28.76,29.34,28.69,29.16,194174.68,1711036799999
157,1711036800000,29.16,29.93,28.54,29.18,222052.968,1711051199999
158,1711051200000,29.18,29.86,28.82,29.43,121004.592,1711065599999
159,1711065600000,29.43,29.72,28.67,29.32,131470.145,1711079999999
160,1711080000000,29.32,29.57,29.05,29.48,117745.991,1711094399999
161,1711094400000,29.49,29.59,28.3,28.46,184302.442,1711108799999
162,1711108800000,28.46,29.0,27.8,28.65,338850.755,1711123199999
163,1711123200000,28.65,28.97,28.1,28.82,180904.25,1711137599999
164,1711137600000,28.83,28.85,27.96,28.82,145977.803,1711151999999
165,1711152000000,28.82,29.4,28.25,28.65,135477.187,1711166399999
166,1711166400000,28.65,29.1,28.6,28.89,74380.38,1711180799999
167,1711180800000,28.89,28.99,28.52,28.9,97296.753,1711195199999
168,1711195200000,28.9,29.56,28.8,29.35,155304.026,1711209599999
169,1711209600000,29.36,29.47,28.98,29.05,78329.44,1711223999999
170,1711224000000,29.05,29.31,28.62,28.69,81358.391,1711238399999
171,1711238400000,28.7,29.23,28.65,28.78,71867.856,1711252799999
172,1711252800000,28.79,29.44,28.62,29.0,103907.865,1711267199999
