,open_time,open,high,low,close,VOLUME,close_time
0,1710977400000,2.568,2.58,2.551,2.577,1287705.1,1710978299999
1,1710978300000,2.576,2.589,2.565,2.572,1136696.3,1710979199999
2,1710979200000,2.572,2.572,2.523,2.533,1545307.9,1710980099999
3,1710980100000,2.532,2.538,2.49,2.508,1183131.8,1710980999999
4,1710981000000,2.508,2.54,2.501,2.536,976013.8,1710981899999
5,1710981900000,2.535,2.535,2.501,2.503,770946.5,1710982799999
6,1710982800000,2.503,2.52,2.494,2.519,561163.1,1710983699999
7,1710983700000,2.519,2.585,2.518,2.577,1117387.7,1710984599999
8,1710984600000,2.578,2.673,2.576,2.672,2280423.0,1710985499999
9,1710985500000,2.672,2.7,2.64,2.648,2205904.1,1710986399999
10,1710986400000,2.647,2.674,2.59,2.6,1488265.5,1710987299999
11,1710987300000,2.6,2.62,2.593,2.6,722783.8,1710988199999
12,1710988200000,2.6,2.635,2.598,2.617,860431.3,1710989099999
13,1710989100000,2.617,2.62,2.57,2.575,1160543.6,1710989999999
14,1710990000000,2.575,2.576,2.551,2.556,527945.6,1710990899999
15,1710990900000,2.555,2.562,2.534,2.539,779085.1,1710991799999
16,1710991800000,2.539,2.591,2.539,2.567,1130332.8,1710992699999
17,1710992700000,2.566,2.566,2.512,2.535,1527111.6,1710993599999
18,1710993600000,2.535,2.555,2.502,2.516,1181355.3,1710994499999
19,1710994500000,2.516,2.538,2.512,2.518,806997.1,1710995399999
20,1710995400000,2.517,2.535,2.493,2.506,1155166.4,1710996299999
21,1710996300000,2.506,2.527,2.482,2.487,790084.8,1710997199999
22,1710997200000,2.486,2.5,2.432,2.461,1560684.9,1710998099999
23,1710998100000,2.461,2.461,2.423,2.456,1129662.7,1710998999999
24,1710999000000,2.455,2.468,2.446,2.463,890961.6,1710999899999
25,1710999900000,2.462,2.498,2.462,2.496,924280.1,1711000799999
26,1711000800000,2.496,2.507,2.477,2.491,1018342.5,1711001699999
27,1711001700000,2.492,2.5,2.475,2.492,529886.3,1711002599999
28,1711002600000,2.492,2.516,2.485,2.516,739613.3,1711003499999
29,1711003500000,2.516,2.525,2.508,2.518,552341.6,1711004399999
30,1711004400000,2.518,2.523,2.496,2.517,607772.3,1711005299999
31,1711005300000,2.517,2.555,2.516,2.555,829441.6,1711006199999
32,1711006200000,2.555,2.566,2.55,2.552,380577.2,1711007099999
33,1711007100000,2.552,2.56,2.527,2.556,800860.2,1711007999999
34,1711008000000,2.555,2.57,2.532,2.562,588789.9,1711008899999
35,1711008900000,2.561,2.563,2.525,2.533,828608.1,1711009799999
36,1711009800000,2.533,2.533,2.498,2.509,757943.9,1711010699999
37,1711010700000,2.509,2.527,2.501,2.51,481645.5,1711011599999
38,1711011600000,2.511,2.529,2.505,2.507,420529.6,1711012499999
39,1711012500000,2.506,2.522,2.498,2.516,349420.3,1711013399999
40,1711013400000,2.515,2.519,2.478,2.481,583741.5,1711014299999
41,1711014300000,2.482,2.513,2.48,2.512,534810.7,1711015199999
42,1711015200000,2.512,2.516,2.472,2.505,817767.1,1711016099999
43,1711016100000,2.506,2.509,2.489,2.492,424242.4,1711016999999
44,1711017000000,2.492,2.495,2.467,2.473,582871.3,1711017899999
45,1711017900000,2.473,2.489,2.473,2.486,687544.9,1711018799999
46,1711018800000,2.486,2.518,2.486,2.51,689809.3,1711019699999
47,1711019700000,2.51,2.511,2.469,2.478,852939.8,1711020599999
48,1711020600000,2.477,2.5,2.469,2.493,537612.7,1711021499999
49,1711021500000,2.494,2.495,2.48,2.484,461563.4,1711022399999
50,1711022400000,2.485,2.514,2.483,2.505,705190.2,1711023299999
51,1711023300000,2.505,2.507,2.488,2.501,342289.1,1711024199999
52,1711024200000,2.501,2.512,2.472,2.472,497349.2,1711025099999
53,1711025100000,2.472,2.479,2.456,2.472,600038.9,1711025999999
54,1711026000000,2.472,2.496,2.47,2.483,593645.8,1711026899999
55,1711026900000,2.482,2.488,2.458,2.479,586524.0,1711027799999
56,1711027800000,2.48,2.49,2.452,2.457,812972.0,1711028699999
57,1711028700000,2.458,2.469,2.44,2.451,937909.9,1711029599999
58,1711029600000,2.45,2.497,2.44,2.492,581293.5,1711030499999
59,1711030500000,2.491,2.501,2.456,2.46,1122024.7,1711031399999
60,1711031400000,2.46,2.467,2.445,2.457,804006.5,1711032299999
61,1711032300000,2.456,2.473,2.444,2.455,529275.4,1711033199999
62,1711033200000,2.455,2.466,2.437,2.45,722144.3,1711034099999
63,1711034100000,2.449,2.465,2.437,2.443,673804.4,1711034999999
64,1711035000000,2.443,2.452,2.416,2.431,1201016.9,1711035899999
65,1711035900000,2.432,2.445,2.421,2.443,731358.7,1711036799999
66,1711036800000,2.443,2.482,2.429,2.477,767813.9,1711037699999
67,1711037700000,2.477,2.543,2.463,2.536,1313156.8,1711038599999
68,1711038600000,2.537,2.537,2.493,2.505,741142.3,1711039499999
69,1711039500000,2.506,2.533,2.497,2.52,463325.7,1711040399999
70,1711040400000,2.52,2.532,2.497,2.517,626230.1,1711041299999
71,1711041300000,2.517,2.548,2.496,2.498,954195.1,1711042199999
72,1711042200000,2.499,2.511,2.455,2.458,1089188.3,1711043099999
73,1711043100000,2.458,2.469,2.442,2.457,887052.5,1711043999999
74,1711044000000,2.457,2.469,2.41,2.423,849843.2,1711044899999
75,1711044900000,2.424,2.442,2.414,2.437,768021.6,1711045799999
76,1711045800000,2.437,2.437,2.392,2.395,902570.4,1711046699999
77,1711046700000,2.395,2.423,2.394,2.412,541563.7,1711047599999
78,1711047600000,2.413,2.426,2.404,2.424,567358.9,1711048499999
79,1711048500000,2.424,2.432,2.402,2.43,478079.6,1711049399999
80,1711049400000,2.429,2.454,2.423,2.45,497080.2,1711050299999
81,1711050300000,2.449,2.469,2.437,2.457,529037.1,1711051199999
82,1711051200000,2.456,2.476,2.422,2.475,837629.1,1711052099999
83,1711052100000,2.474,2.502,2.471,2.475,659259.9,1711052999999
84,1711053000000,2.476,2.483,2.456,2.471,456209.4,1711053899999
85,1711053900000,2.471,2.489,2.448,2.484,467363.4,1711054799999
86,1711054800000,2.483,2.488,2.463,2.471,296000.1,1711055699999
87,1711055700000,2.471,2.479,2.447,2.45,269691.7,1711056599999
88,1711056600000,2.45,2.469,2.449,2.468,283718.0,1711057499999
89,1711057500000,2.468,2.497,2.466,2.492,199062.2,1711058399999
90,1711058400000,2.493,2.531,2.49,2.512,683001.0,1711059299999
91,1711059300000,2.512,2.517,2.487,2.499,575667.2,1711060199999
92,1711060200000,2.5,2.5,2.479,2.491,499149.8,1711061099999
93,1711061100000,2.492,2.51,2.488,2.493,253185.6,1711061999999
94,1711062000000,2.492,2.505,2.476,2.501,442041.0,1711062899999
95,1711062900000,2.501,2.508,2.495,2.504,267609.3,1711063799999
96,1711063800000,2.504,2.508,2.482,2.483,160213.0,1711064699999
97,1711064700000,2.483,2.507,2.482,2.497,279557.8,1711065599999
98,1711065600000,2.497,2.5,2.48,2.491,232734.3,1711066499999
99,1711066500000,2.492,2.513,2.484,2.509,236092.5,1711067399999
100,1711067400000,2.509,2.509,2.45,2.461,655572.0,1711068299999
101,1711068300000,2.46,2.472,2.434,2.461,367260.2,1711069199999
102,1711069200000,2.461,2.463,2.426,2.456,484458.1,1711070099999
103,1711070100000,2.457,2.46,2.427,2.43,428832.6,1711070999999
104,1711071000000,2.43,2.432,2.374,2.392,1518388.7,1711071899999
105,1711071900000,2.392,2.412,2.385,2.389,601148.4,1711072799999
106,1711072800000,2.389,2.399,2.367,2.376,522207.0,1711073699999
107,1711073700000,2.377,2.382,2.362,2.376,436626.1,1711074599999
108,1711074600000,2.376,2.388,2.371,2.38,238067.4,1711075499999
109,1711075500000,2.381,2.391,2.358,2.385,513012.4,1711076399999
110,1711076400000,2.386,2.404,2.386,2.399,409612.9,1711077299999
111,1711077300000,2.399,2.434,2.399,2.432,645345.4,1711078199999
112,1711078200000,2.432,2.446,2.423,2.424,340261.9,1711079099999
113,1711079100000,2.425,2.45,2.425,2.448,424515.6,1711079999999
114,1711080000000,2.448,2.477,2.441,2.474,532526.7,1711080899999
115,1711080900000,2.474,2.491,2.468,2.488,558729.1,1711081799999
116,1711081800000,2.487,2.495,2.464,2.473,400485.6,1711082699999
117,1711082700000,2.473,2.492,2.472,2.481,365262.4,1711083599999
118,1711083600000,2.481,2.483,2.45,2.456,428080.8,1711084499999
119,1711084500000,2.455,2.475,2.447,2.474,443874.4,1711085399999
120,1711085400000,2.475,2.514,2.47,2.496,929263.8,1711086299999
121,1711086300000,2.495,2.514,2.483,2.497,676718.8,1711087199999
122,1711087200000,2.497,2.505,2.489,2.493,328721.5,1711088099999
123,1711088100000,2.494,2.5,2.48,2.497,424493.8,1711088999999
124,1711089000000,2.497,2.498,2.465,2.471,570150.3,1711089899999
125,1711089900000,2.471,2.475,2.46,2.473,330291.9,1711090799999
126,1711090800000,2.472,2.472,2.457,2.467,264536.5,1711091699999
127,1711091700000,2.466,2.471,2.456,2.465,281561.3,1711092599999
128,1711092600000,2.465,2.47,2.453,2.46,294859.8,1711093499999
129,1711093500000,2.459,2.464,2.454,2.456,232178.3,1711094399999
130,1711094400000,2.456,2.469,2.446,2.465,418908.5,1711095299999
131,1711095300000,2.464,2.475,2.455,2.457,374224.9,1711096199999
132,1711096200000,2.457,2.459,2.421,2.427,426851.4,1711097099999
133,1711097100000,2.427,2.432,2.417,2.423,380641.9,1711097999999
134,1711098000000,2.422,2.433,2.42,2.426,381366.2,1711098899999
135,1711098900000,2.427,2.433,2.421,2.423,263222.7,1711099799999
136,1711099800000,2.424,2.425,2.399,2.402,495781.6,1711100699999
137,1711100700000,2.402,2.414,2.401,2.407,359481.6,1711101599999
138,1711101600000,2.407,2.41,2.39,2.401,341020.3,1711102499999
139,1711102500000,2.4,2.415,2.38,2.391,605466.5,1711103399999
140,1711103400000,2.392,2.4,2.375,2.398,366683.2,1711104299999
141,1711104300000,2.398,2.402,2.37,2.373,440882.0,1711105199999
142,1711105200000,2.374,2.384,2.363,2.375,560105.2,1711106099999
143,1711106100000,2.375,2.383,2.37,2.381,394241.4,1711106999999
144,1711107000000,2.381,2.393,2.37,2.377,322320.5,1711107899999
145,1711107900000,2.378,2.385,2.343,2.355,709969.7,1711108799999
146,1711108800000,2.354,2.383,2.337,2.377,628096.4,1711109699999
147,1711109700000,2.377,2.389,2.37,2.381,447238.4,1711110599999
148,1711110600000,2.38,2.394,2.367,2.393,411420.2,1711111499999
149,1711111500000,2.393,2.393,2.369,2.372,336682.9,1711112399999
150,1711112400000,2.371,2.377,2.331,2.337,500947.1,1711113299999
151,1711113300000,2.338,2.363,2.334,2.362,522344.3,1711114199999
152,1711114200000,2.362,2.363,2.318,2.322,876259.7,1711115099999
153,1711115100000,2.323,2.327,2.288,2.299,1324021.1,1711115999999
154,1711116000000,2.298,2.322,2.297,2.301,707265.7,1711116899999
155,1711116900000,2.301,2.317,2.28,2.298,1252117.9,1711117799999
156,1711117800000,2.297,2.317,2.293,2.298,599662.6,1711118699999
157,1711118700000,2.299,2.313,2.282,2.292,654412.8,1711119599999
158,1711119600000,2.292,2.333,2.288,2.312,784801.2,1711120499999
159,1711120500000,2.312,2.371,2.307,2.37,700591.8,1711121399999
160,1711121400000,2.371,2.373,2.339,2.344,722340.1,1711122299999
161,1711122300000,2.344,2.353,2.34,2.346,392781.7,1711123199999
162,1711123200000,2.346,2.35,2.323,2.348,474761.8,1711124099999
163,1711124100000,2.347,2.354,2.321,2.331,390540.1,1711124999999
164,1711125000000,2.33,2.333,2.31,2.314,556827.1,1711125899999
165,1711125900000,2.315,2.336,2.31,2.331,415698.3,1711126799999
166,1711126800000,2.33,2.353,2.33,2.348,598650.7,1711127699999
167,1711127700000,2.348,2.358,2.331,2.336,542963.9,1711128599999
168,1711128600000,2.336,2.353,2.332,2.35,348298.5,1711129499999
169,1711129500000,2.349,2.359,2.346,2.35,315531.8,1711130399999
170,1711130400000,2.35,2.363,2.345,2.347,212255.5,1711131299999
171,1711131300000,2.347,2.347,2.337,2.345,198805.8,1711132199999
172,1711132200000,2.344,2.363,2.339,2.352,247678.2,1711133099999
173,1711133100000,2.352,2.37,2.347,2.364,435327.4,1711133999999
174,1711134000000,2.364,2.373,2.347,2.348,341932.8,1711134899999
175,1711134900000,2.348,2.356,2.343,2.352,335451.3,1711135799999
176,1711135800000,2.352,2.366,2.349,2.355,263588.4,1711136699999
177,1711136700000,2.355,2.375,2.349,2.372,333980.2,1711137599999
178,1711137600000,2.371,2.372,2.345,2.346,349804.1,1711138499999
179,1711138500000,2.347,2.354,2.344,2.346,174974.1,1711139399999
180,1711139400000,2.347,2.356,2.345,2.35,190202.4,1711140299999
181,1711140300000,2.351,2.36,2.344,2.354,259714.0,1711141199999
182,1711141200000,2.354,2.356,2.328,2.33,265319.8,1711142099999
183,1711142100000,2.33,2.34,2.319,2.338,313090.6,1711142999999
184,1711143000000,2.337,2.337,2.313,2.322,342737.3,1711143899999
185,1711143900000,2.323,2.354,2.322,2.347,415838.5,1711144799999
186,1711144800000,2.346,2.353,2.332,2.342,305936.1,1711145699999
187,1711145700000,2.342,2.342,2.316,2.336,326035.2,1711146599999
188,1711146600000,2.337,2.357,2.334,2.357,252714.6,1711147499999
189,1711147500000,2.356,2.363,2.341,2.354,327231.4,1711148399999
190,1711148400000,2.354,2.366,2.346,2.361,332801.3,1711149299999
191,1711149300000,2.361,2.387,2.356,2.381,406642.9,1711150199999
192,1711150200000,2.381,2.39,2.381,2.384,231385.7,1711151099999
193,1711151100000,2.384,2.396,2.375,2.395,193547.3,1711151999999
194,1711152000000,2.396,2.397,2.374,2.379,437632.1,1711152899999
195,1711152900000,2.378,2.38,2.358,2.366,190431.2,1711153799999
196,1711153800000,2.365,2.371,2.352,2.365,229089.8,1711154699999
197,1711154700000,2.366,2.368,2.357,2.357,139915.4,1711155599999
198,1711155600000,2.357,2.385,2.356,2.379,247596.9,1711156499999
199,1711156500000,2.378,2.393,2.37,2.392,225627.4,1711157399999
200,1711157400000,2.392,2.409,2.383,2.406,456779.9,1711158299999
201,1711158300000,2.405,2.44,2.401,2.432,736184.3,1711159199999
202,1711159200000,2.432,2.432,2.397,2.402,532387.1,1711160099999
203,1711160100000,2.402,2.403,2.377,2.38,322113.1,1711160999999
204,1711161000000,2.379,2.393,2.37,2.391,319331.2,1711161899999
205,1711161900000,2.392,2.393,2.379,2.39,236193.1,1711162799999
206,1711162800000,2.389,2.389,2.363,2.374,495758.0,1711163699999
207,1711163700000,2.374,2.374,2.34,2.352,432723.5,1711164599999
208,1711164600000,2.353,2.353,2.33,2.35,497812.6,1711165499999
209,1711165500000,2.35,2.363,2.34,2.357,313847.1,1711166399999
210,1711166400000,2.356,2.377,2.349,2.363,372007.3,1711167299999
211,1711167300000,2.363,2.376,2.36,2.374,424210.1,1711168199999
212,1711168200000,2.374,2.386,2.37,2.381,274424.1,1711169099999
213,1711169100000,2.381,2.384,2.366,2.371,455234.0,1711169999999
214,1711170000000,2.372,2.382,2.362,2.37,269802.6,1711170899999
215,1711170900000,2.37,2.407,2.365,2.386,563351.9,1711171799999
216,1711171800000,2.386,2.399,2.383,2.393,333772.1,1711172699999
217,1711172700000,2.393,2.397,2.382,2.392,242707.7,1711173599999
218,1711173600000,2.392,2.399,2.383,2.394,223445.5,1711174499999
219,1711174500000,2.395,2.418,2.39,2.413,382516.6,1711175399999
220,1711175400000,2.412,2.419,2.403,2.414,315705.5,1711176299999
221,1711176300000,2.413,2.418,2.4,2.403,273153.0,1711177199999
222,1711177200000,2.402,2.422,2.399,2.415,354491.6,1711178099999
223,1711178100000,2.416,2.43,2.405,2.412,486495.5,1711178999999
224,1711179000000,2.412,2.43,2.411,2.422,249773.8,1711179899999
225,1711179900000,2.423,2.424,2.41,2.413,199916.6,1711180799999
226,1711180800000,2.413,2.438,2.412,2.417,374490.0,1711181699999
227,1711181700000,2.418,2.425,2.41,2.412,298266.2,1711182599999
228,1711182600000,2.412,2.418,2.393,2.417,422341.0,1711183499999
229,1711183500000,2.417,2.442,2.414,2.442,475110.1,1711184399999
230,1711184400000,2.443,2.445,2.418,2.421,448503.7,1711185299999
231,1711185300000,2.421,2.433,2.415,2.431,231730.4,1711186199999
232,1711186200000,2.431,2.434,2.41,2.418,412010.3,1711187099999
233,1711187100000,2.418,2.418,2.394,2.408,562848.6,1711187999999
234,1711188000000,2.408,2.423,2.401,2.406,407452.2,1711188899999
235,1711188900000,2.407,2.416,2.4,2.415,245410.1,1711189799999
236,1711189800000,2.415,2.429,2.402,2.411,367990.4,1711190699999
237,1711190700000,2.41,2.414,2.396,2.398,390178.6,1711191599999
238,1711191600000,2.397,2.411,2.394,2.406,292275.1,1711192499999
239,1711192500000,2.407,2.423,2.404,2.421,404849.4,1711193399999
240,1711193400000,2.421,2.426,2.411,2.416,280490.3,1711194299999
241,1711194300000,2.415,2.415,2.402,2.412,217431.9,1711195199999
242,1711195200000,2.412,2.414,2.403,2.412,417653.1,1711196099999
243,1711196100000,2.411,2.426,2.404,2.422,316830.1,1711196999999
244,1711197000000,2.423,2.425,2.409,2.41,188723.6,1711197899999
245,1711197900000,2.41,2.419,2.406,2.409,236060.3,1711198799999
246,1711198800000,2.409,2.409,2.392,2.394,381163.2,1711199699999
247,1711199700000,2.394,2.403,2.381,2.384,366247.7,1711200599999
248,1711200600000,2.385,2.386,2.36,2.371,504223.6,1711201499999
249,1711201500000,2.371,2.392,2.366,2.39,426063.8,1711202399999
250,1711202400000,2.389,2.396,2.383,2.389,276367.8,1711203299999
251,1711203300000,2.389,2.406,2.381,2.401,314656.6,1711204199999
252,1711204200000,2.4,2.442,2.399,2.426,899297.8,1711205099999
253,1711205100000,2.427,2.439,2.421,2.431,515654.1,1711205999999
254,1711206000000,2.431,2.432,2.407,2.408,588307.0,1711206899999
255,1711206900000,2.407,2.409,2.388,2.391,556479.0,1711207799999
256,1711207800000,2.391,2.405,2.388,2.395,356988.3,1711208699999
257,1711208700000,2.395,2.41,2.391,2.405,374578.8,1711209599999
