,open_time,open,high,low,close,VOLUME,close_time
0,1710976500000,3.8681,3.9277,3.8349,3.8544,826093.4,1710977399999
1,1710977400000,3.8542,3.9386,3.8522,3.8996,817362.6,1710978299999
2,1710978300000,3.9,3.95,3.8531,3.9085,611754.3,1710979199999
3,1710979200000,3.9086,3.912,3.8297,3.849,627873.8,1710980099999
4,1710980100000,3.8492,3.8903,3.8056,3.8616,500783.5,1710980999999
5,1710981000000,3.8618,3.8719,3.8209,3.842,390152.7,1710981899999
6,1710981900000,3.8413,3.8501,3.79,3.82,420727.2,1710982799999
7,1710982800000,3.8195,3.8329,3.7758,3.782,318828.6,1710983699999
8,1710983700000,3.7823,3.799,3.75,3.7508,263647.5,1710984599999
9,1710984600000,3.7517,3.826,3.751,3.8121,430071.9,1710985499999
10,1710985500000,3.8125,3.8337,3.7948,3.8319,318288.8,1710986399999
11,1710986400000,3.8323,3.8403,3.8029,3.8279,272709.7,1710987299999
12,1710987300000,3.8288,3.8379,3.8051,3.8257,201434.4,1710988199999
13,1710988200000,3.826,3.826,3.7959,3.8045,231612.5,1710989099999
14,1710989100000,3.8054,3.8093,3.7698,3.784,194258.9,1710989999999
15,1710990000000,3.7839,3.7861,3.7417,3.7497,252667.4,1710990899999
16,1710990900000,3.7493,3.7702,3.7315,3.7431,290397.7,1710991799999
17,1710991800000,3.743,3.7571,3.717,3.7246,192870.9,1710992699999
18,1710992700000,3.7246,3.7476,3.7089,3.7274,451060.8,1710993599999
19,1710993600000,3.7275,3.752,3.7239,3.7304,264032.8,1710994499999
20,1710994500000,3.7307,3.7353,3.692,3.7017,241603.6,1710995399999
21,1710995400000,3.7012,3.7031,3.6392,3.6569,507417.7,1710996299999
22,1710996300000,3.6569,3.6735,3.6446,3.6541,170334.4,1710997199999
23,1710997200000,3.6541,3.6694,3.631,3.6638,236968.4,1710998099999
24,1710998100000,3.6633,3.6714,3.6157,3.6593,430065.6,1710998999999
25,1710999000000,3.6587,3.6706,3.6354,3.6482,244495.8,1710999899999
26,1710999900000,3.6479,3.6821,3.647,3.6809,263083.5,1711000799999
27,1711000800000,3.6814,3.7022,3.6522,3.6593,379275.9,1711001699999
28,1711001700000,3.6593,3.7025,3.6583,3.7015,178661.7,1711002599999
29,1711002600000,3.7017,3.7083,3.6772,3.6848,273106.9,1711003499999
30,1711003500000,3.686,3.701,3.6667,3.6795,163421.0,1711004399999
31,1711004400000,3.6794,3.6928,3.65,3.69,218482.1,1711005299999
32,1711005300000,3.69,3.6911,3.6689,3.6798,181985.8,1711006199999
33,1711006200000,3.6796,3.6809,3.6637,3.6642,156282.5,1711007099999
34,1711007100000,3.6645,3.6699,3.6486,3.6505,129093.5,1711007999999
35,1711008000000,3.651,3.6946,3.6364,3.6619,253544.2,1711008899999
36,1711008900000,3.6618,3.6689,3.64,3.6553,137399.9,1711009799999
37,1711009800000,3.6561,3.6584,3.639,3.6407,112840.1,1711010699999
38,1711010700000,3.6407,3.6568,3.6255,3.6314,92834.7,1711011599999
39,1711011600000,3.6311,3.6418,3.6223,3.6397,143618.2,1711012499999
40,1711012500000,3.6395,3.6889,3.6244,3.6845,321172.9,1711013399999
41,1711013400000,3.6841,3.7287,3.6693,3.7029,472702.7,1711014299999
42,1711014300000,3.7032,3.7186,3.6776,3.7158,228689.6,1711015199999
43,1711015200000,3.7154,3.7302,3.681,3.7053,239534.7,1711016099999
44,1711016100000,3.7042,3.7434,3.7042,3.7218,293562.2,1711016999999
45,1711017000000,3.722,3.7438,3.7049,3.7157,256244.1,1711017899999
46,1711017900000,3.7165,3.79,3.7155,3.7743,401977.0,1711018799999
47,1711018800000,3.7744,3.8216,3.7485,3.8016,470551.9,1711019699999
48,1711019700000,3.8013,3.8182,3.7635,3.806,266384.7,1711020599999
49,1711020600000,3.8061,3.8209,3.7759,3.7893,249586.0,1711021499999
50,1711021500000,3.7891,3.8038,3.7606,3.7871,210885.6,1711022399999
51,1711022400000,3.7871,3.8259,3.7662,3.817,277082.3,1711023299999
52,1711023300000,3.8175,3.8217,3.7583,3.7747,320957.1,1711024199999
53,1711024200000,3.775,3.7838,3.708,3.7161,399140.6,1711025099999
54,1711025100000,3.716,3.7354,3.6853,3.6957,264244.8,1711025999999
55,1711026000000,3.6957,3.7177,3.6843,3.6903,188297.4,1711026899999
56,1711026900000,3.6897,3.6976,3.673,3.6835,140321.6,1711027799999
57,1711027800000,3.6836,3.6861,3.6544,3.6745,198318.6,1711028699999
58,1711028700000,3.6746,3.6781,3.6507,3.662,195461.2,1711029599999
59,1711029600000,3.6615,3.7096,3.6537,3.7091,212980.3,1711030499999
60,1711030500000,3.7091,3.73,3.6991,3.7046,181440.7,1711031399999
61,1711031400000,3.7046,3.7093,3.6721,3.6825,119597.2,1711032299999
62,1711032300000,3.6823,3.7033,3.6695,3.697,112685.2,1711033199999
63,1711033200000,3.6962,3.7203,3.6864,3.7104,287152.7,1711034099999
64,1711034100000,3.7098,3.7295,3.6772,3.6788,206251.2,1711034999999
65,1711035000000,3.6792,3.7006,3.6586,3.6932,146624.1,1711035899999
66,1711035900000,3.6933,3.7432,3.676,3.7033,421613.7,1711036799999
67,1711036800000,3.704,3.7474,3.6872,3.7199,398452.2,1711037699999
68,1711037700000,3.7198,3.7303,3.7004,3.7272,158182.0,1711038599999
69,1711038600000,3.7272,3.7303,3.6848,3.7083,161478.9,1711039499999
70,1711039500000,3.7089,3.7236,3.6925,3.7175,98646.1,1711040399999
71,1711040400000,3.717,3.7365,3.6955,3.7339,153365.6,1711041299999
72,1711041300000,3.7344,3.7361,3.701,3.7078,183718.9,1711042199999
73,1711042200000,3.7078,3.7356,3.68,3.6962,390272.2,1711043099999
74,1711043100000,3.6961,3.7397,3.6901,3.7311,195185.0,1711043999999
75,1711044000000,3.7299,3.7444,3.6852,3.7006,304377.1,1711044899999
76,1711044900000,3.7013,3.7387,3.6769,3.6848,265974.6,1711045799999
77,1711045800000,3.6853,3.7031,3.6245,3.6536,555654.9,1711046699999
78,1711046700000,3.6553,3.7275,3.6507,3.6969,258703.4,1711047599999
79,1711047600000,3.6981,3.7223,3.6658,3.6745,280794.6,1711048499999
80,1711048500000,3.674,3.6888,3.636,3.6856,259799.1,1711049399999
81,1711049400000,3.686,3.7352,3.686,3.7116,286988.7,1711050299999
82,1711050300000,3.7118,3.7188,3.6951,3.6978,118957.9,1711051199999
83,1711051200000,3.6971,3.7386,3.6494,3.7346,201445.1,1711052099999
84,1711052100000,3.7342,3.7733,3.7104,3.7196,211200.6,1711052999999
85,1711053000000,3.72,3.725,3.6693,3.675,164573.2,1711053899999
86,1711053900000,3.6751,3.7237,3.6566,3.7218,167067.8,1711054799999
87,1711054800000,3.7214,3.7224,3.6791,3.7109,150305.8,1711055699999
88,1711055700000,3.7107,3.7161,3.6848,3.69,80336.9,1711056599999
89,1711056600000,3.6901,3.7069,3.6662,3.672,106457.5,1711057499999
90,1711057500000,3.6719,3.7265,3.6718,3.7214,86681.8,1711058399999
91,1711058400000,3.7214,3.734,3.7077,3.7086,119908.9,1711059299999
92,1711059300000,3.7099,3.7193,3.6969,3.7056,83664.6,1711060199999
93,1711060200000,3.7056,3.7107,3.6886,3.6972,99862.0,1711061099999
94,1711061100000,3.6974,3.7008,3.675,3.6856,102915.5,1711061999999
95,1711062000000,3.6855,3.7,3.6738,3.7,98181.0,1711062899999
96,1711062900000,3.7,3.7058,3.6776,3.7009,80001.1,1711063799999
97,1711063800000,3.7009,3.7078,3.6852,3.6875,73227.8,1711064699999
98,1711064700000,3.6874,3.7064,3.6871,3.6993,55610.7,1711065599999
99,1711065600000,3.6988,3.7334,3.6797,3.7302,129807.2,1711066499999
100,1711066500000,3.7299,3.7559,3.7146,3.7461,108239.8,1711067399999
101,1711067400000,3.7459,3.7477,3.694,3.7195,163647.3,1711068299999
102,1711068300000,3.7194,3.7282,3.6512,3.7155,249685.6,1711069199999
103,1711069200000,3.7155,3.746,3.6534,3.7378,204328.6,1711070099999
104,1711070100000,3.7382,3.7475,3.7144,3.7203,125152.1,1711070999999
105,1711071000000,3.7205,3.7358,3.7062,3.7263,102021.1,1711071899999
106,1711071900000,3.726,3.7447,3.6922,3.7184,144976.8,1711072799999
107,1711072800000,3.7188,3.7408,3.7069,3.7162,127937.9,1711073699999
108,1711073700000,3.7164,3.8424,3.7062,3.7991,432561.6,1711074599999
109,1711074600000,3.7991,3.8888,3.793,3.8599,925339.6,1711075499999
110,1711075500000,3.8597,3.9344,3.815,3.8599,454998.5,1711076399999
111,1711076400000,3.8601,3.9028,3.8002,3.8394,477709.1,1711077299999
112,1711077300000,3.8394,3.952,3.837,3.9105,535028.2,1711078199999
113,1711078200000,3.9107,3.974,3.907,3.9581,623580.5,1711079099999
114,1711079100000,3.9579,4.0,3.9247,3.9305,401091.3,1711079999999
115,1711080000000,3.9303,3.9379,3.6874,3.6951,1144600.1,1711080899999
116,1711080900000,3.6951,3.7684,3.677,3.7267,879645.7,1711081799999
117,1711081800000,3.7272,3.7452,3.7007,3.7254,428619.5,1711082699999
118,1711082700000,3.7257,3.7468,3.6965,3.7195,350902.2,1711083599999
119,1711083600000,3.719,3.747,3.7131,3.7446,290288.9,1711084499999
120,1711084500000,3.7446,3.7448,3.7238,3.7257,177074.1,1711085399999
121,1711085400000,3.7258,3.7759,3.7192,3.7749,205443.0,1711086299999
122,1711086300000,3.774,3.7981,3.7599,3.7719,255306.3,1711087199999
123,1711087200000,3.7719,3.8578,3.7698,3.8245,317044.6,1711088099999
124,1711088100000,3.8244,3.8246,3.7848,3.7963,178718.2,1711088999999
125,1711089000000,3.7957,3.8279,3.793,3.8063,150280.6,1711089899999
126,1711089900000,3.8066,3.828,3.7693,3.7759,169121.1,1711090799999
127,1711090800000,3.776,3.7871,3.7625,3.7747,156388.6,1711091699999
128,1711091700000,3.7747,3.8039,3.7572,3.7914,184209.4,1711092599999
129,1711092600000,3.7915,3.7963,3.7812,3.7902,77723.7,1711093499999
130,1711093500000,3.7892,3.8208,3.7845,3.8063,159656.5,1711094399999
131,1711094400000,3.8063,3.8502,3.8047,3.8436,178697.0,1711095299999
132,1711095300000,3.8426,3.9,3.8088,3.8757,394025.6,1711096199999
133,1711096200000,3.8763,3.9179,3.8538,3.8713,368728.1,1711097099999
134,1711097100000,3.8705,3.9808,3.8705,3.959,755922.0,1711097999999
135,1711098000000,3.96,4.0238,3.942,4.0051,613756.3,1711098899999
136,1711098900000,4.0043,4.0727,3.9627,4.05,791970.4,1711099799999
137,1711099800000,4.0515,4.0554,3.8952,3.9037,1004351.4,1711100699999
138,1711100700000,3.9037,3.9159,3.8255,3.837,658849.8,1711101599999
139,1711101600000,3.8368,3.8467,3.7217,3.7387,875801.4,1711102499999
140,1711102500000,3.7389,3.7705,3.7123,3.7301,465241.4,1711103399999
141,1711103400000,3.73,3.7322,3.6548,3.6548,862815.0,1711104299999
142,1711104300000,3.6549,3.6794,3.5992,3.6306,738876.4,1711105199999
143,1711105200000,3.6306,3.6835,3.6202,3.6451,564152.1,1711106099999
144,1711106100000,3.6449,3.646,3.6131,3.6154,236868.4,1711106999999
145,1711107000000,3.6156,3.6355,3.6007,3.6045,192789.4,1711107899999
146,1711107900000,3.6047,3.612,3.5684,3.5972,625894.2,1711108799999
147,1711108800000,3.5965,3.6219,3.5827,3.5959,315670.1,1711109699999
148,1711109700000,3.5958,3.6106,3.577,3.5959,163820.6,1711110599999
149,1711110600000,3.5962,3.6007,3.5773,3.598,137421.8,1711111499999
150,1711111500000,3.5971,3.5992,3.5729,3.5777,166105.8,1711112399999
151,1711112400000,3.5776,3.5887,3.5337,3.5392,422032.3,1711113299999
152,1711113300000,3.5394,3.5643,3.5309,3.5481,297486.2,1711114199999
153,1711114200000,3.5488,3.5574,3.5139,3.5404,358383.1,1711115099999
154,1711115100000,3.5405,3.5443,3.4771,3.5029,408320.8,1711115999999
155,1711116000000,3.5029,3.5167,3.4641,3.4653,287113.6,1711116899999
156,1711116900000,3.4663,3.4755,3.4267,3.446,353002.3,1711117799999
157,1711117800000,3.4458,3.4688,3.4125,3.4139,256350.4,1711118699999
158,1711118700000,3.4143,3.456,3.4142,3.4323,227806.4,1711119599999
159,1711119600000,3.4329,3.4952,3.4277,3.4821,286526.3,1711120499999
160,1711120500000,3.482,3.5184,3.4517,3.5141,311634.0,1711121399999
161,1711121400000,3.5157,3.5492,3.4901,3.5206,439617.9,1711122299999
162,1711122300000,3.5205,3.55,3.5199,3.548,238790.5,1711123199999
163,1711123200000,3.5481,3.5568,3.5152,3.5451,276170.8,1711124099999
164,1711124100000,3.5448,3.5522,3.5018,3.5165,231801.1,1711124999999
165,1711125000000,3.5165,3.5237,3.4935,3.5006,214591.5,1711125899999
166,1711125900000,3.5007,3.5406,3.4893,3.5255,156331.6,1711126799999
167,1711126800000,3.5254,3.5624,3.5137,3.5197,229264.8,1711127699999
