,open_time,open,high,low,close,VOLUME,close_time
0,1710977400000,14.935,14.986,14.928,14.952,372.6,1710978299999
1,1710978300000,14.948,14.981,14.908,14.967,431.6,1710979199999
2,1710979200000,14.964,14.969,14.796,14.837,2983.8,1710980099999
3,1710980100000,14.839,14.913,14.775,14.818,923.2,1710980999999
4,1710981000000,14.82,15.007,14.805,14.965,1368.0,1710981899999
5,1710981900000,14.958,14.991,14.862,14.884,973.1,1710982799999
6,1710982800000,14.874,14.938,14.862,14.894,691.1,1710983699999
7,1710983700000,14.899,14.957,14.879,14.911,404.9,1710984599999
8,1710984600000,14.909,14.915,14.815,14.835,895.0,1710985499999
9,1710985500000,14.836,14.894,14.836,14.883,309.5,1710986399999
10,1710986400000,14.881,14.94,14.855,14.862,1033.7,1710987299999
11,1710987300000,14.867,14.983,14.867,14.926,476.4,1710988199999
12,1710988200000,14.928,15.031,14.892,15.026,543.8,1710989099999
13,1710989100000,15.026,15.026,14.962,14.971,1418.8,1710989999999
14,1710990000000,14.971,15.08,14.969,14.998,863.9,1710990899999
15,1710990900000,14.997,15.089,14.978,15.037,864.6,1710991799999
16,1710991800000,15.035,15.106,15.007,15.007,1191.1,1710992699999
17,1710992700000,15.002,15.009,14.778,14.841,2258.8,1710993599999
18,1710993600000,14.848,14.912,14.786,14.816,1271.8,1710994499999
19,1710994500000,14.82,14.916,14.817,14.863,1385.6,1710995399999
20,1710995400000,14.862,14.882,14.744,14.757,2637.0,1710996299999
21,1710996300000,14.758,14.829,14.741,14.81,661.0,1710997199999
22,1710997200000,14.807,14.807,14.613,14.665,1122.1,1710998099999
23,1710998100000,14.665,14.669,14.511,14.627,887.1,1710998999999
24,1710999000000,14.634,14.714,14.614,14.65,482.5,1710999899999
25,1710999900000,14.649,14.804,14.649,14.789,428.9,1711000799999
26,1711000800000,14.789,14.876,14.775,14.854,2003.9,1711001699999
27,1711001700000,14.859,14.882,14.776,14.809,673.8,1711002599999
28,1711002600000,14.816,14.829,14.75,14.754,715.8,1711003499999
29,1711003500000,14.754,14.854,14.736,14.816,739.0,1711004399999
30,1711004400000,14.809,14.858,14.768,14.831,460.1,1711005299999
31,1711005300000,14.834,14.938,14.824,14.938,285.7,1711006199999
32,1711006200000,14.942,14.96,14.908,14.911,205.7,1711007099999
33,1711007100000,14.914,14.916,14.853,14.904,357.7,1711007999999
34,1711008000000,14.903,15.094,14.896,15.059,533.6,1711008899999
35,1711008900000,15.06,15.069,14.98,14.98,380.8,1711009799999
36,1711009800000,14.978,15.014,14.947,14.98,308.2,1711010699999
37,1711010700000,14.982,15.039,14.945,14.958,681.5,1711011599999
38,1711011600000,14.958,15.01,14.925,14.931,554.0,1711012499999
39,1711012500000,14.931,14.95,14.894,14.916,265.6,1711013399999
40,1711013400000,14.919,14.923,14.833,14.833,657.5,1711014299999
41,1711014300000,14.835,15.043,14.823,15.002,784.4,1711015199999
42,1711015200000,15.002,15.12,14.989,15.115,972.5,1711016099999
43,1711016100000,15.111,15.206,15.093,15.133,1531.6,1711016999999
44,1711017000000,15.132,15.144,15.089,15.089,591.6,1711017899999
45,1711017900000,15.11,15.166,15.105,15.166,854.6,1711018799999
46,1711018800000,15.156,15.175,15.067,15.124,574.1,1711019699999
47,1711019700000,15.126,15.131,14.965,14.992,1117.0,1711020599999
48,1711020600000,14.993,15.026,14.96,14.99,609.9,1711021499999
49,1711021500000,14.993,15.023,14.988,14.992,220.7,1711022399999
50,1711022400000,14.995,15.054,14.986,15.048,863.1,1711023299999
51,1711023300000,15.046,15.097,15.035,15.097,589.3,1711024199999
52,1711024200000,15.095,15.141,15.006,15.019,648.2,1711025099999
53,1711025100000,15.016,15.046,14.972,15.029,611.4,1711025999999
54,1711026000000,15.033,15.122,15.026,15.094,869.0,1711026899999
55,1711026900000,15.093,15.211,15.084,15.187,1421.6,1711027799999
56,1711027800000,15.185,15.198,15.068,15.098,1738.6,1711028699999
57,1711028700000,15.095,15.124,15.013,15.035,2256.7,1711029599999
58,1711029600000,15.015,15.142,14.977,15.132,916.1,1711030499999
59,1711030500000,15.134,15.217,15.104,15.16,904.7,1711031399999
60,1711031400000,15.16,15.223,15.136,15.214,1049.3,1711032299999
61,1711032300000,15.22,15.234,15.139,15.2,694.0,1711033199999
62,1711033200000,15.195,15.22,15.011,15.032,1801.0,1711034099999
63,1711034100000,15.022,15.051,14.963,14.997,1167.8,1711034999999
64,1711035000000,14.996,15.069,14.913,15.042,1986.2,1711035899999
65,1711035900000,15.034,15.166,14.933,15.166,624.3,1711036799999
66,1711036800000,15.167,15.2,15.06,15.164,3512.5,1711037699999
67,1711037700000,15.168,15.315,15.134,15.294,2946.6,1711038599999
68,1711038600000,15.295,15.295,15.16,15.193,1113.9,1711039499999
69,1711039500000,15.19,15.246,15.148,15.23,537.6,1711040399999
70,1711040400000,15.228,15.394,15.201,15.276,1165.3,1711041299999
71,1711041300000,15.265,15.265,15.045,15.049,2319.4,1711042199999
72,1711042200000,15.044,15.085,14.906,14.937,3425.6,1711043099999
73,1711043100000,14.933,14.991,14.902,14.948,1203.8,1711043999999
74,1711044000000,14.94,14.977,14.769,14.782,1285.6,1711044899999
75,1711044900000,14.786,14.861,14.744,14.842,1490.3,1711045799999
76,1711045800000,14.837,14.842,14.64,14.641,1867.8,1711046699999
77,1711046700000,14.644,14.767,14.644,14.725,946.5,1711047599999
78,1711047600000,14.725,14.785,14.717,14.761,701.9,1711048499999
79,1711048500000,14.76,14.782,14.696,14.779,962.8,1711049399999
80,1711049400000,14.773,14.96,14.773,14.908,950.5,1711050299999
81,1711050300000,14.911,14.924,14.869,14.876,726.7,1711051199999
82,1711051200000,14.875,14.996,14.701,14.994,2166.1,1711052099999
83,1711052100000,14.995,15.121,14.94,14.981,2715.0,1711052999999
84,1711053000000,14.984,14.994,14.91,14.929,1195.0,1711053899999
85,1711053900000,14.937,14.985,14.837,14.974,644.4,1711054799999
86,1711054800000,14.981,14.993,14.876,14.894,623.0,1711055699999
87,1711055700000,14.903,14.951,14.87,14.87,624.7,1711056599999
88,1711056600000,14.871,14.937,14.871,14.91,392.0,1711057499999
89,1711057500000,14.908,15.02,14.902,14.999,397.4,1711058399999
90,1711058400000,14.998,15.104,14.984,15.104,788.9,1711059299999
91,1711059300000,15.102,15.108,14.996,15.051,1027.1,1711060199999
92,1711060200000,15.053,15.079,14.993,15.061,663.0,1711061099999
93,1711061100000,15.06,15.063,15.001,15.008,488.6,1711061999999
94,1711062000000,15.009,15.035,14.965,14.993,727.1,1711062899999
95,1711062900000,14.994,14.997,14.948,14.952,361.5,1711063799999
96,1711063800000,14.952,15.084,14.931,15.053,333.2,1711064699999
97,1711064700000,15.054,15.075,15.018,15.044,1453.6,1711065599999
98,1711065600000,15.044,15.124,14.973,15.115,1369.5,1711066499999
99,1711066500000,15.123,15.206,15.096,15.165,1006.5,1711067399999
100,1711067400000,15.152,15.153,15.0,15.117,1253.3,1711068299999
101,1711068300000,15.123,15.208,15.064,15.199,4848.1,1711069199999
102,1711069200000,15.197,15.28,15.135,15.261,1914.9,1711070099999
103,1711070100000,15.267,15.332,15.236,15.252,1771.4,1711070999999
104,1711071000000,15.249,15.249,15.088,15.148,1443.3,1711071899999
105,1711071900000,15.15,15.228,15.066,15.078,2711.8,1711072799999
106,1711072800000,15.082,15.176,15.072,15.128,814.9,1711073699999
107,1711073700000,15.13,15.158,15.085,15.148,1404.4,1711074599999
108,1711074600000,15.145,15.159,15.096,15.12,1034.5,1711075499999
109,1711075500000,15.129,15.222,15.126,15.201,967.1,1711076399999
110,1711076400000,15.211,15.318,15.203,15.265,2116.6,1711077299999
111,1711077300000,15.265,15.454,15.251,15.445,2334.8,1711078199999
112,1711078200000,15.457,15.615,15.443,15.484,3712.9,1711079099999
113,1711079100000,15.486,15.575,15.47,15.498,1807.2,1711079999999
114,1711080000000,15.506,15.527,15.448,15.518,2090.1,1711080899999
115,1711080900000,15.522,15.563,15.48,15.532,950.3,1711081799999
116,1711081800000,15.53,15.546,15.463,15.466,961.8,1711082699999
117,1711082700000,15.472,15.548,15.449,15.485,1087.1,1711083599999
118,1711083600000,15.47,15.519,15.393,15.424,1252.2,1711084499999
119,1711084500000,15.408,15.448,15.362,15.423,606.3,1711085399999
120,1711085400000,15.426,15.457,15.399,15.449,833.5,1711086299999
121,1711086300000,15.444,15.49,15.434,15.472,450.7,1711087199999
