,open_time,open,high,low,close,VOLUME,close_time
0,1710977400000,557.19,558.78,556.73,557.3,10988.93,1710978299999
1,1710978300000,557.3,557.51,554.53,556.99,16390.15,1710979199999
2,1710979200000,557.0,557.19,550.25,550.58,39103.98,1710980099999
3,1710980100000,550.58,554.26,549.01,551.37,17878.93,1710980999999
4,1710981000000,551.38,557.44,549.98,555.18,19236.89,1710981899999
5,1710981900000,555.27,555.46,550.74,551.35,23336.14,1710982799999
6,1710982800000,551.36,553.65,551.14,552.19,11053.58,1710983699999
7,1710983700000,552.18,555.01,551.28,553.19,15443.21,1710984599999
8,1710984600000,553.19,553.42,550.57,551.17,11254.25,1710985499999
9,1710985500000,551.17,553.5,551.09,553.42,7231.4,1710986399999
10,1710986400000,553.44,554.36,552.38,553.07,8225.77,1710987299999
11,1710987300000,553.06,558.11,552.97,556.01,14227.66,1710988199999
12,1710988200000,556.03,562.58,555.34,562.17,29182.93,1710989099999
13,1710989100000,562.17,562.46,559.27,559.9,29298.66,1710989999999
14,1710990000000,559.91,561.42,557.32,557.32,16721.53,1710990899999
15,1710990900000,557.32,560.53,556.34,559.11,15485.62,1710991799999
16,1710991800000,559.11,562.31,559.0,559.03,13437.74,1710992699999
17,1710992700000,559.03,559.03,550.01,552.93,42710.63,1710993599999
18,1710993600000,552.99,555.08,551.1,552.39,19012.76,1710994499999
19,1710994500000,552.42,555.38,551.91,553.25,13746.99,1710995399999
20,1710995400000,553.25,553.81,548.34,548.74,29043.08,1710996299999
21,1710996300000,548.79,551.21,548.16,550.28,13191.74,1710997199999
22,1710997200000,550.28,550.28,543.63,545.74,25404.09,1710998099999
23,1710998100000,545.74,545.83,541.11,544.23,28583.0,1710998999999
24,1710999000000,544.23,546.75,543.55,544.77,12610.61,1710999899999
25,1710999900000,544.77,550.93,544.66,550.31,24890.95,1711000799999
26,1711000800000,550.34,553.36,549.43,552.53,20134.63,1711001699999
27,1711001700000,552.47,553.54,549.3,550.32,13092.12,1711002599999
28,1711002600000,550.35,550.58,547.08,547.55,10803.49,1711003499999
29,1711003500000,547.55,549.96,546.81,549.03,9879.94,1711004399999
30,1711004400000,549.04,551.6,548.23,550.19,7976.0,1711005299999
31,1711005300000,550.19,554.32,550.19,553.64,12502.66,1711006199999
32,1711006200000,553.64,554.47,552.05,552.17,7654.83,1711007099999
33,1711007100000,552.18,552.31,550.0,550.27,8689.71,1711007999999
34,1711008000000,550.28,555.32,549.95,553.38,14604.94,1711008899999
35,1711008900000,553.4,554.46,551.52,552.55,9959.25,1711009799999
36,1711009800000,552.58,554.11,551.25,553.12,7397.82,1711010699999
37,1711010700000,553.12,556.5,552.76,553.24,15428.35,1711011599999
38,1711011600000,553.24,555.76,552.5,552.73,12080.64,1711012499999
39,1711012500000,552.73,553.66,551.27,553.0,6769.52,1711013399999
40,1711013400000,552.99,553.38,550.31,550.69,15945.79,1711014299999
41,1711014300000,550.71,562.0,550.3,559.89,40788.97,1711015199999
42,1711015200000,559.88,566.2,559.79,565.47,40234.82,1711016099999
43,1711016100000,565.47,571.59,565.17,567.3,68276.84,1711016999999
44,1711017000000,567.29,569.84,565.93,566.2,22532.09,1711017899999
45,1711017900000,566.21,569.82,566.08,568.02,29936.17,1711018799999
46,1711018800000,568.01,568.8,565.08,566.29,14446.25,1711019699999
47,1711019700000,566.29,566.38,557.61,559.97,40852.02,1711020599999
48,1711020600000,559.97,560.71,557.12,558.57,19352.15,1711021499999
49,1711021500000,558.57,560.98,558.32,558.6,14315.91,1711022399999
50,1711022400000,558.61,560.72,558.1,560.05,10775.77,1711023299999
51,1711023300000,560.06,562.69,559.0,562.69,11662.27,1711024199999
52,1711024200000,562.69,563.6,558.68,559.61,22647.72,1711025099999
53,1711025100000,559.61,560.0,557.6,559.47,10251.3,1711025999999
54,1711026000000,559.47,562.67,559.27,560.58,14152.49,1711026899999
55,1711026900000,560.58,565.52,560.43,564.49,17178.62,1711027799999
56,1711027800000,564.49,565.39,560.69,562.67,24193.69,1711028699999
57,1711028700000,562.67,563.74,558.96,559.73,21644.73,1711029599999
58,1711029600000,559.73,564.04,558.31,563.4,17183.0,1711030499999
59,1711030500000,563.4,566.02,562.36,563.93,16077.14,1711031399999
60,1711031400000,563.92,564.37,562.32,564.23,9137.5,1711032299999
61,1711032300000,564.23,564.28,559.57,562.22,11828.14,1711033199999
62,1711033200000,562.22,563.57,557.04,558.7,17787.46,1711034099999
63,1711034100000,558.69,559.46,555.22,556.35,19634.39,1711034999999
64,1711035000000,556.37,558.41,553.84,557.93,19899.81,1711035899999
65,1711035900000,557.93,558.79,555.24,558.73,9773.98,1711036799999
66,1711036800000,558.73,559.72,556.5,559.41,17051.39,1711037699999
67,1711037700000,559.43,563.36,558.6,563.36,16892.18,1711038599999
68,1711038600000,563.37,563.37,560.72,561.91,11050.04,1711039499999
69,1711039500000,561.91,563.56,560.59,563.45,10297.82,1711040399999
70,1711040400000,563.48,567.24,561.53,563.12,21447.83,1711041299999
71,1711041300000,563.11,563.7,558.5,559.03,21410.55,1711042199999
72,1711042200000,559.03,560.26,554.37,554.51,24821.88,1711043099999
73,1711043100000,554.51,556.27,553.16,555.07,22847.86,1711043999999
74,1711044000000,555.07,556.23,548.5,549.34,33788.61,1711044899999
