,open_time,open,high,low,close,VOLUME,close_time
0,1710977400000,79.78,79.93,79.64,79.83,2163.2,1710978299999
1,1710978300000,79.83,79.98,79.63,79.82,1932.7,1710979199999
2,1710979200000,79.82,79.95,79.26,79.48,5199.1,1710980099999
3,1710980100000,79.49,80.83,79.47,80.76,12098.1,1710980999999
4,1710981000000,80.76,81.6,79.99,81.41,12304.5,1710981899999
5,1710981900000,81.38,81.55,80.76,81.1,8833.3,1710982799999
6,1710982800000,81.1,81.6,80.82,81.22,5586.0,1710983699999
7,1710983700000,81.25,81.37,80.39,80.63,7853.7,1710984599999
8,1710984600000,80.63,80.65,79.93,80.25,4896.6,1710985499999
9,1710985500000,80.24,80.8,80.24,80.51,5163.1,1710986399999
10,1710986400000,80.52,80.65,80.19,80.23,3332.2,1710987299999
11,1710987300000,80.23,80.85,80.22,80.62,2745.2,1710988199999
12,1710988200000,80.63,81.28,80.53,81.02,3846.0,1710989099999
13,1710989100000,81.01,81.06,80.51,80.61,3029.7,1710989999999
14,1710990000000,80.62,81.05,80.56,80.65,3101.8,1710990899999
15,1710990900000,80.65,80.88,80.36,80.37,2412.9,1710991799999
16,1710991800000,80.39,80.89,80.33,80.33,3719.3,1710992699999
17,1710992700000,80.34,80.34,79.16,79.48,14107.2,1710993599999
18,1710993600000,79.48,80.08,79.16,79.37,7173.9,1710994499999
19,1710994500000,79.38,79.98,79.3,79.52,4728.4,1710995399999
20,1710995400000,79.53,79.89,79.0,79.06,4133.0,1710996299999
21,1710996300000,79.07,79.45,78.91,79.17,2125.7,1710997199999
22,1710997200000,79.16,79.21,78.37,78.81,4367.9,1710998099999
23,1710998100000,78.8,78.81,77.71,78.29,5952.6,1710998999999
24,1710999000000,78.29,78.84,78.29,78.69,4110.4,1710999899999
25,1710999900000,78.69,80.11,78.65,79.84,7153.2,1711000799999
26,1711000800000,79.84,81.71,79.69,81.04,20007.5,1711001699999
27,1711001700000,81.04,81.27,79.64,80.07,9809.9,1711002599999
28,1711002600000,80.08,80.26,79.61,79.88,5189.6,1711003499999
29,1711003500000,79.88,80.34,79.5,79.78,4597.2,1711004399999
30,1711004400000,79.77,80.22,79.49,79.77,5498.5,1711005299999
31,1711005300000,79.79,80.38,79.68,80.36,3836.6,1711006199999
32,1711006200000,80.34,80.73,80.19,80.32,5499.3,1711007099999
33,1711007100000,80.32,80.33,79.8,80.05,3354.0,1711007999999
34,1711008000000,80.06,80.88,80.04,80.77,5229.2,1711008899999
35,1711008900000,80.79,81.11,80.52,80.57,3820.3,1711009799999
36,1711009800000,80.58,80.62,80.28,80.54,3471.9,1711010699999
37,1711010700000,80.48,80.91,80.27,80.48,5080.4,1711011599999
38,1711011600000,80.45,80.92,80.34,80.6,3863.3,1711012499999
39,1711012500000,80.58,80.94,80.34,80.92,2223.8,1711013399999
40,1711013400000,80.92,80.94,80.13,80.27,3533.9,1711014299999
41,1711014300000,80.28,80.8,80.1,80.62,2349.3,1711015199999
42,1711015200000,80.62,80.87,80.41,80.86,2217.7,1711016099999
43,1711016100000,80.85,80.9,80.46,80.61,2254.0,1711016999999
44,1711017000000,80.62,80.77,80.33,80.75,3988.2,1711017899999
45,1711017900000,80.76,81.21,80.68,80.89,4341.9,1711018799999
46,1711018800000,80.9,81.24,80.64,81.2,2954.1,1711019699999
47,1711019700000,81.17,81.23,80.53,80.79,3150.5,1711020599999
48,1711020600000,80.77,81.34,80.6,81.0,2153.6,1711021499999
49,1711021500000,80.99,81.31,80.67,80.87,3792.7,1711022399999
50,1711022400000,80.88,81.34,80.88,81.29,2417.7,1711023299999
51,1711023300000,81.28,81.31,80.9,81.11,3513.3,1711024199999
52,1711024200000,81.12,81.48,80.63,80.71,2016.9,1711025099999
53,1711025100000,80.68,80.81,80.4,80.53,2315.4,1711025999999
54,1711026000000,80.54,81.04,80.45,80.69,2378.1,1711026899999
55,1711026900000,80.7,81.01,80.49,80.86,2330.2,1711027799999
56,1711027800000,80.89,80.96,80.11,80.16,3373.9,1711028699999
57,1711028700000,80.19,80.53,79.88,80.05,3673.4,1711029599999
58,1711029600000,80.04,80.78,79.87,80.61,2474.7,1711030499999
59,1711030500000,80.64,81.11,80.42,80.71,1946.8,1711031399999
60,1711031400000,80.68,80.74,80.42,80.71,1718.1,1711032299999
61,1711032300000,80.71,80.82,80.29,80.71,1587.2,1711033199999
62,1711033200000,80.71,81.02,79.92,80.15,3770.5,1711034099999
63,1711034100000,80.16,80.73,79.92,80.39,2972.3,1711034999999
64,1711035000000,80.41,80.5,79.73,80.37,6044.9,1711035899999
65,1711035900000,80.38,81.13,79.88,81.09,4331.3,1711036799999
66,1711036800000,81.1,81.15,80.13,80.47,6801.1,1711037699999
67,1711037700000,80.48,81.16,80.23,81.16,3128.6,1711038599999
68,1711038600000,81.15,81.15,80.71,81.03,1837.9,1711039499999
69,1711039500000,81.0,81.39,80.84,81.35,1767.7,1711040399999
70,1711040400000,81.34,81.46,80.88,81.01,3163.0,1711041299999
71,1711041300000,81.0,81.0,79.92,79.93,3192.2,1711042199999
72,1711042200000,79.92,80.3,79.45,79.56,4395.6,1711043099999
73,1711043100000,79.56,79.89,79.28,79.62,3099.9,1711043999999
74,1711044000000,79.63,79.83,78.48,78.6,6348.6,1711044899999
75,1711044900000,78.61,79.23,78.37,78.97,5083.5,1711045799999
76,1711045800000,78.96,78.96,77.88,77.91,5924.6,1711046699999
77,1711046700000,77.89,78.74,77.89,78.47,3428.0,1711047599999
78,1711047600000,78.48,78.84,78.3,78.81,3157.2,1711048499999
79,1711048500000,78.8,79.11,78.42,79.02,2648.9,1711049399999
80,1711049400000,79.0,79.77,78.98,79.55,3322.7,1711050299999
81,1711050300000,79.53,79.71,79.23,79.53,1506.3,1711051199999
82,1711051200000,79.51,80.44,78.53,80.42,5481.1,1711052099999
83,1711052100000,80.41,80.99,80.06,80.31,4675.0,1711052999999
84,1711053000000,80.33,80.4,79.53,79.7,4449.4,1711053899999
85,1711053900000,79.72,80.08,79.37,80.0,7949.8,1711054799999
86,1711054800000,80.01,80.14,79.29,79.57,8709.6,1711055699999
87,1711055700000,79.56,79.78,79.19,79.22,10233.2,1711056599999
88,1711056600000,79.22,79.7,79.22,79.6,5294.3,1711057499999
89,1711057500000,79.61,80.15,79.55,80.05,9406.5,1711058399999
90,1711058400000,80.05,80.46,79.96,80.37,7823.6,1711059299999
91,1711059300000,80.36,80.43,79.85,80.08,5927.7,1711060199999
92,1711060200000,80.07,80.15,79.82,79.96,4160.1,1711061099999
93,1711061100000,79.96,80.02,79.62,79.62,4529.4,1711061999999
94,1711062000000,79.61,79.89,79.56,79.81,1580.5,1711062899999
95,1711062900000,79.82,79.85,79.48,79.52,1547.8,1711063799999
96,1711063800000,79.52,79.9,79.39,79.83,1312.9,1711064699999
97,1711064700000,79.82,79.99,79.61,79.71,5565.7,1711065599999
98,1711065600000,79.71,80.57,79.41,80.27,12551.4,1711066499999
99,1711066500000,80.27,80.42,79.74,79.91,3176.6,1711067399999
100,1711067400000,79.9,79.9,78.63,79.08,7198.9,1711068299999
101,1711068300000,79.09,79.49,78.53,79.06,3600.5,1711069199999
102,1711069200000,79.05,79.29,78.49,79.16,3290.8,1711070099999
103,1711070100000,79.16,79.39,78.94,78.98,2133.3,1711070999999
104,1711071000000,78.98,78.98,78.42,78.53,2450.0,1711071899999
105,1711071900000,78.53,78.76,77.81,77.85,3525.0,1711072799999
106,1711072800000,77.85,78.24,77.52,77.75,3907.3,1711073699999
107,1711073700000,77.76,78.06,77.4,77.94,5175.8,1711074599999
108,1711074600000,77.93,78.07,77.8,77.91,1205.0,1711075499999
109,1711075500000,77.94,78.34,77.73,78.21,1499.1,1711076399999
110,1711076400000,78.21,78.76,78.18,78.41,4979.0,1711077299999
111,1711077300000,78.43,79.34,78.38,79.29,3144.4,1711078199999
112,1711078200000,79.3,79.97,79.23,79.56,4554.7,1711079099999
113,1711079100000,79.56,79.95,79.48,79.89,4661.8,1711079999999
114,1711080000000,79.87,80.38,79.86,80.08,4681.2,1711080899999
115,1711080900000,80.1,80.23,79.78,80.18,2281.0,1711081799999
116,1711081800000,80.17,80.23,79.8,79.93,1273.6,1711082699999
117,1711082700000,79.97,80.64,79.86,80.37,2191.5,1711083599999
118,1711083600000,80.38,80.7,79.99,80.01,3297.2,1711084499999
119,1711084500000,79.97,80.55,79.81,80.43,2061.8,1711085399999
120,1711085400000,80.44,80.71,80.1,80.61,1633.1,1711086299999
121,1711086300000,80.6,80.72,80.41,80.71,2092.4,1711087199999
122,1711087200000,80.69,81.18,80.36,80.72,4422.4,1711088099999
123,1711088100000,80.75,80.87,80.49,80.54,1886.4,1711088999999
124,1711089000000,80.54,80.73,80.27,80.64,3085.7,1711089899999
125,1711089900000,80.61,80.76,80.35,80.69,1429.1,1711090799999
126,1711090800000,80.67,80.67,80.2,80.43,1788.5,1711091699999
127,1711091700000,80.48,80.53,80.14,80.36,1407.9,1711092599999
128,1711092600000,80.34,80.58,80.18,80.42,1505.8,1711093499999
129,1711093500000,80.41,80.47,80.27,80.32,850.9,1711094399999
130,1711094400000,80.32,80.48,80.18,80.44,1224.3,1711095299999
131,1711095300000,80.46,80.76,80.23,80.49,3200.1,1711096199999
132,1711096200000,80.5,80.61,79.38,79.57,6807.3,1711097099999
133,1711097100000,79.57,79.94,79.55,79.68,3241.3,1711097999999
134,1711098000000,79.68,80.01,79.66,79.83,1666.0,1711098899999
135,1711098900000,79.83,80.22,79.83,80.05,1499.8,1711099799999
136,1711099800000,80.03,80.06,79.33,79.4,2755.8,1711100699999
137,1711100700000,79.47,79.63,79.35,79.57,1556.6,1711101599999
138,1711101600000,79.57,79.74,79.06,79.23,1983.4,1711102499999
139,1711102500000,79.22,79.44,78.37,78.63,6199.3,1711103399999
140,1711103400000,78.63,78.81,78.15,78.69,3750.3,1711104299999
141,1711104300000,78.7,78.81,77.94,77.98,2861.1,1711105199999
142,1711105200000,77.99,78.39,77.79,78.3,3186.0,1711106099999
143,1711106100000,78.29,78.51,77.93,78.31,3309.2,1711106999999
144,1711107000000,78.3,78.66,78.04,78.2,3408.6,1711107899999
145,1711107900000,78.21,78.32,77.05,77.4,8542.7,1711108799999
146,1711108800000,77.37,78.1,76.85,77.8,11231.5,1711109699999
147,1711109700000,77.79,77.93,77.47,77.76,2183.8,1711110599999
