,open_time,open,high,low,close,VOLUME,close_time
0,1710976500000,9.526,9.539,9.477,9.519,229654.3,1710977399999
1,1710977400000,9.518,9.526,9.481,9.495,288733.2,1710978299999
2,1710978300000,9.495,9.518,9.467,9.489,231021.8,1710979199999
3,1710979200000,9.489,9.489,9.432,9.45,433191.3,1710980099999
4,1710980100000,9.451,9.482,9.4,9.433,339556.6,1710980999999
5,1710981000000,9.432,9.537,9.393,9.509,443728.3,1710981899999
6,1710981900000,9.509,9.535,9.466,9.483,248429.9,1710982799999
7,1710982800000,9.482,9.524,9.463,9.491,266050.3,1710983699999
8,1710983700000,9.491,9.505,9.456,9.481,276934.5,1710984599999
9,1710984600000,9.48,9.482,9.422,9.437,219278.6,1710985499999
10,1710985500000,9.435,9.493,9.435,9.485,185838.2,1710986399999
11,1710986400000,9.486,9.509,9.464,9.482,148232.4,1710987299999
12,1710987300000,9.481,9.561,9.481,9.517,253915.6,1710988199999
13,1710988200000,9.518,9.537,9.486,9.53,228655.0,1710989099999
14,1710989100000,9.53,9.533,9.485,9.497,168740.0,1710989999999
15,1710990000000,9.497,9.566,9.493,9.533,185136.3,1710990899999
16,1710990900000,9.533,9.576,9.517,9.532,245618.9,1710991799999
17,1710991800000,9.531,9.589,9.529,9.53,201481.9,1710992699999
18,1710992700000,9.53,9.53,9.387,9.443,736753.8,1710993599999
19,1710993600000,9.442,9.508,9.409,9.418,695441.5,1710994499999
20,1710994500000,9.419,9.46,9.409,9.43,442161.1,1710995399999
21,1710995400000,9.43,9.445,9.35,9.358,377512.7,1710996299999
22,1710996300000,9.36,9.402,9.339,9.375,304688.7,1710997199999
23,1710997200000,9.375,9.377,9.264,9.309,486783.4,1710998099999
24,1710998100000,9.309,9.309,9.211,9.267,718650.1,1710998999999
25,1710999000000,9.266,9.324,9.255,9.292,389570.5,1710999899999
26,1710999900000,9.292,9.369,9.289,9.364,352458.6,1711000799999
27,1711000800000,9.363,9.416,9.352,9.413,412398.0,1711001699999
28,1711001700000,9.413,9.425,9.344,9.371,270048.7,1711002599999
29,1711002600000,9.372,9.378,9.313,9.321,258000.0,1711003499999
30,1711003500000,9.322,9.347,9.304,9.312,222452.9,1711004399999
31,1711004400000,9.311,9.347,9.289,9.322,234033.4,1711005299999
32,1711005300000,9.323,9.39,9.321,9.384,314334.5,1711006199999
33,1711006200000,9.385,9.389,9.369,9.371,151423.3,1711007099999
34,1711007100000,9.371,9.384,9.332,9.343,352241.3,1711007999999
35,1711008000000,9.344,9.453,9.342,9.42,447321.9,1711008899999
36,1711008900000,9.421,9.435,9.375,9.403,350919.1,1711009799999
37,1711009800000,9.404,9.43,9.368,9.409,266144.1,1711010699999
38,1711010700000,9.409,9.471,9.402,9.435,302023.6,1711011599999
39,1711011600000,9.434,9.475,9.417,9.442,352151.8,1711012499999
40,1711012500000,9.441,9.441,9.391,9.408,324112.8,1711013399999
41,1711013400000,9.409,9.417,9.314,9.321,350420.9,1711014299999
42,1711014300000,9.322,9.386,9.307,9.372,257338.8,1711015199999
43,1711015200000,9.372,9.458,9.356,9.455,296962.5,1711016099999
44,1711016100000,9.455,9.457,9.403,9.432,269061.3,1711016999999
45,1711017000000,9.433,9.438,9.387,9.408,390781.3,1711017899999
46,1711017900000,9.409,9.461,9.409,9.45,290353.2,1711018799999
47,1711018800000,9.451,9.469,9.411,9.458,227281.4,1711019699999
48,1711019700000,9.459,9.467,9.382,9.402,272001.9,1711020599999
49,1711020600000,9.402,9.447,9.376,9.418,345058.6,1711021499999
50,1711021500000,9.418,9.419,9.388,9.398,326602.7,1711022399999
51,1711022400000,9.398,9.444,9.393,9.444,227313.1,1711023299999
52,1711023300000,9.445,9.447,9.416,9.438,184761.7,1711024199999
53,1711024200000,9.438,9.473,9.388,9.388,291352.8,1711025099999
54,1711025100000,9.388,9.407,9.354,9.37,342526.2,1711025999999
55,1711026000000,9.371,9.422,9.363,9.396,279994.4,1711026899999
56,1711026900000,9.395,9.413,9.361,9.4,316228.9,1711027799999
57,1711027800000,9.4,9.411,9.33,9.344,370997.5,1711028699999
58,1711028700000,9.343,9.362,9.291,9.301,448575.9,1711029599999
59,1711029600000,9.301,9.379,9.276,9.368,322252.3,1711030499999
60,1711030500000,9.367,9.413,9.334,9.373,309564.0,1711031399999
61,1711031400000,9.373,9.394,9.352,9.392,220935.1,1711032299999
62,1711032300000,9.392,9.394,9.331,9.367,212599.6,1711033199999
63,1711033200000,9.367,9.387,9.271,9.294,470344.4,1711034099999
64,1711034100000,9.293,9.336,9.267,9.295,306850.6,1711034999999
65,1711035000000,9.296,9.328,9.236,9.302,490920.8,1711035899999
66,1711035900000,9.302,9.32,9.244,9.32,279370.1,1711036799999
67,1711036800000,9.32,9.37,9.271,9.346,558876.8,1711037699999
68,1711037700000,9.346,9.438,9.318,9.437,490928.6,1711038599999
69,1711038600000,9.436,9.436,9.374,9.435,411133.9,1711039499999
70,1711039500000,9.436,9.487,9.406,9.476,322700.6,1711040399999
71,1711040400000,9.476,9.537,9.44,9.464,637294.0,1711041299999
72,1711041300000,9.464,9.464,9.313,9.316,588440.4,1711042199999
73,1711042200000,9.316,9.34,9.255,9.259,882015.5,1711043099999
74,1711043100000,9.259,9.302,9.243,9.285,532375.6,1711043999999
75,1711044000000,9.284,9.307,9.14,9.157,922876.2,1711044899999
76,1711044900000,9.159,9.213,9.127,9.196,960898.6,1711045799999
77,1711045800000,9.196,9.2,9.076,9.077,912018.0,1711046699999
78,1711046700000,9.077,9.16,9.076,9.132,599560.0,1711047599999
79,1711047600000,9.133,9.167,9.111,9.152,294492.9,1711048499999
80,1711048500000,9.152,9.183,9.11,9.174,282867.8,1711049399999
