,open_time,open,high,low,close,VOLUME,close_time
0,1710977400000,60.95,61.08,60.79,60.88,5896.0,1710978299999
1,1710978300000,60.89,61.1,60.74,61.09,3760.8,1710979199999
2,1710979200000,61.09,61.12,60.72,61.01,7620.3,1710980099999
3,1710980100000,61.02,61.17,60.68,60.89,3481.9,1710980999999
4,1710981000000,60.9,61.57,60.83,61.47,7951.7,1710981899999
5,1710981900000,61.47,61.64,61.23,61.3,6158.8,1710982799999
6,1710982800000,61.28,61.55,61.2,61.35,3673.2,1710983699999
7,1710983700000,61.35,61.65,61.28,61.56,2629.4,1710984599999
8,1710984600000,61.56,61.56,61.32,61.47,3293.2,1710985499999
9,1710985500000,61.46,61.68,61.44,61.58,2230.4,1710986399999
10,1710986400000,61.59,61.76,61.49,61.57,2855.2,1710987299999
11,1710987300000,61.57,61.89,61.57,61.71,3825.2,1710988199999
12,1710988200000,61.71,61.91,61.63,61.91,2662.7,1710989099999
13,1710989100000,61.91,61.93,61.66,61.74,2096.9,1710989999999
14,1710990000000,61.74,61.99,61.73,61.82,2281.0,1710990899999
15,1710990900000,61.81,62.05,61.7,61.76,2671.8,1710991799999
16,1710991800000,61.76,62.17,61.68,61.85,4169.2,1710992699999
17,1710992700000,61.84,61.84,60.88,61.29,16745.7,1710993599999
18,1710993600000,61.31,61.66,61.02,61.13,6348.6,1710994499999
19,1710994500000,61.14,61.48,61.13,61.38,5241.9,1710995399999
20,1710995400000,61.37,61.5,60.87,60.96,5376.2,1710996299999
21,1710996300000,60.96,61.21,60.82,61.08,3332.3,1710997199999
22,1710997200000,61.08,61.08,60.24,60.59,11985.6,1710998099999
23,1710998100000,60.57,60.61,59.83,60.3,12160.4,1710998999999
24,1710999000000,60.3,60.66,60.22,60.42,4288.2,1710999899999
25,1710999900000,60.41,61.0,60.4,60.91,5764.1,1711000799999
26,1711000800000,60.9,61.28,60.81,61.21,5818.1,1711001699999
27,1711001700000,61.21,61.38,60.77,61.02,4716.8,1711002599999
28,1711002600000,61.03,61.07,60.63,60.68,2706.2,1711003499999
29,1711003500000,60.69,60.95,60.57,60.74,2235.3,1711004399999
30,1711004400000,60.71,60.94,60.55,60.78,2847.9,1711005299999
31,1711005300000,60.77,61.25,60.75,61.19,4122.0,1711006199999
32,1711006200000,61.21,61.22,61.1,61.15,1705.5,1711007099999
33,1711007100000,61.15,61.15,60.79,60.91,2880.3,1711007999999
34,1711008000000,60.91,61.51,60.89,61.47,3944.8,1711008899999
35,1711008900000,61.48,61.78,61.11,61.53,6819.8,1711009799999
36,1711009800000,61.54,61.73,61.34,61.5,9214.1,1711010699999
37,1711010700000,61.48,61.83,61.35,61.39,4649.6,1711011599999
38,1711011600000,61.4,61.74,61.36,61.43,4551.7,1711012499999
39,1711012500000,61.42,61.57,61.23,61.41,2630.1,1711013399999
40,1711013400000,61.41,61.44,60.76,60.86,6970.2,1711014299999
