,open_time,open,high,low,close,VOLUME,close_time
0,1710977400000,1.005,1.007,1.002,1.003,666177.1,1710978299999
1,1710978300000,1.003,1.004,1.0,1.002,1041865.5,1710979199999
2,1710979200000,1.001,1.002,0.996,1.001,1233619.5,1710980099999
3,1710980100000,1.001,1.003,0.996,0.999,869173.3,1710980999999
4,1710981000000,1.0,1.011,0.997,1.007,1069406.4,1710981899999
5,1710981900000,1.007,1.009,1.0,1.003,981779.5,1710982799999
6,1710982800000,1.003,1.007,1.001,1.003,909753.2,1710983699999
7,1710983700000,1.003,1.006,1.001,1.003,724533.2,1710984599999
8,1710984600000,1.003,1.004,0.999,1.002,534284.1,1710985499999
9,1710985500000,1.003,1.007,1.002,1.006,655504.5,1710986399999
10,1710986400000,1.006,1.008,1.002,1.003,668441.8,1710987299999
11,1710987300000,1.003,1.01,1.003,1.007,603033.9,1710988199999
12,1710988200000,1.007,1.01,1.004,1.01,571752.6,1710989099999
13,1710989100000,1.01,1.01,1.005,1.007,416243.8,1710989999999
14,1710990000000,1.007,1.011,1.006,1.008,524245.6,1710990899999
15,1710990900000,1.007,1.012,1.006,1.009,681313.2,1710991799999
16,1710991800000,1.009,1.015,1.008,1.01,948119.3,1710992699999
17,1710992700000,1.01,1.01,0.994,1.0,2825891.6,1710993599999
18,1710993600000,1.0,1.005,0.996,0.998,1554341.3,1710994499999
19,1710994500000,0.998,1.005,0.998,1.002,1426827.3,1710995399999
20,1710995400000,1.002,1.004,0.994,0.995,1005956.5,1710996299999
21,1710996300000,0.995,1.001,0.993,0.999,741613.4,1710997199999
22,1710997200000,0.998,0.999,0.986,0.992,1855485.7,1710998099999
23,1710998100000,0.992,0.992,0.981,0.99,2231137.8,1710998999999
24,1710999000000,0.989,0.995,0.989,0.993,1327271.2,1710999899999
25,1710999900000,0.993,1.003,0.993,1.0,1164777.3,1711000799999
26,1711000800000,0.999,1.006,0.999,1.005,1344400.0,1711001699999
27,1711001700000,1.005,1.008,0.999,1.002,1047194.4,1711002599999
28,1711002600000,1.002,1.004,0.998,1.0,968103.7,1711003499999
29,1711003500000,0.999,1.005,0.997,1.002,923247.8,1711004399999
30,1711004400000,1.001,1.005,0.998,1.002,1317436.5,1711005299999
31,1711005300000,1.002,1.009,1.001,1.007,476791.2,1711006199999
