,open_time,open,high,low,close,VOLUME,close_time
0,1710976500000,3.655,3.662,3.64,3.655,12164.0,1710977399999
1,1710977400000,3.653,3.656,3.63,3.63,13239.0,1710978299999
2,1710978300000,3.632,3.636,3.623,3.633,12966.0,1710979199999
3,1710979200000,3.633,3.638,3.599,3.608,47264.0,1710980099999
4,1710980100000,3.608,3.625,3.584,3.605,25260.0,1710980999999
5,1710981000000,3.606,3.643,3.595,3.637,18545.0,1710981899999
6,1710981900000,3.634,3.648,3.619,3.624,10358.0,1710982799999
7,1710982800000,3.624,3.654,3.612,3.647,34792.0,1710983699999
8,1710983700000,3.643,3.664,3.637,3.659,40771.0,1710984599999
9,1710984600000,3.658,3.658,3.624,3.633,17295.0,1710985499999
10,1710985500000,3.633,3.649,3.633,3.644,9531.0,1710986399999
11,1710986400000,3.645,3.653,3.636,3.639,26808.0,1710987299999
12,1710987300000,3.64,3.681,3.64,3.664,24082.0,1710988199999
13,1710988200000,3.665,3.68,3.663,3.678,15178.0,1710989099999
14,1710989100000,3.679,3.685,3.662,3.664,20643.0,1710989999999
15,1710990000000,3.664,3.69,3.663,3.67,29145.0,1710990899999
16,1710990900000,3.669,3.688,3.663,3.666,11845.0,1710991799999
17,1710991800000,3.667,3.693,3.66,3.675,20398.0,1710992699999
18,1710992700000,3.676,3.676,3.609,3.634,76944.0,1710993599999
19,1710993600000,3.634,3.652,3.609,3.609,33484.0,1710994499999
20,1710994500000,3.611,3.632,3.611,3.622,16367.0,1710995399999
21,1710995400000,3.624,3.633,3.592,3.595,16338.0,1710996299999
22,1710996300000,3.595,3.612,3.588,3.597,9520.0,1710997199999
23,1710997200000,3.598,3.607,3.55,3.569,32157.0,1710998099999
24,1710998100000,3.568,3.571,3.526,3.552,23829.0,1710998999999
25,1710999000000,3.553,3.584,3.55,3.561,15723.0,1710999899999
26,1710999900000,3.565,3.599,3.565,3.59,9709.0,1711000799999
27,1711000800000,3.591,3.618,3.588,3.614,26169.0,1711001699999
28,1711001700000,3.615,3.625,3.582,3.591,15484.0,1711002599999
29,1711002600000,3.591,3.598,3.572,3.573,12144.0,1711003499999
30,1711003500000,3.568,3.589,3.566,3.572,12759.0,1711004399999
31,1711004400000,3.572,3.592,3.565,3.584,21831.0,1711005299999
32,1711005300000,3.584,3.614,3.582,3.613,7881.0,1711006199999
33,1711006200000,3.613,3.613,3.597,3.598,9022.0,1711007099999
34,1711007100000,3.598,3.598,3.578,3.58,16640.0,1711007999999
35,1711008000000,3.582,3.625,3.582,3.618,26914.0,1711008899999
36,1711008900000,3.618,3.622,3.598,3.609,23096.0,1711009799999
37,1711009800000,3.609,3.621,3.595,3.618,11540.0,1711010699999
38,1711010700000,3.615,3.64,3.614,3.623,10503.0,1711011599999
39,1711011600000,3.625,3.654,3.624,3.63,24389.0,1711012499999
40,1711012500000,3.631,3.639,3.623,3.631,7840.0,1711013399999
41,1711013400000,3.631,3.631,3.595,3.596,12428.0,1711014299999
42,1711014300000,3.597,3.627,3.589,3.627,14322.0,1711015199999
43,1711015200000,3.625,3.642,3.611,3.641,28987.0,1711016099999
44,1711016100000,3.64,3.645,3.628,3.644,14828.0,1711016999999
45,1711017000000,3.644,3.646,3.624,3.629,8510.0,1711017899999
46,1711017900000,3.63,3.658,3.63,3.649,16029.0,1711018799999
47,1711018800000,3.649,3.654,3.641,3.654,11700.0,1711019699999
48,1711019700000,3.654,3.656,3.62,3.629,25841.0,1711020599999
49,1711020600000,3.63,3.653,3.62,3.645,17315.0,1711021499999
50,1711021500000,3.645,3.646,3.625,3.633,14103.0,1711022399999
51,1711022400000,3.633,3.655,3.633,3.648,14401.0,1711023299999
52,1711023300000,3.649,3.651,3.635,3.648,13073.0,1711024199999
53,1711024200000,3.649,3.664,3.629,3.629,40474.0,1711025099999
54,1711025100000,3.629,3.643,3.615,3.622,20235.0,1711025999999
55,1711026000000,3.623,3.639,3.618,3.627,24424.0,1711026899999
56,1711026900000,3.627,3.639,3.616,3.637,16851.0,1711027799999
57,1711027800000,3.636,3.643,3.593,3.599,33759.0,1711028699999
58,1711028700000,3.599,3.613,3.582,3.591,26478.0,1711029599999
59,1711029600000,3.59,3.632,3.585,3.627,27649.0,1711030499999
60,1711030500000,3.628,3.65,3.618,3.635,14852.0,1711031399999
61,1711031400000,3.634,3.64,3.622,3.637,25254.0,1711032299999
62,1711032300000,3.638,3.638,3.615,3.631,18598.0,1711033199999
63,1711033200000,3.631,3.637,3.599,3.614,31845.0,1711034099999
64,1711034100000,3.613,3.625,3.602,3.606,14789.0,1711034999999
65,1711035000000,3.606,3.615,3.579,3.603,22078.0,1711035899999
66,1711035900000,3.603,3.616,3.583,3.616,13020.0,1711036799999
67,1711036800000,3.617,3.634,3.601,3.631,34151.0,1711037699999
68,1711037700000,3.632,3.669,3.625,3.667,47980.0,1711038599999
69,1711038600000,3.668,3.671,3.639,3.662,25345.0,1711039499999
70,1711039500000,3.66,3.681,3.65,3.676,19931.0,1711040399999
71,1711040400000,3.675,3.686,3.657,3.673,24301.0,1711041299999
72,1711041300000,3.674,3.674,3.612,3.614,23064.0,1711042199999
73,1711042200000,3.613,3.626,3.591,3.594,26132.0,1711043099999
74,1711043100000,3.593,3.61,3.579,3.604,21734.0,1711043999999
75,1711044000000,3.602,3.615,3.558,3.559,26960.0,1711044899999
76,1711044900000,3.561,3.582,3.551,3.567,19744.0,1711045799999
77,1711045800000,3.566,3.57,3.512,3.514,41200.0,1711046699999
78,1711046700000,3.513,3.548,3.513,3.538,12302.0,1711047599999
79,1711047600000,3.538,3.557,3.532,3.554,13526.0,1711048499999
80,1711048500000,3.554,3.562,3.531,3.559,8805.0,1711049399999
81,1711049400000,3.558,3.591,3.557,3.584,19902.0,1711050299999
82,1711050300000,3.584,3.591,3.571,3.575,11225.0,1711051199999
83,1711051200000,3.575,3.609,3.539,3.609,31182.0,1711052099999
84,1711052100000,3.609,3.637,3.597,3.623,26042.0,1711052999999
85,1711053000000,3.624,3.628,3.604,3.61,13008.0,1711053899999
86,1711053900000,3.612,3.628,3.59,3.625,19440.0,1711054799999
87,1711054800000,3.625,3.627,3.593,3.605,10762.0,1711055699999
88,1711055700000,3.604,3.614,3.595,3.597,11545.0,1711056599999
89,1711056600000,3.596,3.61,3.589,3.597,19058.0,1711057499999
90,1711057500000,3.599,3.622,3.596,3.622,7140.0,1711058399999
91,1711058400000,3.623,3.647,3.619,3.637,18403.0,1711059299999
92,1711059300000,3.637,3.64,3.614,3.623,7953.0,1711060199999
93,1711060200000,3.624,3.624,3.606,3.617,6576.0,1711061099999
94,1711061100000,3.618,3.618,3.603,3.606,7876.0,1711061999999
95,1711062000000,3.606,3.612,3.599,3.608,7816.0,1711062899999
96,1711062900000,3.608,3.609,3.595,3.599,8193.0,1711063799999
97,1711063800000,3.599,3.617,3.594,3.613,7698.0,1711064699999
98,1711064700000,3.614,3.627,3.614,3.622,7900.0,1711065599999
99,1711065600000,3.621,3.638,3.612,3.622,48122.0,1711066499999
100,1711066500000,3.624,3.637,3.613,3.624,16558.0,1711067399999
101,1711067400000,3.623,3.623,3.59,3.605,17619.0,1711068299999
102,1711068300000,3.603,3.62,3.592,3.601,17303.0,1711069199999
103,1711069200000,3.6,3.63,3.584,3.63,29146.0,1711070099999
104,1711070100000,3.63,3.633,3.612,3.613,8273.0,1711070999999
105,1711071000000,3.613,3.614,3.585,3.585,11608.0,1711071899999
106,1711071900000,3.585,3.606,3.567,3.568,18338.0,1711072799999
107,1711072800000,3.57,3.587,3.55,3.559,10170.0,1711073699999
108,1711073700000,3.559,3.572,3.552,3.564,9119.0,1711074599999
109,1711074600000,3.563,3.575,3.55,3.559,16494.0,1711075499999
110,1711075500000,3.558,3.572,3.546,3.568,11917.0,1711076399999
111,1711076400000,3.569,3.607,3.569,3.585,30991.0,1711077299999
112,1711077300000,3.581,3.619,3.58,3.619,18100.0,1711078199999
113,1711078200000,3.619,3.655,3.619,3.631,54131.0,1711079099999
114,1711079100000,3.631,3.658,3.631,3.645,16800.0,1711079999999
115,1711080000000,3.643,3.653,3.63,3.638,29681.0,1711080899999
116,1711080900000,3.638,3.646,3.612,3.628,61578.0,1711081799999
117,1711081800000,3.628,3.63,3.605,3.615,26947.0,1711082699999
118,1711082700000,3.616,3.651,3.612,3.632,12244.0,1711083599999
119,1711083600000,3.634,3.648,3.622,3.622,23746.0,1711084499999
120,1711084500000,3.621,3.649,3.621,3.645,35677.0,1711085399999
121,1711085400000,3.646,3.672,3.636,3.657,35264.0,1711086299999
122,1711086300000,3.658,3.67,3.646,3.657,26274.0,1711087199999
123,1711087200000,3.657,3.673,3.644,3.668,26289.0,1711088099999
124,1711088100000,3.67,3.672,3.65,3.655,14196.0,1711088999999
125,1711089000000,3.649,3.659,3.642,3.655,8733.0,1711089899999
126,1711089900000,3.654,3.664,3.643,3.656,9880.0,1711090799999
127,1711090800000,3.658,3.663,3.644,3.662,14304.0,1711091699999
128,1711091700000,3.661,3.662,3.644,3.661,8957.0,1711092599999
129,1711092600000,3.661,3.675,3.66,3.667,11416.0,1711093499999
130,1711093500000,3.666,3.667,3.654,3.658,9089.0,1711094399999
131,1711094400000,3.659,3.676,3.657,3.676,8046.0,1711095299999
132,1711095300000,3.676,3.681,3.666,3.677,14511.0,1711096199999
133,1711096200000,3.677,3.682,3.635,3.641,16230.0,1711097099999
134,1711097100000,3.641,3.657,3.635,3.639,13618.0,1711097999999
135,1711098000000,3.64,3.648,3.636,3.643,9813.0,1711098899999
136,1711098900000,3.645,3.656,3.643,3.651,8154.0,1711099799999
137,1711099800000,3.65,3.65,3.609,3.618,14016.0,1711100699999
