,open_time,open,high,low,close,VOLUME,close_time
0,1710976500000,0.5308,0.5319,0.53,0.5309,254782.0,1710977399999
1,1710977400000,0.5307,0.5319,0.5294,0.531,435554.0,1710978299999
2,1710978300000,0.5311,0.5346,0.5299,0.5313,277296.0,1710979199999
3,1710979200000,0.5315,0.5333,0.5292,0.5312,310085.0,1710980099999
4,1710980100000,0.5314,0.5335,0.5284,0.5301,362066.0,1710980999999
5,1710981000000,0.5301,0.5355,0.5292,0.5348,210356.0,1710981899999
6,1710981900000,0.5346,0.5355,0.5321,0.535,501452.0,1710982799999
7,1710982800000,0.535,0.5365,0.5327,0.5341,425502.0,1710983699999
8,1710983700000,0.5342,0.5368,0.5329,0.5347,299199.0,1710984599999
9,1710984600000,0.5347,0.5351,0.5315,0.5332,164013.0,1710985499999
10,1710985500000,0.5331,0.5369,0.5331,0.5367,269911.0,1710986399999
11,1710986400000,0.5366,0.5377,0.5354,0.5361,194510.0,1710987299999
12,1710987300000,0.536,0.5397,0.5359,0.5388,220029.0,1710988199999
13,1710988200000,0.539,0.5421,0.5371,0.5421,321472.0,1710989099999
14,1710989100000,0.542,0.5428,0.5386,0.539,175152.0,1710989999999
15,1710990000000,0.5389,0.5409,0.5379,0.5379,183839.0,1710990899999
16,1710990900000,0.5377,0.5391,0.5356,0.5363,238418.0,1710991799999
17,1710991800000,0.5363,0.5408,0.5356,0.5378,332378.0,1710992699999
18,1710992700000,0.5377,0.5377,0.5291,0.5313,532125.0,1710993599999
19,1710993600000,0.5315,0.5346,0.5292,0.5301,266770.0,1710994499999
20,1710994500000,0.5302,0.5326,0.5297,0.5304,232868.0,1710995399999
21,1710995400000,0.5305,0.5322,0.5267,0.5271,283305.0,1710996299999
22,1710996300000,0.5271,0.5296,0.5257,0.5271,208925.0,1710997199999
23,1710997200000,0.527,0.527,0.513,0.5225,1005620.0,1710998099999
24,1710998100000,0.5224,0.5225,0.5147,0.519,366195.0,1710998999999
25,1710999000000,0.5189,0.523,0.5178,0.5201,502148.0,1710999899999
26,1710999900000,0.5202,0.5253,0.5201,0.5244,257655.0,1711000799999
27,1711000800000,0.5243,0.533,0.5238,0.5299,718874.0,1711001699999
28,1711001700000,0.53,0.5315,0.5264,0.5268,318145.0,1711002599999
29,1711002600000,0.5269,0.5282,0.524,0.5244,263546.0,1711003499999
30,1711003500000,0.5244,0.5273,0.5233,0.5243,173128.0,1711004399999
31,1711004400000,0.5243,0.5281,0.5228,0.5268,135645.0,1711005299999
32,1711005300000,0.5269,0.5313,0.5267,0.5308,211320.0,1711006199999
33,1711006200000,0.5309,0.5312,0.5289,0.5289,134500.0,1711007099999
34,1711007100000,0.5288,0.5294,0.5268,0.5285,341847.0,1711007999999
35,1711008000000,0.5284,0.5311,0.525,0.5303,909501.0,1711008899999
36,1711008900000,0.5302,0.5309,0.5276,0.5299,273807.0,1711009799999
37,1711009800000,0.53,0.5311,0.528,0.5297,327460.0,1711010699999
38,1711010700000,0.5297,0.5323,0.5279,0.5281,383734.0,1711011599999
