,open_time,open,high,low,close,VOLUME,close_time
0,1710976500000,0.4879,0.4894,0.4863,0.4886,243362.0,1710977399999
1,1710977400000,0.4889,0.4912,0.4884,0.4893,458015.0,1710978299999
2,1710978300000,0.4893,0.4904,0.4876,0.4897,505837.0,1710979199999
3,1710979200000,0.4898,0.4964,0.4879,0.4915,1573998.0,1710980099999
4,1710980100000,0.4915,0.4931,0.4858,0.4869,566585.0,1710980999999
5,1710981000000,0.4871,0.4916,0.4855,0.4905,698152.0,1710981899999
6,1710981900000,0.4903,0.4912,0.4869,0.4889,289729.0,1710982799999
7,1710982800000,0.4888,0.491,0.488,0.4883,357947.0,1710983699999
8,1710983700000,0.4883,0.491,0.4874,0.4908,245916.0,1710984599999
9,1710984600000,0.4909,0.4909,0.4873,0.4889,206967.0,1710985499999
10,1710985500000,0.4889,0.4904,0.4884,0.4897,272798.0,1710986399999
11,1710986400000,0.4897,0.4904,0.4879,0.4883,201651.0,1710987299999
12,1710987300000,0.4884,0.4925,0.4884,0.4915,234731.0,1710988199999
13,1710988200000,0.4915,0.4945,0.4903,0.4942,377744.0,1710989099999
14,1710989100000,0.4943,0.4947,0.4911,0.4917,294065.0,1710989999999
15,1710990000000,0.4917,0.4964,0.4911,0.4937,410087.0,1710990899999
16,1710990900000,0.4937,0.494,0.4911,0.4914,359537.0,1710991799999
17,1710991800000,0.4913,0.4947,0.4907,0.4909,310702.0,1710992699999
18,1710992700000,0.4908,0.4908,0.4824,0.4846,722541.0,1710993599999
19,1710993600000,0.4848,0.4885,0.4831,0.4835,402794.0,1710994499999
20,1710994500000,0.4834,0.4867,0.4834,0.4842,257530.0,1710995399999
21,1710995400000,0.4844,0.4856,0.4806,0.4809,397488.0,1710996299999
22,1710996300000,0.4812,0.484,0.4803,0.4819,221831.0,1710997199999
23,1710997200000,0.4819,0.4821,0.4748,0.4767,483063.0,1710998099999
24,1710998100000,0.4767,0.4769,0.4704,0.4745,407800.0,1710998999999
25,1710999000000,0.4746,0.4781,0.4737,0.4752,335488.0,1710999899999
26,1710999900000,0.4752,0.4807,0.475,0.4798,269626.0,1711000799999
27,1711000800000,0.4797,0.4833,0.4788,0.4819,601335.0,1711001699999
28,1711001700000,0.4819,0.4828,0.4776,0.4793,243442.0,1711002599999
29,1711002600000,0.4794,0.4801,0.4761,0.4768,655266.0,1711003499999
30,1711003500000,0.4768,0.4795,0.4762,0.478,233606.0,1711004399999
31,1711004400000,0.478,0.4796,0.4757,0.4786,491561.0,1711005299999
32,1711005300000,0.4784,0.4825,0.4782,0.4817,454745.0,1711006199999
33,1711006200000,0.4817,0.4821,0.4809,0.4816,116913.0,1711007099999
34,1711007100000,0.4817,0.4818,0.4776,0.4791,345958.0,1711007999999
35,1711008000000,0.4792,0.4852,0.4789,0.4847,499884.0,1711008899999
36,1711008900000,0.4846,0.4846,0.481,0.4821,588576.0,1711009799999
37,1711009800000,0.4821,0.4832,0.4806,0.4824,240265.0,1711010699999
38,1711010700000,0.4823,0.4854,0.4818,0.4818,348003.0,1711011599999
39,1711011600000,0.4818,0.4852,0.4812,0.4846,367989.0,1711012499999
40,1711012500000,0.4846,0.4849,0.4827,0.4841,217380.0,1711013399999
41,1711013400000,0.484,0.484,0.4799,0.48,265046.0,1711014299999
42,1711014300000,0.4801,0.484,0.4791,0.4837,267398.0,1711015199999
43,1711015200000,0.4836,0.4878,0.4831,0.4878,300369.0,1711016099999
44,1711016100000,0.4878,0.488,0.4849,0.4855,238543.0,1711016999999
45,1711017000000,0.4854,0.4857,0.4815,0.4821,165695.0,1711017899999
46,1711017900000,0.4821,0.4848,0.4821,0.4841,288473.0,1711018799999
47,1711018800000,0.484,0.4846,0.4815,0.4843,443497.0,1711019699999
48,1711019700000,0.4843,0.4847,0.4794,0.4809,423095.0,1711020599999
49,1711020600000,0.4808,0.4835,0.4793,0.4811,394027.0,1711021499999
50,1711021500000,0.4811,0.4814,0.4793,0.4798,350955.0,1711022399999
51,1711022400000,0.4797,0.4844,0.4797,0.4841,615770.0,1711023299999
