,open_time,open,high,low,close,VOLUME,close_time
0,1710976500000,3.2781,3.2926,3.261,3.2672,314625.0,1710977399999
1,1710977400000,3.2678,3.2809,3.2611,3.2664,266325.0,1710978299999
2,1710978300000,3.2663,3.284,3.2538,3.277,297045.0,1710979199999
3,1710979200000,3.2766,3.2796,3.224,3.255,607779.0,1710980099999
4,1710980100000,3.2548,3.267,3.2017,3.2194,543411.0,1710980999999
5,1710981000000,3.22,3.3011,3.2088,3.2879,554669.0,1710981899999
6,1710981900000,3.2879,3.3286,3.2686,3.2726,769326.0,1710982799999
7,1710982800000,3.2728,3.2794,3.2467,3.2484,433135.0,1710983699999
8,1710983700000,3.2487,3.2709,3.237,3.2674,266399.0,1710984599999
9,1710984600000,3.2676,3.2811,3.255,3.2792,394106.0,1710985499999
10,1710985500000,3.2784,3.3266,3.2775,3.3247,486868.0,1710986399999
11,1710986400000,3.3247,3.3939,3.3243,3.36,1013528.0,1710987299999
12,1710987300000,3.3589,3.3874,3.3464,3.3765,499005.0,1710988199999
13,1710988200000,3.3773,3.3871,3.3493,3.3703,298350.0,1710989099999
14,1710989100000,3.3702,3.3778,3.3211,3.3287,447470.0,1710989999999
15,1710990000000,3.3289,3.3543,3.3082,3.3296,447825.0,1710990899999
16,1710990900000,3.3291,3.353,3.32,3.3201,226049.0,1710991799999
17,1710991800000,3.3208,3.3641,3.3154,3.3282,370717.0,1710992699999
18,1710992700000,3.3297,3.3319,3.2531,3.2618,864089.0,1710993599999
19,1710993600000,3.262,3.2888,3.2465,3.2498,537145.0,1710994499999
20,1710994500000,3.2503,3.2715,3.2303,3.2343,552422.0,1710995399999
21,1710995400000,3.2344,3.2446,3.1974,3.2001,611813.0,1710996299999
22,1710996300000,3.2003,3.2205,3.1915,3.1994,446685.0,1710997199999
23,1710997200000,3.1993,3.1995,3.1422,3.1654,637322.0,1710998099999
24,1710998100000,3.1644,3.1676,3.106,3.1297,696358.0,1710998999999
25,1710999000000,3.1299,3.1679,3.1292,3.1535,438328.0,1710999899999
26,1710999900000,3.1538,3.1706,3.1379,3.1578,407083.0,1711000799999
27,1711000800000,3.1579,3.1902,3.1518,3.1726,484187.0,1711001699999
28,1711001700000,3.1738,3.1883,3.1395,3.157,372557.0,1711002599999
29,1711002600000,3.1572,3.1662,3.1413,3.1458,290919.0,1711003499999
30,1711003500000,3.1461,3.174,3.1357,3.1626,254937.0,1711004399999
31,1711004400000,3.1625,3.1968,3.1565,3.1863,405208.0,1711005299999
32,1711005300000,3.1858,3.232,3.1824,3.224,606860.0,1711006199999
33,1711006200000,3.2237,3.2244,3.1987,3.1995,231851.0,1711007099999
