,open_time,open,high,low,close,VOLUME,close_time
0,1710976500000,2.6029,2.6087,2.5923,2.6046,166035.0,1710977399999
1,1710977400000,2.6047,2.6157,2.6009,2.6084,322110.0,1710978299999
2,1710978300000,2.6076,2.613,2.6,2.6079,217253.0,1710979199999
3,1710979200000,2.6079,2.6092,2.584,2.5909,266910.0,1710980099999
4,1710980100000,2.5908,2.6064,2.5831,2.5941,211233.0,1710980999999
5,1710981000000,2.5945,2.6312,2.5909,2.617,363790.0,1710981899999
6,1710981900000,2.6167,2.6239,2.6088,2.6122,209638.0,1710982799999
7,1710982800000,2.612,2.6222,2.6077,2.614,171103.0,1710983699999
8,1710983700000,2.6146,2.6213,2.6107,2.616,115275.0,1710984599999
9,1710984600000,2.6157,2.6157,2.6001,2.6051,99700.0,1710985499999
10,1710985500000,2.6052,2.6197,2.605,2.6168,113780.0,1710986399999
11,1710986400000,2.6167,2.6334,2.6166,2.6311,445413.0,1710987299999
12,1710987300000,2.6317,2.6539,2.629,2.634,411438.0,1710988199999
13,1710988200000,2.6342,2.6447,2.6289,2.6359,195033.0,1710989099999
14,1710989100000,2.636,2.6539,2.6314,2.6448,322730.0,1710989999999
15,1710990000000,2.6447,2.6734,2.6391,2.6505,747392.0,1710990899999
16,1710990900000,2.6501,2.6589,2.6368,2.6391,338987.0,1710991799999
17,1710991800000,2.6391,2.6603,2.6388,2.6466,204341.0,1710992699999
18,1710992700000,2.6464,2.6474,2.6133,2.6354,593668.0,1710993599999
19,1710993600000,2.6357,2.6479,2.6167,2.6268,304068.0,1710994499999
20,1710994500000,2.6268,2.6443,2.6254,2.6366,305165.0,1710995399999
21,1710995400000,2.6365,2.644,2.6126,2.6159,259700.0,1710996299999
22,1710996300000,2.6163,2.6296,2.6116,2.6159,155204.0,1710997199999
23,1710997200000,2.6159,2.6161,2.5837,2.599,389300.0,1710998099999
24,1710998100000,2.5986,2.6005,2.5647,2.5817,373495.0,1710998999999
25,1710999000000,2.5818,2.598,2.5745,2.5826,221934.0,1710999899999
26,1710999900000,2.5825,2.6107,2.5818,2.6078,223814.0,1711000799999
27,1711000800000,2.6076,2.6217,2.6022,2.6138,220011.0,1711001699999
28,1711001700000,2.6141,2.6232,2.6015,2.6065,116257.0,1711002599999
29,1711002600000,2.6069,2.6104,2.593,2.5986,221552.0,1711003499999
30,1711003500000,2.5986,2.605,2.5913,2.5931,168282.0,1711004399999
31,1711004400000,2.5933,2.6056,2.5858,2.5988,158787.0,1711005299999
32,1711005300000,2.5987,2.6183,2.5963,2.6144,150292.0,1711006199999
33,1711006200000,2.6154,2.6244,2.6143,2.6202,178148.0,1711007099999
34,1711007100000,2.6197,2.6202,2.608,2.6126,176160.0,1711007999999
35,1711008000000,2.6126,2.6249,2.6117,2.6213,238566.0,1711008899999
36,1711008900000,2.6215,2.6247,2.6128,2.6184,191371.0,1711009799999
37,1711009800000,2.6183,2.6208,2.6072,2.6179,97226.0,1711010699999
38,1711010700000,2.617,2.6976,2.6141,2.6714,1462693.0,1711011599999
39,1711011600000,2.6707,2.7032,2.665,2.6787,782026.0,1711012499999
40,1711012500000,2.6787,2.696,2.672,2.6798,659308.0,1711013399999
41,1711013400000,2.6795,2.6843,2.6418,2.6446,455235.0,1711014299999
42,1711014300000,2.6452,2.679,2.6404,2.668,481349.0,1711015199999
43,1711015200000,2.6683,2.6996,2.6677,2.6989,416204.0,1711016099999
44,1711016100000,2.6988,2.7016,2.6815,2.6884,310639.0,1711016999999
45,1711017000000,2.6879,2.7053,2.6803,2.7034,487997.0,1711017899999
46,1711017900000,2.703,2.7072,2.6894,2.6969,467451.0,1711018799999
47,1711018800000,2.6966,2.7059,2.6824,2.692,498871.0,1711019699999
48,1711019700000,2.6924,2.693,2.6644,2.6764,276800.0,1711020599999
49,1711020600000,2.6762,2.6855,2.6666,2.6807,180005.0,1711021499999
50,1711021500000,2.6802,2.6845,2.6705,2.6803,278879.0,1711022399999
51,1711022400000,2.6801,2.7319,2.6801,2.7168,546589.0,1711023299999
52,1711023300000,2.7169,2.7451,2.7023,2.7426,547075.0,1711024199999
53,1711024200000,2.7416,2.7496,2.708,2.718,1037753.0,1711025099999
54,1711025100000,2.718,2.7327,2.7012,2.7199,391235.0,1711025999999
55,1711026000000,2.7196,2.7498,2.7082,2.7313,464368.0,1711026899999
56,1711026900000,2.7313,2.7809,2.7223,2.7753,693385.0,1711027799999
57,1711027800000,2.7748,2.8074,2.7565,2.779,1856249.0,1711028699999
58,1711028700000,2.7781,2.8135,2.7718,2.8014,1057987.0,1711029599999
59,1711029600000,2.8006,2.8452,2.7802,2.843,1173025.0,1711030499999
60,1711030500000,2.8434,2.8647,2.8152,2.8178,1030969.0,1711031399999
61,1711031400000,2.8179,2.8224,2.7739,2.7775,769989.0,1711032299999
62,1711032300000,2.7774,2.7778,2.7528,2.7655,836075.0,1711033199999
63,1711033200000,2.7657,2.7762,2.7534,2.7628,635872.0,1711034099999
64,1711034100000,2.7629,2.7795,2.7539,2.7595,546806.0,1711034999999
65,1711035000000,2.7603,2.7944,2.7592,2.7934,538340.0,1711035899999
66,1711035900000,2.7931,2.7943,2.763,2.7754,435407.0,1711036799999
67,1711036800000,2.7753,2.7756,2.7565,2.7728,581880.0,1711037699999
68,1711037700000,2.7732,2.8141,2.7661,2.8033,688423.0,1711038599999
69,1711038600000,2.8037,2.8037,2.7596,2.7639,425360.0,1711039499999
70,1711039500000,2.7638,2.7919,2.7577,2.7902,496680.0,1711040399999
71,1711040400000,2.7901,2.82,2.7827,2.7947,586249.0,1711041299999
72,1711041300000,2.7947,2.7952,2.7479,2.7483,483111.0,1711042199999
73,1711042200000,2.7485,2.7675,2.7401,2.7496,635589.0,1711043099999
74,1711043100000,2.7495,2.7713,2.7414,2.7574,489314.0,1711043999999
75,1711044000000,2.7574,2.7599,2.7204,2.7247,713448.0,1711044899999
76,1711044900000,2.7246,2.7531,2.7222,2.7419,621230.0,1711045799999
77,1711045800000,2.742,2.742,2.7157,2.7182,430919.0,1711046699999
78,1711046700000,2.7184,2.743,2.7173,2.7352,297348.0,1711047599999
79,1711047600000,2.7351,2.7482,2.7264,2.7418,339672.0,1711048499999
80,1711048500000,2.7417,2.7628,2.7289,2.7599,380715.0,1711049399999
81,1711049400000,2.7599,2.7886,2.7573,2.7795,779355.0,1711050299999
82,1711050300000,2.7795,2.7797,2.753,2.7604,425228.0,1711051199999
83,1711051200000,2.7592,2.8057,2.7316,2.8057,800058.0,1711052099999
84,1711052100000,2.8052,2.8338,2.7884,2.8256,1286140.0,1711052999999
85,1711053000000,2.826,2.8639,2.8154,2.8501,934776.0,1711053899999
86,1711053900000,2.8504,2.8554,2.7953,2.8322,991029.0,1711054799999
87,1711054800000,2.8321,2.8526,2.82,2.8438,512386.0,1711055699999
88,1711055700000,2.844,2.8747,2.8429,2.846,667876.0,1711056599999
89,1711056600000,2.8464,2.8696,2.8464,2.864,285491.0,1711057499999
90,1711057500000,2.8639,2.8895,2.8575,2.8826,635264.0,1711058399999
91,1711058400000,2.8824,2.9534,2.874,2.928,1365111.0,1711059299999
92,1711059300000,2.9279,2.9552,2.9081,2.9401,1380069.0,1711060199999
93,1711060200000,2.9398,2.944,2.8921,2.9092,836879.0,1711061099999
94,1711061100000,2.9091,2.9197,2.8782,2.8861,749125.0,1711061999999
95,1711062000000,2.8861,2.8997,2.8618,2.8663,760915.0,1711062899999
96,1711062900000,2.8664,2.8921,2.8555,2.8628,631804.0,1711063799999
97,1711063800000,2.8628,2.8749,2.8546,2.8655,341136.0,1711064699999
98,1711064700000,2.8654,2.875,2.8595,2.8651,229253.0,1711065599999
99,1711065600000,2.8651,2.8899,2.8588,2.8795,513634.0,1711066499999
100,1711066500000,2.8788,2.8847,2.8516,2.853,413982.0,1711067399999
101,1711067400000,2.8529,2.8569,2.8326,2.846,545545.0,1711068299999
102,1711068300000,2.846,2.8594,2.8282,2.8474,480919.0,1711069199999
103,1711069200000,2.8473,2.8499,2.8212,2.8308,434223.0,1711070099999
104,1711070100000,2.8308,2.832,2.8057,2.8139,438002.0,1711070999999
105,1711071000000,2.8138,2.8138,2.795,2.8012,351791.0,1711071899999
106,1711071900000,2.8012,2.8052,2.7812,2.7865,480858.0,1711072799999
107,1711072800000,2.7865,2.8054,2.784,2.7953,346534.0,1711073699999
108,1711073700000,2.7951,2.8168,2.7921,2.7967,344798.0,1711074599999
109,1711074600000,2.7967,2.8045,2.7818,2.7836,216869.0,1711075499999
110,1711075500000,2.7836,2.7894,2.7719,2.7835,449774.0,1711076399999
111,1711076400000,2.7834,2.8005,2.7823,2.7975,332142.0,1711077299999
112,1711077300000,2.7976,2.8083,2.7903,2.8055,297596.0,1711078199999
113,1711078200000,2.8054,2.8213,2.8043,2.8047,265859.0,1711079099999
114,1711079100000,2.8048,2.8257,2.8031,2.8176,355689.0,1711079999999
115,1711080000000,2.8175,2.8209,2.793,2.8,287201.0,1711080899999
116,1711080900000,2.7999,2.8004,2.7793,2.7823,220308.0,1711081799999
117,1711081800000,2.7826,2.7876,2.7763,2.7832,148044.0,1711082699999
118,1711082700000,2.7833,2.814,2.7801,2.8016,270742.0,1711083599999
119,1711083600000,2.8014,2.8118,2.7758,2.7789,335536.0,1711084499999
120,1711084500000,2.7788,2.7897,2.7731,2.7801,187702.0,1711085399999
121,1711085400000,2.7802,2.7913,2.7551,2.7898,491858.0,1711086299999
122,1711086300000,2.7897,2.7995,2.7822,2.7904,240224.0,1711087199999
123,1711087200000,2.7892,2.8145,2.7854,2.8063,353674.0,1711088099999
124,1711088100000,2.8071,2.8089,2.7835,2.7835,487013.0,1711088999999
125,1711089000000,2.7832,2.791,2.7815,2.7871,170895.0,1711089899999
126,1711089900000,2.7871,2.7983,2.78,2.7933,256926.0,1711090799999
127,1711090800000,2.7936,2.799,2.784,2.7984,343383.0,1711091699999
128,1711091700000,2.7983,2.8012,2.7739,2.7805,209966.0,1711092599999
129,1711092600000,2.7805,2.8079,2.7805,2.8078,382198.0,1711093499999
130,1711093500000,2.8077,2.8082,2.7929,2.7946,276165.0,1711094399999
131,1711094400000,2.7947,2.8011,2.7863,2.7949,258148.0,1711095299999
132,1711095300000,2.7948,2.7956,2.7774,2.7818,218944.0,1711096199999
133,1711096200000,2.7817,2.7839,2.752,2.7604,293044.0,1711097099999
134,1711097100000,2.7605,2.7726,2.7559,2.7718,278469.0,1711097999999
135,1711098000000,2.7717,2.7903,2.7712,2.7884,263754.0,1711098899999
136,1711098900000,2.7884,2.7966,2.7813,2.7838,299750.0,1711099799999
137,1711099800000,2.784,2.8337,2.7824,2.8072,988312.0,1711100699999
138,1711100700000,2.8073,2.8221,2.7966,2.8114,389403.0,1711101599999
139,1711101600000,2.8116,2.8274,2.794,2.8213,562655.0,1711102499999
140,1711102500000,2.8212,2.835,2.7941,2.8112,617427.0,1711103399999
141,1711103400000,2.8115,2.8145,2.7705,2.7799,1018669.0,1711104299999
142,1711104300000,2.78,2.7831,2.75,2.7658,472101.0,1711105199999
143,1711105200000,2.7663,2.78,2.7552,2.7684,328793.0,1711106099999
144,1711106100000,2.7685,2.7747,2.753,2.7712,228320.0,1711106999999
145,1711107000000,2.7708,2.7728,2.7389,2.7459,983077.0,1711107899999
146,1711107900000,2.7466,2.753,2.7158,2.7308,877546.0,1711108799999
147,1711108800000,2.7304,2.762,2.7171,2.7561,484478.0,1711109699999
148,1711109700000,2.7561,2.7744,2.7514,2.7742,216167.0,1711110599999
149,1711110600000,2.7743,2.7844,2.7585,2.7818,365517.0,1711111499999
150,1711111500000,2.7812,2.7817,2.7619,2.7797,192002.0,1711112399999
151,1711112400000,2.7797,2.7942,2.7564,2.7653,816776.0,1711113299999
152,1711113300000,2.7649,2.8093,2.7614,2.8043,858526.0,1711114199999
153,1711114200000,2.8046,2.8072,2.7662,2.7768,699543.0,1711115099999
154,1711115100000,2.7759,2.799,2.7553,2.783,788608.0,1711115999999
155,1711116000000,2.7828,2.8207,2.7807,2.7921,1054319.0,1711116899999
156,1711116900000,2.792,2.9,2.773,2.8984,2642586.0,1711117799999
157,1711117800000,2.8978,3.0193,2.8368,2.8602,4497973.0,1711118699999
158,1711118700000,2.8609,2.8859,2.8297,2.8482,1871078.0,1711119599999
159,1711119600000,2.8487,2.8845,2.8253,2.8603,1818994.0,1711120499999
160,1711120500000,2.8598,2.8909,2.8332,2.889,954725.0,1711121399999
161,1711121400000,2.8883,2.9405,2.871,2.9077,1599966.0,1711122299999
162,1711122300000,2.9074,2.9526,2.8786,2.8924,1864276.0,1711123199999
163,1711123200000,2.8926,2.8926,2.8266,2.8295,1026230.0,1711124099999
164,1711124100000,2.8295,2.843,2.7915,2.804,1215519.0,1711124999999
165,1711125000000,2.8039,2.8055,2.7616,2.7808,906084.0,1711125899999
166,1711125900000,2.781,2.8281,2.7803,2.8084,776791.0,1711126799999
167,1711126800000,2.8087,2.827,2.7944,2.8195,534922.0,1711127699999
168,1711127700000,2.8188,2.8305,2.7898,2.793,393210.0,1711128599999
169,1711128600000,2.7927,2.7986,2.7785,2.7892,377545.0,1711129499999
170,1711129500000,2.789,2.8079,2.7876,2.7928,351838.0,1711130399999
171,1711130400000,2.7928,2.83,2.7878,2.8053,644554.0,1711131299999
172,1711131300000,2.805,2.805,2.775,2.7895,621011.0,1711132199999
173,1711132200000,2.7894,2.8337,2.778,2.7952,810366.0,1711133099999
174,1711133100000,2.7954,2.8158,2.7814,2.8006,534291.0,1711133999999
175,1711134000000,2.801,2.8082,2.7708,2.7739,398008.0,1711134899999
176,1711134900000,2.7735,2.7824,2.7663,2.7692,267320.0,1711135799999
177,1711135800000,2.769,2.782,2.7588,2.7618,314261.0,1711136699999
178,1711136700000,2.7619,2.7929,2.7439,2.7657,790581.0,1711137599999
179,1711137600000,2.7653,2.7744,2.7286,2.737,580748.0,1711138499999
180,1711138500000,2.7367,2.7446,2.7297,2.7317,369980.0,1711139399999
181,1711139400000,2.7318,2.7457,2.7304,2.7383,231819.0,1711140299999
182,1711140300000,2.7383,2.7536,2.7359,2.7527,333460.0,1711141199999
183,1711141200000,2.7528,2.7574,2.7322,2.7432,520368.0,1711142099999
184,1711142100000,2.7432,2.7512,2.72,2.7446,470073.0,1711142999999
185,1711143000000,2.7445,2.7471,2.7028,2.7253,1003969.0,1711143899999
186,1711143900000,2.7253,2.7287,2.7068,2.7178,313160.0,1711144799999
187,1711144800000,2.7178,2.7205,2.686,2.7038,458010.0,1711145699999
188,1711145700000,2.7037,2.7043,2.6754,2.7032,472201.0,1711146599999
189,1711146600000,2.7033,2.7202,2.6974,2.715,361009.0,1711147499999
190,1711147500000,2.7152,2.7192,2.6987,2.7061,226954.0,1711148399999
191,1711148400000,2.7061,2.712,2.6969,2.6992,178719.0,1711149299999
192,1711149300000,2.6992,2.7207,2.697,2.7155,187820.0,1711150199999
193,1711150200000,2.7155,2.7376,2.7142,2.7344,192579.0,1711151099999
194,1711151100000,2.7338,2.7585,2.732,2.7566,402377.0,1711151999999
195,1711152000000,2.7577,2.7609,2.7258,2.7271,370125.0,1711152899999
196,1711152900000,2.7271,2.7414,2.7222,2.7302,256611.0,1711153799999
197,1711153800000,2.7301,2.7421,2.7255,2.7391,164800.0,1711154699999
198,1711154700000,2.7392,2.7392,2.7247,2.7284,206583.0,1711155599999
199,1711155600000,2.7279,2.7577,2.7274,2.7509,159270.0,1711156499999
200,1711156500000,2.7509,2.7672,2.7421,2.7602,185462.0,1711157399999
201,1711157400000,2.7602,2.7818,2.7506,2.7794,229305.0,1711158299999
202,1711158300000,2.7795,2.8107,2.7791,2.8041,545754.0,1711159199999
203,1711159200000,2.8041,2.8199,2.7931,2.8189,360191.0,1711160099999
204,1711160100000,2.8187,2.8212,2.7942,2.8056,448901.0,1711160999999
205,1711161000000,2.8059,2.8092,2.7816,2.7882,316200.0,1711161899999
206,1711161900000,2.7881,2.8128,2.7865,2.8093,229851.0,1711162799999
207,1711162800000,2.8094,2.8102,2.7823,2.7884,239286.0,1711163699999
208,1711163700000,2.7883,2.7988,2.7732,2.781,438385.0,1711164599999
209,1711164600000,2.7809,2.7886,2.7568,2.7824,274330.0,1711165499999
210,1711165500000,2.7819,2.8114,2.7716,2.8064,291418.0,1711166399999
211,1711166400000,2.8056,2.8068,2.7862,2.7924,260690.0,1711167299999
212,1711167300000,2.7924,2.8246,2.7924,2.8187,389513.0,1711168199999
213,1711168200000,2.8182,2.843,2.8146,2.8344,307059.0,1711169099999
214,1711169100000,2.835,2.8356,2.8113,2.8164,216528.0,1711169999999
215,1711170000000,2.8164,2.8175,2.787,2.7968,360899.0,1711170899999
216,1711170900000,2.7968,2.8038,2.7847,2.79,231575.0,1711171799999
217,1711171800000,2.79,2.8013,2.7772,2.8008,483304.0,1711172699999
218,1711172700000,2.8007,2.8029,2.7852,2.7886,211837.0,1711173599999
219,1711173600000,2.7879,2.7915,2.7774,2.7831,155916.0,1711174499999
220,1711174500000,2.7831,2.8028,2.7824,2.799,141173.0,1711175399999
221,1711175400000,2.7988,2.799,2.786,2.7868,177895.0,1711176299999
222,1711176300000,2.7869,2.7949,2.7702,2.7704,426702.0,1711177199999
223,1711177200000,2.7704,2.8087,2.7698,2.8069,333627.0,1711178099999
224,1711178100000,2.8067,2.8138,2.7931,2.7943,266295.0,1711178999999
225,1711179000000,2.7948,2.7966,2.7849,2.7878,205305.0,1711179899999
226,1711179900000,2.7879,2.7903,2.7783,2.7864,185689.0,1711180799999
227,1711180800000,2.7859,2.8012,2.7834,2.7904,241625.0,1711181699999
228,1711181700000,2.79,2.7929,2.7683,2.769,247008.0,1711182599999
229,1711182600000,2.7692,2.7868,2.7664,2.7836,216365.0,1711183499999
230,1711183500000,2.7836,2.7903,2.7686,2.7863,403549.0,1711184399999
231,1711184400000,2.7863,2.7897,2.7639,2.7685,251380.0,1711185299999
232,1711185300000,2.7686,2.7931,2.7686,2.7931,222167.0,1711186199999
233,1711186200000,2.7931,2.7951,2.7821,2.7894,208196.0,1711187099999
234,1711187100000,2.7901,2.8103,2.7804,2.8075,196616.0,1711187999999
235,1711188000000,2.8076,2.8085,2.7905,2.7912,193555.0,1711188899999
236,1711188900000,2.7912,2.8028,2.7876,2.8003,146387.0,1711189799999
237,1711189800000,2.8002,2.8076,2.784,2.7895,297444.0,1711190699999
238,1711190700000,2.7896,2.7996,2.7831,2.7954,214148.0,1711191599999
239,1711191600000,2.7954,2.8109,2.7871,2.8049,240026.0,1711192499999
240,1711192500000,2.8047,2.8408,2.804,2.8352,546758.0,1711193399999
241,1711193400000,2.8353,2.8365,2.818,2.8185,302184.0,1711194299999
242,1711194300000,2.8192,2.8279,2.8117,2.8273,198664.0,1711195199999
243,1711195200000,2.8274,2.8445,2.8127,2.8235,712817.0,1711196099999
244,1711196100000,2.8234,2.8635,2.8166,2.8593,776444.0,1711196999999
245,1711197000000,2.8593,2.9016,2.8576,2.8913,910410.0,1711197899999
246,1711197900000,2.8921,2.983,2.8887,2.9444,1787425.0,1711198799999
247,1711198800000,2.9444,2.9709,2.926,2.9483,758731.0,1711199699999
248,1711199700000,2.9482,2.9674,2.9389,2.9663,588417.0,1711200599999
249,1711200600000,2.9662,2.9846,2.9528,2.9752,572990.0,1711201499999
250,1711201500000,2.9754,3.0,2.9676,2.9939,1192709.0,1711202399999
251,1711202400000,2.9939,3.0,2.9353,2.956,1515352.0,1711203299999
252,1711203300000,2.956,2.9751,2.9429,2.9735,460855.0,1711204199999
253,1711204200000,2.9735,2.9955,2.9631,2.9699,691327.0,1711205099999
254,1711205100000,2.9699,3.0071,2.967,2.9943,734039.0,1711205999999
255,1711206000000,2.9939,3.0006,2.9549,2.9728,771792.0,1711206899999
256,1711206900000,2.973,2.9738,2.9235,2.9309,728614.0,1711207799999
257,1711207800000,2.9309,2.9364,2.9075,2.9092,368692.0,1711208699999
258,1711208700000,2.909,2.9146,2.8893,2.8908,691058.0,1711209599999
259,1711209600000,2.8907,2.8952,2.878,2.8842,521887.0,1711210499999
260,1711210500000,2.884,2.889,2.8683,2.8724,427521.0,1711211399999
261,1711211400000,2.8723,2.8868,2.8617,2.8662,392576.0,1711212299999
262,1711212300000,2.8662,2.8706,2.8539,2.8543,417511.0,1711213199999
263,1711213200000,2.8543,2.8683,2.8534,2.8674,325183.0,1711214099999
264,1711214100000,2.8676,2.869,2.855,2.8583,289118.0,1711214999999
265,1711215000000,2.8586,2.8696,2.8584,2.863,222382.0,1711215899999
266,1711215900000,2.863,2.8701,2.8603,2.8677,190840.0,1711216799999
267,1711216800000,2.8673,2.8902,2.8633,2.8779,325312.0,1711217699999
268,1711217700000,2.8781,2.897,2.8717,2.8919,427541.0,1711218599999
269,1711218600000,2.892,2.9153,2.8899,2.9035,516285.0,1711219499999
270,1711219500000,2.9032,2.9188,2.8905,2.8915,363404.0,1711220399999
271,1711220400000,2.8914,2.901,2.8896,2.8998,149824.0,1711221299999
272,1711221300000,2.8992,2.8993,2.8832,2.893,175670.0,1711222199999
273,1711222200000,2.8929,2.8981,2.8842,2.8925,217074.0,1711223099999
274,1711223100000,2.8925,2.8984,2.8807,2.8855,156920.0,1711223999999
275,1711224000000,2.8855,2.8932,2.8806,2.8915,165363.0,1711224899999
276,1711224900000,2.8913,2.8937,2.8807,2.8916,151660.0,1711225799999
277,1711225800000,2.8913,2.9038,2.8876,2.9038,151215.0,1711226699999
278,1711226700000,2.904,2.9041,2.888,2.8935,197967.0,1711227599999
279,1711227600000,2.8934,2.898,2.8821,2.8863,154090.0,1711228499999
280,1711228500000,2.8863,2.8907,2.871,2.8782,185471.0,1711229399999
281,1711229400000,2.8781,2.9047,2.8759,2.9015,194627.0,1711230299999
282,1711230300000,2.901,2.9099,2.895,2.908,229953.0,1711231199999
283,1711231200000,2.9082,2.9183,2.9028,2.9169,297837.0,1711232099999
284,1711232100000,2.9167,2.9172,2.8888,2.9046,304859.0,1711232999999
285,1711233000000,2.9046,2.9366,2.9007,2.9322,331588.0,1711233899999
286,1711233900000,2.9326,2.9619,2.9281,2.956,628759.0,1711234799999
287,1711234800000,2.9554,2.9637,2.9256,2.9464,912304.0,1711235699999
288,1711235700000,2.9466,2.9586,2.93,2.9368,363623.0,1711236599999
