,open_time,open,high,low,close,VOLUME,close_time
0,1710977400000,19.024,19.15,18.977,19.072,22165.7,1710978299999
1,1710978300000,19.071,19.071,18.988,19.007,15690.2,1710979199999
2,1710979200000,19.009,19.009,18.823,18.909,35683.5,1710980099999
3,1710980100000,18.909,18.996,18.823,18.932,24457.6,1710980999999
4,1710981000000,18.934,19.183,18.877,19.142,35442.2,1710981899999
5,1710981900000,19.14,19.18,18.978,19.039,22499.6,1710982799999
6,1710982800000,19.037,19.067,18.969,19.042,18442.8,1710983699999
7,1710983700000,19.043,19.138,19.036,19.074,19676.1,1710984599999
8,1710984600000,19.078,19.089,18.977,19.02,19881.2,1710985499999
9,1710985500000,19.02,19.12,18.941,19.106,28729.2,1710986399999
10,1710986400000,19.113,19.176,19.031,19.062,19589.3,1710987299999
11,1710987300000,19.062,19.25,19.058,19.16,20639.1,1710988199999
12,1710988200000,19.161,19.205,19.09,19.151,13975.5,1710989099999
13,1710989100000,19.15,19.15,19.02,19.053,15348.7,1710989999999
14,1710990000000,19.047,19.124,18.996,19.086,31294.4,1710990899999
15,1710990900000,19.09,19.156,19.038,19.07,29625.0,1710991799999
16,1710991800000,19.071,19.247,19.041,19.108,28199.5,1710992699999
17,1710992700000,19.107,19.109,18.784,18.903,42038.3,1710993599999
18,1710993600000,18.908,19.032,18.738,18.783,39692.1,1710994499999
19,1710994500000,18.781,18.931,18.768,18.829,26151.8,1710995399999
20,1710995400000,18.829,18.887,18.65,18.678,24735.3,1710996299999
21,1710996300000,18.678,18.774,18.625,18.689,17484.2,1710997199999
22,1710997200000,18.69,18.69,18.411,18.52,30526.1,1710998099999
23,1710998100000,18.519,18.532,18.214,18.393,39941.5,1710998999999
24,1710999000000,18.396,18.556,18.382,18.467,26126.6,1710999899999
25,1710999900000,18.466,18.609,18.459,18.56,31348.7,1711000799999
26,1711000800000,18.56,18.784,18.534,18.777,32012.7,1711001699999
27,1711001700000,18.777,18.835,18.611,18.668,25404.7,1711002599999
28,1711002600000,18.673,18.717,18.552,18.571,18760.2,1711003499999
29,1711003500000,18.572,18.642,18.519,18.528,37154.5,1711004399999
30,1711004400000,18.528,18.649,18.466,18.594,24263.6,1711005299999
31,1711005300000,18.595,18.754,18.585,18.746,24376.6,1711006199999
32,1711006200000,18.747,18.852,18.72,18.742,46783.1,1711007099999
33,1711007100000,18.742,18.75,18.63,18.69,22943.2,1711007999999
34,1711008000000,18.692,18.905,18.664,18.822,20138.0,1711008899999
35,1711008900000,18.828,18.83,18.682,18.803,27767.7,1711009799999
36,1711009800000,18.805,18.822,18.711,18.775,17595.9,1711010699999
37,1711010700000,18.763,18.843,18.668,18.674,21044.9,1711011599999
38,1711011600000,18.668,18.825,18.643,18.744,19354.2,1711012499999
39,1711012500000,18.743,18.828,18.66,18.735,16866.7,1711013399999
40,1711013400000,18.736,18.765,18.568,18.595,19954.7,1711014299999
41,1711014300000,18.601,18.755,18.568,18.722,14402.9,1711015199999
42,1711015200000,18.724,18.974,18.662,18.972,47138.8,1711016099999
43,1711016100000,18.975,19.177,18.949,19.063,56594.1,1711016999999
44,1711017000000,19.064,19.083,18.777,18.857,30497.9,1711017899999
45,1711017900000,18.858,19.016,18.839,18.921,13858.1,1711018799999
46,1711018800000,18.921,18.976,18.834,18.905,13156.5,1711019699999
47,1711019700000,18.905,18.961,18.763,18.836,16954.1,1711020599999
48,1711020600000,18.838,18.956,18.759,18.868,13822.0,1711021499999
49,1711021500000,18.87,18.872,18.757,18.82,12545.9,1711022399999
50,1711022400000,18.822,18.911,18.788,18.907,17867.9,1711023299999
51,1711023300000,18.908,18.962,18.835,18.926,16358.8,1711024199999
52,1711024200000,18.931,19.128,18.791,18.803,48947.0,1711025099999
53,1711025100000,18.801,18.862,18.716,18.74,35615.9,1711025999999
54,1711026000000,18.741,18.896,18.713,18.805,22086.3,1711026899999
55,1711026900000,18.806,18.841,18.702,18.811,17041.1,1711027799999
56,1711027800000,18.818,18.825,18.565,18.63,31023.2,1711028699999
57,1711028700000,18.628,18.771,18.61,18.68,27648.6,1711029599999
58,1711029600000,18.679,18.816,18.635,18.791,24113.1,1711030499999
59,1711030500000,18.789,18.939,18.713,18.762,31414.0,1711031399999
60,1711031400000,18.762,18.764,18.6,18.677,20794.5,1711032299999
61,1711032300000,18.679,18.682,18.529,18.645,20659.9,1711033199999
62,1711033200000,18.646,18.675,18.508,18.568,24544.1,1711034099999
63,1711034100000,18.566,18.744,18.509,18.643,25295.5,1711034999999
64,1711035000000,18.649,18.709,18.452,18.636,30979.1,1711035899999
65,1711035900000,18.634,18.639,18.491,18.605,21338.2,1711036799999
66,1711036800000,18.605,18.605,18.461,18.577,30324.6,1711037699999
67,1711037700000,18.581,18.907,18.567,18.907,26070.2,1711038599999
