,open_time,open,high,low,close,VOLUME,close_time
0,1710977400000,1.2414,1.246,1.2398,1.2412,229137.0,1710978299999
1,1710978300000,1.2412,1.2426,1.2376,1.2402,395809.0,1710979199999
2,1710979200000,1.2401,1.2707,1.2366,1.2612,3336505.0,1710980099999
3,1710980100000,1.2613,1.2762,1.2513,1.2627,1722712.0,1710980999999
4,1710981000000,1.263,1.2838,1.2591,1.2759,1755949.0,1710981899999
5,1710981900000,1.2758,1.2842,1.2714,1.273,1322534.0,1710982799999
6,1710982800000,1.2731,1.2796,1.2632,1.2752,960091.0,1710983699999
7,1710983700000,1.2752,1.284,1.2692,1.2822,742362.0,1710984599999
8,1710984600000,1.282,1.282,1.2676,1.269,715393.0,1710985499999
9,1710985500000,1.2689,1.2753,1.2654,1.271,405678.0,1710986399999
10,1710986400000,1.271,1.2749,1.2635,1.2638,354784.0,1710987299999
11,1710987300000,1.264,1.275,1.2637,1.2703,406889.0,1710988199999
12,1710988200000,1.2705,1.2743,1.2664,1.2732,368508.0,1710989099999
13,1710989100000,1.2737,1.2743,1.267,1.2678,355369.0,1710989999999
14,1710990000000,1.2678,1.2721,1.2661,1.2664,269896.0,1710990899999
15,1710990900000,1.2666,1.2719,1.2585,1.2611,642356.0,1710991799999
16,1710991800000,1.2611,1.2708,1.2597,1.261,528654.0,1710992699999
17,1710992700000,1.2609,1.2609,1.2364,1.243,2026048.0,1710993599999
18,1710993600000,1.2429,1.2512,1.2354,1.2392,910533.0,1710994499999
19,1710994500000,1.2393,1.2457,1.2386,1.241,585850.0,1710995399999
20,1710995400000,1.2412,1.2439,1.231,1.2323,534898.0,1710996299999
21,1710996300000,1.2323,1.2376,1.2285,1.2339,364092.0,1710997199999
22,1710997200000,1.234,1.234,1.2151,1.2233,1134410.0,1710998099999
23,1710998100000,1.2233,1.224,1.2095,1.218,1098468.0,1710998999999
24,1710999000000,1.2182,1.225,1.2175,1.2215,607000.0,1710999899999
25,1710999900000,1.2214,1.2341,1.2208,1.2313,454468.0,1711000799999
26,1711000800000,1.2316,1.2418,1.2303,1.2412,590237.0,1711001699999
27,1711001700000,1.2411,1.2441,1.2323,1.2377,346032.0,1711002599999
28,1711002600000,1.2377,1.2411,1.233,1.2338,368927.0,1711003499999
29,1711003500000,1.2341,1.2385,1.2289,1.2303,310862.0,1711004399999
30,1711004400000,1.2302,1.2368,1.2266,1.2348,322263.0,1711005299999
31,1711005300000,1.2351,1.251,1.2351,1.2485,623347.0,1711006199999
32,1711006200000,1.2485,1.2493,1.2465,1.2466,283953.0,1711007099999
33,1711007100000,1.2465,1.2479,1.2375,1.2411,529325.0,1711007999999
34,1711008000000,1.2409,1.2516,1.2397,1.25,469078.0,1711008899999
