,open_time,open,high,low,close,VOLUME,close_time
0,1710976500000,1.1824,1.1856,1.1779,1.1786,103766.0,1710977399999
1,1710977400000,1.1786,1.1819,1.176,1.1768,97860.0,1710978299999
2,1710978300000,1.1765,1.1795,1.1743,1.1785,117503.0,1710979199999
3,1710979200000,1.1785,1.1865,1.1741,1.1845,221067.0,1710980099999
4,1710980100000,1.1845,1.189,1.1761,1.1819,153365.0,1710980999999
5,1710981000000,1.182,1.195,1.1785,1.1935,149012.0,1710981899999
6,1710981900000,1.1934,1.1942,1.1863,1.1893,215872.0,1710982799999
7,1710982800000,1.1891,1.1978,1.1862,1.1925,256779.0,1710983699999
8,1710983700000,1.1932,1.2002,1.1911,1.1986,179461.0,1710984599999
9,1710984600000,1.1986,1.2003,1.1916,1.1958,233152.0,1710985499999
10,1710985500000,1.1957,1.2026,1.1955,1.2011,113246.0,1710986399999
11,1710986400000,1.2013,1.2088,1.2003,1.2016,247283.0,1710987299999
12,1710987300000,1.2015,1.2125,1.2009,1.2052,153703.0,1710988199999
13,1710988200000,1.2053,1.2101,1.203,1.21,126572.0,1710989099999
14,1710989100000,1.2101,1.2108,1.2001,1.2024,149414.0,1710989999999
15,1710990000000,1.2025,1.211,1.2017,1.2063,123280.0,1710990899999
16,1710990900000,1.2062,1.2123,1.2042,1.2064,199525.0,1710991799999
17,1710991800000,1.2059,1.2142,1.2058,1.2062,130347.0,1710992699999
18,1710992700000,1.2061,1.2061,1.1908,1.1983,331815.0,1710993599999
19,1710993600000,1.1983,1.2048,1.1913,1.1929,327198.0,1710994499999
20,1710994500000,1.1931,1.2016,1.1924,1.1963,153862.0,1710995399999
21,1710995400000,1.1962,1.1983,1.1829,1.1853,228451.0,1710996299999
22,1710996300000,1.1852,1.1915,1.1784,1.1849,375927.0,1710997199999
23,1710997200000,1.1848,1.1848,1.1678,1.1735,206496.0,1710998099999
24,1710998100000,1.1731,1.1738,1.156,1.1664,254803.0,1710998999999
25,1710999000000,1.1666,1.1761,1.1666,1.1718,122438.0,1710999899999
26,1710999900000,1.1722,1.1814,1.171,1.1795,118763.0,1711000799999
27,1711000800000,1.1794,1.1893,1.1779,1.1858,158349.0,1711001699999
28,1711001700000,1.1861,1.1893,1.1764,1.1807,108596.0,1711002599999
29,1711002600000,1.1803,1.1815,1.1721,1.1737,106890.0,1711003499999
30,1711003500000,1.1738,1.1795,1.1722,1.174,68499.0,1711004399999
