,open_time,open,high,low,close,VOLUME,close_time
0,1710976500000,1.0508,1.0538,1.0482,1.0505,84358.9,1710977399999
1,1710977400000,1.0506,1.0543,1.0493,1.0509,80961.8,1710978299999
2,1710978300000,1.0508,1.054,1.0447,1.0522,261152.7,1710979199999
3,1710979200000,1.0522,1.0526,1.0447,1.0491,125169.7,1710980099999
4,1710980100000,1.0491,1.0548,1.0437,1.048,91553.4,1710980999999
5,1710981000000,1.048,1.0625,1.0459,1.06,469180.5,1710981899999
6,1710981900000,1.0599,1.0615,1.0538,1.0557,117238.2,1710982799999
7,1710982800000,1.0558,1.0597,1.0529,1.0549,95750.1,1710983699999
8,1710983700000,1.055,1.0608,1.0544,1.0597,79775.7,1710984599999
9,1710984600000,1.059,1.0593,1.0516,1.0541,59363.8,1710985499999
10,1710985500000,1.0541,1.0591,1.0541,1.0567,55108.8,1710986399999
11,1710986400000,1.0571,1.0598,1.0539,1.0561,65365.5,1710987299999
12,1710987300000,1.0561,1.0642,1.0561,1.0603,107907.0,1710988199999
13,1710988200000,1.0608,1.0629,1.0574,1.0629,79253.9,1710989099999
14,1710989100000,1.0628,1.0633,1.057,1.0576,112388.4,1710989999999
15,1710990000000,1.0577,1.065,1.0572,1.0596,108186.2,1710990899999
16,1710990900000,1.0596,1.0634,1.0566,1.0579,143741.9,1710991799999
17,1710991800000,1.058,1.063,1.0567,1.0573,109078.3,1710992699999
18,1710992700000,1.0571,1.0571,1.037,1.0435,358321.5,1710993599999
19,1710993600000,1.0434,1.0495,1.0386,1.0395,343405.0,1710994499999
20,1710994500000,1.0394,1.0454,1.0394,1.0424,153357.4,1710995399999
21,1710995400000,1.0424,1.0447,1.0305,1.0312,160724.3,1710996299999
22,1710996300000,1.0312,1.0368,1.0287,1.0348,121834.1,1710997199999
23,1710997200000,1.0347,1.0347,1.0196,1.025,225176.6,1710998099999
24,1710998100000,1.0252,1.0257,1.0101,1.0186,213248.5,1710998999999
25,1710999000000,1.0189,1.028,1.0189,1.0237,168452.9,1710999899999
26,1710999900000,1.0236,1.0335,1.0236,1.0319,120062.3,1711000799999
27,1711000800000,1.0318,1.0392,1.0301,1.0384,119206.5,1711001699999
28,1711001700000,1.0384,1.0413,1.0305,1.0347,87799.3,1711002599999
29,1711002600000,1.035,1.0363,1.028,1.0287,76740.3,1711003499999
30,1711003500000,1.029,1.0324,1.0263,1.0275,70071.9,1711004399999
31,1711004400000,1.0274,1.0327,1.0242,1.029,99700.9,1711005299999
32,1711005300000,1.0291,1.0382,1.0285,1.0374,119072.0,1711006199999
33,1711006200000,1.0375,1.0396,1.0355,1.0356,112481.5,1711007099999
