,open_time,open,high,low,close,VOLUME,close_time
0,1710976500000,2.7747,2.7864,2.7687,2.7805,78536.0,1710977399999
1,1710977400000,2.7805,2.7843,2.7676,2.7726,88859.0,1710978299999
2,1710978300000,2.7724,2.7764,2.7573,2.765,104387.0,1710979199999
3,1710979200000,2.7648,2.7652,2.7434,2.7536,139353.0,1710980099999
4,1710980100000,2.7536,2.7673,2.7421,2.7556,88320.0,1710980999999
5,1710981000000,2.7557,2.8,2.7475,2.79,138263.0,1710981899999
6,1710981900000,2.79,2.7999,2.7697,2.7745,127506.0,1710982799999
7,1710982800000,2.7745,2.7879,2.7649,2.7849,126475.0,1710983699999
8,1710983700000,2.7857,2.8062,2.7821,2.798,165765.0,1710984599999
9,1710984600000,2.7979,2.799,2.7725,2.7802,112899.0,1710985499999
10,1710985500000,2.7795,2.7878,2.7712,2.7797,96542.0,1710986399999
11,1710986400000,2.7793,2.8185,2.7793,2.8018,416581.0,1710987299999
12,1710987300000,2.8023,2.8426,2.8022,2.8391,265718.0,1710988199999
13,1710988200000,2.8391,2.8623,2.8298,2.8468,194114.0,1710989099999
14,1710989100000,2.847,2.8572,2.8236,2.8344,146405.0,1710989999999
15,1710990000000,2.8344,2.8645,2.8256,2.852,114154.0,1710990899999
16,1710990900000,2.852,2.8573,2.8233,2.8334,141582.0,1710991799999
17,1710991800000,2.8339,2.84,2.809,2.81,190709.0,1710992699999
18,1710992700000,2.81,2.8101,2.7656,2.782,432797.0,1710993599999
19,1710993600000,2.7821,2.7964,2.7629,2.7662,239023.0,1710994499999
20,1710994500000,2.766,2.7831,2.7648,2.7779,125718.0,1710995399999
21,1710995400000,2.7778,2.7867,2.7674,2.7709,166134.0,1710996299999
22,1710996300000,2.771,2.7882,2.7636,2.7694,124065.0,1710997199999
23,1710997200000,2.7693,2.7694,2.7306,2.7386,291205.0,1710998099999
24,1710998100000,2.7386,2.7397,2.7005,2.723,313369.0,1710998999999
25,1710999000000,2.723,2.7384,2.7179,2.726,124503.0,1710999899999
26,1710999900000,2.7258,2.7535,2.7243,2.749,151420.0,1711000799999
27,1711000800000,2.7481,2.7703,2.7435,2.7572,129761.0,1711001699999
28,1711001700000,2.7575,2.7689,2.7386,2.7452,94983.0,1711002599999
29,1711002600000,2.7455,2.7538,2.7326,2.7396,102737.0,1711003499999
30,1711003500000,2.7399,2.7534,2.7314,2.7422,92328.0,1711004399999
31,1711004400000,2.742,2.7517,2.7319,2.7414,94038.0,1711005299999
32,1711005300000,2.742,2.7619,2.742,2.7579,87392.0,1711006199999
33,1711006200000,2.7578,2.7612,2.7526,2.7529,62578.0,1711007099999
34,1711007100000,2.7527,2.755,2.7361,2.7528,103665.0,1711007999999
35,1711008000000,2.753,2.7818,2.7496,2.7682,147861.0,1711008899999
36,1711008900000,2.7682,2.7808,2.7544,2.7636,135482.0,1711009799999
37,1711009800000,2.7638,2.7741,2.7548,2.766,83581.0,1711010699999
38,1711010700000,2.766,2.8115,2.7643,2.7971,425873.0,1711011599999
39,1711011600000,2.7971,2.8366,2.7958,2.8019,188886.0,1711012499999
40,1711012500000,2.8019,2.811,2.7785,2.79,207528.0,1711013399999
41,1711013400000,2.7902,2.7912,2.7487,2.7527,265893.0,1711014299999
42,1711014300000,2.753,2.7806,2.7483,2.778,91740.0,1711015199999
43,1711015200000,2.7782,2.8419,2.7763,2.8404,355451.0,1711016099999
44,1711016100000,2.8403,2.8496,2.8195,2.8266,137175.0,1711016999999
45,1711017000000,2.8276,2.8314,2.7888,2.7949,190640.0,1711017899999
46,1711017900000,2.7949,2.8152,2.7903,2.8118,72380.0,1711018799999
47,1711018800000,2.8117,2.8133,2.7982,2.8017,159777.0,1711019699999
48,1711019700000,2.8019,2.8157,2.7868,2.7951,177502.0,1711020599999
49,1711020600000,2.7951,2.809,2.7889,2.8072,88475.0,1711021499999
50,1711021500000,2.807,2.8218,2.8021,2.8023,302412.0,1711022399999
51,1711022400000,2.8028,2.8408,2.8023,2.8354,148436.0,1711023299999
52,1711023300000,2.837,2.8474,2.8201,2.8306,165666.0,1711024199999
53,1711024200000,2.8306,2.8558,2.8303,2.842,248983.0,1711025099999
54,1711025100000,2.8416,2.8877,2.8254,2.8792,552753.0,1711025999999
55,1711026000000,2.8799,2.9224,2.8627,2.8642,441018.0,1711026899999
56,1711026900000,2.8637,2.8945,2.8413,2.8584,426939.0,1711027799999
57,1711027800000,2.8585,2.8805,2.8338,2.8567,468750.0,1711028699999
58,1711028700000,2.8569,2.9021,2.8496,2.897,456095.0,1711029599999
59,1711029600000,2.8971,3.0171,2.8843,3.0114,951655.0,1711030499999
60,1711030500000,3.0116,3.0499,2.9772,3.0338,846760.0,1711031399999
61,1711031400000,3.0338,3.0455,2.9304,2.9322,931234.0,1711032299999
62,1711032300000,2.9321,2.9328,2.8829,2.8918,670805.0,1711033199999
63,1711033200000,2.8917,2.916,2.86,2.8842,394665.0,1711034099999
64,1711034100000,2.884,2.9161,2.87,2.8763,470241.0,1711034999999
65,1711035000000,2.8772,2.919,2.8675,2.9054,359708.0,1711035899999
66,1711035900000,2.9052,2.9414,2.8852,2.9385,404174.0,1711036799999
67,1711036800000,2.9387,2.967,2.9185,2.9613,416586.0,1711037699999
68,1711037700000,2.9611,3.0009,2.9416,2.9983,310517.0,1711038599999
69,1711038600000,2.9983,3.1567,2.9975,3.1273,1069056.0,1711039499999
70,1711039500000,3.1285,3.1569,3.1048,3.1517,490489.0,1711040399999
71,1711040400000,3.1517,3.2033,3.1346,3.1591,699149.0,1711041299999
72,1711041300000,3.1601,3.1776,3.1311,3.1312,461084.0,1711042199999
73,1711042200000,3.1322,3.1488,3.0823,3.0909,717555.0,1711043099999
74,1711043100000,3.0909,3.0993,3.01,3.0359,820826.0,1711043999999
75,1711044000000,3.036,3.0617,2.99,2.9973,427329.0,1711044899999
76,1711044900000,2.9974,3.0331,2.9956,3.0242,350029.0,1711045799999
77,1711045800000,3.0246,3.0257,2.9556,2.9613,441331.0,1711046699999
78,1711046700000,2.9608,3.0022,2.9595,2.978,218921.0,1711047599999
79,1711047600000,2.9795,3.0042,2.9645,2.9864,281170.0,1711048499999
80,1711048500000,2.9862,2.9979,2.966,2.9839,147246.0,1711049399999
81,1711049400000,2.984,3.0305,2.9731,3.0182,355954.0,1711050299999
82,1711050300000,3.0188,3.0303,2.9922,3.0032,238736.0,1711051199999
83,1711051200000,3.003,3.0585,2.9584,3.0559,391540.0,1711052099999
84,1711052100000,3.0559,3.0876,3.0293,3.0603,362419.0,1711052999999
85,1711053000000,3.0604,3.0649,3.0304,3.0481,225529.0,1711053899999
86,1711053900000,3.0482,3.0716,3.023,3.0709,142217.0,1711054799999
87,1711054800000,3.0714,3.08,3.0368,3.06,141996.0,1711055699999
88,1711055700000,3.0603,3.0695,3.0199,3.0264,197739.0,1711056599999
89,1711056600000,3.0291,3.0607,3.0291,3.0384,109183.0,1711057499999
90,1711057500000,3.0385,3.0861,3.0369,3.0817,135238.0,1711058399999
91,1711058400000,3.081,3.1054,3.0702,3.1015,209404.0,1711059299999
92,1711059300000,3.1012,3.1065,3.07,3.0815,192410.0,1711060199999
93,1711060200000,3.0808,3.0827,3.0521,3.0584,152685.0,1711061099999
94,1711061100000,3.0587,3.0617,3.0429,3.0566,128339.0,1711061999999
95,1711062000000,3.0559,3.0671,3.0341,3.0554,148617.0,1711062899999
96,1711062900000,3.0554,3.0713,3.0522,3.0641,118142.0,1711063799999
97,1711063800000,3.0635,3.0805,3.0494,3.0615,117807.0,1711064699999
98,1711064700000,3.0613,3.0729,3.0547,3.0675,73993.0,1711065599999
99,1711065600000,3.0676,3.1465,3.0582,3.1416,592770.0,1711066499999
100,1711066500000,3.142,3.1584,3.1153,3.1258,310699.0,1711067399999
101,1711067400000,3.126,3.1283,3.0809,3.1219,393544.0,1711068299999
102,1711068300000,3.1221,3.1241,3.0555,3.0716,367284.0,1711069199999
103,1711069200000,3.0716,3.081,3.0341,3.0779,249017.0,1711070099999
104,1711070100000,3.079,3.0906,3.0367,3.0424,200457.0,1711070999999
105,1711071000000,3.0425,3.0488,3.0138,3.0253,279044.0,1711071899999
106,1711071900000,3.0253,3.0374,2.9974,2.9997,212264.0,1711072799999
107,1711072800000,2.9996,3.0192,2.9756,2.9859,219241.0,1711073699999
108,1711073700000,2.9865,3.01,2.9806,2.9975,81829.0,1711074599999
109,1711074600000,2.9969,3.0111,2.9844,2.9913,69858.0,1711075499999
110,1711075500000,2.9911,3.0222,2.9812,3.0175,99302.0,1711076399999
111,1711076400000,3.0173,3.0458,3.0168,3.0286,174525.0,1711077299999
112,1711077300000,3.0288,3.0434,3.0201,3.03,125639.0,1711078199999
113,1711078200000,3.0297,3.0704,3.0286,3.0587,220680.0,1711079099999
114,1711079100000,3.0587,3.0953,3.0502,3.0915,157936.0,1711079999999
115,1711080000000,3.0916,3.143,3.0646,3.1211,541913.0,1711080899999
116,1711080900000,3.1211,3.1324,3.103,3.1081,215468.0,1711081799999
117,1711081800000,3.1086,3.1328,3.0869,3.1245,196696.0,1711082699999
118,1711082700000,3.1245,3.1464,3.1188,3.1317,209800.0,1711083599999
119,1711083600000,3.1311,3.16,3.1205,3.1488,322715.0,1711084499999
120,1711084500000,3.1497,3.2047,3.134,3.1908,534305.0,1711085399999
121,1711085400000,3.1915,3.2268,3.1793,3.223,444865.0,1711086299999
122,1711086300000,3.2231,3.245,3.2051,3.2374,466801.0,1711087199999
123,1711087200000,3.2375,3.2692,3.2081,3.268,612285.0,1711088099999
124,1711088100000,3.2683,3.3034,3.2578,3.2743,891997.0,1711088999999
