,open_time,open,high,low,close,VOLUME,close_time
0,1710976500000,0.3776,0.3789,0.3738,0.3745,1271626.0,1710977399999
1,1710977400000,0.3745,0.3751,0.3733,0.3741,681866.0,1710978299999
2,1710978300000,0.3741,0.3765,0.3733,0.3763,961934.0,1710979199999
3,1710979200000,0.3764,0.3848,0.3721,0.3817,5034323.0,1710980099999
4,1710980100000,0.3816,0.3883,0.3773,0.3799,7633306.0,1710980999999
5,1710981000000,0.38,0.3813,0.3769,0.3804,2135086.0,1710981899999
6,1710981900000,0.3803,0.3803,0.3772,0.3779,1306693.0,1710982799999
7,1710982800000,0.3778,0.3823,0.3775,0.3806,1458502.0,1710983699999
8,1710983700000,0.3806,0.3843,0.3805,0.383,1610190.0,1710984599999
9,1710984600000,0.383,0.3842,0.3799,0.3823,1225758.0,1710985499999
10,1710985500000,0.3822,0.3853,0.3807,0.385,691249.0,1710986399999
11,1710986400000,0.385,0.3898,0.384,0.3895,3133613.0,1710987299999
12,1710987300000,0.3895,0.3968,0.3891,0.3941,4531369.0,1710988199999
13,1710988200000,0.3941,0.3941,0.3892,0.3916,2020640.0,1710989099999
14,1710989100000,0.3916,0.3925,0.3888,0.3912,1913612.0,1710989999999
15,1710990000000,0.3912,0.3918,0.3861,0.3862,1917421.0,1710990899999
16,1710990900000,0.3861,0.3881,0.3839,0.3845,2913552.0,1710991799999
17,1710991800000,0.3845,0.3879,0.3843,0.3847,1220977.0,1710992699999
18,1710992700000,0.3847,0.3847,0.3791,0.3814,3544579.0,1710993599999
19,1710993600000,0.3815,0.3845,0.38,0.381,1742617.0,1710994499999
20,1710994500000,0.3811,0.3838,0.3811,0.3827,1123857.0,1710995399999
21,1710995400000,0.3828,0.3848,0.3793,0.3798,1216632.0,1710996299999
22,1710996300000,0.38,0.3819,0.3788,0.3806,961235.0,1710997199999
23,1710997200000,0.3806,0.3807,0.3741,0.3773,1562055.0,1710998099999
24,1710998100000,0.3773,0.3775,0.3718,0.3756,1520172.0,1710998999999
25,1710999000000,0.3756,0.3786,0.3748,0.3768,1010382.0,1710999899999
