,open_time,open,high,low,close,VOLUME,close_time
0,1710976500000,123.23,123.49,122.95,123.22,705.7,1710977399999
1,1710977400000,123.24,123.49,122.96,123.0,1626.1,1710978299999
2,1710978300000,122.99,123.14,122.39,122.97,1303.8,1710979199999
3,1710979200000,122.99,123.04,121.8,122.38,3013.6,1710980099999
4,1710980100000,122.38,123.09,122.06,122.6,1355.2,1710980999999
5,1710981000000,122.6,123.64,122.38,123.24,1208.7,1710981899999
6,1710981900000,123.24,123.54,122.85,123.22,1187.2,1710982799999
7,1710982800000,123.2,123.86,123.0,123.53,1341.6,1710983699999
8,1710983700000,123.54,123.89,123.4,123.81,871.4,1710984599999
9,1710984600000,123.81,123.91,122.88,123.15,1005.1,1710985499999
10,1710985500000,123.14,123.77,123.1,123.6,1184.6,1710986399999
11,1710986400000,123.59,123.92,123.59,123.75,1091.0,1710987299999
12,1710987300000,123.77,124.17,123.77,124.05,1008.4,1710988199999
13,1710988200000,124.06,124.94,123.87,124.72,1880.9,1710989099999
14,1710989100000,124.74,125.36,124.43,124.69,1643.2,1710989999999
15,1710990000000,124.69,126.13,124.68,125.38,1893.6,1710990899999
16,1710990900000,125.37,125.75,125.11,125.48,1372.6,1710991799999
17,1710991800000,125.48,126.25,125.44,125.66,1215.9,1710992699999
18,1710992700000,125.66,126.45,124.09,125.43,7215.7,1710993599999
19,1710993600000,125.42,126.7,124.82,125.79,4335.9,1710994499999
20,1710994500000,125.82,127.48,125.82,127.4,2734.0,1710995399999
21,1710995400000,127.42,128.22,126.78,127.88,3806.2,1710996299999
22,1710996300000,127.89,129.05,127.47,128.98,3300.3,1710997199999
23,1710997200000,128.99,129.04,127.25,128.29,4286.0,1710998099999
24,1710998100000,128.29,128.62,125.87,127.61,4641.8,1710998999999
25,1710999000000,127.6,129.02,127.52,128.43,6274.1,1710999899999
26,1710999900000,128.42,129.52,128.34,128.89,3541.8,1711000799999
27,1711000800000,128.9,129.88,128.35,128.71,4544.5,1711001699999
28,1711001700000,128.71,128.76,127.09,127.42,3190.9,1711002599999
29,1711002600000,127.41,127.41,125.8,125.88,2547.1,1711003499999
30,1711003500000,125.89,126.82,125.55,126.0,3745.9,1711004399999
31,1711004400000,125.98,126.93,125.6,126.29,2555.9,1711005299999
32,1711005300000,126.29,127.54,126.06,127.29,1961.3,1711006199999
33,1711006200000,127.3,127.85,127.27,127.79,1368.2,1711007099999
34,1711007100000,127.79,127.93,126.82,127.28,1953.5,1711007999999
35,1711008000000,127.31,129.09,127.28,128.85,2287.8,1711008899999
36,1711008900000,128.85,129.35,128.08,128.92,2121.1,1711009799999
37,1711009800000,128.92,129.49,128.21,129.41,2422.2,1711010699999
38,1711010700000,129.44,130.16,129.13,129.13,1846.4,1711011599999
39,1711011600000,129.13,131.2,128.99,130.85,3738.5,1711012499999
40,1711012500000,130.85,131.54,130.53,131.49,2344.0,1711013399999
41,1711013400000,131.49,131.78,130.0,130.13,4473.0,1711014299999
42,1711014300000,130.13,131.35,129.89,131.15,2463.3,1711015199999
43,1711015200000,131.16,131.91,130.12,131.87,2833.7,1711016099999
44,1711016100000,131.86,132.38,131.68,132.14,2245.0,1711016999999
45,1711017000000,132.13,132.24,131.37,131.56,1849.0,1711017899999
46,1711017900000,131.56,131.8,130.45,130.61,2726.4,1711018799999
47,1711018800000,130.59,131.39,130.09,130.92,2912.1,1711019699999
48,1711019700000,130.91,130.91,128.81,128.99,5505.9,1711020599999
49,1711020600000,128.98,130.0,128.64,129.15,2334.3,1711021499999
50,1711021500000,129.15,129.64,128.87,129.49,1344.0,1711022399999
51,1711022400000,129.49,131.15,129.45,130.79,2377.4,1711023299999
52,1711023300000,130.8,131.14,130.18,130.84,2301.1,1711024199999
53,1711024200000,130.84,131.38,130.1,130.48,1412.2,1711025099999
54,1711025100000,130.47,130.95,129.82,130.32,1196.9,1711025999999
55,1711026000000,130.31,130.59,129.27,129.3,2303.8,1711026899999
56,1711026900000,129.3,129.53,128.64,128.95,1965.4,1711027799999
57,1711027800000,128.96,129.13,127.76,127.8,2034.9,1711028699999
58,1711028700000,127.78,128.72,127.51,128.44,3292.3,1711029599999
59,1711029600000,128.36,129.0,127.74,128.95,2439.8,1711030499999
60,1711030500000,128.94,129.26,128.52,128.73,1560.2,1711031399999
61,1711031400000,128.73,128.74,127.51,127.84,2180.5,1711032299999
62,1711032300000,127.84,128.12,127.4,127.81,1662.9,1711033199999
63,1711033200000,127.79,128.1,126.73,127.17,1857.9,1711034099999
64,1711034100000,127.13,127.54,126.75,126.8,1304.4,1711034999999
65,1711035000000,126.83,127.42,126.31,126.98,2633.6,1711035899999
66,1711035900000,127.0,127.19,126.24,127.17,1221.6,1711036799999
67,1711036800000,127.2,127.51,126.53,127.19,2220.4,1711037699999
68,1711037700000,127.22,128.43,127.1,128.28,1238.9,1711038599999
69,1711038600000,128.24,128.24,127.37,127.85,1030.5,1711039499999
70,1711039500000,127.84,128.39,127.4,128.34,827.1,1711040399999
71,1711040400000,128.33,129.06,127.87,128.14,1806.2,1711041299999
72,1711041300000,128.12,128.12,126.42,126.54,1975.4,1711042199999
73,1711042200000,126.51,127.31,126.06,126.3,2547.3,1711043099999
74,1711043100000,126.3,126.7,125.85,126.6,2011.3,1711043999999
75,1711044000000,126.64,126.88,124.81,125.02,3512.2,1711044899999
76,1711044900000,125.04,125.58,124.34,124.78,3079.4,1711045799999
77,1711045800000,124.76,125.01,123.05,123.05,4605.7,1711046699999
78,1711046700000,123.05,124.37,123.02,124.12,1842.2,1711047599999
79,1711047600000,124.1,124.6,123.79,124.28,1622.8,1711048499999
80,1711048500000,124.28,124.61,123.72,124.47,1497.5,1711049399999
81,1711049400000,124.48,125.49,124.44,125.3,1249.7,1711050299999
82,1711050300000,125.29,125.71,124.88,125.3,1078.4,1711051199999
83,1711051200000,125.33,126.21,123.92,126.17,2329.2,1711052099999
84,1711052100000,126.2,127.35,125.62,126.45,3414.0,1711052999999
85,1711053000000,126.46,126.63,125.51,125.67,665.4,1711053899999
86,1711053900000,125.71,126.08,124.9,126.05,769.5,1711054799999
87,1711054800000,126.07,126.17,124.86,125.23,1001.7,1711055699999
88,1711055700000,125.27,125.68,124.43,124.47,1213.9,1711056599999
89,1711056600000,124.48,124.86,124.12,124.3,1648.6,1711057499999
90,1711057500000,124.26,125.43,124.25,125.29,865.2,1711058399999
91,1711058400000,125.31,125.77,125.14,125.62,1206.9,1711059299999
92,1711059300000,125.62,125.79,124.84,124.99,1042.9,1711060199999
93,1711060200000,124.98,125.05,124.25,124.41,650.1,1711061099999
94,1711061100000,124.42,124.52,124.02,124.1,668.2,1711061999999
95,1711062000000,124.1,124.3,123.92,124.15,1395.9,1711062899999
96,1711062900000,124.15,124.19,123.84,124.06,971.7,1711063799999
97,1711063800000,124.06,124.37,123.67,123.87,942.5,1711064699999
