,open_time,open,high,low,close,VOLUME,close_time
0,1710976500000,4.276,4.282,4.261,4.269,28728.2,1710977399999
1,1710977400000,4.269,4.278,4.258,4.264,40236.2,1710978299999
2,1710978300000,4.265,4.273,4.253,4.267,35914.7,1710979199999
3,1710979200000,4.266,4.268,4.241,4.256,86448.9,1710980099999
4,1710980100000,4.256,4.28,4.235,4.254,66493.7,1710980999999
5,1710981000000,4.255,4.298,4.241,4.289,67626.0,1710981899999
6,1710981900000,4.288,4.297,4.268,4.273,58438.3,1710982799999
7,1710982800000,4.273,4.3,4.268,4.289,43258.4,1710983699999
8,1710983700000,4.29,4.306,4.282,4.295,22793.2,1710984599999
9,1710984600000,4.294,4.295,4.274,4.287,43602.8,1710985499999
10,1710985500000,4.287,4.304,4.287,4.301,24316.9,1710986399999
11,1710986400000,4.302,4.312,4.301,4.308,41625.5,1710987299999
12,1710987300000,4.308,4.33,4.308,4.316,36245.2,1710988199999
13,1710988200000,4.317,4.326,4.31,4.325,36695.5,1710989099999
14,1710989100000,4.324,4.33,4.314,4.317,40214.3,1710989999999
15,1710990000000,4.317,4.332,4.315,4.315,39849.9,1710990899999
16,1710990900000,4.314,4.326,4.305,4.306,28363.2,1710991799999
17,1710991800000,4.306,4.332,4.305,4.309,42647.8,1710992699999
18,1710992700000,4.309,4.309,4.24,4.261,144445.5,1710993599999
19,1710993600000,4.262,4.281,4.241,4.246,62674.6,1710994499999
20,1710994500000,4.247,4.271,4.246,4.263,55851.9,1710995399999
21,1710995400000,4.263,4.273,4.231,4.233,64780.4,1710996299999
22,1710996300000,4.234,4.255,4.225,4.245,38974.4,1710997199999
23,1710997200000,4.244,4.244,4.191,4.212,94216.9,1710998099999
24,1710998100000,4.212,4.213,4.155,4.19,93623.5,1710998999999
25,1710999000000,4.19,4.217,4.187,4.198,78653.7,1710999899999
26,1710999900000,4.197,4.237,4.197,4.232,59530.1,1711000799999
27,1711000800000,4.231,4.257,4.224,4.25,57836.1,1711001699999
28,1711001700000,4.251,4.26,4.226,4.241,36831.5,1711002599999
29,1711002600000,4.241,4.244,4.211,4.217,34054.9,1711003499999
30,1711003500000,4.216,4.231,4.209,4.213,44268.4,1711004399999
31,1711004400000,4.212,4.232,4.204,4.221,53743.5,1711005299999
32,1711005300000,4.221,4.256,4.221,4.253,30197.2,1711006199999
33,1711006200000,4.253,4.255,4.242,4.242,22498.6,1711007099999
34,1711007100000,4.243,4.244,4.218,4.223,32476.4,1711007999999
35,1711008000000,4.223,4.259,4.221,4.25,54287.1,1711008899999
36,1711008900000,4.25,4.262,4.229,4.239,96114.7,1711009799999
37,1711009800000,4.239,4.245,4.224,4.241,31304.8,1711010699999
38,1711010700000,4.241,4.266,4.238,4.248,59091.3,1711011599999
39,1711011600000,4.249,4.272,4.241,4.257,49087.2,1711012499999
40,1711012500000,4.257,4.263,4.242,4.257,51440.4,1711013399999
41,1711013400000,4.257,4.261,4.211,4.215,58893.8,1711014299999
42,1711014300000,4.216,4.249,4.209,4.246,39528.1,1711015199999
43,1711015200000,4.246,4.285,4.241,4.285,83194.1,1711016099999
44,1711016100000,4.285,4.291,4.266,4.276,60818.3,1711016999999
45,1711017000000,4.276,4.279,4.242,4.25,38320.2,1711017899999
46,1711017900000,4.25,4.272,4.25,4.266,29001.2,1711018799999
47,1711018800000,4.267,4.274,4.251,4.267,28326.2,1711019699999
48,1711019700000,4.268,4.275,4.234,4.248,49355.7,1711020599999
49,1711020600000,4.248,4.274,4.236,4.269,79223.0,1711021499999
50,1711021500000,4.269,4.271,4.252,4.256,26697.7,1711022399999
51,1711022400000,4.256,4.28,4.25,4.276,43305.7,1711023299999
52,1711023300000,4.276,4.283,4.268,4.283,19470.6,1711024199999
53,1711024200000,4.283,4.298,4.242,4.243,100478.3,1711025099999
54,1711025100000,4.24,4.257,4.229,4.246,41912.4,1711025999999
55,1711026000000,4.246,4.275,4.243,4.263,36140.7,1711026899999
56,1711026900000,4.263,4.276,4.254,4.269,38407.0,1711027799999
57,1711027800000,4.27,4.271,4.237,4.243,60853.1,1711028699999
58,1711028700000,4.244,4.258,4.231,4.241,55617.5,1711029599999
59,1711029600000,4.24,4.278,4.231,4.272,46532.0,1711030499999
60,1711030500000,4.272,4.296,4.26,4.28,72801.4,1711031399999
61,1711031400000,4.279,4.282,4.26,4.275,33613.2,1711032299999
62,1711032300000,4.275,4.279,4.253,4.277,25546.6,1711033199999
63,1711033200000,4.277,4.285,4.223,4.237,97113.8,1711034099999
64,1711034100000,4.236,4.258,4.228,4.243,46095.2,1711034999999
65,1711035000000,4.244,4.259,4.217,4.25,72490.8,1711035899999
66,1711035900000,4.25,4.261,4.224,4.261,38265.2,1711036799999
67,1711036800000,4.261,4.27,4.236,4.269,86929.0,1711037699999
68,1711037700000,4.269,4.326,4.258,4.316,133208.1,1711038599999
69,1711038600000,4.316,4.316,4.286,4.3,39693.0,1711039499999
70,1711039500000,4.299,4.33,4.289,4.327,56329.9,1711040399999
71,1711040400000,4.326,4.346,4.309,4.331,82893.7,1711041299999
72,1711041300000,4.331,4.337,4.276,4.277,69411.2,1711042199999
73,1711042200000,4.277,4.291,4.246,4.252,104098.0,1711043099999
74,1711043100000,4.251,4.267,4.245,4.261,40702.7,1711043999999
75,1711044000000,4.261,4.273,4.196,4.199,138812.0,1711044899999
76,1711044900000,4.2,4.227,4.184,4.211,132560.6,1711045799999
77,1711045800000,4.21,4.211,4.151,4.152,146762.4,1711046699999
78,1711046700000,4.152,4.196,4.151,4.181,89381.3,1711047599999
79,1711047600000,4.18,4.205,4.173,4.2,76527.5,1711048499999
80,1711048500000,4.199,4.211,4.174,4.208,42003.8,1711049399999
81,1711049400000,4.207,4.253,4.207,4.247,46213.3,1711050299999
82,1711050300000,4.246,4.257,4.228,4.243,32544.2,1711051199999
83,1711051200000,4.242,4.27,4.183,4.27,142059.1,1711052099999
84,1711052100000,4.27,4.306,4.257,4.283,103744.5,1711052999999
85,1711053000000,4.284,4.29,4.25,4.254,52758.2,1711053899999
86,1711053900000,4.256,4.273,4.228,4.271,35281.1,1711054799999
87,1711054800000,4.271,4.272,4.231,4.234,36481.2,1711055699999
88,1711055700000,4.233,4.247,4.222,4.224,39054.8,1711056599999
89,1711056600000,4.224,4.242,4.223,4.233,22939.8,1711057499999
90,1711057500000,4.233,4.269,4.232,4.267,27212.1,1711058399999
91,1711058400000,4.265,4.288,4.258,4.279,35819.4,1711059299999
92,1711059300000,4.279,4.283,4.25,4.258,25562.6,1711060199999
93,1711060200000,4.257,4.259,4.233,4.246,17501.2,1711061099999
94,1711061100000,4.246,4.25,4.23,4.231,18127.1,1711061999999
95,1711062000000,4.231,4.252,4.229,4.248,28890.4,1711062899999
96,1711062900000,4.248,4.251,4.238,4.245,16290.1,1711063799999
97,1711063800000,4.244,4.262,4.235,4.253,20348.2,1711064699999
98,1711064700000,4.254,4.268,4.251,4.26,18117.5,1711065599999
99,1711065600000,4.258,4.273,4.225,4.268,47896.5,1711066499999
100,1711066500000,4.267,4.276,4.248,4.249,33677.8,1711067399999
101,1711067400000,4.248,4.248,4.202,4.226,66209.2,1711068299999
102,1711068300000,4.225,4.243,4.206,4.24,117489.9,1711069199999
103,1711069200000,4.24,4.26,4.195,4.258,112743.8,1711070099999
104,1711070100000,4.258,4.26,4.234,4.24,65859.1,1711070999999
105,1711071000000,4.239,4.239,4.192,4.2,78602.7,1711071899999
106,1711071900000,4.199,4.216,4.164,4.168,62044.4,1711072799999
107,1711072800000,4.169,4.186,4.151,4.163,58577.1,1711073699999
108,1711073700000,4.163,4.179,4.154,4.167,50786.5,1711074599999
109,1711074600000,4.168,4.182,4.161,4.171,32543.9,1711075499999
110,1711075500000,4.171,4.187,4.156,4.183,30755.0,1711076399999
111,1711076400000,4.183,4.217,4.183,4.201,40513.1,1711077299999
112,1711077300000,4.202,4.244,4.199,4.243,38368.2,1711078199999
113,1711078200000,4.244,4.279,4.243,4.255,41228.9,1711079099999
114,1711079100000,4.255,4.273,4.255,4.266,34277.5,1711079999999
115,1711080000000,4.265,4.272,4.248,4.258,34221.3,1711080899999
116,1711080900000,4.258,4.26,4.231,4.239,45451.2,1711081799999
117,1711081800000,4.238,4.248,4.233,4.243,36879.8,1711082699999
118,1711082700000,4.243,4.281,4.237,4.266,57350.2,1711083599999
119,1711083600000,4.267,4.279,4.245,4.245,39775.3,1711084499999
120,1711084500000,4.245,4.272,4.236,4.268,24581.1,1711085399999
121,1711085400000,4.269,4.284,4.257,4.282,20847.9,1711086299999
122,1711086300000,4.282,4.304,4.277,4.303,43766.1,1711087199999
123,1711087200000,4.302,4.325,4.294,4.311,48033.2,1711088099999
124,1711088100000,4.312,4.312,4.287,4.288,35505.2,1711088999999
125,1711089000000,4.287,4.304,4.282,4.294,34767.3,1711089899999
126,1711089900000,4.292,4.302,4.281,4.3,32498.7,1711090799999
127,1711090800000,4.299,4.304,4.28,4.3,23599.7,1711091699999
128,1711091700000,4.3,4.303,4.282,4.295,20687.3,1711092599999
129,1711092600000,4.296,4.319,4.294,4.312,21019.9,1711093499999
130,1711093500000,4.312,4.312,4.295,4.301,16774.8,1711094399999
131,1711094400000,4.3,4.323,4.298,4.323,28504.4,1711095299999
132,1711095300000,4.323,4.33,4.312,4.323,33923.3,1711096199999
133,1711096200000,4.324,4.327,4.273,4.277,54665.1,1711097099999
134,1711097100000,4.278,4.29,4.266,4.269,42390.4,1711097999999
135,1711098000000,4.27,4.291,4.267,4.284,26231.6,1711098899999
136,1711098900000,4.285,4.308,4.284,4.306,44033.1,1711099799999
137,1711099800000,4.306,4.307,4.269,4.271,44027.4,1711100699999
138,1711100700000,4.273,4.275,4.261,4.266,38006.2,1711101599999
139,1711101600000,4.265,4.275,4.235,4.238,44521.4,1711102499999
140,1711102500000,4.237,4.25,4.201,4.213,65351.8,1711103399999
141,1711103400000,4.214,4.228,4.192,4.224,68289.2,1711104299999
142,1711104300000,4.225,4.235,4.18,4.183,45269.0,1711105199999
143,1711105200000,4.182,4.2,4.173,4.193,43966.9,1711106099999
144,1711106100000,4.193,4.206,4.178,4.194,37589.5,1711106999999
145,1711107000000,4.194,4.212,4.182,4.196,45592.2,1711107899999
146,1711107900000,4.197,4.2,4.136,4.153,93471.8,1711108799999
147,1711108800000,4.151,4.181,4.128,4.174,90817.9,1711109699999
148,1711109700000,4.172,4.197,4.168,4.192,40304.3,1711110599999
149,1711110600000,4.193,4.202,4.175,4.201,34890.8,1711111499999
150,1711111500000,4.201,4.201,4.156,4.167,39493.2,1711112399999
151,1711112400000,4.167,4.178,4.118,4.12,77653.0,1711113299999
152,1711113300000,4.12,4.149,4.108,4.149,75255.9,1711114199999
153,1711114200000,4.149,4.152,4.092,4.099,99835.8,1711115099999
154,1711115100000,4.1,4.104,4.025,4.048,234850.4,1711115999999
155,1711116000000,4.047,4.075,4.023,4.029,140678.2,1711116899999
156,1711116900000,4.03,4.048,3.992,4.019,156276.6,1711117799999
157,1711117800000,4.018,4.053,4.007,4.016,90785.4,1711118699999
158,1711118700000,4.016,4.036,3.994,4.013,165449.4,1711119599999
159,1711119600000,4.013,4.09,4.011,4.073,94987.7,1711120499999
