,open_time,open,high,low,close,VOLUME,close_time
0,1710977400000,3.6627,3.6701,3.6493,3.6504,61212.6,1710978299999
1,1710978300000,3.6522,3.6671,3.6453,3.6643,44823.9,1710979199999
2,1710979200000,3.664,3.679,3.634,3.638,96940.4,1710980099999
3,1710980100000,3.6396,3.6622,3.6181,3.6335,117872.7,1710980999999
4,1710981000000,3.6335,3.6889,3.6289,3.6762,92387.2,1710981899999
5,1710981900000,3.6763,3.6925,3.6624,3.6715,95274.5,1710982799999
6,1710982800000,3.6714,3.6979,3.6624,3.6853,96132.1,1710983699999
7,1710983700000,3.6849,3.7107,3.6814,3.7032,94550.7,1710984599999
8,1710984600000,3.7025,3.7025,3.659,3.6723,82031.7,1710985499999
9,1710985500000,3.6719,3.7035,3.6686,3.6972,59820.5,1710986399999
10,1710986400000,3.6978,3.7201,3.6881,3.7154,86681.0,1710987299999
11,1710987300000,3.7153,3.754,3.7131,3.7472,157933.0,1710988199999
12,1710988200000,3.7477,3.789,3.7404,3.7841,94733.1,1710989099999
13,1710989100000,3.7837,3.804,3.75,3.7625,222639.3,1710989999999
14,1710990000000,3.7624,3.8135,3.7617,3.7891,149751.5,1710990899999
15,1710990900000,3.7893,3.808,3.7628,3.7789,127057.8,1710991799999
16,1710991800000,3.7795,3.8024,3.758,3.787,101949.6,1710992699999
17,1710992700000,3.787,3.787,3.7098,3.7172,269497.5,1710993599999
18,1710993600000,3.7164,3.7457,3.7006,3.7092,217463.0,1710994499999
19,1710994500000,3.7097,3.729,3.7093,3.7149,83445.5,1710995399999
20,1710995400000,3.7148,3.7326,3.6774,3.6803,142687.0,1710996299999
21,1710996300000,3.6807,3.6962,3.6702,3.6807,51775.5,1710997199999
22,1710997200000,3.6803,3.682,3.6322,3.6507,80616.0,1710998099999
23,1710998100000,3.6512,3.6523,3.5954,3.64,290621.8,1710998999999
24,1710999000000,3.6402,3.6704,3.6301,3.6399,88456.7,1710999899999
25,1710999900000,3.6406,3.6786,3.6391,3.6726,64609.1,1711000799999
26,1711000800000,3.6727,3.706,3.6675,3.6961,75955.9,1711001699999
27,1711001700000,3.6966,3.709,3.6577,3.671,57822.0,1711002599999
28,1711002600000,3.6707,3.6819,3.6497,3.6572,74691.2,1711003499999
29,1711003500000,3.6572,3.6871,3.6502,3.6667,78780.3,1711004399999
30,1711004400000,3.6666,3.6897,3.6518,3.6805,84677.1,1711005299999
31,1711005300000,3.6809,3.716,3.679,3.7109,53527.6,1711006199999
32,1711006200000,3.7109,3.7134,3.6959,3.6959,35265.6,1711007099999
33,1711007100000,3.6959,3.7004,3.676,3.6895,61343.4,1711007999999
34,1711008000000,3.6893,3.7329,3.6855,3.7319,72306.1,1711008899999
35,1711008900000,3.7319,3.7319,3.7075,3.7267,57739.8,1711009799999
36,1711009800000,3.7256,3.7441,3.7083,3.7351,77250.4,1711010699999
37,1711010700000,3.7358,3.7684,3.732,3.732,101983.2,1711011599999
38,1711011600000,3.7337,3.7747,3.7289,3.7637,80265.8,1711012499999
39,1711012500000,3.7631,3.7674,3.7389,3.7495,70497.7,1711013399999
40,1711013400000,3.7507,3.7516,3.704,3.7132,160981.7,1711014299999
41,1711014300000,3.7134,3.749,3.7064,3.7434,52604.4,1711015199999
42,1711015200000,3.7435,3.7799,3.7365,3.7783,109327.6,1711016099999
43,1711016100000,3.778,3.7813,3.7533,3.7658,61083.1,1711016999999
44,1711017000000,3.7656,3.7702,3.75,3.76,98530.7,1711017899999
45,1711017900000,3.7606,3.784,3.7606,3.7734,71233.2,1711018799999
46,1711018800000,3.7726,3.7943,3.7601,3.79,62017.4,1711019699999
47,1711019700000,3.79,3.7984,3.7528,3.7686,103701.9,1711020599999
48,1711020600000,3.7693,3.798,3.7532,3.7727,65106.8,1711021499999
49,1711021500000,3.773,3.7799,3.7531,3.7787,76261.4,1711022399999
50,1711022400000,3.7787,3.8379,3.7787,3.8177,160412.4,1711023299999
51,1711023300000,3.8179,3.8419,3.804,3.84,104046.5,1711024199999
52,1711024200000,3.84,3.854,3.806,3.8234,184377.4,1711025099999
53,1711025100000,3.8235,3.8489,3.8085,3.8154,78252.7,1711025999999
54,1711026000000,3.8157,3.8289,3.7991,3.8025,69950.1,1711026899999
55,1711026900000,3.8023,3.8173,3.7834,3.7937,169183.3,1711027799999
56,1711027800000,3.7934,3.8074,3.7606,3.7831,110300.0,1711028699999
57,1711028700000,3.7836,3.792,3.7586,3.7668,99882.8,1711029599999
58,1711029600000,3.7674,3.8117,3.7602,3.7989,63390.8,1711030499999
59,1711030500000,3.7986,3.8188,3.7814,3.8065,62936.8,1711031399999
60,1711031400000,3.8066,3.831,3.8027,3.8208,70563.2,1711032299999
61,1711032300000,3.8202,3.842,3.8039,3.8232,85049.3,1711033199999
