,open_time,open,high,low,close,VOLUME,close_time
0,1710976500000,55.98,57.78,55.78,56.96,77256.65,1710977399999
1,1710977400000,56.98,57.33,56.68,56.71,45067.23,1710978299999
2,1710978300000,56.7,56.93,55.41,55.63,43108.95,1710979199999
3,1710979200000,55.64,55.66,53.93,54.05,51983.15,1710980099999
4,1710980100000,54.05,54.67,54.05,54.55,42571.09,1710980999999
5,1710981000000,54.55,55.73,54.37,55.64,37095.84,1710981899999
6,1710981900000,55.63,55.64,54.88,55.11,30272.94,1710982799999
7,1710982800000,55.11,56.49,54.56,56.49,46507.08,1710983699999
8,1710983700000,56.48,56.57,55.6,55.84,34712.27,1710984599999
9,1710984600000,55.84,57.56,55.82,56.82,56626.92,1710985499999
10,1710985500000,56.83,59.0,56.76,58.89,75624.78,1710986399999
11,1710986400000,58.91,59.12,58.0,59.02,56599.15,1710987299999
12,1710987300000,59.03,59.17,57.69,58.18,50051.81,1710988199999
13,1710988200000,58.19,58.7,57.73,58.55,38885.5,1710989099999
14,1710989100000,58.58,59.41,58.32,58.44,45406.1,1710989999999
15,1710990000000,58.45,59.85,58.41,58.95,51055.41,1710990899999
16,1710990900000,58.96,59.84,58.93,59.35,46517.28,1710991799999
17,1710991800000,59.35,60.74,59.27,60.2,61387.13,1710992699999
18,1710992700000,60.19,60.69,59.17,59.2,69115.04,1710993599999
19,1710993600000,59.2,59.9,58.15,58.38,57514.66,1710994499999
20,1710994500000,58.39,58.63,57.65,57.92,36934.7,1710995399999
21,1710995400000,57.92,58.37,57.48,57.71,30720.81,1710996299999
22,1710996300000,57.72,58.03,57.15,57.63,33371.62,1710997199999
23,1710997200000,57.64,58.08,57.06,57.93,42959.49,1710998099999
24,1710998100000,57.92,58.27,57.03,58.09,51830.82,1710998999999
25,1710999000000,58.09,58.58,57.75,58.07,32532.37,1710999899999
26,1710999900000,58.07,58.13,57.08,58.1,26744.8,1711000799999
27,1711000800000,58.1,59.68,57.54,59.16,64383.9,1711001699999
28,1711001700000,59.16,59.52,58.81,59.15,35983.52,1711002599999
29,1711002600000,59.16,59.62,58.52,58.69,44008.74,1711003499999
30,1711003500000,58.69,58.69,57.21,57.35,46456.12,1711004399999
31,1711004400000,57.36,57.7,56.89,57.22,30135.96,1711005299999
32,1711005300000,57.22,57.76,57.0,57.76,30558.43,1711006199999
33,1711006200000,57.75,58.17,57.53,57.57,25763.62,1711007099999
34,1711007100000,57.57,57.6,56.65,57.0,46305.01,1711007999999
35,1711008000000,57.0,57.58,56.9,57.24,27007.95,1711008899999
36,1711008900000,57.23,58.21,57.15,57.49,26080.39,1711009799999
37,1711009800000,57.49,57.75,56.79,57.21,21355.74,1711010699999
38,1711010700000,57.21,57.67,56.75,57.24,28772.18,1711011599999
39,1711011600000,57.24,57.31,56.81,56.85,21175.84,1711012499999
40,1711012500000,56.84,57.38,56.34,57.16,25640.14,1711013399999
41,1711013400000,57.16,57.3,56.44,56.45,18205.42,1711014299999
42,1711014300000,56.45,56.58,56.16,56.46,34096.61,1711015199999
43,1711015200000,56.45,57.12,56.22,57.05,18507.61,1711016099999
44,1711016100000,57.07,57.5,56.49,56.51,19897.03,1711016999999
45,1711017000000,56.52,57.05,55.72,56.0,26563.55,1711017899999
46,1711017900000,55.99,56.86,55.96,56.45,23926.3,1711018799999
47,1711018800000,56.45,56.92,56.24,56.66,16340.11,1711019699999
48,1711019700000,56.64,57.53,56.61,57.09,25466.34,1711020599999
49,1711020600000,57.11,58.08,56.79,57.93,30853.43,1711021499999
50,1711021500000,57.93,58.16,57.5,57.68,23040.81,1711022399999
51,1711022400000,57.69,59.08,57.34,57.84,38347.62,1711023299999
52,1711023300000,57.84,57.84,57.14,57.41,30594.54,1711024199999
53,1711024200000,57.42,58.59,57.42,57.8,38048.36,1711025099999
54,1711025100000,57.79,57.94,57.16,57.76,17599.45,1711025999999
55,1711026000000,57.75,58.93,57.62,58.69,26269.96,1711026899999
56,1711026900000,58.69,58.99,58.28,58.58,25678.2,1711027799999
57,1711027800000,58.59,59.22,57.8,58.16,37042.46,1711028699999
58,1711028700000,58.15,58.15,56.86,57.06,32743.86,1711029599999
59,1711029600000,57.07,58.46,57.05,58.38,24764.29,1711030499999
60,1711030500000,58.37,59.88,57.97,59.36,46107.8,1711031399999
61,1711031400000,59.36,59.81,58.51,58.53,30537.62,1711032299999
62,1711032300000,58.54,58.55,56.92,57.47,47903.39,1711033199999
63,1711033200000,57.47,59.36,57.44,59.13,64004.79,1711034099999
64,1711034100000,59.12,59.69,58.62,58.75,41407.95,1711034999999
65,1711035000000,58.75,59.9,58.75,59.41,30908.82,1711035899999
66,1711035900000,59.4,59.9,58.92,59.75,25697.19,1711036799999
67,1711036800000,59.74,60.99,58.73,60.92,55463.22,1711037699999
68,1711037700000,60.93,62.33,60.81,61.81,91087.91,1711038599999
69,1711038600000,61.8,61.8,58.02,58.16,77475.26,1711039499999
70,1711039500000,58.15,59.74,58.0,58.64,76406.17,1711040399999
71,1711040400000,58.64,59.45,58.22,59.33,37078.47,1711041299999
72,1711041300000,59.32,59.33,57.92,57.93,23284.95,1711042199999
73,1711042200000,57.92,58.24,57.68,58.17,22988.22,1711043099999
74,1711043100000,58.18,58.42,57.85,58.3,15319.35,1711043999999
75,1711044000000,58.3,58.49,57.93,58.22,24782.44,1711044899999
76,1711044900000,58.22,58.95,58.05,58.1,23783.6,1711045799999
77,1711045800000,58.09,58.17,57.55,57.62,36490.42,1711046699999
78,1711046700000,57.62,58.17,57.59,57.94,15429.27,1711047599999
79,1711047600000,57.94,58.02,57.36,57.56,16446.69,1711048499999
80,1711048500000,57.56,57.93,57.38,57.78,12530.47,1711049399999
81,1711049400000,57.79,59.74,57.7,59.54,45326.47,1711050299999
82,1711050300000,59.53,59.72,58.89,59.14,28648.77,1711051199999
83,1711051200000,59.13,59.17,58.07,59.1,22988.26,1711052099999
84,1711052100000,59.1,59.1,58.05,58.65,20006.56,1711052999999
85,1711053000000,58.65,59.16,58.19,58.45,21286.08,1711053899999
86,1711053900000,58.47,58.95,58.09,58.95,12020.54,1711054799999
87,1711054800000,58.94,58.95,57.77,58.39,18600.86,1711055699999
88,1711055700000,58.4,58.92,57.94,57.97,13189.16,1711056599999
89,1711056600000,57.98,58.42,57.86,58.07,8296.76,1711057499999
90,1711057500000,58.08,59.22,58.08,59.1,7034.58,1711058399999
91,1711058400000,59.1,59.81,58.72,59.76,18134.48,1711059299999
92,1711059300000,59.76,59.9,59.19,59.56,16356.91,1711060199999
93,1711060200000,59.56,59.86,59.28,59.62,12458.03,1711061099999
94,1711061100000,59.63,59.94,59.34,59.91,17882.38,1711061999999
95,1711062000000,59.9,60.78,59.57,60.75,26029.83,1711062899999
96,1711062900000,60.75,60.8,59.75,59.93,24909.66,1711063799999
97,1711063800000,59.94,60.14,59.51,59.9,18338.02,1711064699999
98,1711064700000,59.9,60.31,59.41,60.25,17005.35,1711065599999
99,1711065600000,60.25,60.93,59.37,59.54,34348.46,1711066499999
100,1711066500000,59.52,62.0,59.23,60.88,55531.77,1711067399999
101,1711067400000,60.87,60.91,59.2,59.94,37406.47,1711068299999
102,1711068300000,59.93,60.68,59.37,59.86,38454.22,1711069199999
103,1711069200000,59.86,59.91,58.47,58.92,39635.71,1711070099999
104,1711070100000,58.92,60.22,58.68,59.25,30256.19,1711070999999
105,1711071000000,59.25,60.61,59.25,60.37,40649.25,1711071899999
106,1711071900000,60.36,60.69,59.65,59.73,28524.79,1711072799999
107,1711072800000,59.71,59.88,58.72,59.23,26092.97,1711073699999
108,1711073700000,59.23,59.76,58.87,59.05,19423.5,1711074599999
109,1711074600000,59.05,59.56,58.2,58.42,27668.0,1711075499999
110,1711075500000,58.41,58.64,57.84,58.37,28340.5,1711076399999
111,1711076400000,58.38,58.89,58.1,58.46,19871.74,1711077299999
112,1711077300000,58.46,59.48,58.43,58.63,27225.01,1711078199999
113,1711078200000,58.64,59.1,58.16,58.48,20213.35,1711079099999
114,1711079100000,58.47,58.97,58.28,58.43,16665.97,1711079999999
115,1711080000000,58.42,58.82,58.2,58.72,18412.18,1711080899999
116,1711080900000,58.72,59.5,57.8,58.46,42453.5,1711081799999
117,1711081800000,58.46,58.46,57.59,57.68,26881.8,1711082699999
118,1711082700000,57.68,58.2,57.55,57.75,25739.05,1711083599999
119,1711083600000,57.75,58.22,57.46,57.85,21003.55,1711084499999
120,1711084500000,57.86,57.93,57.31,57.8,14251.73,1711085399999
121,1711085400000,57.8,58.05,57.37,57.77,15204.83,1711086299999
122,1711086300000,57.77,57.93,57.45,57.68,12998.88,1711087199999
123,1711087200000,57.68,58.25,57.41,58.08,20355.73,1711088099999
