,open_time,open,high,low,close,VOLUME,close_time
0,1710976500000,0.7125,0.7142,0.7113,0.7135,513050.0,1710977399999
1,1710977400000,0.7135,0.7149,0.7124,0.7134,358440.0,1710978299999
2,1710978300000,0.7134,0.7152,0.7117,0.7147,554475.0,1710979199999
3,1710979200000,0.7147,0.7176,0.7118,0.7165,1019409.0,1710980099999
4,1710980100000,0.7166,0.7201,0.7137,0.7165,990454.0,1710980999999
5,1710981000000,0.7164,0.7205,0.7147,0.7198,675454.0,1710981899999
6,1710981900000,0.7198,0.7202,0.7161,0.7177,405745.0,1710982799999
7,1710982800000,0.7177,0.7188,0.7159,0.7163,453138.0,1710983699999
8,1710983700000,0.7163,0.7201,0.7152,0.7201,342548.0,1710984599999
9,1710984600000,0.7199,0.7201,0.7169,0.7181,260431.0,1710985499999
10,1710985500000,0.7181,0.7209,0.7178,0.7203,314689.0,1710986399999
11,1710986400000,0.7203,0.7259,0.7203,0.7258,947458.0,1710987299999
12,1710987300000,0.7258,0.7294,0.7258,0.7291,1370743.0,1710988199999
13,1710988200000,0.7292,0.7336,0.7279,0.7325,761075.0,1710989099999
14,1710989100000,0.7325,0.7326,0.728,0.7291,436812.0,1710989999999
15,1710990000000,0.7291,0.7335,0.7282,0.7318,315286.0,1710990899999
16,1710990900000,0.7317,0.7332,0.729,0.7297,542201.0,1710991799999
17,1710991800000,0.7297,0.7364,0.7292,0.7323,628343.0,1710992699999
18,1710992700000,0.7322,0.7322,0.7177,0.7229,2060462.0,1710993599999
19,1710993600000,0.7229,0.7288,0.7187,0.7225,1587780.0,1710994499999
20,1710994500000,0.7225,0.7263,0.722,0.7259,734628.0,1710995399999
21,1710995400000,0.7259,0.7282,0.7168,0.718,1005378.0,1710996299999
22,1710996300000,0.7181,0.7213,0.7155,0.7177,687151.0,1710997199999
23,1710997200000,0.7177,0.7185,0.7063,0.7118,1530907.0,1710998099999
24,1710998100000,0.7117,0.7119,0.7015,0.7079,1220281.0,1710998999999
25,1710999000000,0.7078,0.7135,0.7078,0.7119,972721.0,1710999899999
26,1710999900000,0.712,0.7193,0.7119,0.7174,822701.0,1711000799999
27,1711000800000,0.7172,0.7216,0.7159,0.7181,1079859.0,1711001699999
28,1711001700000,0.7181,0.7207,0.7144,0.717,669235.0,1711002599999
29,1711002600000,0.717,0.7179,0.7129,0.7137,579469.0,1711003499999
30,1711003500000,0.7138,0.7168,0.712,0.7137,532733.0,1711004399999
31,1711004400000,0.7137,0.717,0.7117,0.7152,446785.0,1711005299999
32,1711005300000,0.7153,0.7205,0.7153,0.7198,442725.0,1711006199999
33,1711006200000,0.7198,0.7207,0.7182,0.7184,308946.0,1711007099999
