,open_time,open,high,low,close,VOLUME,close_time
0,1710976500000,2.1487,2.1521,2.1376,2.1421,263324.1,1710977399999
1,1710977400000,2.1417,2.1539,2.1381,2.146,329379.8,1710978299999
2,1710978300000,2.146,2.146,2.1322,2.1381,489407.1,1710979199999
3,1710979200000,2.1381,2.1386,2.1207,2.1237,695628.3,1710980099999
4,1710980100000,2.1234,2.1347,2.1125,2.1269,472276.3,1710980999999
5,1710981000000,2.127,2.1627,2.12,2.1525,741842.2,1710981899999
6,1710981900000,2.1524,2.1536,2.1372,2.1405,405454.2,1710982799999
7,1710982800000,2.1405,2.1654,2.1353,2.1422,685460.1,1710983699999
8,1710983700000,2.1424,2.1606,2.1396,2.1583,357629.7,1710984599999
9,1710984600000,2.1582,2.1608,2.1371,2.1448,373437.1,1710985499999
10,1710985500000,2.1448,2.1566,2.1432,2.1496,333625.8,1710986399999
11,1710986400000,2.1496,2.1557,2.1376,2.1413,274198.8,1710987299999
12,1710987300000,2.1421,2.1668,2.142,2.1484,575420.6,1710988199999
13,1710988200000,2.1487,2.1611,2.1468,2.1602,275998.4,1710989099999
14,1710989100000,2.1599,2.1676,2.151,2.1557,336495.7,1710989999999
15,1710990000000,2.1557,2.1765,2.1538,2.1623,398859.9,1710990899999
16,1710990900000,2.1623,2.1727,2.1511,2.1532,382945.3,1710991799999
17,1710991800000,2.1532,2.174,2.1524,2.1552,453789.8,1710992699999
18,1710992700000,2.1555,2.1558,2.1201,2.1263,1136997.2,1710993599999
19,1710993600000,2.1268,2.1414,2.1172,2.1213,494272.6,1710994499999
20,1710994500000,2.1213,2.1318,2.119,2.1221,396890.6,1710995399999
21,1710995400000,2.1224,2.129,2.1019,2.1028,478600.6,1710996299999
22,1710996300000,2.103,2.1138,2.0951,2.1066,431278.1,1710997199999
23,1710997200000,2.1068,2.1074,2.05,2.0826,1508964.7,1710998099999
24,1710998100000,2.0821,2.0833,2.0522,2.0745,758676.4,1710998999999
25,1710999000000,2.0744,2.0907,2.0723,2.0832,540245.0,1710999899999
26,1710999900000,2.0828,2.1251,2.0812,2.1154,989348.8,1711000799999
27,1711000800000,2.1157,2.1281,2.1082,2.1269,740544.4,1711001699999
28,1711001700000,2.1272,2.1346,2.1131,2.1218,469774.3,1711002599999
29,1711002600000,2.1221,2.1296,2.1138,2.1169,476715.2,1711003499999
30,1711003500000,2.1172,2.1385,2.1078,2.1293,664749.7,1711004399999
31,1711004400000,2.1292,2.1387,2.1221,2.1264,287813.9,1711005299999
32,1711005300000,2.1266,2.1505,2.1247,2.1477,559230.6,1711006199999
33,1711006200000,2.1474,2.1483,2.1403,2.1442,299500.4,1711007099999
34,1711007100000,2.1439,2.1454,2.1307,2.1342,428080.3,1711007999999
35,1711008000000,2.1342,2.1591,2.1328,2.1484,424293.3,1711008899999
36,1711008900000,2.1481,2.1575,2.1388,2.147,290537.0,1711009799999
37,1711009800000,2.1471,2.1635,2.1395,2.1631,326411.4,1711010699999
38,1711010700000,2.1629,2.1821,2.1604,2.1625,765719.5,1711011599999
39,1711011600000,2.1621,2.1852,2.1612,2.1791,1135432.5,1711012499999
40,1711012500000,2.1791,2.1853,2.1681,2.1712,528325.2,1711013399999
41,1711013400000,2.1712,2.1834,2.147,2.1489,1140095.3,1711014299999
42,1711014300000,2.1492,2.1615,2.1432,2.1512,581540.1,1711015199999
43,1711015200000,2.1512,2.1617,2.1424,2.1615,455582.8,1711016099999
44,1711016100000,2.1615,2.1632,2.1426,2.1454,279558.7,1711016999999
45,1711017000000,2.1459,2.1495,2.1333,2.1382,354142.1,1711017899999
46,1711017900000,2.1383,2.1588,2.1383,2.1583,331249.5,1711018799999
47,1711018800000,2.1583,2.1683,2.152,2.1621,367446.5,1711019699999
48,1711019700000,2.1621,2.1674,2.1372,2.1446,465534.6,1711020599999
49,1711020600000,2.145,2.158,2.1376,2.1472,274932.4,1711021499999
50,1711021500000,2.1473,2.151,2.1407,2.1436,161068.2,1711022399999
51,1711022400000,2.1437,2.16,2.1408,2.1597,311682.4,1711023299999
52,1711023300000,2.16,2.1657,2.1518,2.1604,289387.3,1711024199999
53,1711024200000,2.1602,2.1681,2.1416,2.1418,375918.6,1711025099999
54,1711025100000,2.1416,2.1495,2.1332,2.1472,511619.2,1711025999999
55,1711026000000,2.147,2.1591,2.1411,2.1517,331319.9,1711026899999
56,1711026900000,2.1517,2.1567,2.1389,2.1545,379827.7,1711027799999
57,1711027800000,2.1551,2.1574,2.1332,2.1392,504217.2,1711028699999
58,1711028700000,2.1394,2.1454,2.1279,2.1295,467931.6,1711029599999
59,1711029600000,2.1295,2.14,2.1229,2.1356,456872.0,1711030499999
60,1711030500000,2.1355,2.1518,2.1292,2.1423,616933.1,1711031399999
61,1711031400000,2.1421,2.1432,2.1316,2.1364,215561.1,1711032299999
62,1711032300000,2.1364,2.1408,2.1252,2.14,229817.6,1711033199999
63,1711033200000,2.14,2.148,2.1191,2.1289,569062.7,1711034099999
64,1711034100000,2.1286,2.1377,2.1191,2.1206,397092.4,1711034999999
65,1711035000000,2.1208,2.1265,2.1024,2.1189,647905.5,1711035899999
66,1711035900000,2.1188,2.1192,2.1024,2.1143,303630.9,1711036799999
67,1711036800000,2.1144,2.1203,2.102,2.1144,483571.3,1711037699999
68,1711037700000,2.1146,2.1478,2.1074,2.1421,597062.0,1711038599999
69,1711038600000,2.1412,2.1412,2.1195,2.1244,280519.2,1711039499999
70,1711039500000,2.1241,2.134,2.1165,2.1318,303078.5,1711040399999
71,1711040400000,2.1311,2.143,2.1199,2.1301,422453.5,1711041299999
72,1711041300000,2.1304,2.1315,2.1,2.1012,552715.6,1711042199999
73,1711042200000,2.1009,2.1109,2.0874,2.0897,711472.9,1711043099999
74,1711043100000,2.0897,2.0963,2.085,2.0937,328818.5,1711043999999
75,1711044000000,2.0936,2.1017,2.0665,2.071,490762.1,1711044899999
76,1711044900000,2.0719,2.0847,2.0629,2.0776,480769.1,1711045799999
77,1711045800000,2.0774,2.0774,2.0521,2.053,985812.7,1711046699999
78,1711046700000,2.0529,2.0704,2.0521,2.0622,386210.4,1711047599999
79,1711047600000,2.0625,2.0724,2.0575,2.067,360360.5,1711048499999
80,1711048500000,2.0673,2.0713,2.0586,2.071,170070.1,1711049399999
81,1711049400000,2.0706,2.0943,2.0699,2.0876,416756.4,1711050299999
82,1711050300000,2.0875,2.0897,2.0769,2.0808,286221.8,1711051199999
83,1711051200000,2.0805,2.097,2.0543,2.097,671983.6,1711052099999
84,1711052100000,2.0968,2.111,2.0871,2.0965,606886.9,1711052999999
85,1711053000000,2.0972,2.1008,2.0856,2.0912,243827.1,1711053899999
86,1711053900000,2.0915,2.0951,2.0765,2.0922,225436.0,1711054799999
87,1711054800000,2.0925,2.0946,2.0762,2.0804,246478.2,1711055699999
88,1711055700000,2.0799,2.0881,2.0724,2.0751,213232.5,1711056599999
89,1711056600000,2.0752,2.0854,2.0752,2.0836,189675.6,1711057499999
90,1711057500000,2.0834,2.1046,2.0833,2.1003,163510.8,1711058399999
91,1711058400000,2.1003,2.1158,2.0974,2.1127,267110.6,1711059299999
92,1711059300000,2.1126,2.1133,2.0901,2.0956,261924.7,1711060199999
93,1711060200000,2.0954,2.0966,2.0836,2.0874,230645.8,1711061099999
94,1711061100000,2.0876,2.0898,2.0779,2.0785,204252.3,1711061999999
95,1711062000000,2.0785,2.0838,2.0759,2.0787,269080.5,1711062899999
96,1711062900000,2.0784,2.0824,2.0753,2.0774,134675.3,1711063799999
97,1711063800000,2.0773,2.0898,2.0737,2.0864,166774.2,1711064699999
98,1711064700000,2.0866,2.0945,2.0865,2.0892,192916.7,1711065599999
99,1711065600000,2.0894,2.1024,2.08,2.0978,257582.5,1711066499999
100,1711066500000,2.0979,2.1076,2.0914,2.0914,251809.3,1711067399999
101,1711067400000,2.0914,2.0914,2.0662,2.0725,454883.4,1711068299999
102,1711068300000,2.0724,2.0803,2.062,2.0766,321025.1,1711069199999
103,1711069200000,2.0764,2.0833,2.0602,2.083,346374.0,1711070099999
104,1711070100000,2.0831,2.0891,2.0734,2.0741,238153.7,1711070999999
105,1711071000000,2.0742,2.0752,2.0606,2.0691,424570.7,1711071899999
106,1711071900000,2.0686,2.0787,2.0561,2.0566,365695.6,1711072799999
107,1711072800000,2.0565,2.062,2.0501,2.0541,391179.4,1711073699999
108,1711073700000,2.0544,2.0666,2.051,2.0649,313739.8,1711074599999
109,1711074600000,2.0648,2.0736,2.0645,2.0731,339111.4,1711075499999
110,1711075500000,2.0731,2.0956,2.0724,2.0909,623591.1,1711076399999
111,1711076400000,2.091,2.1207,2.0891,2.1182,1065770.6,1711077299999
112,1711077300000,2.1182,2.1337,2.1077,2.116,690010.4,1711078199999
113,1711078200000,2.1162,2.1293,2.1147,2.1209,473974.1,1711079099999
114,1711079100000,2.1209,2.1355,2.1191,2.123,292102.5,1711079999999
115,1711080000000,2.123,2.1284,2.1114,2.1158,355788.4,1711080899999
116,1711080900000,2.1161,2.1253,2.1106,2.12,263878.9,1711081799999
117,1711081800000,2.12,2.1251,2.1144,2.1188,206552.3,1711082699999
118,1711082700000,2.1192,2.14,2.1166,2.1293,426697.5,1711083599999
119,1711083600000,2.1293,2.1527,2.1231,2.1407,1052473.9,1711084499999
120,1711084500000,2.1407,2.1497,2.1327,2.1464,323103.5,1711085399999
121,1711085400000,2.1459,2.1603,2.1424,2.1586,379460.6,1711086299999
122,1711086300000,2.1592,2.1657,2.1534,2.1622,386470.0,1711087199999
123,1711087200000,2.162,2.1632,2.1442,2.1482,351393.8,1711088099999
124,1711088100000,2.148,2.1634,2.143,2.1556,697784.2,1711088999999
125,1711089000000,2.1555,2.161,2.1478,2.1554,298550.9,1711089899999
126,1711089900000,2.155,2.1619,2.1477,2.1618,221215.2,1711090799999
127,1711090800000,2.1617,2.1706,2.147,2.1584,633477.4,1711091699999
128,1711091700000,2.1578,2.1608,2.1383,2.1438,427468.1,1711092599999
129,1711092600000,2.144,2.153,2.1424,2.1503,186926.4,1711093499999
130,1711093500000,2.1502,2.1558,2.1361,2.1461,528522.8,1711094399999
131,1711094400000,2.1461,2.1636,2.1453,2.1554,361627.6,1711095299999
132,1711095300000,2.1552,2.1665,2.1494,2.1573,424224.1,1711096199999
133,1711096200000,2.1571,2.1587,2.1175,2.1223,826193.4,1711097099999
134,1711097100000,2.1226,2.1307,2.1123,2.1186,506633.6,1711097999999
135,1711098000000,2.1185,2.1249,2.1127,2.1177,411605.3,1711098899999
136,1711098900000,2.118,2.1328,2.118,2.1304,257239.1,1711099799999
137,1711099800000,2.1305,2.1324,2.1175,2.1186,319756.8,1711100699999
138,1711100700000,2.1186,2.1241,2.111,2.1165,408015.1,1711101599999
