,open_time,open,high,low,close,VOLUME,close_time
0,1710977400000,3.4293,3.4352,3.4068,3.4119,888555.0,1710978299999
1,1710978300000,3.4119,3.4346,3.3961,3.4234,871996.0,1710979199999
2,1710979200000,3.4234,3.5,3.419,3.4304,3244742.0,1710980099999
3,1710980100000,3.4303,3.4914,3.4067,3.4784,1942275.0,1710980999999
4,1710981000000,3.4787,3.4809,3.4204,3.4215,1588076.0,1710981899999
5,1710981900000,3.4215,3.4582,3.4038,3.4324,1310798.0,1710982799999
6,1710982800000,3.4325,3.4594,3.4147,3.4474,869118.0,1710983699999
7,1710983700000,3.4476,3.4533,3.3712,3.3896,1271886.0,1710984599999
8,1710984600000,3.3896,3.4009,3.3578,3.3901,1235656.0,1710985499999
9,1710985500000,3.3895,3.4068,3.378,3.3894,743601.0,1710986399999
10,1710986400000,3.3894,3.3991,3.3682,3.3737,751148.0,1710987299999
11,1710987300000,3.3737,3.3965,3.3651,3.3703,741554.0,1710988199999
12,1710988200000,3.3708,3.386,3.362,3.3784,545764.0,1710989099999
13,1710989100000,3.3782,3.4201,3.376,3.4062,909348.0,1710989999999
14,1710990000000,3.4068,3.4444,3.3968,3.3992,1010031.0,1710990899999
15,1710990900000,3.3991,3.4185,3.3848,3.4041,699781.0,1710991799999
16,1710991800000,3.4039,3.4165,3.3866,3.3871,731527.0,1710992699999
17,1710992700000,3.3874,3.4046,3.359,3.3754,1853579.0,1710993599999
18,1710993600000,3.3753,3.3787,3.332,3.3339,1690091.0,1710994499999
19,1710994500000,3.334,3.363,3.3339,3.3531,949267.0,1710995399999
20,1710995400000,3.3531,3.376,3.3497,3.3644,609332.0,1710996299999
21,1710996300000,3.3645,3.372,3.3505,3.3674,711783.0,1710997199999
22,1710997200000,3.3674,3.386,3.3441,3.3719,696828.0,1710998099999
23,1710998100000,3.3716,3.3763,3.3037,3.3346,2278036.0,1710998999999
24,1710999000000,3.3347,3.3622,3.3184,3.3318,867443.0,1710999899999
