,open_time,open,high,low,close,VOLUME,close_time
0,1710977400000,0.6129,0.6144,0.6117,0.6123,11032328.2,1710978299999
1,1710978300000,0.6122,0.6128,0.6107,0.6112,11479648.8,1710979199999
2,1710979200000,0.6112,0.6115,0.6076,0.6081,24115751.7,1710980099999
3,1710980100000,0.608,0.6108,0.6052,0.6082,22848711.7,1710980999999
4,1710981000000,0.6082,0.6119,0.6063,0.6107,17873748.7,1710981899999
5,1710981900000,0.6106,0.6115,0.6078,0.6087,17006692.3,1710982799999
6,1710982800000,0.6086,0.6109,0.6082,0.6093,11018239.1,1710983699999
7,1710983700000,0.6093,0.6102,0.6074,0.6092,12496976.7,1710984599999
8,1710984600000,0.6093,0.6094,0.6061,0.6072,9670932.8,1710985499999
9,1710985500000,0.6071,0.6097,0.607,0.6094,8133483.9,1710986399999
10,1710986400000,0.6094,0.6107,0.6083,0.6089,8654301.2,1710987299999
11,1710987300000,0.6089,0.6115,0.6089,0.6108,8884218.2,1710988199999
12,1710988200000,0.6109,0.6118,0.6102,0.611,7414428.7,1710989099999
13,1710989100000,0.611,0.6112,0.6095,0.6099,7462048.4,1710989999999
14,1710990000000,0.6099,0.6129,0.6099,0.611,7618298.5,1710990899999
15,1710990900000,0.611,0.6124,0.6104,0.6114,8356739.4,1710991799999
16,1710991800000,0.6114,0.6141,0.6113,0.6118,11921833.6,1710992699999
17,1710992700000,0.6118,0.6118,0.6054,0.6077,31458564.5,1710993599999
18,1710993600000,0.6078,0.6098,0.6054,0.607,19325077.5,1710994499999
19,1710994500000,0.607,0.6094,0.6067,0.6085,14346697.0,1710995399999
20,1710995400000,0.6085,0.6093,0.6045,0.6052,17053174.9,1710996299999
21,1710996300000,0.6053,0.6085,0.6047,0.6076,11831820.6,1710997199999
22,1710997200000,0.6076,0.6077,0.6022,0.6045,24828612.8,1710998099999
23,1710998100000,0.6044,0.6047,0.5976,0.6023,38019538.5,1710998999999
24,1710999000000,0.6022,0.6047,0.6012,0.6022,19192334.9,1710999899999
25,1710999900000,0.6022,0.6056,0.602,0.605,15064216.1,1711000799999
26,1711000800000,0.6051,0.609,0.6046,0.6073,22837180.0,1711001699999
27,1711001700000,0.6072,0.6088,0.6047,0.6062,13098676.7,1711002599999
28,1711002600000,0.6062,0.6066,0.6034,0.6037,12654693.0,1711003499999
29,1711003500000,0.6037,0.6072,0.6031,0.6055,11675694.0,1711004399999
30,1711004400000,0.6056,0.6074,0.6043,0.6065,13446557.8,1711005299999
31,1711005300000,0.6066,0.6096,0.6065,0.6091,10972052.2,1711006199999
32,1711006200000,0.6092,0.6092,0.6064,0.6067,15319920.6,1711007099999
33,1711007100000,0.6067,0.6067,0.6045,0.6051,10729147.1,1711007999999
34,1711008000000,0.6051,0.6089,0.6048,0.608,10644280.2,1711008899999
35,1711008900000,0.6079,0.6098,0.6063,0.609,18158136.3,1711009799999
36,1711009800000,0.609,0.6094,0.6073,0.6076,10354425.9,1711010699999
37,1711010700000,0.6076,0.611,0.6073,0.6083,17262916.2,1711011599999
38,1711011600000,0.6084,0.611,0.6078,0.61,13155845.4,1711012499999
39,1711012500000,0.61,0.6107,0.6084,0.6104,9369032.9,1711013399999
40,1711013400000,0.6104,0.6106,0.6068,0.607,10734686.5,1711014299999
41,1711014300000,0.6071,0.6154,0.6066,0.6153,20686747.4,1711015199999
42,1711015200000,0.6154,0.6248,0.6151,0.6189,108246699.0,1711016099999
43,1711016100000,0.6189,0.6219,0.6154,0.6205,43330194.9,1711016999999
44,1711017000000,0.6205,0.6245,0.6171,0.6242,37321547.8,1711017899999
45,1711017900000,0.6243,0.6248,0.6175,0.6176,30917321.5,1711018799999
46,1711018800000,0.6176,0.6203,0.6169,0.6188,15398401.4,1711019699999
47,1711019700000,0.6188,0.6192,0.6145,0.6151,18703618.1,1711020599999
48,1711020600000,0.615,0.6195,0.6148,0.6186,17368051.5,1711021499999
49,1711021500000,0.6186,0.62,0.6178,0.6183,15687283.3,1711022399999
50,1711022400000,0.6183,0.6198,0.6168,0.6183,16337798.0,1711023299999
51,1711023300000,0.6183,0.6202,0.6176,0.6182,15366011.7,1711024199999
52,1711024200000,0.6183,0.6194,0.6157,0.616,12805651.1,1711025099999
53,1711025100000,0.616,0.6173,0.6137,0.6167,10688920.2,1711025999999
54,1711026000000,0.6166,0.6195,0.6163,0.618,13132699.0,1711026899999
55,1711026900000,0.6179,0.6196,0.6167,0.619,15088568.2,1711027799999
56,1711027800000,0.619,0.6221,0.6164,0.6199,21960588.3,1711028699999
57,1711028700000,0.6199,0.6244,0.6179,0.6217,43428337.3,1711029599999
58,1711029600000,0.6217,0.6223,0.6195,0.6217,22296720.0,1711030499999
59,1711030500000,0.6217,0.625,0.6213,0.6234,22288573.5,1711031399999
60,1711031400000,0.6233,0.6319,0.6223,0.6305,30004929.8,1711032299999
61,1711032300000,0.6304,0.6347,0.6273,0.6289,54201975.1,1711033199999
62,1711033200000,0.6288,0.6337,0.6247,0.6298,51752623.0,1711034099999
63,1711034100000,0.6297,0.6478,0.6289,0.6458,109932381.2,1711034999999
64,1711035000000,0.6458,0.655,0.6406,0.6424,137355221.5,1711035899999
65,1711035900000,0.6425,0.6426,0.634,0.6368,71051788.0,1711036799999
66,1711036800000,0.6367,0.6379,0.6315,0.6329,51286857.3,1711037699999
67,1711037700000,0.633,0.636,0.6303,0.6346,34548664.5,1711038599999
68,1711038600000,0.6346,0.6389,0.6317,0.6387,26362249.0,1711039499999
69,1711039500000,0.6387,0.6418,0.6357,0.6396,34531093.2,1711040399999
70,1711040400000,0.6396,0.6437,0.6387,0.6412,34992916.2,1711041299999
71,1711041300000,0.6412,0.6432,0.636,0.6362,33825698.5,1711042199999
72,1711042200000,0.6362,0.6425,0.6335,0.6394,49465024.1,1711043099999
73,1711043100000,0.6393,0.6474,0.6367,0.644,52186225.1,1711043999999
74,1711044000000,0.644,0.6461,0.6367,0.6368,46539469.9,1711044899999
75,1711044900000,0.6367,0.6457,0.6331,0.6433,51429562.2,1711045799999
76,1711045800000,0.6433,0.6435,0.6283,0.6289,72287734.7,1711046699999
77,1711046700000,0.6289,0.6345,0.6286,0.6325,29326113.1,1711047599999
78,1711047600000,0.6326,0.6428,0.6324,0.6417,30998112.5,1711048499999
79,1711048500000,0.6417,0.6442,0.6385,0.6426,37740581.8,1711049399999
80,1711049400000,0.6425,0.6443,0.6378,0.6378,25239915.0,1711050299999
81,1711050300000,0.6379,0.6409,0.6356,0.6366,21609335.6,1711051199999
82,1711051200000,0.6366,0.6396,0.6293,0.6394,40818743.1,1711052099999
83,1711052100000,0.6393,0.6407,0.6347,0.6401,22154384.2,1711052999999
84,1711053000000,0.6401,0.6421,0.6368,0.6414,25507519.1,1711053899999
85,1711053900000,0.6415,0.6428,0.6392,0.6393,22465576.7,1711054799999
86,1711054800000,0.6393,0.6406,0.6366,0.637,21781313.3,1711055699999
87,1711055700000,0.6371,0.6404,0.6356,0.638,14323606.4,1711056599999
88,1711056600000,0.638,0.6406,0.6368,0.6369,8647010.6,1711057499999
89,1711057500000,0.6368,0.6387,0.6356,0.6381,7379222.9,1711058399999
90,1711058400000,0.6381,0.6426,0.638,0.6414,11487815.9,1711059299999
