,open_time,open,high,low,close,VOLUME,close_time
0,1710977400000,28.34,28.45,28.32,28.41,4949.449,1710978299999
1,1710978300000,28.41,28.42,28.31,28.36,5058.032,1710979199999
2,1710979200000,28.34,28.48,28.24,28.41,15124.824,1710980099999
3,1710980100000,28.41,28.53,28.25,28.34,8007.828,1710980999999
4,1710981000000,28.35,28.8,28.34,28.77,12121.326,1710981899999
5,1710981900000,28.77,28.78,28.54,28.61,10978.788,1710982799999
6,1710982800000,28.62,28.82,28.55,28.74,14477.514,1710983699999
7,1710983700000,28.75,28.78,28.68,28.76,9625.34,1710984599999
8,1710984600000,28.76,28.79,28.62,28.75,7818.039,1710985499999
9,1710985500000,28.75,28.91,28.74,28.79,8118.624,1710986399999
10,1710986400000,28.8,29.36,28.8,29.18,45780.114,1710987299999
11,1710987300000,29.18,29.29,29.14,29.22,11858.308,1710988199999
12,1710988200000,29.23,29.4,29.18,29.33,8916.836,1710989099999
13,1710989100000,29.34,29.43,29.22,29.28,9813.266,1710989999999
14,1710990000000,29.29,29.48,29.27,29.37,8819.046,1710990899999
15,1710990900000,29.36,29.44,29.28,29.33,7641.585,1710991799999
16,1710991800000,29.33,29.52,29.31,29.38,9626.131,1710992699999
17,1710992700000,29.38,29.39,28.96,29.2,28708.822,1710993599999
18,1710993600000,29.2,29.37,28.95,29.01,22154.44,1710994499999
19,1710994500000,29.01,29.2,28.91,29.02,11981.841,1710995399999
20,1710995400000,29.03,29.09,28.78,28.81,11075.941,1710996299999
21,1710996300000,28.82,29.06,28.76,28.93,13106.416,1710997199999
22,1710997200000,28.94,28.94,28.62,28.75,10000.537,1710998099999
23,1710998100000,28.75,28.75,28.3,28.48,21494.724,1710998999999
24,1710999000000,28.49,28.84,28.49,28.72,15596.45,1710999899999
25,1710999900000,28.71,29.06,28.71,28.93,12123.775,1711000799999
26,1711000800000,28.93,29.2,28.88,29.01,7379.316,1711001699999
27,1711001700000,29.02,29.12,28.94,28.99,4837.906,1711002599999
28,1711002600000,28.98,29.08,28.82,28.92,16220.69,1711003499999
29,1711003500000,28.93,29.04,28.85,28.85,4007.515,1711004399999
30,1711004400000,28.86,28.91,28.66,28.83,15904.478,1711005299999
31,1711005300000,28.83,29.04,28.83,28.98,8312.995,1711006199999
32,1711006200000,28.98,29.01,28.93,28.94,3345.864,1711007099999
33,1711007100000,28.94,28.94,28.76,28.83,5905.533,1711007999999
34,1711008000000,28.83,29.03,28.79,28.98,7917.933,1711008899999
35,1711008900000,28.97,28.97,28.72,28.82,15701.567,1711009799999
36,1711009800000,28.81,28.9,28.66,28.84,10119.54,1711010699999
37,1711010700000,28.85,29.01,28.8,28.84,7377.879,1711011599999
38,1711011600000,28.84,28.97,28.82,28.87,8967.245,1711012499999
39,1711012500000,28.88,28.93,28.8,28.9,6300.876,1711013399999
40,1711013400000,28.9,28.91,28.55,28.57,8677.681,1711014299999
41,1711014300000,28.57,28.78,28.53,28.73,6631.132,1711015199999
42,1711015200000,28.74,28.95,28.68,28.94,5475.926,1711016099999
43,1711016100000,28.94,28.95,28.84,28.91,4894.377,1711016999999
44,1711017000000,28.91,28.92,28.73,28.76,6032.39,1711017899999
45,1711017900000,28.77,28.88,28.77,28.85,6670.674,1711018799999
46,1711018800000,28.86,28.99,28.8,28.95,6199.656,1711019699999
47,1711019700000,28.95,28.96,28.64,28.75,8920.155,1711020599999
48,1711020600000,28.75,28.92,28.68,28.82,6156.913,1711021499999
49,1711021500000,28.8,28.84,28.72,28.76,3427.012,1711022399999
50,1711022400000,28.76,28.98,28.74,28.93,10921.936,1711023299999
51,1711023300000,28.93,28.95,28.83,28.91,3996.039,1711024199999
52,1711024200000,28.92,29.0,28.74,28.8,11997.719,1711025099999
53,1711025100000,28.79,28.9,28.69,28.78,5923.873,1711025999999
54,1711026000000,28.78,29.15,28.77,29.06,14433.067,1711026899999
55,1711026900000,29.06,29.12,28.92,29.08,10207.943,1711027799999
56,1711027800000,29.08,29.12,28.84,28.88,8096.626,1711028699999
57,1711028700000,28.89,29.06,28.83,28.95,9122.542,1711029599999
58,1711029600000,28.96,29.34,28.93,29.27,27167.029,1711030499999
59,1711030500000,29.28,29.29,29.15,29.23,17862.925,1711031399999
60,1711031400000,29.24,29.24,28.98,29.08,18723.412,1711032299999
