,open_time,open,high,low,close,VOLUME,close_time
0,1710977400000,2.1044,2.1109,2.1007,2.103,58307.0,1710978299999
1,1710978300000,2.1033,2.1131,2.0975,2.1108,112634.0,1710979199999
2,1710979200000,2.1108,2.1128,2.0782,2.0955,264606.0,1710980099999
3,1710980100000,2.0956,2.1093,2.0918,2.1036,109892.0,1710980999999
4,1710981000000,2.1037,2.127,2.091,2.1184,168313.0,1710981899999
5,1710981900000,2.1181,2.1307,2.1092,2.1181,109285.0,1710982799999
6,1710982800000,2.1168,2.1279,2.1092,2.1126,130292.0,1710983699999
7,1710983700000,2.1128,2.1291,2.1093,2.1256,48936.0,1710984599999
8,1710984600000,2.1258,2.1296,2.119,2.1282,77042.0,1710985499999
9,1710985500000,2.1281,2.1429,2.1217,2.1408,139477.0,1710986399999
10,1710986400000,2.1415,2.1718,2.1399,2.1578,264251.0,1710987299999
11,1710987300000,2.158,2.1771,2.158,2.1651,192350.0,1710988199999
12,1710988200000,2.1651,2.1877,2.1641,2.1861,166590.0,1710989099999
13,1710989100000,2.1868,2.1885,2.1557,2.1651,208394.0,1710989999999
14,1710990000000,2.1651,2.17,2.1474,2.1484,188828.0,1710990899999
15,1710990900000,2.1475,2.1671,2.1401,2.155,136605.0,1710991799999
16,1710991800000,2.1551,2.1758,2.1473,2.1503,132892.0,1710992699999
17,1710992700000,2.1502,2.1505,2.1035,2.1183,455510.0,1710993599999
18,1710993600000,2.118,2.1326,2.1002,2.1104,185877.0,1710994499999
19,1710994500000,2.1105,2.1172,2.102,2.1048,127402.0,1710995399999
20,1710995400000,2.1042,2.1074,2.0794,2.0819,210298.0,1710996299999
21,1710996300000,2.0821,2.0946,2.0793,2.0878,106154.0,1710997199999
22,1710997200000,2.0875,2.0883,2.054,2.0642,215232.0,1710998099999
23,1710998100000,2.0634,2.0639,2.0301,2.0491,236871.0,1710998999999
24,1710999000000,2.0491,2.0634,2.0438,2.0541,159515.0,1710999899999
25,1710999900000,2.0544,2.0895,2.054,2.0842,190829.0,1711000799999
