,open_time,open,high,low,close,VOLUME,close_time
0,1711239600000,1.385,1.3873,1.3837,1.3865,9043.0,1711239899999
1,1711239900000,1.3866,1.3875,1.3855,1.3867,6764.0,1711240199999
2,1711240200000,1.3859,1.3913,1.3857,1.3912,14225.0,1711240499999
3,1711240500000,1.3913,1.3928,1.3901,1.3914,17939.0,1711240799999
4,1711240800000,1.3914,1.3928,1.3908,1.3916,6679.0,1711241099999
5,1711241100000,1.3915,1.3941,1.3889,1.3931,18710.0,1711241399999
6,1711241400000,1.3931,1.3959,1.393,1.3951,8007.0,1711241699999
7,1711241700000,1.3949,1.3963,1.3948,1.395,5949.0,1711241999999
8,1711242000000,1.3949,1.3949,1.3914,1.3922,14366.0,1711242299999
9,1711242300000,1.3921,1.3945,1.3904,1.3929,9388.0,1711242599999
10,1711242600000,1.3927,1.3948,1.3896,1.392,8184.0,1711242899999
11,1711242900000,1.3922,1.3923,1.388,1.3882,10013.0,1711243199999
12,1711243200000,1.3883,1.3936,1.3865,1.3936,18377.0,1711243499999
13,1711243500000,1.3935,1.3984,1.3932,1.3957,13883.0,1711243799999
14,1711243800000,1.3954,1.3965,1.3934,1.3945,8412.0,1711244099999
15,1711244100000,1.3944,1.3951,1.391,1.3933,10491.0,1711244399999
16,1711244400000,1.3932,1.3946,1.3917,1.3928,7678.0,1711244699999
17,1711244700000,1.3929,1.3952,1.3925,1.3936,6628.0,1711244999999
18,1711245000000,1.3938,1.3964,1.3933,1.3949,7903.0,1711245299999
19,1711245300000,1.395,1.3966,1.3944,1.3961,8961.0,1711245599999
20,1711245600000,1.3958,1.396,1.3927,1.3955,14447.0,1711245899999
21,1711245900000,1.3954,1.3972,1.3945,1.3965,9614.0,1711246199999
22,1711246200000,1.3968,1.3968,1.3931,1.3942,9592.0,1711246499999
23,1711246500000,1.3942,1.3942,1.3904,1.3916,8412.0,1711246799999
24,1711246800000,1.3915,1.3915,1.3868,1.3887,10118.0,1711247099999
25,1711247100000,1.3888,1.3898,1.3857,1.3875,13394.0,1711247399999
26,1711247400000,1.3875,1.3876,1.3828,1.3855,14869.0,1711247699999
27,1711247700000,1.3856,1.3883,1.3856,1.3871,6321.0,1711247999999
28,1711248000000,1.3871,1.3913,1.3856,1.3902,10414.0,1711248299999
29,1711248300000,1.3904,1.3906,1.3869,1.3892,11289.0,1711248599999
30,1711248600000,1.3892,1.3903,1.3846,1.3858,11744.0,1711248899999
31,1711248900000,1.3862,1.3878,1.3844,1.3872,5762.0,1711249199999
32,1711249200000,1.3871,1.388,1.3822,1.3823,9548.0,1711249499999
33,1711249500000,1.3822,1.3822,1.3744,1.3748,45121.0,1711249799999
34,1711249800000,1.3746,1.3752,1.3678,1.3706,44760.0,1711250099999
35,1711250100000,1.3706,1.3759,1.3706,1.3755,11102.0,1711250399999
36,1711250400000,1.3756,1.3777,1.3723,1.3749,11735.0,1711250699999
37,1711250700000,1.3751,1.3767,1.3717,1.3744,17892.0,1711250999999
38,1711251000000,1.3743,1.3748,1.3661,1.3664,20233.0,1711251299999
39,1711251300000,1.3663,1.3724,1.3653,1.3687,14854.0,1711251599999
40,1711251600000,1.3686,1.37,1.3675,1.3685,5286.0,1711251899999
