,open_time,open,high,low,close,VOLUME,close_time
0,1711240500000,8.535,8.537,8.518,8.528,1255.6,1711240799999
1,1711240800000,8.527,8.535,8.526,8.533,589.0,1711241099999
2,1711241100000,8.532,8.536,8.515,8.534,3177.6,1711241399999
3,1711241400000,8.53,8.538,8.529,8.533,1549.1,1711241699999
4,1711241700000,8.535,8.538,8.532,8.534,973.4,1711241999999
5,1711242000000,8.534,8.535,8.524,8.53,1070.2,1711242299999
6,1711242300000,8.53,8.536,8.522,8.53,799.5,1711242599999
7,1711242600000,8.53,8.538,8.513,8.524,1813.3,1711242899999
8,1711242900000,8.528,8.528,8.512,8.517,1107.0,1711243199999
9,1711243200000,8.518,8.536,8.509,8.535,2033.6,1711243499999
10,1711243500000,8.536,8.562,8.536,8.542,1759.9,1711243799999
11,1711243800000,8.544,8.544,8.529,8.533,794.9,1711244099999
12,1711244100000,8.531,8.531,8.511,8.514,624.9,1711244399999
13,1711244400000,8.519,8.522,8.508,8.513,476.2,1711244699999
14,1711244700000,8.515,8.522,8.511,8.511,349.1,1711244999999
15,1711245000000,8.511,8.525,8.511,8.517,494.6,1711245299999
16,1711245300000,8.519,8.523,8.515,8.517,919.0,1711245599999
17,1711245600000,8.517,8.518,8.499,8.503,2540.6,1711245899999
18,1711245900000,8.505,8.518,8.505,8.517,215.4,1711246199999
19,1711246200000,8.517,8.52,8.502,8.51,542.3,1711246499999
20,1711246500000,8.508,8.508,8.486,8.494,545.3,1711246799999
21,1711246800000,8.495,8.497,8.483,8.491,1432.2,1711247099999
22,1711247100000,8.491,8.502,8.487,8.492,1136.6,1711247399999
23,1711247400000,8.494,8.498,8.476,8.488,948.1,1711247699999
24,1711247700000,8.487,8.495,8.482,8.49,691.2,1711247999999
25,1711248000000,8.487,8.502,8.482,8.501,534.9,1711248299999
26,1711248300000,8.503,8.503,8.478,8.492,503.3,1711248599999
27,1711248600000,8.495,8.502,8.476,8.479,278.3,1711248899999
28,1711248900000,8.483,8.49,8.473,8.486,479.3,1711249199999
29,1711249200000,8.486,8.486,8.457,8.468,1011.1,1711249499999
30,1711249500000,8.466,8.466,8.415,8.423,3696.5,1711249799999
31,1711249800000,8.419,8.424,8.394,8.416,1742.9,1711250099999
32,1711250100000,8.416,8.445,8.416,8.439,553.7,1711250399999
33,1711250400000,8.442,8.457,8.429,8.436,1082.9,1711250699999
34,1711250700000,8.438,8.445,8.428,8.442,540.2,1711250999999
35,1711251000000,8.442,8.444,8.416,8.419,1169.6,1711251299999
36,1711251300000,8.415,8.446,8.403,8.422,676.2,1711251599999
37,1711251600000,8.425,8.435,8.423,8.425,359.9,1711251899999
38,1711251900000,8.426,8.441,8.424,8.433,332.6,1711252199999
39,1711252200000,8.432,8.441,8.422,8.427,779.2,1711252499999
40,1711252500000,8.426,8.432,8.405,8.405,476.5,1711252799999
41,1711252800000,8.406,8.421,8.397,8.42,835.5,1711253099999
42,1711253100000,8.419,8.438,8.419,8.438,129.9,1711253399999
43,1711253400000,8.437,8.437,8.415,8.432,972.0,1711253699999
44,1711253700000,8.432,8.432,8.421,8.422,512.5,1711253999999
45,1711254000000,8.421,8.421,8.391,8.392,886.6,1711254299999
46,1711254300000,8.392,8.4,8.378,8.397,724.2,1711254599999
47,1711254600000,8.394,8.414,8.391,8.403,627.6,1711254899999
48,1711254900000,8.403,8.408,8.382,8.384,423.1,1711255199999
49,1711255200000,8.382,8.422,8.38,8.415,1624.8,1711255499999
50,1711255500000,8.417,8.428,8.405,8.412,487.3,1711255799999
51,1711255800000,8.411,8.423,8.41,8.423,249.8,1711256099999
52,1711256100000,8.419,8.435,8.415,8.435,594.1,1711256399999
53,1711256400000,8.433,8.453,8.423,8.444,1180.0,1711256699999
54,1711256700000,8.436,8.436,8.42,8.43,417.3,1711256999999
55,1711257000000,8.432,8.44,8.421,8.432,497.7,1711257299999
56,1711257300000,8.433,8.447,8.428,8.444,1085.4,1711257599999
57,1711257600000,8.444,8.46,8.444,8.45,523.0,1711257899999
58,1711257900000,8.452,8.459,8.448,8.458,271.7,1711258199999
59,1711258200000,8.454,8.465,8.449,8.464,1057.1,1711258499999
60,1711258500000,8.463,8.463,8.458,8.459,157.2,1711258799999
61,1711258800000,8.46,8.461,8.45,8.453,504.5,1711259099999
62,1711259100000,8.452,8.466,8.45,8.464,433.2,1711259399999
63,1711259400000,8.466,8.469,8.464,8.467,200.7,1711259699999
64,1711259700000,8.468,8.468,8.45,8.45,962.1,1711259999999
65,1711260000000,8.45,8.452,8.439,8.448,1295.4,1711260299999
66,1711260300000,8.448,8.452,8.44,8.446,318.4,1711260599999
67,1711260600000,8.447,8.461,8.447,8.455,242.7,1711260899999
68,1711260900000,8.452,8.467,8.451,8.457,344.6,1711261199999
69,1711261200000,8.458,8.458,8.446,8.446,178.1,1711261499999
70,1711261500000,8.446,8.458,8.442,8.445,234.9,1711261799999
71,1711261800000,8.445,8.446,8.43,8.433,283.1,1711262099999
72,1711262100000,8.43,8.439,8.428,8.429,320.6,1711262399999
73,1711262400000,8.428,8.434,8.421,8.434,964.6,1711262699999
