,open_time,open,high,low,close,VOLUME,close_time
0,1711240200000,11.424,11.482,11.42,11.469,73496.82,1711240499999
1,1711240500000,11.469,11.477,11.453,11.468,23881.65,1711240799999
2,1711240800000,11.469,11.479,11.461,11.473,21997.45,1711241099999
3,1711241100000,11.473,11.479,11.454,11.473,13508.92,1711241399999
4,1711241400000,11.472,11.482,11.465,11.475,20098.24,1711241699999
5,1711241700000,11.475,11.49,11.475,11.483,12936.46,1711241999999
6,1711242000000,11.485,11.492,11.463,11.47,19987.62,1711242299999
7,1711242300000,11.47,11.485,11.466,11.481,12772.77,1711242599999
8,1711242600000,11.481,11.488,11.453,11.474,20456.14,1711242899999
9,1711242900000,11.475,11.475,11.451,11.454,12715.04,1711243199999
10,1711243200000,11.455,11.487,11.441,11.485,25912.87,1711243499999
11,1711243500000,11.486,11.517,11.486,11.493,31856.99,1711243799999
12,1711243800000,11.494,11.496,11.477,11.49,15420.52,1711244099999
13,1711244100000,11.489,11.49,11.46,11.471,18414.27,1711244399999
14,1711244400000,11.47,11.484,11.463,11.478,17469.04,1711244699999
15,1711244700000,11.477,11.498,11.477,11.485,13564.47,1711244999999
16,1711245000000,11.484,11.51,11.482,11.495,13105.08,1711245299999
17,1711245300000,11.496,11.51,11.496,11.504,12040.22,1711245599999
18,1711245600000,11.504,11.505,11.477,11.491,33473.27,1711245899999
19,1711245900000,11.492,11.51,11.489,11.509,14339.39,1711246199999
20,1711246200000,11.51,11.51,11.485,11.494,12747.32,1711246499999
21,1711246500000,11.494,11.496,11.469,11.48,15601.56,1711246799999
22,1711246800000,11.48,11.48,11.455,11.47,17066.15,1711247099999
23,1711247100000,11.471,11.49,11.462,11.476,20385.63,1711247399999
24,1711247400000,11.476,11.477,11.458,11.468,16288.38,1711247699999
25,1711247700000,11.469,11.477,11.466,11.473,11611.16,1711247999999
26,1711248000000,11.473,11.486,11.459,11.484,15619.22,1711248299999
27,1711248300000,11.484,11.486,11.463,11.485,13779.02,1711248599999
28,1711248600000,11.485,11.491,11.464,11.48,8941.62,1711248899999
29,1711248900000,11.481,11.49,11.467,11.486,17539.63,1711249199999
30,1711249200000,11.487,11.492,11.465,11.466,11709.67,1711249499999
31,1711249500000,11.466,11.466,11.402,11.405,60735.04,1711249799999
32,1711249800000,11.405,11.405,11.379,11.398,36730.66,1711250099999
33,1711250100000,11.397,11.443,11.397,11.439,29109.81,1711250399999
34,1711250400000,11.439,11.445,11.422,11.427,32103.41,1711250699999
35,1711250700000,11.427,11.443,11.418,11.438,15591.99,1711250999999
36,1711251000000,11.439,11.443,11.389,11.39,16897.28,1711251299999
37,1711251300000,11.389,11.422,11.379,11.4,20010.66,1711251599999
