,open_time,open,high,low,close,VOLUME,close_time
0,1711239900000,0.4152,0.4164,0.4149,0.4153,428510.0,1711240199999
1,1711240200000,0.4153,0.4177,0.4146,0.4177,441505.0,1711240499999
2,1711240500000,0.4178,0.4184,0.4167,0.4177,448119.0,1711240799999
3,1711240800000,0.4178,0.4188,0.4178,0.4186,305532.0,1711241099999
4,1711241100000,0.4185,0.4194,0.4171,0.4177,852266.0,1711241399999
5,1711241400000,0.4177,0.421,0.4177,0.4208,482630.0,1711241699999
6,1711241700000,0.4207,0.421,0.4197,0.4206,480958.0,1711241999999
7,1711242000000,0.4206,0.4213,0.4187,0.4209,748915.0,1711242299999
8,1711242300000,0.4209,0.4218,0.4205,0.4211,470955.0,1711242599999
9,1711242600000,0.4211,0.4218,0.4201,0.4204,432921.0,1711242899999
10,1711242900000,0.4205,0.4207,0.4175,0.4176,561350.0,1711243199999
11,1711243200000,0.4177,0.4198,0.4173,0.4196,275622.0,1711243499999
12,1711243500000,0.4195,0.421,0.4195,0.4204,257469.0,1711243799999
13,1711243800000,0.4203,0.4203,0.418,0.4184,268249.0,1711244099999
14,1711244100000,0.4184,0.4187,0.4175,0.4183,223382.0,1711244399999
15,1711244400000,0.4182,0.4188,0.4176,0.4182,198301.0,1711244699999
16,1711244700000,0.4181,0.4193,0.4181,0.4184,214810.0,1711244999999
17,1711245000000,0.4183,0.4194,0.4182,0.4184,243799.0,1711245299999
18,1711245300000,0.4184,0.4205,0.4184,0.4201,222930.0,1711245599999
19,1711245600000,0.4201,0.4207,0.4181,0.4203,687531.0,1711245899999
20,1711245900000,0.4203,0.4215,0.4194,0.4199,289798.0,1711246199999
21,1711246200000,0.4199,0.4199,0.4186,0.4186,213008.0,1711246499999
22,1711246500000,0.4186,0.4193,0.4182,0.4184,214508.0,1711246799999
23,1711246800000,0.4184,0.4184,0.4161,0.4175,383748.0,1711247099999
24,1711247100000,0.4175,0.4178,0.4165,0.4176,277484.0,1711247399999
25,1711247400000,0.4176,0.4178,0.4166,0.4178,212180.0,1711247699999
26,1711247700000,0.4178,0.4182,0.4172,0.4172,283350.0,1711247999999
27,1711248000000,0.4173,0.4182,0.4165,0.418,197322.0,1711248299999
28,1711248300000,0.4181,0.4188,0.4176,0.4188,213002.0,1711248599999
29,1711248600000,0.4187,0.4189,0.4167,0.4178,162890.0,1711248899999
30,1711248900000,0.4178,0.4185,0.4174,0.4178,184111.0,1711249199999
31,1711249200000,0.4179,0.4191,0.4168,0.4169,436403.0,1711249499999
32,1711249500000,0.4169,0.4169,0.4138,0.414,598535.0,1711249799999
33,1711249800000,0.414,0.414,0.4082,0.4097,2717561.0,1711250099999
34,1711250100000,0.4097,0.4118,0.4097,0.4114,679481.0,1711250399999
35,1711250400000,0.4114,0.4116,0.4094,0.4103,709151.0,1711250699999
36,1711250700000,0.4103,0.4108,0.4094,0.4101,496025.0,1711250999999
37,1711251000000,0.4102,0.4108,0.4075,0.408,915359.0,1711251299999
38,1711251300000,0.4079,0.4096,0.407,0.4084,526722.0,1711251599999
39,1711251600000,0.4084,0.4088,0.4071,0.4082,327526.0,1711251899999
40,1711251900000,0.4081,0.41,0.408,0.4088,308117.0,1711252199999
41,1711252200000,0.4087,0.4112,0.4084,0.4094,959093.0,1711252499999
42,1711252500000,0.4093,0.4095,0.4075,0.4075,276086.0,1711252799999
43,1711252800000,0.4076,0.4098,0.4076,0.4089,718034.0,1711253099999
44,1711253100000,0.4089,0.4111,0.4088,0.4111,552119.0,1711253399999
45,1711253400000,0.4111,0.4111,0.4091,0.4097,285010.0,1711253699999
46,1711253700000,0.4096,0.4096,0.4081,0.4082,357634.0,1711253999999
47,1711254000000,0.4081,0.4081,0.4063,0.407,627086.0,1711254299999
48,1711254300000,0.407,0.4078,0.4064,0.4075,314727.0,1711254599999
49,1711254600000,0.4075,0.409,0.4073,0.4086,350727.0,1711254899999
50,1711254900000,0.4086,0.409,0.4071,0.4075,375903.0,1711255199999
51,1711255200000,0.4075,0.4098,0.4072,0.4094,378775.0,1711255499999
52,1711255500000,0.4094,0.4099,0.4076,0.4079,300148.0,1711255799999
53,1711255800000,0.408,0.4092,0.4074,0.4086,279478.0,1711256099999
54,1711256100000,0.4087,0.4098,0.4082,0.4091,310097.0,1711256399999
55,1711256400000,0.4091,0.4107,0.4088,0.4098,624645.0,1711256699999
56,1711256700000,0.4098,0.4099,0.4087,0.4093,355381.0,1711256999999
57,1711257000000,0.4093,0.4096,0.4085,0.4088,128655.0,1711257299999
58,1711257300000,0.4088,0.41,0.4085,0.4098,174519.0,1711257599999
59,1711257600000,0.4098,0.4108,0.4094,0.4103,304123.0,1711257899999
60,1711257900000,0.4103,0.4112,0.4102,0.4105,355961.0,1711258199999
61,1711258200000,0.4104,0.4118,0.4104,0.4116,424278.0,1711258499999
62,1711258500000,0.4115,0.4115,0.4109,0.4112,215646.0,1711258799999
63,1711258800000,0.4112,0.4119,0.4104,0.4106,212451.0,1711259099999
64,1711259100000,0.4106,0.4119,0.4105,0.4117,258410.0,1711259399999
65,1711259400000,0.4117,0.412,0.4112,0.4116,352703.0,1711259699999
66,1711259700000,0.4117,0.4118,0.4107,0.411,240130.0,1711259999999
67,1711260000000,0.411,0.4113,0.4097,0.4104,541945.0,1711260299999
68,1711260300000,0.4103,0.4104,0.4094,0.4096,382957.0,1711260599999
69,1711260600000,0.4097,0.4105,0.4091,0.4097,280839.0,1711260899999
70,1711260900000,0.4096,0.4101,0.409,0.4094,190407.0,1711261199999
71,1711261200000,0.4094,0.4095,0.4078,0.4081,446699.0,1711261499999
72,1711261500000,0.408,0.4086,0.4074,0.4082,239345.0,1711261799999
73,1711261800000,0.4082,0.4082,0.4068,0.4069,335777.0,1711262099999
74,1711262100000,0.4069,0.4073,0.4059,0.4063,687489.0,1711262399999
75,1711262400000,0.4062,0.407,0.4056,0.4065,470719.0,1711262699999
76,1711262700000,0.4065,0.4065,0.4045,0.4054,755157.0,1711262999999
77,1711263000000,0.4054,0.4057,0.4045,0.4052,419082.0,1711263299999
78,1711263300000,0.4052,0.4065,0.4052,0.406,137210.0,1711263599999
79,1711263600000,0.4059,0.4064,0.4051,0.4063,319466.0,1711263899999
80,1711263900000,0.4062,0.4062,0.4049,0.4057,189795.0,1711264199999
81,1711264200000,0.4057,0.4071,0.4053,0.4067,254711.0,1711264499999
82,1711264500000,0.4066,0.4072,0.406,0.4061,257018.0,1711264799999
83,1711264800000,0.406,0.4071,0.4055,0.4069,315212.0,1711265099999
84,1711265100000,0.407,0.408,0.407,0.4075,221106.0,1711265399999
85,1711265400000,0.4076,0.408,0.4064,0.4069,199286.0,1711265699999
86,1711265700000,0.4069,0.4082,0.4066,0.4071,775627.0,1711265999999
87,1711266000000,0.4071,0.4086,0.4069,0.4085,334686.0,1711266299999
88,1711266300000,0.4084,0.4084,0.4078,0.4079,196407.0,1711266599999
89,1711266600000,0.4078,0.4082,0.4068,0.4069,299405.0,1711266899999
90,1711266900000,0.407,0.4082,0.4069,0.408,221337.0,1711267199999
91,1711267200000,0.408,0.4093,0.4076,0.4092,420612.0,1711267499999
92,1711267500000,0.4092,0.4115,0.4088,0.4111,477646.0,1711267799999
93,1711267800000,0.411,0.4127,0.411,0.4122,713587.0,1711268099999
94,1711268100000,0.4121,0.4124,0.4107,0.4113,482517.0,1711268399999
95,1711268400000,0.4112,0.4118,0.4108,0.4114,438945.0,1711268699999
96,1711268700000,0.4114,0.4114,0.4102,0.4104,284992.0,1711268999999
97,1711269000000,0.4105,0.4109,0.4093,0.4106,195069.0,1711269299999
98,1711269300000,0.4106,0.4123,0.4101,0.4117,493284.0,1711269599999
99,1711269600000,0.4118,0.4138,0.4117,0.4134,339362.0,1711269899999
100,1711269900000,0.4135,0.4138,0.4125,0.4138,279829.0,1711270199999
101,1711270200000,0.4138,0.4149,0.4132,0.4146,425978.0,1711270499999
102,1711270500000,0.4145,0.4155,0.4143,0.4152,323688.0,1711270799999
103,1711270800000,0.4152,0.4154,0.4139,0.4142,256827.0,1711271099999
104,1711271100000,0.4143,0.4156,0.4141,0.4149,550886.0,1711271399999
105,1711271400000,0.4149,0.4149,0.4127,0.4143,1124715.0,1711271699999
106,1711271700000,0.4144,0.4152,0.413,0.413,312056.0,1711271999999
107,1711272000000,0.413,0.4139,0.4125,0.413,274893.0,1711272299999
108,1711272300000,0.4131,0.4135,0.4125,0.4125,179363.0,1711272599999
109,1711272600000,0.4125,0.4127,0.4116,0.4126,302472.0,1711272899999
110,1711272900000,0.4126,0.4129,0.4121,0.4121,114393.0,1711273199999
111,1711273200000,0.4122,0.4125,0.4115,0.4118,109154.0,1711273499999
112,1711273500000,0.4118,0.4126,0.4115,0.4121,191381.0,1711273799999
113,1711273800000,0.4121,0.4126,0.4118,0.4124,184981.0,1711274099999
114,1711274100000,0.4124,0.4127,0.4121,0.4125,156319.0,1711274399999
115,1711274400000,0.4126,0.4139,0.4124,0.4135,260445.0,1711274699999
116,1711274700000,0.4134,0.4148,0.4134,0.4142,188848.0,1711274999999
117,1711275000000,0.4141,0.4142,0.4133,0.4137,148971.0,1711275299999
118,1711275300000,0.4138,0.4141,0.413,0.4135,301619.0,1711275599999
119,1711275600000,0.4135,0.4143,0.4135,0.4137,244123.0,1711275899999
120,1711275900000,0.4137,0.4147,0.4137,0.4143,168116.0,1711276199999
121,1711276200000,0.4143,0.4144,0.4133,0.4136,134282.0,1711276499999
122,1711276500000,0.4135,0.4138,0.4128,0.413,124944.0,1711276799999
123,1711276800000,0.413,0.4139,0.4126,0.4137,108919.0,1711277099999
124,1711277100000,0.4137,0.4153,0.4137,0.4142,319266.0,1711277399999
125,1711277400000,0.4142,0.415,0.4136,0.4139,178504.0,1711277699999
