,open_time,open,high,low,close,VOLUME,close_time
0,1711240200000,0.2991,0.3001,0.2991,0.3001,60674.4,1711240499999
1,1711240500000,0.3001,0.3002,0.2997,0.3,50519.7,1711240799999
2,1711240800000,0.3001,0.3008,0.3001,0.3005,56004.0,1711241099999
3,1711241100000,0.3005,0.301,0.2996,0.301,56786.3,1711241399999
4,1711241400000,0.3009,0.3022,0.3009,0.3017,123497.5,1711241699999
5,1711241700000,0.3017,0.302,0.3016,0.3019,25935.4,1711241999999
6,1711242000000,0.302,0.3022,0.3011,0.3013,67193.9,1711242299999
7,1711242300000,0.3013,0.3013,0.3004,0.301,120028.6,1711242599999
8,1711242600000,0.3011,0.3015,0.3005,0.301,73807.2,1711242899999
9,1711242900000,0.3011,0.3012,0.3003,0.3003,57063.0,1711243199999
10,1711243200000,0.3003,0.3014,0.2999,0.3014,72187.4,1711243499999
11,1711243500000,0.3014,0.3026,0.3014,0.3019,54654.3,1711243799999
12,1711243800000,0.3019,0.3019,0.3012,0.3014,94889.5,1711244099999
13,1711244100000,0.3014,0.3015,0.3008,0.301,156187.3,1711244399999
14,1711244400000,0.301,0.3016,0.3006,0.3009,53847.5,1711244699999
15,1711244700000,0.301,0.3017,0.301,0.3013,50096.3,1711244999999
16,1711245000000,0.3013,0.3017,0.3012,0.3013,48057.6,1711245299999
17,1711245300000,0.3013,0.3026,0.3013,0.3026,140036.2,1711245599999
18,1711245600000,0.3026,0.3026,0.3012,0.3015,182757.0,1711245899999
19,1711245900000,0.3015,0.3019,0.3014,0.3017,59874.6,1711246199999
20,1711246200000,0.3017,0.3017,0.3007,0.3009,86939.8,1711246499999
21,1711246500000,0.3008,0.3011,0.3005,0.3011,61713.2,1711246799999
22,1711246800000,0.3011,0.3011,0.3002,0.3006,28296.0,1711247099999
23,1711247100000,0.3006,0.3009,0.2999,0.3003,55110.7,1711247399999
24,1711247400000,0.3005,0.3006,0.2997,0.3003,62644.9,1711247699999
25,1711247700000,0.3004,0.3008,0.3004,0.3005,15308.7,1711247999999
26,1711248000000,0.3005,0.3013,0.3002,0.3012,20197.7,1711248299999
27,1711248300000,0.3013,0.3013,0.3006,0.3011,83558.8,1711248599999
28,1711248600000,0.3011,0.3012,0.3001,0.3009,52727.2,1711248899999
29,1711248900000,0.3008,0.3009,0.3004,0.3009,22428.0,1711249199999
30,1711249200000,0.3008,0.3008,0.2997,0.2997,63173.4,1711249499999
31,1711249500000,0.2997,0.2998,0.2979,0.2979,174541.2,1711249799999
32,1711249800000,0.2979,0.298,0.2969,0.2973,138897.7,1711250099999
33,1711250100000,0.2974,0.2987,0.2974,0.2984,106598.8,1711250399999
34,1711250400000,0.2985,0.299,0.2979,0.2984,51980.4,1711250699999
35,1711250700000,0.2984,0.2988,0.298,0.2985,58344.1,1711250999999
36,1711251000000,0.2985,0.2987,0.2974,0.2976,118773.5,1711251299999
37,1711251300000,0.2975,0.2985,0.2972,0.2977,78171.1,1711251599999
38,1711251600000,0.2977,0.2978,0.2972,0.2976,101214.2,1711251899999
39,1711251900000,0.2976,0.2985,0.2975,0.2981,78800.8,1711252199999
40,1711252200000,0.2981,0.299,0.2981,0.2986,94990.7,1711252499999
41,1711252500000,0.2986,0.2989,0.2974,0.2975,86416.0,1711252799999
42,1711252800000,0.2975,0.2978,0.2968,0.2976,132595.8,1711253099999
43,1711253100000,0.2976,0.2987,0.2974,0.2986,134247.0,1711253399999
44,1711253400000,0.2986,0.2986,0.2976,0.2981,80099.4,1711253699999
45,1711253700000,0.2981,0.2981,0.2968,0.2971,116490.1,1711253999999
46,1711254000000,0.297,0.297,0.2962,0.2963,91387.0,1711254299999
47,1711254300000,0.2964,0.2964,0.2958,0.2963,50537.4,1711254599999
48,1711254600000,0.2963,0.2971,0.2962,0.2966,63908.5,1711254899999
49,1711254900000,0.2966,0.2972,0.2959,0.2962,97180.4,1711255199999
50,1711255200000,0.2961,0.2977,0.296,0.2976,62534.6,1711255499999
51,1711255500000,0.2977,0.2982,0.2969,0.2972,52533.2,1711255799999
52,1711255800000,0.2972,0.2978,0.2969,0.2975,45510.1,1711256099999
53,1711256100000,0.2976,0.2984,0.2974,0.2984,45656.7,1711256399999
54,1711256400000,0.2983,0.2988,0.2979,0.2985,83255.1,1711256699999
55,1711256700000,0.2985,0.2985,0.2978,0.2984,41909.0,1711256999999
56,1711257000000,0.2983,0.2985,0.2979,0.2981,43289.6,1711257299999
57,1711257300000,0.2981,0.299,0.2978,0.2988,79187.7,1711257599999
58,1711257600000,0.2989,0.2996,0.2989,0.2993,30084.4,1711257899999
59,1711257900000,0.2992,0.2998,0.2991,0.2997,24948.3,1711258199999
60,1711258200000,0.2996,0.3004,0.2995,0.3004,111847.2,1711258499999
61,1711258500000,0.3004,0.3007,0.3002,0.3007,58299.6,1711258799999
62,1711258800000,0.3006,0.3009,0.3005,0.3005,32245.7,1711259099999
63,1711259100000,0.3005,0.301,0.3003,0.3009,34576.6,1711259399999
64,1711259400000,0.3009,0.3011,0.3008,0.3009,67634.0,1711259699999
65,1711259700000,0.3009,0.3009,0.3002,0.3003,67574.7,1711259999999
66,1711260000000,0.3003,0.3004,0.2993,0.2996,76865.6,1711260299999
67,1711260300000,0.2996,0.2996,0.299,0.2992,74621.1,1711260599999
68,1711260600000,0.2993,0.3002,0.2991,0.2996,71462.3,1711260899999
69,1711260900000,0.2995,0.3,0.2994,0.2999,62857.9,1711261199999
70,1711261200000,0.2998,0.2998,0.2989,0.2992,27729.6,1711261499999
71,1711261500000,0.299,0.2994,0.2986,0.299,54399.1,1711261799999
72,1711261800000,0.2989,0.2989,0.2977,0.2977,97839.5,1711262099999
73,1711262100000,0.2976,0.2978,0.2972,0.2972,47127.7,1711262399999
74,1711262400000,0.2972,0.2975,0.2968,0.2975,30427.7,1711262699999
75,1711262700000,0.2974,0.2976,0.2967,0.2972,66373.5,1711262999999
76,1711263000000,0.2972,0.2977,0.2968,0.2975,39622.0,1711263299999
77,1711263300000,0.2976,0.298,0.2974,0.2978,21696.3,1711263599999
78,1711263600000,0.2978,0.2983,0.2976,0.298,51449.9,1711263899999
79,1711263900000,0.298,0.2982,0.2971,0.2975,61263.1,1711264199999
80,1711264200000,0.2974,0.298,0.2971,0.2978,35630.3,1711264499999
81,1711264500000,0.2978,0.2978,0.2972,0.2973,25606.5,1711264799999
82,1711264800000,0.2972,0.298,0.297,0.298,28053.2,1711265099999
83,1711265100000,0.2979,0.2983,0.2978,0.2981,30553.0,1711265399999
84,1711265400000,0.2982,0.2985,0.2976,0.2978,36670.0,1711265699999
85,1711265700000,0.2979,0.2979,0.2974,0.2975,21306.5,1711265999999
86,1711266000000,0.2975,0.2996,0.2975,0.2995,150441.7,1711266299999
87,1711266300000,0.2995,0.2995,0.2991,0.2993,56174.0,1711266599999
88,1711266600000,0.2992,0.2997,0.299,0.299,96094.2,1711266899999
89,1711266900000,0.2989,0.3003,0.2987,0.3002,83052.7,1711267199999
90,1711267200000,0.3,0.3004,0.2995,0.3002,91489.5,1711267499999
91,1711267500000,0.3001,0.3013,0.3,0.3013,78919.5,1711267799999
92,1711267800000,0.3012,0.3018,0.301,0.3014,190537.6,1711268099999
93,1711268100000,0.3013,0.3016,0.3005,0.3007,126186.7,1711268399999
94,1711268400000,0.3007,0.3011,0.3003,0.3005,39512.8,1711268699999
95,1711268700000,0.3005,0.3006,0.3001,0.3004,30860.0,1711268999999
96,1711269000000,0.3005,0.3011,0.3001,0.301,50984.8,1711269299999
97,1711269300000,0.3009,0.3018,0.3008,0.3014,66775.7,1711269599999
98,1711269600000,0.3014,0.3023,0.3013,0.3023,43739.0,1711269899999
99,1711269900000,0.3024,0.3026,0.3018,0.3025,60681.5,1711270199999
100,1711270200000,0.3026,0.3029,0.3023,0.3027,118682.1,1711270499999
101,1711270500000,0.3027,0.3032,0.3024,0.3028,189182.3,1711270799999
102,1711270800000,0.3029,0.303,0.3024,0.3026,90686.2,1711271099999
103,1711271100000,0.3027,0.3027,0.3021,0.3023,84730.0,1711271399999
104,1711271400000,0.3022,0.3022,0.3018,0.3018,54995.5,1711271699999
105,1711271700000,0.3018,0.3026,0.3015,0.3015,77621.0,1711271999999
106,1711272000000,0.3015,0.3019,0.3013,0.3019,72134.5,1711272299999
107,1711272300000,0.3019,0.3022,0.3016,0.3017,31967.4,1711272599999
108,1711272600000,0.3018,0.302,0.3014,0.3018,85195.3,1711272899999
109,1711272900000,0.3019,0.3022,0.3016,0.3016,44825.9,1711273199999
110,1711273200000,0.3017,0.3017,0.3006,0.3009,273072.9,1711273499999
111,1711273500000,0.301,0.3012,0.3008,0.301,57967.9,1711273799999
112,1711273800000,0.3011,0.3014,0.301,0.3012,34132.7,1711274099999
113,1711274100000,0.3013,0.3016,0.3009,0.3016,57916.7,1711274399999
114,1711274400000,0.3016,0.3019,0.3014,0.3017,47748.7,1711274699999
115,1711274700000,0.3017,0.3024,0.3017,0.3022,41673.7,1711274999999
116,1711275000000,0.3022,0.3025,0.3019,0.3022,109786.2,1711275299999
117,1711275300000,0.3021,0.3027,0.3018,0.3026,67150.9,1711275599999
118,1711275600000,0.3027,0.3028,0.3025,0.3025,26112.6,1711275899999
119,1711275900000,0.3025,0.3031,0.3024,0.3028,65533.0,1711276199999
120,1711276200000,0.3029,0.303,0.3024,0.3027,30885.3,1711276499999
121,1711276500000,0.3026,0.3026,0.302,0.3022,51567.4,1711276799999
122,1711276800000,0.3022,0.3028,0.3021,0.3024,54529.7,1711277099999
123,1711277100000,0.3024,0.3035,0.3024,0.3027,63158.7,1711277399999
124,1711277400000,0.3028,0.3033,0.3024,0.3024,74234.3,1711277699999
125,1711277700000,0.3026,0.3027,0.3023,0.3023,31131.2,1711277999999
126,1711278000000,0.3023,0.3024,0.3013,0.3015,139454.7,1711278299999
127,1711278300000,0.3015,0.3017,0.3013,0.3017,97223.8,1711278599999
128,1711278600000,0.3016,0.3021,0.3014,0.302,54539.4,1711278899999
129,1711278900000,0.3019,0.3024,0.3019,0.3022,39841.2,1711279199999
130,1711279200000,0.3023,0.3024,0.3021,0.3021,47638.5,1711279499999
131,1711279500000,0.3021,0.3023,0.3018,0.3019,24789.7,1711279799999
132,1711279800000,0.3018,0.3024,0.3017,0.3017,38352.2,1711280099999
133,1711280100000,0.3018,0.3025,0.3018,0.3025,37230.6,1711280399999
