,open_time,open,high,low,close,VOLUME,close_time
0,1711240500000,0.5645,0.5652,0.5637,0.5643,338226.0,1711240799999
1,1711240800000,0.5643,0.5651,0.5636,0.5638,192114.0,1711241099999
2,1711241100000,0.5638,0.5646,0.5629,0.5643,206771.0,1711241399999
3,1711241400000,0.5643,0.5661,0.564,0.5655,301981.0,1711241699999
4,1711241700000,0.5655,0.5664,0.5651,0.5651,262390.0,1711241999999
5,1711242000000,0.5651,0.5652,0.5636,0.5644,255792.0,1711242299999
6,1711242300000,0.5645,0.5648,0.5634,0.5641,162015.0,1711242599999
7,1711242600000,0.5641,0.5651,0.5633,0.5641,130273.0,1711242899999
8,1711242900000,0.5641,0.5642,0.5619,0.562,148139.0,1711243199999
9,1711243200000,0.562,0.5639,0.5613,0.5637,231344.0,1711243499999
10,1711243500000,0.5636,0.5664,0.5636,0.5648,232354.0,1711243799999
11,1711243800000,0.5647,0.5658,0.564,0.5655,328779.0,1711244099999
12,1711244100000,0.5655,0.5659,0.5641,0.5655,300567.0,1711244399999
13,1711244400000,0.5654,0.5657,0.5642,0.5644,105897.0,1711244699999
14,1711244700000,0.5644,0.5665,0.5644,0.5654,213669.0,1711244999999
15,1711245000000,0.5653,0.5674,0.5652,0.5665,197947.0,1711245299999
16,1711245300000,0.5666,0.5675,0.5666,0.5672,133890.0,1711245599999
17,1711245600000,0.5672,0.5672,0.5659,0.5666,182036.0,1711245899999
18,1711245900000,0.5666,0.568,0.5664,0.568,229577.0,1711246199999
19,1711246200000,0.5681,0.5685,0.5668,0.5684,202593.0,1711246499999
20,1711246500000,0.5683,0.5686,0.5669,0.5675,298561.0,1711246799999
21,1711246800000,0.5674,0.5674,0.5655,0.5661,310140.0,1711247099999
22,1711247100000,0.5662,0.5666,0.5648,0.5654,204403.0,1711247399999
23,1711247400000,0.5654,0.5656,0.5644,0.5652,176188.0,1711247699999
24,1711247700000,0.5652,0.5665,0.5652,0.5662,93135.0,1711247999999
25,1711248000000,0.5662,0.5677,0.5654,0.5675,115444.0,1711248299999
26,1711248300000,0.5676,0.5677,0.5661,0.5671,96080.0,1711248599999
27,1711248600000,0.5672,0.5678,0.5647,0.5656,218305.0,1711248899999
28,1711248900000,0.5656,0.5661,0.5646,0.5653,90161.0,1711249199999
29,1711249200000,0.5653,0.5653,0.5633,0.5633,119516.0,1711249499999
30,1711249500000,0.5633,0.5633,0.5597,0.5599,376339.0,1711249799999
31,1711249800000,0.5599,0.5601,0.5565,0.5585,889178.0,1711250099999
32,1711250100000,0.5586,0.5603,0.5584,0.56,472114.0,1711250399999
33,1711250400000,0.56,0.561,0.5588,0.5599,200349.0,1711250699999
34,1711250700000,0.5599,0.5607,0.5588,0.56,167868.0,1711250999999
35,1711251000000,0.5598,0.56,0.5566,0.5569,429930.0,1711251299999
36,1711251300000,0.5568,0.5584,0.5566,0.5573,214446.0,1711251599999
37,1711251600000,0.5572,0.5582,0.5571,0.5574,132993.0,1711251899999
38,1711251900000,0.5573,0.5596,0.5571,0.5589,232649.0,1711252199999
39,1711252200000,0.5589,0.5601,0.5581,0.5586,266479.0,1711252499999
40,1711252500000,0.5586,0.5592,0.5573,0.5575,127993.0,1711252799999
41,1711252800000,0.5575,0.5583,0.5567,0.5579,321469.0,1711253099999
42,1711253100000,0.5579,0.5601,0.5579,0.5601,96788.0,1711253399999
43,1711253400000,0.5601,0.5602,0.5577,0.5593,135808.0,1711253699999
44,1711253700000,0.5592,0.5592,0.5575,0.5577,121005.0,1711253999999
45,1711254000000,0.5576,0.5576,0.5551,0.5557,286857.0,1711254299999
46,1711254300000,0.5557,0.5561,0.5546,0.5555,266481.0,1711254599999
47,1711254600000,0.5554,0.5572,0.5552,0.5565,150327.0,1711254899999
48,1711254900000,0.5566,0.557,0.5548,0.5554,136848.0,1711255199999
49,1711255200000,0.5553,0.5572,0.5548,0.5566,401231.0,1711255499999
50,1711255500000,0.5566,0.5581,0.5559,0.5563,155519.0,1711255799999
51,1711255800000,0.5562,0.5578,0.5561,0.5573,91121.0,1711256099999
52,1711256100000,0.5574,0.5589,0.5571,0.5588,128002.0,1711256399999
