,open_time,open,high,low,close,VOLUME,close_time
0,1711240800000,4.156,4.166,4.154,4.164,10229.9,1711241099999
1,1711241100000,4.164,4.17,4.154,4.164,7114.6,1711241399999
2,1711241400000,4.164,4.168,4.156,4.156,5413.6,1711241699999
3,1711241700000,4.154,4.161,4.154,4.158,10280.1,1711241999999
4,1711242000000,4.158,4.158,4.145,4.154,6750.9,1711242299999
5,1711242300000,4.154,4.158,4.151,4.154,2257.4,1711242599999
6,1711242600000,4.154,4.159,4.145,4.149,5249.8,1711242899999
7,1711242900000,4.15,4.15,4.139,4.141,3740.8,1711243199999
8,1711243200000,4.141,4.144,4.132,4.144,8302.7,1711243499999
9,1711243500000,4.144,4.156,4.142,4.144,7046.9,1711243799999
10,1711243800000,4.143,4.15,4.139,4.142,10049.3,1711244099999
11,1711244100000,4.142,4.144,4.131,4.136,3055.1,1711244399999
12,1711244400000,4.137,4.14,4.132,4.135,2924.8,1711244699999
13,1711244700000,4.136,4.145,4.136,4.14,2513.5,1711244999999
14,1711245000000,4.14,4.149,4.139,4.141,7548.0,1711245299999
15,1711245300000,4.141,4.147,4.14,4.144,3509.6,1711245599999
16,1711245600000,4.144,4.145,4.135,4.139,3899.5,1711245899999
17,1711245900000,4.142,4.145,4.139,4.143,2873.3,1711246199999
18,1711246200000,4.144,4.144,4.135,4.135,3218.0,1711246499999
19,1711246500000,4.135,4.136,4.122,4.126,7534.9,1711246799999
20,1711246800000,4.125,4.127,4.114,4.117,6332.2,1711247099999
21,1711247100000,4.118,4.123,4.114,4.12,3686.3,1711247399999
22,1711247400000,4.12,4.124,4.11,4.12,5316.9,1711247699999
23,1711247700000,4.121,4.131,4.121,4.127,2891.2,1711247999999
24,1711248000000,4.125,4.138,4.121,4.136,3938.4,1711248299999
25,1711248300000,4.135,4.137,4.127,4.137,5677.0,1711248599999
26,1711248600000,4.137,4.142,4.127,4.135,10440.5,1711248899999
27,1711248900000,4.134,4.138,4.126,4.131,3892.6,1711249199999
28,1711249200000,4.131,4.135,4.115,4.116,6049.6,1711249499999
29,1711249500000,4.114,4.114,4.091,4.092,18012.6,1711249799999
30,1711249800000,4.091,4.092,4.077,4.087,18673.9,1711250099999
31,1711250100000,4.088,4.107,4.088,4.105,9278.3,1711250399999
32,1711250400000,4.105,4.109,4.097,4.098,10213.4,1711250699999
33,1711250700000,4.1,4.104,4.089,4.096,5869.9,1711250999999
34,1711251000000,4.095,4.098,4.073,4.074,11235.7,1711251299999
35,1711251300000,4.073,4.092,4.069,4.078,14455.7,1711251599999
36,1711251600000,4.078,4.081,4.075,4.078,4464.5,1711251899999
37,1711251900000,4.077,4.091,4.077,4.085,3641.2,1711252199999
38,1711252200000,4.085,4.098,4.084,4.086,7008.0,1711252499999
39,1711252500000,4.085,4.089,4.074,4.074,7219.0,1711252799999
40,1711252800000,4.077,4.09,4.074,4.087,13924.9,1711253099999
41,1711253100000,4.087,4.103,4.086,4.101,6078.9,1711253399999
42,1711253400000,4.101,4.103,4.081,4.091,6818.6,1711253699999
43,1711253700000,4.091,4.093,4.079,4.081,4812.4,1711253999999
44,1711254000000,4.079,4.079,4.06,4.061,16646.0,1711254299999
45,1711254300000,4.063,4.068,4.054,4.065,9071.9,1711254599999
46,1711254600000,4.065,4.076,4.064,4.075,5992.8,1711254899999
47,1711254900000,4.075,4.078,4.061,4.064,3690.5,1711255199999
48,1711255200000,4.063,4.081,4.06,4.08,8790.0,1711255499999
49,1711255500000,4.079,4.091,4.072,4.075,5399.3,1711255799999
50,1711255800000,4.075,4.082,4.071,4.077,5393.8,1711256099999
51,1711256100000,4.076,4.09,4.074,4.09,4243.2,1711256399999
52,1711256400000,4.089,4.092,4.078,4.085,6879.0,1711256699999
53,1711256700000,4.083,4.083,4.073,4.077,4775.0,1711256999999
54,1711257000000,4.076,4.078,4.066,4.071,6183.1,1711257299999
55,1711257300000,4.071,4.079,4.07,4.079,11117.3,1711257599999
56,1711257600000,4.078,4.088,4.078,4.084,4291.2,1711257899999
57,1711257900000,4.084,4.091,4.081,4.086,2363.3,1711258199999
58,1711258200000,4.086,4.095,4.083,4.092,6187.0,1711258499999
59,1711258500000,4.09,4.091,4.086,4.089,3639.1,1711258799999
60,1711258800000,4.089,4.094,4.085,4.087,4425.9,1711259099999
61,1711259100000,4.086,4.097,4.083,4.093,4188.1,1711259399999
62,1711259400000,4.094,4.097,4.093,4.096,2529.0,1711259699999
