,open_time,open,high,low,close,VOLUME,close_time
0,1711239600000,0.3691,0.3702,0.3689,0.3698,104661.0,1711239899999
1,1711239900000,0.3698,0.3703,0.3694,0.3698,86144.0,1711240199999
2,1711240200000,0.3697,0.3706,0.3696,0.3706,116883.0,1711240499999
3,1711240500000,0.3706,0.3709,0.3698,0.3702,79800.0,1711240799999
4,1711240800000,0.3702,0.3708,0.37,0.3703,56844.0,1711241099999
5,1711241100000,0.3702,0.3708,0.3696,0.3705,68976.0,1711241399999
6,1711241400000,0.3704,0.371,0.3704,0.3708,50855.0,1711241699999
7,1711241700000,0.3708,0.3712,0.3708,0.3708,57834.0,1711241999999
8,1711242000000,0.3708,0.3711,0.3698,0.3702,150895.0,1711242299999
9,1711242300000,0.3701,0.3715,0.37,0.371,129846.0,1711242599999
10,1711242600000,0.3711,0.3717,0.3703,0.371,57930.0,1711242899999
11,1711242900000,0.3711,0.3711,0.3694,0.3696,125364.0,1711243199999
12,1711243200000,0.3694,0.3705,0.3687,0.3705,74697.0,1711243499999
13,1711243500000,0.3705,0.3719,0.3704,0.3711,106312.0,1711243799999
14,1711243800000,0.3711,0.3711,0.3702,0.3704,75311.0,1711244099999
15,1711244100000,0.3705,0.3707,0.3697,0.3704,67563.0,1711244399999
16,1711244400000,0.3703,0.3707,0.3698,0.37,28567.0,1711244699999
17,1711244700000,0.37,0.371,0.37,0.3701,64697.0,1711244999999
18,1711245000000,0.3702,0.3714,0.3702,0.3705,55177.0,1711245299999
19,1711245300000,0.3706,0.3711,0.3705,0.3709,28459.0,1711245599999
20,1711245600000,0.3709,0.3715,0.3707,0.3715,200757.0,1711245899999
21,1711245900000,0.3715,0.372,0.3712,0.3719,66571.0,1711246199999
22,1711246200000,0.3719,0.372,0.3709,0.3709,30397.0,1711246499999
23,1711246500000,0.3708,0.371,0.3699,0.3705,63860.0,1711246799999
24,1711246800000,0.3704,0.3704,0.3682,0.3686,154378.0,1711247099999
25,1711247100000,0.3685,0.3688,0.3674,0.3683,330086.0,1711247399999
26,1711247400000,0.3683,0.3686,0.3676,0.3679,119569.0,1711247699999
27,1711247700000,0.368,0.3692,0.368,0.3691,99326.0,1711247999999
28,1711248000000,0.369,0.3699,0.3683,0.3699,80344.0,1711248299999
29,1711248300000,0.37,0.3701,0.3684,0.3691,119151.0,1711248599999
30,1711248600000,0.3691,0.3694,0.368,0.3686,94145.0,1711248899999
31,1711248900000,0.3686,0.3691,0.3682,0.3687,91667.0,1711249199999
32,1711249200000,0.3686,0.3688,0.367,0.3671,93383.0,1711249499999
33,1711249500000,0.367,0.367,0.3647,0.3648,184080.0,1711249799999
34,1711249800000,0.3648,0.365,0.3637,0.3645,133931.0,1711250099999
35,1711250100000,0.3644,0.3659,0.3644,0.3654,138082.0,1711250399999
36,1711250400000,0.3654,0.3662,0.3648,0.365,97443.0,1711250699999
37,1711250700000,0.3651,0.3656,0.3643,0.3651,101887.0,1711250999999
38,1711251000000,0.3651,0.3652,0.3629,0.3629,212565.0,1711251299999
39,1711251300000,0.3628,0.3643,0.3625,0.3635,123412.0,1711251599999
40,1711251600000,0.3635,0.3639,0.3632,0.3636,59822.0,1711251899999
41,1711251900000,0.3635,0.3649,0.3634,0.3642,117513.0,1711252199999
42,1711252200000,0.3642,0.3655,0.364,0.3645,120882.0,1711252499999
43,1711252500000,0.3645,0.3648,0.3632,0.3632,66664.0,1711252799999
44,1711252800000,0.3633,0.3638,0.3627,0.3636,103479.0,1711253099999
45,1711253100000,0.3636,0.3651,0.3636,0.3646,341863.0,1711253399999
46,1711253400000,0.3646,0.3647,0.3627,0.3633,99194.0,1711253699999
47,1711253700000,0.3632,0.3634,0.3621,0.3623,120997.0,1711253999999
48,1711254000000,0.3622,0.3623,0.3611,0.3615,77937.0,1711254299999
49,1711254300000,0.3615,0.3618,0.361,0.3615,85407.0,1711254599999
50,1711254600000,0.3614,0.3622,0.3611,0.3621,58924.0,1711254899999
51,1711254900000,0.3621,0.3623,0.361,0.3613,53972.0,1711255199999
52,1711255200000,0.3612,0.363,0.361,0.3628,80251.0,1711255499999
53,1711255500000,0.3629,0.3634,0.3619,0.3622,60772.0,1711255799999
54,1711255800000,0.3621,0.3627,0.3617,0.3625,66547.0,1711256099999
55,1711256100000,0.3625,0.3639,0.3624,0.3639,43395.0,1711256399999
56,1711256400000,0.3638,0.3644,0.363,0.3637,180619.0,1711256699999
57,1711256700000,0.3637,0.3637,0.3624,0.3627,102750.0,1711256999999
58,1711257000000,0.3627,0.363,0.3621,0.3627,56478.0,1711257299999
59,1711257300000,0.3628,0.364,0.3625,0.3639,37837.0,1711257599999
60,1711257600000,0.3638,0.3652,0.3638,0.3646,83159.0,1711257899999
61,1711257900000,0.3646,0.3657,0.3646,0.3652,83430.0,1711258199999
62,1711258200000,0.3651,0.3665,0.3649,0.366,140083.0,1711258499999
63,1711258500000,0.366,0.3662,0.3655,0.3658,40212.0,1711258799999
