,open_time,open,high,low,close,VOLUME,close_time
0,1711240200000,0.669,0.671,0.668,0.671,182681.2,1711240499999
1,1711240500000,0.671,0.671,0.669,0.669,157702.0,1711240799999
2,1711240800000,0.67,0.671,0.67,0.671,83137.7,1711241099999
3,1711241100000,0.671,0.672,0.669,0.672,222569.0,1711241399999
4,1711241400000,0.671,0.673,0.671,0.673,155299.7,1711241699999
5,1711241700000,0.672,0.673,0.672,0.673,107007.6,1711241999999
6,1711242000000,0.672,0.673,0.671,0.672,168789.9,1711242299999
7,1711242300000,0.672,0.673,0.671,0.673,109662.0,1711242599999
8,1711242600000,0.672,0.674,0.672,0.673,126812.6,1711242899999
9,1711242900000,0.673,0.674,0.672,0.672,159275.9,1711243199999
10,1711243200000,0.673,0.674,0.671,0.674,201046.3,1711243499999
11,1711243500000,0.674,0.675,0.673,0.673,115610.1,1711243799999
12,1711243800000,0.674,0.675,0.673,0.674,168809.1,1711244099999
13,1711244100000,0.674,0.674,0.672,0.673,26540.1,1711244399999
14,1711244400000,0.673,0.673,0.671,0.672,144110.2,1711244699999
15,1711244700000,0.671,0.674,0.671,0.673,165430.0,1711244999999
16,1711245000000,0.672,0.674,0.672,0.673,148597.5,1711245299999
17,1711245300000,0.674,0.674,0.672,0.674,141619.4,1711245599999
18,1711245600000,0.674,0.674,0.671,0.672,198941.0,1711245899999
19,1711245900000,0.672,0.673,0.671,0.672,185186.4,1711246199999
20,1711246200000,0.672,0.672,0.67,0.67,176323.4,1711246499999
21,1711246500000,0.671,0.671,0.668,0.669,102954.9,1711246799999
22,1711246800000,0.668,0.669,0.667,0.669,99360.6,1711247099999
23,1711247100000,0.668,0.669,0.665,0.666,340297.3,1711247399999
24,1711247400000,0.667,0.667,0.665,0.666,165191.1,1711247699999
25,1711247700000,0.665,0.668,0.665,0.668,118148.4,1711247999999
26,1711248000000,0.668,0.668,0.666,0.668,266445.4,1711248299999
27,1711248300000,0.668,0.668,0.665,0.667,128598.2,1711248599999
28,1711248600000,0.667,0.668,0.665,0.667,144926.1,1711248899999
29,1711248900000,0.666,0.667,0.665,0.666,61789.3,1711249199999
30,1711249200000,0.667,0.667,0.665,0.665,137376.1,1711249499999
31,1711249500000,0.665,0.665,0.661,0.662,441888.9,1711249799999
32,1711249800000,0.662,0.662,0.658,0.659,593947.5,1711250099999
33,1711250100000,0.659,0.663,0.659,0.662,491612.0,1711250399999
34,1711250400000,0.661,0.662,0.66,0.661,368465.3,1711250699999
35,1711250700000,0.662,0.662,0.66,0.661,314983.7,1711250999999
36,1711251000000,0.661,0.661,0.658,0.658,461526.4,1711251299999
37,1711251300000,0.658,0.66,0.657,0.659,321646.2,1711251599999
38,1711251600000,0.658,0.66,0.658,0.659,246639.2,1711251899999
39,1711251900000,0.658,0.661,0.658,0.66,201899.3,1711252199999
40,1711252200000,0.66,0.661,0.659,0.659,184754.3,1711252499999
41,1711252500000,0.659,0.66,0.657,0.658,226825.3,1711252799999
42,1711252800000,0.657,0.658,0.655,0.657,426277.0,1711253099999
43,1711253100000,0.657,0.661,0.657,0.661,194594.4,1711253399999
44,1711253400000,0.66,0.661,0.658,0.66,236639.7,1711253699999
45,1711253700000,0.66,0.66,0.658,0.658,359472.2,1711253999999
46,1711254000000,0.658,0.659,0.655,0.655,217304.0,1711254299999
47,1711254300000,0.656,0.656,0.654,0.655,483723.5,1711254599999
48,1711254600000,0.655,0.657,0.654,0.656,313845.5,1711254899999
49,1711254900000,0.657,0.657,0.654,0.655,318292.3,1711255199999
50,1711255200000,0.654,0.659,0.654,0.658,256369.0,1711255499999
51,1711255500000,0.657,0.658,0.655,0.656,228778.5,1711255799999
52,1711255800000,0.655,0.657,0.655,0.655,137871.9,1711256099999
53,1711256100000,0.655,0.658,0.655,0.657,136392.3,1711256399999
54,1711256400000,0.657,0.659,0.656,0.658,226635.6,1711256699999
55,1711256700000,0.658,0.658,0.655,0.656,215340.4,1711256999999
56,1711257000000,0.657,0.658,0.656,0.657,239761.2,1711257299999
57,1711257300000,0.657,0.659,0.656,0.659,257441.5,1711257599999
58,1711257600000,0.659,0.66,0.659,0.66,117928.0,1711257899999
59,1711257900000,0.66,0.66,0.659,0.66,139293.2,1711258199999
