,open_time,open,high,low,close,VOLUME,close_time
0,1711239900000,5.551,5.561,5.548,5.559,17326.5,1711240199999
1,1711240200000,5.559,5.577,5.554,5.577,10155.0,1711240499999
2,1711240500000,5.577,5.585,5.566,5.574,9550.4,1711240799999
3,1711240800000,5.573,5.582,5.571,5.58,4884.9,1711241099999
4,1711241100000,5.579,5.591,5.569,5.586,10676.1,1711241399999
5,1711241400000,5.585,5.594,5.585,5.59,4365.0,1711241699999
6,1711241700000,5.59,5.597,5.59,5.594,6401.4,1711241999999
7,1711242000000,5.595,5.597,5.575,5.578,11476.5,1711242299999
8,1711242300000,5.579,5.596,5.572,5.59,7040.5,1711242599999
9,1711242600000,5.59,5.597,5.576,5.585,7294.5,1711242899999
10,1711242900000,5.586,5.593,5.574,5.575,8411.9,1711243199999
11,1711243200000,5.574,5.593,5.564,5.592,13564.6,1711243499999
12,1711243500000,5.592,5.606,5.586,5.588,10232.8,1711243799999
13,1711243800000,5.588,5.593,5.581,5.588,5407.7,1711244099999
14,1711244100000,5.586,5.589,5.575,5.583,5329.1,1711244399999
15,1711244400000,5.582,5.587,5.577,5.579,2475.2,1711244699999
16,1711244700000,5.58,5.587,5.576,5.576,6542.6,1711244999999
17,1711245000000,5.575,5.59,5.575,5.578,5097.8,1711245299999
18,1711245300000,5.58,5.587,5.578,5.584,3886.8,1711245599999
19,1711245600000,5.583,5.584,5.57,5.582,7647.9,1711245899999
20,1711245900000,5.582,5.594,5.582,5.592,5588.4,1711246199999
21,1711246200000,5.593,5.594,5.578,5.583,3379.6,1711246499999
22,1711246500000,5.582,5.582,5.566,5.567,5720.8,1711246799999
23,1711246800000,5.568,5.571,5.554,5.561,10174.3,1711247099999
24,1711247100000,5.562,5.57,5.557,5.568,8759.4,1711247399999
25,1711247400000,5.567,5.571,5.556,5.562,6677.8,1711247699999
26,1711247700000,5.562,5.566,5.558,5.558,5708.1,1711247999999
27,1711248000000,5.559,5.574,5.553,5.572,7969.8,1711248299999
28,1711248300000,5.57,5.572,5.552,5.566,6569.8,1711248599999
29,1711248600000,5.566,5.569,5.53,5.543,32472.1,1711248899999
30,1711248900000,5.543,5.553,5.538,5.552,7322.1,1711249199999
31,1711249200000,5.551,5.553,5.528,5.528,5641.9,1711249499999
32,1711249500000,5.527,5.527,5.492,5.497,37125.9,1711249799999
33,1711249800000,5.495,5.5,5.472,5.48,41095.4,1711250099999
34,1711250100000,5.48,5.509,5.479,5.5,24278.7,1711250399999
35,1711250400000,5.5,5.518,5.488,5.508,13052.0,1711250699999
36,1711250700000,5.508,5.513,5.491,5.502,13793.4,1711250999999
37,1711251000000,5.502,5.506,5.476,5.476,9752.4,1711251299999
38,1711251300000,5.476,5.492,5.467,5.476,16408.1,1711251599999
39,1711251600000,5.475,5.479,5.466,5.47,7036.9,1711251899999
40,1711251900000,5.471,5.491,5.467,5.482,6120.8,1711252199999
41,1711252200000,5.482,5.486,5.467,5.472,10079.8,1711252499999
42,1711252500000,5.472,5.477,5.461,5.462,8343.5,1711252799999
43,1711252800000,5.464,5.476,5.455,5.47,8786.3,1711253099999
44,1711253100000,5.471,5.491,5.469,5.488,15990.1,1711253399999
45,1711253400000,5.488,5.489,5.465,5.479,10002.3,1711253699999
46,1711253700000,5.478,5.481,5.466,5.468,10807.8,1711253999999
47,1711254000000,5.467,5.467,5.443,5.448,13191.0,1711254299999
48,1711254300000,5.447,5.449,5.434,5.444,8859.9,1711254599999
49,1711254600000,5.442,5.455,5.438,5.454,10594.3,1711254899999
50,1711254900000,5.454,5.461,5.436,5.44,9420.1,1711255199999
51,1711255200000,5.439,5.469,5.436,5.466,8576.7,1711255499999
52,1711255500000,5.466,5.48,5.453,5.457,15683.2,1711255799999
53,1711255800000,5.456,5.466,5.453,5.46,5068.4,1711256099999
54,1711256100000,5.461,5.478,5.457,5.477,3992.7,1711256399999
55,1711256400000,5.477,5.488,5.468,5.482,10493.1,1711256699999
56,1711256700000,5.482,5.482,5.46,5.467,5482.2,1711256999999
57,1711257000000,5.466,5.476,5.464,5.468,4423.6,1711257299999
58,1711257300000,5.466,5.484,5.461,5.483,9422.2,1711257599999
59,1711257600000,5.482,5.496,5.481,5.494,6941.1,1711257899999
60,1711257900000,5.494,5.501,5.489,5.501,5548.6,1711258199999
61,1711258200000,5.499,5.508,5.495,5.508,6628.7,1711258499999
62,1711258500000,5.507,5.512,5.504,5.504,12474.5,1711258799999
63,1711258800000,5.507,5.517,5.502,5.504,10514.9,1711259099999
64,1711259100000,5.505,5.511,5.502,5.505,8691.3,1711259399999
65,1711259400000,5.506,5.508,5.504,5.507,5561.7,1711259699999
66,1711259700000,5.507,5.507,5.492,5.494,8476.8,1711259999999
67,1711260000000,5.492,5.495,5.481,5.487,11886.3,1711260299999
68,1711260300000,5.488,5.489,5.472,5.473,16747.6,1711260599999
69,1711260600000,5.474,5.488,5.47,5.482,10073.5,1711260899999
70,1711260900000,5.482,5.489,5.478,5.484,11112.9,1711261199999
71,1711261200000,5.484,5.485,5.467,5.47,11212.6,1711261499999
72,1711261500000,5.471,5.477,5.461,5.466,11599.1,1711261799999
73,1711261800000,5.465,5.467,5.437,5.438,19316.1,1711262099999
74,1711262100000,5.439,5.444,5.432,5.433,13186.6,1711262399999
75,1711262400000,5.433,5.447,5.427,5.445,15299.9,1711262699999
76,1711262700000,5.444,5.445,5.427,5.442,10166.6,1711262999999
77,1711263000000,5.441,5.448,5.43,5.443,8223.6,1711263299999
78,1711263300000,5.442,5.455,5.442,5.452,8281.8,1711263599999
79,1711263600000,5.451,5.455,5.433,5.444,18990.4,1711263899999
80,1711263900000,5.444,5.448,5.43,5.44,7068.9,1711264199999
81,1711264200000,5.439,5.451,5.435,5.45,10912.9,1711264499999
82,1711264500000,5.449,5.45,5.424,5.425,17606.7,1711264799999
83,1711264800000,5.425,5.447,5.422,5.447,15298.1,1711265099999
84,1711265100000,5.448,5.46,5.443,5.449,13419.2,1711265399999
85,1711265400000,5.448,5.452,5.427,5.433,12140.7,1711265699999
86,1711265700000,5.433,5.436,5.42,5.425,17207.8,1711265999999
87,1711266000000,5.425,5.465,5.417,5.46,39170.6,1711266299999
88,1711266300000,5.461,5.467,5.443,5.444,15987.8,1711266599999
89,1711266600000,5.443,5.454,5.436,5.439,14321.6,1711266899999
90,1711266900000,5.438,5.464,5.435,5.461,13612.6,1711267199999
91,1711267200000,5.462,5.464,5.442,5.447,23711.5,1711267499999
92,1711267500000,5.447,5.468,5.445,5.467,10680.6,1711267799999
93,1711267800000,5.468,5.489,5.464,5.486,25033.0,1711268099999
94,1711268100000,5.487,5.49,5.468,5.477,16862.8,1711268399999
95,1711268400000,5.477,5.485,5.472,5.479,7828.7,1711268699999
96,1711268700000,5.479,5.48,5.47,5.476,11917.7,1711268999999
97,1711269000000,5.476,5.48,5.457,5.472,18930.2,1711269299999
98,1711269300000,5.47,5.49,5.468,5.482,7764.4,1711269599999
99,1711269600000,5.483,5.507,5.483,5.507,16678.0,1711269899999
100,1711269900000,5.505,5.52,5.496,5.518,11194.6,1711270199999
101,1711270200000,5.519,5.539,5.519,5.538,20262.4,1711270499999
102,1711270500000,5.538,5.548,5.527,5.543,36395.1,1711270799999
103,1711270800000,5.543,5.546,5.53,5.538,32729.1,1711271099999
104,1711271100000,5.539,5.55,5.531,5.54,26980.9,1711271399999
105,1711271400000,5.539,5.539,5.52,5.524,14042.4,1711271699999
106,1711271700000,5.524,5.535,5.498,5.502,17690.1,1711271999999
107,1711272000000,5.503,5.514,5.5,5.514,10866.4,1711272299999
108,1711272300000,5.514,5.52,5.501,5.502,9741.5,1711272599999
109,1711272600000,5.503,5.527,5.5,5.526,24511.2,1711272899999
110,1711272900000,5.525,5.525,5.501,5.512,23003.5,1711273199999
111,1711273200000,5.512,5.513,5.497,5.501,12331.6,1711273499999
112,1711273500000,5.5,5.504,5.494,5.497,6687.4,1711273799999
113,1711273800000,5.498,5.514,5.497,5.514,7302.4,1711274099999
114,1711274100000,5.514,5.515,5.506,5.514,7320.6,1711274399999
115,1711274400000,5.513,5.516,5.498,5.508,12347.6,1711274699999
116,1711274700000,5.507,5.537,5.506,5.537,11187.6,1711274999999
117,1711275000000,5.536,5.541,5.529,5.537,14706.2,1711275299999
118,1711275300000,5.536,5.55,5.523,5.548,15968.4,1711275599999
119,1711275600000,5.549,5.561,5.546,5.546,15860.1,1711275899999
120,1711275900000,5.547,5.564,5.547,5.561,10738.3,1711276199999
121,1711276200000,5.561,5.563,5.547,5.553,10383.7,1711276499999
122,1711276500000,5.554,5.555,5.535,5.538,7643.8,1711276799999
123,1711276800000,5.537,5.545,5.529,5.542,13990.2,1711277099999
124,1711277100000,5.541,5.579,5.538,5.562,43057.3,1711277399999
125,1711277400000,5.562,5.585,5.558,5.574,22630.7,1711277699999
126,1711277700000,5.575,5.578,5.559,5.56,8742.2,1711277999999
127,1711278000000,5.559,5.559,5.546,5.548,13104.5,1711278299999
128,1711278300000,5.546,5.55,5.534,5.54,9873.5,1711278599999
129,1711278600000,5.539,5.551,5.536,5.547,5322.5,1711278899999
130,1711278900000,5.549,5.556,5.545,5.548,5504.6,1711279199999
131,1711279200000,5.547,5.55,5.531,5.536,8681.2,1711279499999
132,1711279500000,5.535,5.539,5.53,5.534,2518.8,1711279799999
133,1711279800000,5.531,5.538,5.519,5.522,7071.9,1711280099999
134,1711280100000,5.524,5.537,5.5,5.537,79878.5,1711280399999
135,1711280400000,5.538,5.547,5.534,5.543,21098.8,1711280699999
136,1711280700000,5.544,5.56,5.542,5.556,10520.1,1711280999999
137,1711281000000,5.557,5.572,5.557,5.568,27203.1,1711281299999
138,1711281300000,5.567,5.58,5.567,5.576,20383.3,1711281599999
139,1711281600000,5.575,5.575,5.552,5.558,13690.6,1711281899999
140,1711281900000,5.558,5.585,5.558,5.576,28404.2,1711282199999
141,1711282200000,5.578,5.578,5.547,5.551,17648.8,1711282499999
142,1711282500000,5.551,5.555,5.54,5.548,13857.9,1711282799999
143,1711282800000,5.548,5.58,5.548,5.578,25928.4,1711283099999
144,1711283100000,5.578,5.585,5.573,5.58,10734.8,1711283399999
145,1711283400000,5.579,5.593,5.574,5.592,12745.9,1711283699999
146,1711283700000,5.591,5.593,5.585,5.586,12878.3,1711283999999
147,1711284000000,5.587,5.588,5.575,5.581,8244.3,1711284299999
148,1711284300000,5.58,5.596,5.572,5.595,28086.9,1711284599999
149,1711284600000,5.594,5.605,5.589,5.601,11778.9,1711284899999
150,1711284900000,5.601,5.61,5.591,5.591,14042.5,1711285199999
151,1711285200000,5.59,5.608,5.562,5.566,19846.6,1711285499999
152,1711285500000,5.565,5.578,5.558,5.578,14366.9,1711285799999
153,1711285800000,5.578,5.589,5.574,5.576,7372.7,1711286099999
154,1711286100000,5.576,5.587,5.571,5.576,20804.8,1711286399999
155,1711286400000,5.576,5.596,5.572,5.573,11975.7,1711286699999
156,1711286700000,5.573,5.574,5.558,5.567,11688.1,1711286999999
157,1711287000000,5.568,5.571,5.559,5.56,11180.9,1711287299999
158,1711287300000,5.559,5.571,5.545,5.568,23370.8,1711287599999
159,1711287600000,5.567,5.57,5.545,5.558,11448.1,1711287899999
160,1711287900000,5.559,5.561,5.533,5.555,15529.3,1711288199999
161,1711288200000,5.554,5.558,5.504,5.517,79891.1,1711288499999
162,1711288500000,5.518,5.532,5.518,5.52,17373.1,1711288799999
163,1711288800000,5.521,5.532,5.516,5.53,12351.6,1711289099999
164,1711289100000,5.531,5.54,5.526,5.539,6827.5,1711289399999
165,1711289400000,5.538,5.544,5.534,5.537,9155.0,1711289699999
166,1711289700000,5.538,5.553,5.537,5.551,12040.0,1711289999999
167,1711290000000,5.553,5.571,5.552,5.57,11618.9,1711290299999
168,1711290300000,5.572,5.573,5.55,5.56,8752.6,1711290599999
169,1711290600000,5.561,5.575,5.551,5.553,18274.3,1711290899999
170,1711290900000,5.553,5.553,5.538,5.544,13745.0,1711291199999
171,1711291200000,5.543,5.559,5.53,5.555,18034.4,1711291499999
172,1711291500000,5.554,5.56,5.547,5.558,11439.7,1711291799999
173,1711291800000,5.558,5.561,5.545,5.548,6654.4,1711292099999
174,1711292100000,5.548,5.551,5.54,5.549,9251.7,1711292399999
175,1711292400000,5.549,5.568,5.545,5.559,7860.8,1711292699999
176,1711292700000,5.56,5.568,5.546,5.548,6386.0,1711292999999
177,1711293000000,5.548,5.554,5.544,5.553,12867.5,1711293299999
178,1711293300000,5.553,5.553,5.545,5.551,4958.4,1711293599999
179,1711293600000,5.551,5.564,5.551,5.562,5857.6,1711293899999
180,1711293900000,5.564,5.576,5.562,5.576,6590.5,1711294199999
181,1711294200000,5.576,5.587,5.573,5.586,20495.4,1711294499999
182,1711294500000,5.586,5.6,5.582,5.597,14700.7,1711294799999
183,1711294800000,5.597,5.603,5.595,5.6,17551.9,1711295099999
184,1711295100000,5.6,5.611,5.591,5.606,14098.9,1711295399999
185,1711295400000,5.605,5.61,5.593,5.607,12059.7,1711295699999
186,1711295700000,5.606,5.606,5.592,5.6,14928.1,1711295999999
187,1711296000000,5.601,5.613,5.597,5.603,20058.7,1711296299999
188,1711296300000,5.601,5.625,5.593,5.62,16159.4,1711296599999
189,1711296600000,5.621,5.627,5.58,5.587,24701.3,1711296899999
190,1711296900000,5.587,5.598,5.576,5.587,15703.8,1711297199999
191,1711297200000,5.587,5.59,5.571,5.578,20550.1,1711297499999
192,1711297500000,5.576,5.602,5.57,5.589,10362.4,1711297799999
193,1711297800000,5.588,5.597,5.578,5.597,10144.5,1711298099999
194,1711298100000,5.597,5.607,5.578,5.578,10175.7,1711298399999
195,1711298400000,5.578,5.587,5.569,5.577,21899.8,1711298699999
196,1711298700000,5.579,5.581,5.556,5.568,9562.7,1711298999999
197,1711299000000,5.566,5.566,5.544,5.548,19600.5,1711299299999
198,1711299300000,5.547,5.553,5.545,5.548,9657.1,1711299599999
199,1711299600000,5.549,5.556,5.507,5.514,30307.4,1711299899999
200,1711299900000,5.515,5.528,5.488,5.511,47336.6,1711300199999
201,1711300200000,5.511,5.523,5.502,5.522,13034.2,1711300499999
202,1711300500000,5.523,5.544,5.523,5.54,18556.5,1711300799999
203,1711300800000,5.54,5.541,5.499,5.509,19398.7,1711301099999
204,1711301100000,5.505,5.512,5.486,5.509,29848.0,1711301399999
205,1711301400000,5.509,5.515,5.485,5.498,46957.1,1711301699999
