,open_time,open,high,low,close,VOLUME,close_time
0,1711239600000,4.227,4.255,4.191,4.192,293932.8,1711239899999
1,1711239900000,4.193,4.225,4.183,4.209,216893.2,1711240199999
2,1711240200000,4.21,4.272,4.202,4.26,315281.2,1711240499999
3,1711240500000,4.26,4.263,4.232,4.256,181899.1,1711240799999
4,1711240800000,4.255,4.265,4.233,4.242,146337.9,1711241099999
5,1711241100000,4.243,4.266,4.232,4.255,203751.8,1711241399999
6,1711241400000,4.254,4.28,4.235,4.257,220754.4,1711241699999
7,1711241700000,4.257,4.257,4.213,4.221,182709.0,1711241999999
8,1711242000000,4.222,4.265,4.184,4.196,391478.7,1711242299999
9,1711242300000,4.196,4.228,4.193,4.211,164480.9,1711242599999
10,1711242600000,4.211,4.22,4.164,4.177,284073.0,1711242899999
11,1711242900000,4.177,4.181,4.13,4.132,412087.6,1711243199999
12,1711243200000,4.133,4.134,4.1,4.123,431855.0,1711243499999
13,1711243500000,4.122,4.153,4.11,4.129,201361.8,1711243799999
14,1711243800000,4.129,4.14,4.109,4.123,134559.7,1711244099999
15,1711244100000,4.123,4.131,4.101,4.122,196888.8,1711244399999
16,1711244400000,4.122,4.131,4.104,4.116,118276.4,1711244699999
17,1711244700000,4.117,4.138,4.1,4.101,242209.6,1711244999999
18,1711245000000,4.1,4.101,4.032,4.082,1005115.7,1711245299999
19,1711245300000,4.082,4.097,4.073,4.095,235605.9,1711245599999
20,1711245600000,4.095,4.096,4.041,4.09,254090.7,1711245899999
21,1711245900000,4.09,4.101,4.078,4.095,110578.8,1711246199999
22,1711246200000,4.095,4.12,4.095,4.106,147383.3,1711246499999
23,1711246500000,4.106,4.112,4.086,4.087,80617.0,1711246799999
24,1711246800000,4.087,4.12,4.086,4.119,120303.5,1711247099999
25,1711247100000,4.12,4.14,4.103,4.128,186933.5,1711247399999
26,1711247400000,4.127,4.144,4.122,4.132,134002.8,1711247699999
27,1711247700000,4.132,4.135,4.116,4.122,75404.0,1711247999999
28,1711248000000,4.121,4.128,4.12,4.124,70248.3,1711248299999
29,1711248300000,4.125,4.136,4.097,4.133,130135.7,1711248599999
30,1711248600000,4.133,4.139,4.085,4.099,208620.9,1711248899999
31,1711248900000,4.098,4.106,4.072,4.098,172437.8,1711249199999
