,open_time,open,high,low,close,VOLUME,close_time
0,1711240200000,3351.7,3359.48,3349.2,3359.48,391.19,1711240499999
1,1711240500000,3359.7,3360.88,3353.13,3357.05,295.614,1711240799999
2,1711240800000,3357.05,3359.51,3355.59,3358.72,249.851,1711241099999
3,1711241100000,3358.72,3360.57,3354.07,3360.09,310.67,1711241399999
4,1711241400000,3360.09,3360.4,3358.6,3358.6,155.289,1711241699999
5,1711241700000,3358.61,3360.28,3358.61,3359.6,134.739,1711241999999
6,1711242000000,3359.61,3360.57,3356.73,3357.35,199.447,1711242299999
7,1711242300000,3357.63,3359.75,3355.92,3358.44,187.905,1711242599999
8,1711242600000,3358.24,3360.57,3351.17,3356.22,343.985,1711242899999
9,1711242900000,3356.31,3356.31,3350.89,3352.54,256.525,1711243199999
10,1711243200000,3352.54,3361.6,3349.5,3361.36,462.29,1711243499999
11,1711243500000,3361.17,3370.89,3361.01,3363.24,327.526,1711243799999
12,1711243800000,3362.99,3363.73,3357.64,3357.93,297.309,1711244099999
13,1711244100000,3357.81,3358.23,3350.19,3352.18,213.872,1711244399999
14,1711244400000,3352.2,3354.39,3349.38,3351.69,211.253,1711244699999
15,1711244700000,3351.8,3356.7,3351.21,3353.52,153.123,1711244999999
16,1711245000000,3353.23,3358.82,3352.64,3354.89,173.606,1711245299999
17,1711245300000,3354.99,3356.79,3353.52,3353.52,116.184,1711245599999
18,1711245600000,3353.53,3353.78,3347.45,3350.6,352.984,1711245899999
19,1711245900000,3350.83,3357.56,3350.83,3357.56,128.204,1711246199999
20,1711246200000,3357.64,3359.21,3350.08,3352.64,307.853,1711246499999
21,1711246500000,3352.47,3352.47,3343.45,3346.71,286.144,1711246799999
22,1711246800000,3346.54,3348.19,3342.95,3345.82,238.355,1711247099999
23,1711247100000,3346.09,3349.9,3343.44,3347.31,187.729,1711247399999
24,1711247400000,3347.46,3347.46,3341.37,3344.34,212.069,1711247699999
25,1711247700000,3344.34,3349.05,3344.34,3347.81,140.471,1711247999999
26,1711248000000,3347.67,3351.33,3343.75,3350.96,141.443,1711248299999
27,1711248300000,3350.92,3351.17,3341.37,3347.31,197.343,1711248599999
28,1711248600000,3347.6,3349.39,3340.91,3343.63,191.912,1711248899999
29,1711248900000,3343.15,3347.3,3341.96,3346.82,158.21,1711249199999
30,1711249200000,3346.65,3346.65,3338.77,3339.29,171.439,1711249499999
31,1711249500000,3339.29,3339.42,3312.65,3319.14,1364.557,1711249799999
32,1711249800000,3319.2,3320.89,3309.83,3316.0,745.394,1711250099999
33,1711250100000,3316.09,3327.71,3315.6,3325.34,572.212,1711250399999
34,1711250400000,3325.64,3332.78,3321.81,3324.31,356.63,1711250699999
35,1711250700000,3324.74,3328.3,3320.03,3326.23,451.014,1711250999999
36,1711251000000,3325.95,3328.0,3316.77,3316.9,404.875,1711251299999
37,1711251300000,3316.77,3327.11,3312.32,3320.35,421.716,1711251599999
38,1711251600000,3320.34,3324.05,3320.02,3320.91,260.26,1711251899999
39,1711251900000,3320.87,3326.53,3319.73,3322.69,253.843,1711252199999
40,1711252200000,3322.9,3326.52,3319.0,3320.45,248.409,1711252499999
41,1711252500000,3320.83,3322.48,3311.3,3311.3,383.127,1711252799999
42,1711252800000,3311.18,3319.4,3307.82,3317.5,376.144,1711253099999
43,1711253100000,3317.37,3325.34,3317.37,3323.81,265.16,1711253399999
44,1711253400000,3323.74,3324.88,3315.39,3324.8,419.075,1711253699999
45,1711253700000,3324.8,3324.8,3319.5,3319.7,224.939,1711253999999
46,1711254000000,3319.43,3319.43,3306.66,3308.0,435.812,1711254299999
47,1711254300000,3308.2,3309.69,3303.43,3307.34,456.131,1711254599999
48,1711254600000,3307.07,3314.93,3305.68,3310.88,412.455,1711254899999
49,1711254900000,3310.59,3313.23,3302.38,3303.21,358.234,1711255199999
50,1711255200000,3303.37,3322.99,3302.23,3319.96,688.658,1711255499999
51,1711255500000,3319.95,3324.15,3314.83,3317.2,297.066,1711255799999
52,1711255800000,3317.35,3322.67,3315.34,3319.73,216.598,1711256099999
53,1711256100000,3319.88,3328.26,3319.15,3326.14,241.17,1711256399999
54,1711256400000,3326.18,3333.51,3321.8,3328.59,343.291,1711256699999
55,1711256700000,3328.17,3328.17,3319.09,3322.38,295.545,1711256999999
56,1711257000000,3322.38,3325.33,3319.16,3322.2,206.492,1711257299999
57,1711257300000,3322.1,3327.98,3320.7,3325.54,230.834,1711257599999
