,open_time,open,high,low,close,VOLUME,close_time
0,1711240200000,1.285,1.291,1.285,1.291,81566.5,1711240499999
1,1711240500000,1.291,1.292,1.287,1.288,65832.8,1711240799999
2,1711240800000,1.288,1.289,1.287,1.288,29679.9,1711241099999
3,1711241100000,1.288,1.308,1.287,1.304,420306.5,1711241399999
4,1711241400000,1.304,1.314,1.304,1.309,720816.6,1711241699999
5,1711241700000,1.308,1.321,1.308,1.319,763612.1,1711241999999
6,1711242000000,1.318,1.327,1.313,1.313,545871.6,1711242299999
7,1711242300000,1.312,1.32,1.308,1.314,315215.7,1711242599999
8,1711242600000,1.314,1.316,1.308,1.315,210481.4,1711242899999
9,1711242900000,1.316,1.318,1.307,1.31,340047.0,1711243199999
10,1711243200000,1.309,1.311,1.303,1.311,279820.4,1711243499999
11,1711243500000,1.31,1.316,1.31,1.314,175515.5,1711243799999
12,1711243800000,1.313,1.314,1.308,1.31,178784.4,1711244099999
13,1711244100000,1.309,1.319,1.309,1.317,278983.2,1711244399999
14,1711244400000,1.318,1.324,1.317,1.322,332017.9,1711244699999
15,1711244700000,1.322,1.33,1.321,1.321,478896.5,1711244999999
16,1711245000000,1.321,1.323,1.317,1.318,159297.7,1711245299999
17,1711245300000,1.318,1.326,1.317,1.325,73408.2,1711245599999
18,1711245600000,1.324,1.325,1.317,1.319,159855.3,1711245899999
19,1711245900000,1.32,1.323,1.319,1.323,76192.9,1711246199999
20,1711246200000,1.323,1.326,1.32,1.322,102914.9,1711246499999
21,1711246500000,1.322,1.323,1.314,1.317,119501.5,1711246799999
22,1711246800000,1.316,1.316,1.311,1.313,77684.7,1711247099999
23,1711247100000,1.313,1.315,1.308,1.313,145085.4,1711247399999
24,1711247400000,1.312,1.314,1.308,1.309,95937.1,1711247699999
25,1711247700000,1.31,1.314,1.309,1.309,56889.9,1711247999999
26,1711248000000,1.309,1.313,1.307,1.309,78784.6,1711248299999
27,1711248300000,1.309,1.314,1.308,1.314,88077.4,1711248599999
28,1711248600000,1.314,1.314,1.305,1.312,142560.7,1711248899999
29,1711248900000,1.311,1.312,1.308,1.308,95424.7,1711249199999
30,1711249200000,1.308,1.308,1.3,1.301,214640.2,1711249499999
31,1711249500000,1.3,1.301,1.293,1.295,191403.3,1711249799999
32,1711249800000,1.294,1.295,1.29,1.292,164661.7,1711250099999
33,1711250100000,1.293,1.299,1.293,1.298,134337.3,1711250399999
34,1711250400000,1.298,1.299,1.294,1.295,66684.2,1711250699999
35,1711250700000,1.296,1.297,1.289,1.292,146998.0,1711250999999
36,1711251000000,1.292,1.293,1.285,1.287,145978.6,1711251299999
37,1711251300000,1.287,1.292,1.284,1.289,111274.9,1711251599999
38,1711251600000,1.288,1.291,1.287,1.288,49198.2,1711251899999
39,1711251900000,1.288,1.292,1.287,1.289,32770.3,1711252199999
40,1711252200000,1.288,1.291,1.287,1.288,64140.8,1711252499999
41,1711252500000,1.287,1.29,1.285,1.286,318973.5,1711252799999
