,open_time,open,high,low,close,VOLUME,close_time
0,1711240800000,592.79,594.36,592.67,594.15,21.92,1711241099999
1,1711241100000,593.78,596.46,593.52,595.4,50.11,1711241399999
2,1711241400000,595.29,595.95,594.62,595.58,23.06,1711241699999
3,1711241700000,595.74,597.03,595.11,596.71,20.1,1711241999999
4,1711242000000,596.61,597.01,595.93,596.91,31.38,1711242299999
5,1711242300000,596.94,596.94,595.96,596.37,28.47,1711242599999
6,1711242600000,596.4,596.92,594.65,595.07,27.8,1711242899999
7,1711242900000,595.13,595.23,594.19,594.97,17.76,1711243199999
8,1711243200000,594.82,595.23,593.25,594.95,35.14,1711243499999
9,1711243500000,594.97,596.79,594.97,595.98,24.1,1711243799999
10,1711243800000,595.83,596.09,594.84,595.15,12.81,1711244099999
11,1711244100000,595.31,595.31,594.3,594.61,5.43,1711244399999
12,1711244400000,594.61,595.09,594.03,594.38,15.8,1711244699999
13,1711244700000,594.85,595.31,594.43,595.22,8.78,1711244999999
14,1711245000000,595.03,596.82,594.91,596.24,24.58,1711245299999
15,1711245300000,596.52,596.55,595.84,596.27,17.46,1711245599999
16,1711245600000,596.23,596.55,595.74,596.55,12.53,1711245899999
17,1711245900000,596.55,597.12,596.18,596.69,36.06,1711246199999
18,1711246200000,596.57,596.81,595.25,596.13,8.2,1711246499999
19,1711246500000,595.83,596.35,594.95,595.35,7.91,1711246799999
20,1711246800000,595.24,596.3,594.81,595.62,13.01,1711247099999
21,1711247100000,595.41,596.12,594.37,595.27,39.11,1711247399999
22,1711247400000,595.25,595.53,594.52,595.53,14.11,1711247699999
23,1711247700000,595.58,596.39,595.46,595.91,14.88,1711247999999
24,1711248000000,595.91,596.93,595.37,596.91,17.89,1711248299999
25,1711248300000,596.74,596.74,595.7,596.0,8.73,1711248599999
26,1711248600000,596.23,596.55,595.64,596.29,15.28,1711248899999
27,1711248900000,596.33,596.49,595.5,596.02,14.21,1711249199999
28,1711249200000,595.68,596.18,594.72,594.93,16.63,1711249499999
29,1711249500000,594.84,594.96,592.37,592.59,25.59,1711249799999
30,1711249800000,592.42,592.62,589.12,589.79,69.57,1711250099999
31,1711250100000,589.5,591.54,589.5,591.3,18.48,1711250399999
