,open_time,open,high,low,close,VOLUME,close_time
0,1711239900000,6.495,6.539,6.476,6.491,118147.9,1711240199999
1,1711240200000,6.49,6.502,6.454,6.46,75296.4,1711240499999
2,1711240500000,6.461,6.466,6.409,6.426,52143.8,1711240799999
3,1711240800000,6.425,6.473,6.415,6.459,57774.1,1711241099999
4,1711241100000,6.461,6.566,6.461,6.536,131671.7,1711241399999
5,1711241400000,6.534,6.536,6.513,6.529,43970.6,1711241699999
6,1711241700000,6.527,6.534,6.459,6.468,55449.1,1711241999999
7,1711242000000,6.469,6.514,6.458,6.501,35044.1,1711242299999
8,1711242300000,6.501,6.501,6.467,6.479,24087.9,1711242599999
9,1711242600000,6.479,6.486,6.447,6.447,22742.3,1711242899999
10,1711242900000,6.448,6.456,6.437,6.443,20143.9,1711243199999
11,1711243200000,6.443,6.452,6.434,6.451,15643.6,1711243499999
12,1711243500000,6.451,6.463,6.426,6.433,14454.2,1711243799999
13,1711243800000,6.432,6.444,6.426,6.431,12895.3,1711244099999
14,1711244100000,6.433,6.437,6.42,6.434,10074.7,1711244399999
15,1711244400000,6.435,6.439,6.419,6.426,12857.3,1711244699999
16,1711244700000,6.427,6.445,6.427,6.438,9774.4,1711244999999
17,1711245000000,6.437,6.456,6.435,6.456,15755.0,1711245299999
18,1711245300000,6.457,6.474,6.451,6.452,14201.2,1711245599999
19,1711245600000,6.453,6.454,6.429,6.434,18654.3,1711245899999
20,1711245900000,6.435,6.442,6.428,6.442,13600.0,1711246199999
21,1711246200000,6.442,6.442,6.428,6.43,7053.9,1711246499999
22,1711246500000,6.428,6.43,6.415,6.415,8886.8,1711246799999
23,1711246800000,6.416,6.416,6.402,6.409,15296.1,1711247099999
24,1711247100000,6.409,6.416,6.397,6.399,20438.0,1711247399999
25,1711247400000,6.399,6.401,6.384,6.398,14851.3,1711247699999
26,1711247700000,6.397,6.415,6.392,6.406,13018.3,1711247999999
27,1711248000000,6.404,6.416,6.397,6.413,15550.6,1711248299999
28,1711248300000,6.414,6.414,6.393,6.408,10452.5,1711248599999
29,1711248600000,6.409,6.418,6.393,6.407,6028.7,1711248899999
30,1711248900000,6.407,6.409,6.396,6.408,15647.4,1711249199999
31,1711249200000,6.408,6.412,6.377,6.38,13920.8,1711249499999
32,1711249500000,6.38,6.38,6.334,6.337,37846.1,1711249799999
33,1711249800000,6.337,6.341,6.307,6.328,30101.1,1711250099999
34,1711250100000,6.331,6.365,6.326,6.361,30360.0,1711250399999
35,1711250400000,6.358,6.368,6.343,6.351,13177.2,1711250699999
36,1711250700000,6.351,6.36,6.343,6.358,12070.1,1711250999999
