,open_time,open,high,low,close,VOLUME,close_time
0,1711240200000,0.003306,0.003316,0.003299,0.003316,18574486.0,1711240499999
1,1711240500000,0.003317,0.00332,0.00331,0.003315,22561204.0,1711240799999
2,1711240800000,0.003313,0.003319,0.003311,0.003318,18054851.0,1711241099999
3,1711241100000,0.003317,0.00332,0.003308,0.003318,13572788.0,1711241399999
4,1711241400000,0.003318,0.003324,0.003317,0.003323,16707975.0,1711241699999
5,1711241700000,0.003322,0.003323,0.003315,0.003316,9731049.0,1711241999999
6,1711242000000,0.003317,0.00332,0.00331,0.003317,10907832.0,1711242299999
7,1711242300000,0.003317,0.003324,0.003313,0.003324,5797816.0,1711242599999
8,1711242600000,0.003323,0.003326,0.003303,0.003307,17359081.0,1711242899999
9,1711242900000,0.003307,0.003308,0.003294,0.003295,13844241.0,1711243199999
10,1711243200000,0.003295,0.003304,0.00329,0.003303,23249430.0,1711243499999
11,1711243500000,0.003303,0.00331,0.003302,0.003305,28045159.0,1711243799999
12,1711243800000,0.003305,0.003306,0.003299,0.003299,18981422.0,1711244099999
13,1711244100000,0.0033,0.003302,0.003288,0.003289,11380002.0,1711244399999
14,1711244400000,0.003289,0.003293,0.003284,0.003287,10614291.0,1711244699999
15,1711244700000,0.003287,0.003294,0.003284,0.00329,8500743.0,1711244999999
16,1711245000000,0.00329,0.003302,0.00329,0.003293,11091503.0,1711245299999
17,1711245300000,0.003293,0.003298,0.003292,0.003292,10788344.0,1711245599999
18,1711245600000,0.003292,0.003306,0.003291,0.003306,35424195.0,1711245899999
19,1711245900000,0.003307,0.003315,0.003306,0.003315,11222891.0,1711246199999
20,1711246200000,0.003316,0.003319,0.003306,0.003306,9841811.0,1711246499999
21,1711246500000,0.003306,0.003308,0.003298,0.003308,12725882.0,1711246799999
22,1711246800000,0.003307,0.003307,0.003294,0.003298,11862587.0,1711247099999
23,1711247100000,0.003298,0.003302,0.003292,0.003296,9328342.0,1711247399999
24,1711247400000,0.003297,0.003303,0.003292,0.003301,9685780.0,1711247699999
25,1711247700000,0.003302,0.003308,0.003301,0.003302,16649988.0,1711247999999
26,1711248000000,0.003302,0.003313,0.003299,0.003311,10034635.0,1711248299999
27,1711248300000,0.003312,0.003312,0.003297,0.003304,12350140.0,1711248599999
28,1711248600000,0.003305,0.003307,0.003293,0.003296,9303490.0,1711248899999
29,1711248900000,0.003297,0.003299,0.003294,0.003296,7032992.0,1711249199999
30,1711249200000,0.003296,0.003297,0.00329,0.003293,14423434.0,1711249499999
31,1711249500000,0.003293,0.003293,0.003277,0.003277,24068211.0,1711249799999
32,1711249800000,0.003276,0.003279,0.00326,0.003271,27488259.0,1711250099999
33,1711250100000,0.003272,0.003287,0.003272,0.003284,14614109.0,1711250399999
34,1711250400000,0.003284,0.00329,0.003277,0.003286,17144612.0,1711250699999
35,1711250700000,0.003286,0.003288,0.003274,0.003281,13928146.0,1711250999999
36,1711251000000,0.003281,0.003283,0.003265,0.003268,13734901.0,1711251299999
37,1711251300000,0.003267,0.003277,0.003262,0.003265,22150178.0,1711251599999
38,1711251600000,0.003265,0.003269,0.003261,0.003265,13664505.0,1711251899999
39,1711251900000,0.003265,0.003272,0.003262,0.003268,10071905.0,1711252199999
40,1711252200000,0.003268,0.003277,0.003266,0.003269,23138727.0,1711252499999
41,1711252500000,0.003268,0.003273,0.003258,0.003259,17346070.0,1711252799999
42,1711252800000,0.00326,0.003267,0.003256,0.003265,8938011.0,1711253099999
43,1711253100000,0.003266,0.00328,0.003266,0.003279,7556294.0,1711253399999
44,1711253400000,0.003279,0.003279,0.003261,0.003267,7591902.0,1711253699999
45,1711253700000,0.003267,0.003268,0.003256,0.003256,6879006.0,1711253999999
46,1711254000000,0.003256,0.003257,0.00325,0.003253,14819753.0,1711254299999
47,1711254300000,0.003252,0.003252,0.003241,0.003249,20262127.0,1711254599999
48,1711254600000,0.003249,0.003259,0.003249,0.003257,11574407.0,1711254899999
49,1711254900000,0.003256,0.003259,0.003249,0.003252,8605522.0,1711255199999
50,1711255200000,0.003252,0.003264,0.003249,0.00326,10417719.0,1711255499999
51,1711255500000,0.003261,0.003267,0.003257,0.00326,8042520.0,1711255799999
52,1711255800000,0.003259,0.003269,0.003254,0.003265,8311106.0,1711256099999
53,1711256100000,0.003265,0.00328,0.003264,0.003276,16362565.0,1711256399999
54,1711256400000,0.003277,0.003287,0.003274,0.003284,13266651.0,1711256699999
55,1711256700000,0.003284,0.003284,0.003269,0.003275,12536330.0,1711256999999
56,1711257000000,0.003276,0.003279,0.003266,0.003271,8965983.0,1711257299999
57,1711257300000,0.003271,0.003279,0.003266,0.003277,6572873.0,1711257599999
58,1711257600000,0.003277,0.003287,0.003277,0.003287,9587273.0,1711257899999
59,1711257900000,0.003286,0.003291,0.003285,0.003288,11892956.0,1711258199999
60,1711258200000,0.003288,0.003298,0.003287,0.003291,32752821.0,1711258499999
61,1711258500000,0.003291,0.003291,0.003285,0.003289,6921351.0,1711258799999
62,1711258800000,0.003289,0.003297,0.003289,0.003295,8444050.0,1711259099999
63,1711259100000,0.003296,0.003301,0.003291,0.003301,5394271.0,1711259399999
64,1711259400000,0.003301,0.003301,0.003295,0.003298,10415309.0,1711259699999
65,1711259700000,0.003298,0.003298,0.003291,0.003295,10035287.0,1711259999999
66,1711260000000,0.003296,0.003296,0.003275,0.003276,15038188.0,1711260299999
67,1711260300000,0.003276,0.003277,0.003267,0.003272,16892951.0,1711260599999
68,1711260600000,0.003272,0.003285,0.003272,0.003279,8134818.0,1711260899999
69,1711260900000,0.003279,0.003292,0.003278,0.00329,18451578.0,1711261199999
70,1711261200000,0.003291,0.003291,0.003275,0.003275,10381972.0,1711261499999
71,1711261500000,0.003274,0.003278,0.00327,0.003275,9636644.0,1711261799999
72,1711261800000,0.003275,0.003275,0.003255,0.003255,9838798.0,1711262099999
73,1711262100000,0.003255,0.003258,0.00325,0.00325,9493939.0,1711262399999
74,1711262400000,0.00325,0.003256,0.003244,0.003255,10118430.0,1711262699999
75,1711262700000,0.003256,0.003257,0.003249,0.003256,10101719.0,1711262999999
76,1711263000000,0.003255,0.003257,0.003245,0.003254,26769028.0,1711263299999
77,1711263300000,0.003254,0.003262,0.003251,0.003258,6091761.0,1711263599999
78,1711263600000,0.003259,0.003261,0.003245,0.003248,10837162.0,1711263899999
79,1711263900000,0.003248,0.00325,0.00324,0.003246,20317232.0,1711264199999
80,1711264200000,0.003246,0.003257,0.003246,0.003253,12443967.0,1711264499999
81,1711264500000,0.003253,0.003254,0.00324,0.00324,7944795.0,1711264799999
82,1711264800000,0.00324,0.003247,0.003238,0.003246,10632209.0,1711265099999
83,1711265100000,0.003247,0.003254,0.003245,0.003248,9741340.0,1711265399999
84,1711265400000,0.003249,0.003252,0.003241,0.003244,8979815.0,1711265699999
85,1711265700000,0.003244,0.003247,0.003239,0.00324,5309545.0,1711265999999
86,1711266000000,0.00324,0.00326,0.003239,0.003259,21843451.0,1711266299999
87,1711266300000,0.003259,0.003259,0.003251,0.003254,6393086.0,1711266599999
88,1711266600000,0.003254,0.003255,0.003248,0.003248,9363176.0,1711266899999
89,1711266900000,0.003249,0.003266,0.003246,0.003266,11070953.0,1711267199999
90,1711267200000,0.003266,0.003268,0.003256,0.003266,13410416.0,1711267499999
91,1711267500000,0.003265,0.003283,0.003265,0.003281,16761845.0,1711267799999
92,1711267800000,0.003282,0.003291,0.003279,0.003287,14445169.0,1711268099999
93,1711268100000,0.003289,0.003295,0.003282,0.003292,27983957.0,1711268399999
94,1711268400000,0.003293,0.003297,0.003288,0.003293,15629388.0,1711268699999
95,1711268700000,0.003292,0.003294,0.003289,0.003289,17725438.0,1711268999999
96,1711269000000,0.003289,0.003293,0.00328,0.003287,14884413.0,1711269299999
97,1711269300000,0.003286,0.003292,0.003283,0.003288,6337387.0,1711269599999
98,1711269600000,0.003289,0.003295,0.003287,0.003295,12758973.0,1711269899999
99,1711269900000,0.003294,0.0033,0.003291,0.0033,10969775.0,1711270199999
100,1711270200000,0.0033,0.003313,0.0033,0.00331,23084240.0,1711270499999
101,1711270500000,0.003309,0.003319,0.003305,0.003317,17343776.0,1711270799999
102,1711270800000,0.003318,0.003324,0.00331,0.003314,36399005.0,1711271099999
103,1711271100000,0.003314,0.003314,0.003307,0.003309,13022571.0,1711271399999
104,1711271400000,0.003308,0.003308,0.003299,0.003299,9535229.0,1711271699999
105,1711271700000,0.0033,0.003307,0.003292,0.003295,16486935.0,1711271999999
106,1711272000000,0.003294,0.003298,0.003289,0.003298,15599832.0,1711272299999
107,1711272300000,0.003298,0.003306,0.003297,0.003298,19785403.0,1711272599999
108,1711272600000,0.003299,0.003307,0.003296,0.003306,12457995.0,1711272899999
109,1711272900000,0.003307,0.003314,0.003304,0.003308,15627127.0,1711273199999
110,1711273200000,0.003308,0.003311,0.003301,0.003311,12095857.0,1711273499999
111,1711273500000,0.003311,0.003312,0.003302,0.003303,13881311.0,1711273799999
112,1711273800000,0.003302,0.00331,0.003301,0.003308,8196706.0,1711274099999
113,1711274100000,0.003307,0.003309,0.003299,0.003302,4907610.0,1711274399999
114,1711274400000,0.003301,0.003313,0.003297,0.003311,25270489.0,1711274699999
115,1711274700000,0.00331,0.003316,0.003303,0.003314,14116932.0,1711274999999
