,open_time,open,high,low,close,VOLUME,close_time
0,1711239900000,125.07,125.19,125.01,125.07,194.6,1711240199999
1,1711240200000,125.08,125.45,124.97,125.44,180.8,1711240499999
2,1711240500000,125.47,125.58,125.1,125.1,422.8,1711240799999
3,1711240800000,125.08,125.22,125.0,125.16,252.7,1711241099999
4,1711241100000,125.18,125.4,124.97,125.3,116.4,1711241399999
5,1711241400000,125.25,125.44,125.2,125.21,237.8,1711241699999
6,1711241700000,125.21,125.35,125.17,125.3,173.4,1711241999999
7,1711242000000,125.29,125.42,125.14,125.2,189.6,1711242299999
8,1711242300000,125.22,125.47,125.13,125.37,127.2,1711242599999
9,1711242600000,125.4,125.55,125.03,125.13,347.9,1711242899999
10,1711242900000,125.16,125.2,124.84,125.05,248.9,1711243199999
11,1711243200000,125.03,125.31,124.67,125.28,166.1,1711243499999
12,1711243500000,125.26,125.67,125.24,125.38,138.8,1711243799999
13,1711243800000,125.39,125.55,125.19,125.42,197.3,1711244099999
14,1711244100000,125.42,125.45,125.15,125.24,304.8,1711244399999
15,1711244400000,125.26,125.59,125.17,125.47,600.4,1711244699999
16,1711244700000,125.48,125.69,125.48,125.48,138.8,1711244999999
17,1711245000000,125.48,125.82,125.37,125.55,156.5,1711245299999
18,1711245300000,125.56,125.69,125.54,125.6,84.0,1711245599999
19,1711245600000,125.6,125.63,125.2,125.34,197.5,1711245899999
20,1711245900000,125.35,125.75,125.33,125.75,114.5,1711246199999
21,1711246200000,125.78,125.79,125.29,125.32,110.7,1711246499999
22,1711246500000,125.3,125.3,124.77,124.86,307.9,1711246799999
23,1711246800000,124.85,124.85,124.56,124.61,89.8,1711247099999
24,1711247100000,124.64,124.78,124.47,124.71,157.4,1711247399999
25,1711247400000,124.71,124.75,124.39,124.47,153.6,1711247699999
26,1711247700000,124.52,124.77,124.52,124.67,60.8,1711247999999
27,1711248000000,124.65,125.03,124.49,124.98,132.7,1711248299999
28,1711248300000,124.96,124.96,124.57,124.84,129.7,1711248599999
29,1711248600000,124.83,124.87,124.34,124.52,127.7,1711248899999
30,1711248900000,124.52,124.79,124.46,124.72,101.3,1711249199999
31,1711249200000,124.69,124.72,124.2,124.23,150.6,1711249499999
32,1711249500000,124.22,124.22,123.46,123.52,368.7,1711249799999
33,1711249800000,123.54,123.55,123.08,123.37,326.5,1711250099999
34,1711250100000,123.35,123.96,123.35,123.79,211.6,1711250399999
35,1711250400000,123.79,123.94,123.51,123.71,167.2,1711250699999
36,1711250700000,123.71,123.81,123.39,123.68,244.4,1711250999999
37,1711251000000,123.67,123.72,123.15,123.19,310.1,1711251299999
38,1711251300000,123.21,123.68,123.04,123.53,472.3,1711251599999
39,1711251600000,123.53,123.77,123.53,123.62,404.3,1711251899999
40,1711251900000,123.61,123.99,123.5,123.76,248.5,1711252199999
41,1711252200000,123.74,123.95,123.54,123.67,367.2,1711252499999
42,1711252500000,123.64,123.8,123.0,123.08,602.1,1711252799999
43,1711252800000,123.07,123.44,122.95,123.38,265.8,1711253099999
44,1711253100000,123.39,123.83,123.39,123.83,204.6,1711253399999
45,1711253400000,123.83,123.84,123.18,123.53,187.0,1711253699999
46,1711253700000,123.52,123.52,123.11,123.12,138.4,1711253999999
47,1711254000000,123.11,123.11,122.51,122.6,232.2,1711254299999
48,1711254300000,122.59,122.95,122.39,122.78,473.7,1711254599999
49,1711254600000,122.74,123.11,122.69,123.07,178.9,1711254899999
50,1711254900000,123.1,123.18,122.71,122.85,175.5,1711255199999
51,1711255200000,122.86,123.44,122.78,123.37,286.6,1711255499999
52,1711255500000,123.4,123.68,123.11,123.27,162.8,1711255799999
53,1711255800000,123.23,123.49,123.07,123.28,198.2,1711256099999
54,1711256100000,123.3,123.67,123.2,123.66,89.6,1711256399999
55,1711256400000,123.68,123.84,123.42,123.62,225.9,1711256699999
56,1711256700000,123.58,123.6,123.26,123.43,155.9,1711256999999
57,1711257000000,123.42,123.54,123.26,123.37,89.2,1711257299999
58,1711257300000,123.4,123.73,123.32,123.68,43.9,1711257599999
59,1711257600000,123.62,124.05,123.62,123.83,187.1,1711257899999
60,1711257900000,123.85,124.03,123.73,123.85,89.7,1711258199999
61,1711258200000,123.84,124.51,123.75,124.49,439.2,1711258499999
62,1711258500000,124.46,124.47,124.27,124.33,86.7,1711258799999
63,1711258800000,124.33,124.45,124.11,124.18,112.1,1711259099999
64,1711259100000,124.17,124.58,124.11,124.53,587.2,1711259399999
65,1711259400000,124.56,124.59,123.99,123.99,427.8,1711259699999
66,1711259700000,124.0,124.0,123.31,123.46,868.6,1711259999999
67,1711260000000,123.46,123.53,123.31,123.45,263.1,1711260299999
68,1711260300000,123.46,123.55,123.22,123.44,232.1,1711260599999
69,1711260600000,123.46,123.79,123.39,123.63,126.2,1711260899999
70,1711260900000,123.61,123.96,123.56,123.77,173.0,1711261199999
71,1711261200000,123.79,123.84,123.42,123.44,118.7,1711261499999
72,1711261500000,123.42,123.58,123.22,123.37,223.4,1711261799999
73,1711261800000,123.38,123.38,123.06,123.06,217.6,1711262099999
74,1711262100000,123.05,123.07,122.79,122.82,188.4,1711262399999
75,1711262400000,122.8,123.02,122.53,122.95,158.9,1711262699999
76,1711262700000,122.95,122.95,122.57,122.86,157.8,1711262999999
77,1711263000000,122.86,122.89,122.65,122.71,98.6,1711263299999
78,1711263300000,122.8,123.13,122.78,123.07,80.3,1711263599999
79,1711263600000,123.05,123.16,122.8,123.02,193.6,1711263899999
80,1711263900000,123.03,123.13,122.69,123.0,130.7,1711264199999
81,1711264200000,123.07,123.22,122.84,122.9,589.5,1711264499999
82,1711264500000,122.89,123.0,122.71,122.94,253.8,1711264799999
83,1711264800000,122.94,123.01,122.84,122.98,174.3,1711265099999
84,1711265100000,122.98,123.11,122.86,123.02,65.3,1711265399999
85,1711265400000,123.06,123.2,122.9,123.04,181.4,1711265699999
86,1711265700000,123.06,123.19,123.0,123.06,118.7,1711265999999
87,1711266000000,123.06,123.79,122.91,123.78,289.6,1711266299999
88,1711266300000,123.77,123.77,123.42,123.5,82.5,1711266599999
89,1711266600000,123.49,123.59,123.21,123.32,175.2,1711266899999
90,1711266900000,123.35,123.87,123.27,123.87,85.3,1711267199999
91,1711267200000,123.88,123.93,123.59,123.68,157.4,1711267499999
92,1711267500000,123.67,124.06,123.59,124.02,188.1,1711267799999
93,1711267800000,124.03,124.35,123.95,124.23,312.6,1711268099999
94,1711268100000,124.23,124.37,123.82,124.05,324.9,1711268399999
95,1711268400000,124.07,124.22,123.97,124.2,106.0,1711268699999
96,1711268700000,124.16,124.24,123.96,124.06,81.3,1711268999999
97,1711269000000,124.01,124.25,123.78,124.16,160.8,1711269299999
98,1711269300000,124.16,124.45,124.06,124.25,167.5,1711269599999
99,1711269600000,124.27,124.77,124.27,124.77,313.4,1711269899999
100,1711269900000,124.77,124.9,124.49,124.83,406.2,1711270199999
101,1711270200000,124.87,125.27,124.87,125.21,205.3,1711270499999
102,1711270500000,125.19,125.5,125.09,125.41,243.4,1711270799999
